dataset	contrast	contrast_type	case_group	control_group	module	delta_case_minus_control	hedges_g	p	n_case	n_control	statistical_status	note	fdr
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_OxLDL_vs_WT_OxLDL	group	GpnmbR150X_OxLDL	WT_OxLDL	lipid_lysosomal_apc	0.5109905229076225	9.54218110101597	0.00028850143027404847	3.0	3.0	welch_t	GpnmbR150X under OxLDL lipid loading	0.003173515733014533
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_OxLDL_vs_WT_OxLDL	group	GpnmbR150X_OxLDL	WT_OxLDL	resolution_efferocytosis	0.5031548755210925	4.849217681624055	0.0023051676659398665	3.0	3.0	welch_t	GpnmbR150X under OxLDL lipid loading	0.015848027703336584
GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X_OxLDL_vs_WT_OxLDL	group	GpnmbR150X_OxLDL	WT_OxLDL	stress_cytotoxicity	1.040895514810648	16.328996068876748	5.423340296637704e-05	3.0	3.0	welch_t	GpnmbR150X under OxLDL lipid loading	0.0011931348652602948
GSE287142_RXR_bexarotene_CNS_myeloid	Young_BEX_vs_Young_vehicle	group	Young_BEX	Young_vehicle	fibrosis_profibrotic	-0.672299677433971	-2.597520433885364	0.03208353763318642	3.0	3.0	welch_t	RXR agonist bexarotene CNS myeloid	0.09287339841185543
GSE287142_RXR_bexarotene_CNS_myeloid	Young_BEX_vs_Young_vehicle	group	Young_BEX	Young_vehicle	generic_ifn	-0.016826485419277226	-0.08815794687578116	0.9047508152493842	3.0	3.0	welch_t	RXR agonist bexarotene CNS myeloid	0.93011766053675
GSE287142_RXR_bexarotene_CNS_myeloid	Young_BEX_vs_Young_vehicle	group	Young_BEX	Young_vehicle	lipid_lysosomal_apc	-0.18965128368272027	-0.8550925236459319	0.3002436463331383	3.0	3.0	welch_t	RXR agonist bexarotene CNS myeloid	0.47864929125572775
GSE287142_RXR_bexarotene_CNS_myeloid	Young_BEX_vs_Young_vehicle	group	Young_BEX	Young_vehicle	resolution_efferocytosis	0.050384047726129116	0.361955933136553	0.6205243577142938	3.0	3.0	welch_t	RXR agonist bexarotene CNS myeloid	0.7689164869046612
GSE287142_RXR_bexarotene_CNS_myeloid	Young_BEX_vs_Young_vehicle	group	Young_BEX	Young_vehicle	stress_cytotoxicity	-0.8593501105839116	-2.0663410102286828	0.06378695004307021	3.0	3.0	welch_t	RXR agonist bexarotene CNS myeloid	0.15378358265466396
GSE287142_RXR_bexarotene_CNS_myeloid	Aged_BEX_vs_Aged_vehicle	group	Aged_BEX	Aged_vehicle	fibrosis_profibrotic	-0.3160448277618295	-0.3973634533939868	0.577097415233474	3.0	3.0	welch_t	RXR agonist bexarotene CNS myeloid	0.7557228056628826
GSE287142_RXR_bexarotene_CNS_myeloid	Aged_BEX_vs_Aged_vehicle	group	Aged_BEX	Aged_vehicle	generic_ifn	-0.09390065935170161	-0.38022820106850325	0.5919993741344332	3.0	3.0	welch_t	RXR agonist bexarotene CNS myeloid	0.7572085017998563
GSE287142_RXR_bexarotene_CNS_myeloid	Aged_BEX_vs_Aged_vehicle	group	Aged_BEX	Aged_vehicle	lipid_lysosomal_apc	0.024431353111945192	0.1284598010803851	0.8541670502491627	3.0	3.0	welch_t	RXR agonist bexarotene CNS myeloid	0.9122172381301737
GSE287142_RXR_bexarotene_CNS_myeloid	Aged_BEX_vs_Aged_vehicle	group	Aged_BEX	Aged_vehicle	resolution_efferocytosis	0.28613503439365795	2.9669267711225435	0.02297717551487699	3.0	3.0	welch_t	RXR agonist bexarotene CNS myeloid	0.08081344033746173
GSE287142_RXR_bexarotene_CNS_myeloid	Aged_BEX_vs_Aged_vehicle	group	Aged_BEX	Aged_vehicle	stress_cytotoxicity	-0.341876104704202	-0.7581997645863128	0.31063749277005565	3.0	3.0	welch_t	RXR agonist bexarotene CNS myeloid	0.48814463149580173
GSE287142_RXR_bexarotene_CNS_myeloid	StrokeAged_BEX_vs_StrokeAged_vehicle	group	StrokeAged_BEX	StrokeAged_vehicle	fibrosis_profibrotic	-0.41052214322634073	-0.9121053963717562	0.24013523198404363	3.0	3.0	welch_t	RXR agonist bexarotene CNS myeloid	0.42604637932652906
GSE287142_RXR_bexarotene_CNS_myeloid	StrokeAged_BEX_vs_StrokeAged_vehicle	group	StrokeAged_BEX	StrokeAged_vehicle	generic_ifn	-0.3844350594900011	-1.3419125478011258	0.12271196015186328	3.0	3.0	welch_t	RXR agonist bexarotene CNS myeloid	0.26467285522950906
