gene	score	wave62_call	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_l2g_score	ms_max_qtl_h4	broad_positive_disease_count	broad_positive_fdr10_compartment_count	broad_positive_diseases	chembl_target_id	druggable_activity_count	manual_blocker	prior_context_blocker	wave103_call	genetics_gate	cellstate_gate	reachable_gate	unblocked_gate	promote	blockers
CSTA	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
MUC19	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Crohn;Psoriasis	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
SIK2	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AITD	0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
PCSK2	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Celiac;T1D	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
LZTFL1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	SLE;T1D	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
STEAP3	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	AITD	0		0.0726928561925888	0.0	2	0	psoriasis;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
GLDN	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	MS	0		0.8781915903091431	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
ABL2	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	RA	0		0.0	0.0	1	1	type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
NLGN1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Celiac;T1D	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
FADS1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	psoriasis;ulcerative colitis	CHEMBL5840	61	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
CPEB4	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Psoriasis	0		0.0	0.0	1	1	Crohn disease		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
SLC25A13	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	T1D	0		0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
SNTG1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	T1D	0		0.0	0.0	1	1	type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
CIMAP2	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	MS	0		0.8589537143707275	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
EDNRB	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	T1D	0		0.0	0.0	1	1	type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ZNF33B	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	1	1	type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
TRIB1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Psoriasis	0		0.0	0.0	2	0	Crohn disease;type 1 diabetes mellitus		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ADCY7	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Crohn;UC	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
GDF10	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	MS	0		0.8446259498596191	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
RPH3A	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Crohn;T1D	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IL22RA1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		2	Psoriasis;T1D	0.0	0.0	1	0	type 1 diabetes mellitus		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IPMK	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Psoriasis	0		0.0	0.0	2	0	Crohn disease;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
TMCO4	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	T1D;UC	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IGFBP7	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	T1D	0		0.0	0.0	2	0	type 1 diabetes mellitus;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
IL2	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Celiac;T1D	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
RSPO3	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Crohn;Psoriasis	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
SGSH	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		2	Crohn;Psoriasis	0.0	0.0	1	0	psoriasis		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CDC37	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus	CHEMBL1795123	0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
TECR	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	2	0	Crohn disease;psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
GPR183	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Psoriasis	0		0.0	0.0	2	0	Crohn disease;Sjogren syndrome		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
TBC1D2	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	2	0	psoriasis;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
CCNC	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
LRP1B	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Celiac;T1D	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TCP11	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	AS;T1D	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
MACROD2	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	2	0	Crohn disease;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ANXA4	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	2	0	type 1 diabetes mellitus;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
RIPOR2	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	RA	0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
AKR1B10	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
EBF1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Psoriasis	0		0.0	0.0	2	0	Crohn disease;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
FGGY	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	2	0	Sjogren syndrome;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
CA8	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Psoriasis	0		0.0	0.0	2	0	type 1 diabetes mellitus;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
DUSP22	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
LRCH1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	RA	0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
INPP4B	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	2	0	Crohn disease;psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
PXT1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	MS	0		0.6716792583465576	0.0	0	0			0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CHST11	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	2	0	Crohn disease;Sjogren syndrome		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
DLC1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
COL4A1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
RNLS	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	T1D	0		0.0	0.0	2	0	Sjogren syndrome;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ABR	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	SLE;Sjogren	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
RASSF3	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
MED13	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	AS;SLE	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TBK1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	2	0	Crohn disease;psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
RBKS	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Celiac	0		0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
RBM17	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.2774181365966797	0.0	2	0	Crohn disease;psoriasis	CHEMBL4680038	0	nan	nan	NO_GO_NO_DIRECTIONAL_SUPPORT	False	True	True	False	False	insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker
ITGB1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	T1D	0		0.0	0.0	2	0	Crohn disease;psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
RASSF9	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	3	1	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
SEL1L3	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	3	1	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
KIF21B	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	UC	0		0.0	0.0	2	0	Crohn disease;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
IKZF1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Crohn;SLE	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
DGKB	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	SLE;T1D	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
DUSP5	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Crohn	0		0.0	0.0	2	0	Crohn disease;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
HMGA1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Psoriasis;RA	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
C5orf46	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Sjogren	0		0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus		0	nan	nan		False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
LRRC69	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	T1D	0		0.0	0.0	2	0	Sjogren syndrome;type 1 diabetes mellitus		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
TEAD3	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	AS;RA	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
HELZ	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	AITD;SLE	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
IL19	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	Crohn;UC	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
SLC39A11	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	2	0	Crohn disease;Sjogren syndrome		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
LTBP1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	T1D	0		0.0	0.0	2	0	Crohn disease;psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
DMAC1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	SLE	0		0.0	0.0	2	0	Sjogren syndrome;psoriasis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
CASR	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	AS;Psoriasis	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
CSMD1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	AS;Sjogren	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
LDLRAP1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	1	Crohn	0		0.0	0.0	2	0	psoriasis;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
ZNF395	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	2	SLE;Sjogren	0		0.0	0.0	0	0			0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
HINT1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	3	1	Crohn disease;Sjogren syndrome;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
MTF1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
STMN3	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		2	Crohn;UC	0.0	0.0	1	0	type 1 diabetes mellitus		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
PSMD14	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		0		0.0	0.0	3	1	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0	nan	nan	NO_GO_EXPRESSION_OR_CLASS_ONLY	False	True	False	False	False	insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
IRF1	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		2	Crohn;UC	0.0	0.0	1	0	Crohn disease		0	nan	nan	NO_GO_PRIOR_OR_SAFETY_BLOCKED	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
ITGAM	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		2	SLE;T1D	0.0	0.0	1	0	Sjogren syndrome		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
TUBG2	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		2	Crohn;Psoriasis	0.0	0.0	1	0	psoriasis		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
SLC22A5	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		2	Crohn;Psoriasis	0.0	0.0	1	0	type 1 diabetes mellitus		0	nan	nan	NO_GO_NO_CROSS_DISEASE_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
LEMD2	1.0	NO_GO_WAVE62_TARGET_RESOLUTION	0		2	Celiac;RA	0.0	0.0	1	0	psoriasis		0	nan	nan	NO_GO_NO_MS_ANCHOR	False	False	False	False	False	insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
