sample	module	module_score	n_present	present_genes	donor	sirna	time	stimulation	plate
S135	epithelial_chemokine_entry	3.428184981117674	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT3	16	TNF (1)	1
S136	epithelial_chemokine_entry	4.982424384055328	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT3	16	TNF (1) + IL17 (1)	1
S137	epithelial_chemokine_entry	0.9542650309495153	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT4	0	None	1
S138	epithelial_chemokine_entry	1.0680635457970358	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT4	0	None	1
S139	epithelial_chemokine_entry	4.1190765768618745	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT4	1	TNF (1)	1
S140	epithelial_chemokine_entry	4.069519662827511	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT4	1	TNF (1) + IL17 (1)	1
S141	epithelial_chemokine_entry	3.875090533919694	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT4	6	TNF (1)	1
S142	epithelial_chemokine_entry	4.591925076385714	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT4	6	TNF (1) + IL17 (1)	1
S143	epithelial_chemokine_entry	3.8591560202479727	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT4	16	TNF (1)	1
S144	epithelial_chemokine_entry	5.115173754029764	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA8	STAT4	16	TNF (1) + IL17 (1)	1
S145	epithelial_chemokine_entry	1.2510259547401836	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	Ctrl	0	None	1
S146	epithelial_chemokine_entry	0.9084621627512319	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	Ctrl	0	None	1
S147	epithelial_chemokine_entry	5.186775765222761	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	Ctrl	1	TNF (1)	1
S148	epithelial_chemokine_entry	5.280143524396338	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	Ctrl	1	TNF (1) + IL17 (1)	1
S149	epithelial_chemokine_entry	4.305794589821565	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	Ctrl	6	TNF (1)	1
S150	epithelial_chemokine_entry	5.222613754558314	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	Ctrl	6	TNF (1) + IL17 (1)	1
S151	epithelial_chemokine_entry	4.410742781555235	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	Ctrl	16	TNF (1)	1
S152	epithelial_chemokine_entry	6.179458074807355	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	Ctrl	16	TNF (1) + IL17 (1)	1
S153	epithelial_chemokine_entry	1.3734455567796546	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	CUX1	0	None	1
S154	epithelial_chemokine_entry	1.0851715959251917	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	CUX1	0	None	1
S155	epithelial_chemokine_entry	4.691201617457328	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	CUX1	1	TNF (1)	1
S156	epithelial_chemokine_entry	4.825756459827562	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	CUX1	1	TNF (1) + IL17 (1)	1
S157	epithelial_chemokine_entry	3.801933778906718	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	CUX1	6	TNF (1)	1
S158	epithelial_chemokine_entry	4.694396133233793	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	CUX1	6	TNF (1) + IL17 (1)	1
S159	epithelial_chemokine_entry	4.210625939505299	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	CUX1	16	TNF (1)	1
S160	epithelial_chemokine_entry	5.582666357548296	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	CUX1	16	TNF (1) + IL17 (1)	1
S161	epithelial_chemokine_entry	1.3100534579924603	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	LIFR	0	None	1
S162	epithelial_chemokine_entry	0.9386959285993516	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	LIFR	0	None	1
S163	epithelial_chemokine_entry	4.967425462305764	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	LIFR	1	TNF (1)	1
S164	epithelial_chemokine_entry	5.0782938448443895	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	LIFR	1	TNF (1) + IL17 (1)	1
S165	epithelial_chemokine_entry	4.108345778486542	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	LIFR	6	TNF (1)	1
S166	epithelial_chemokine_entry	4.880168538655849	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	LIFR	6	TNF (1) + IL17 (1)	1
S167	epithelial_chemokine_entry	4.171830322853071	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	LIFR	16	TNF (1)	1
S168	epithelial_chemokine_entry	5.686229084333583	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	LIFR	16	TNF (1) + IL17 (1)	1
S169	epithelial_chemokine_entry	1.335836795417767	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	ELF3	0	None	1
S170	epithelial_chemokine_entry	1.156529967439033	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	ELF3	0	None	1
S171	epithelial_chemokine_entry	4.863115627747543	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	ELF3	1	TNF (1)	1
S172	epithelial_chemokine_entry	5.205888161252721	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	ELF3	1	TNF (1) + IL17 (1)	1
S173	epithelial_chemokine_entry	4.4158217838264004	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	ELF3	6	TNF (1)	1
S174	epithelial_chemokine_entry	5.350518402412669	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	ELF3	6	TNF (1) + IL17 (1)	1
S175	epithelial_chemokine_entry	4.578713498234829	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	ELF3	16	TNF (1)	1
S176	epithelial_chemokine_entry	5.860376490607633	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	ELF3	16	TNF (1) + IL17 (1)	1
S177	epithelial_chemokine_entry	1.3718357044257785	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT3	0	None	1
S178	epithelial_chemokine_entry	1.1064115560243868	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT3	0	None	1
S179	epithelial_chemokine_entry	4.859712599454221	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT3	1	TNF (1)	1
S180	epithelial_chemokine_entry	5.043140498976177	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT3	1	TNF (1) + IL17 (1)	1
S181	epithelial_chemokine_entry	4.1022736526287735	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT3	6	TNF (1)	1
S182	epithelial_chemokine_entry	4.950586086603734	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT3	6	TNF (1) + IL17 (1)	1
S183	epithelial_chemokine_entry	4.222166346181775	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT3	16	TNF (1)	1
S184	epithelial_chemokine_entry	5.826333618693534	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT3	16	TNF (1) + IL17 (1)	1
S185	epithelial_chemokine_entry	0.8857286889556002	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT4	0	None	1
S186	epithelial_chemokine_entry	0.7258401304267574	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT4	0	None	1
S187	epithelial_chemokine_entry	5.059821159251223	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT4	1	TNF (1)	1
S188	epithelial_chemokine_entry	5.098934203475762	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT4	1	TNF (1) + IL17 (1)	1
S189	epithelial_chemokine_entry	4.484454403109798	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT4	6	TNF (1)	1
S190	epithelial_chemokine_entry	5.0288282632752015	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT4	6	TNF (1) + IL17 (1)	1
S191	epithelial_chemokine_entry	4.564848461468681	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT4	16	TNF (1)	1
S192	epithelial_chemokine_entry	5.4571155040230925	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA6	STAT4	16	TNF (1) + IL17 (1)	1
S1	stromal_retention_fibrosis	6.2595891788670786	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	Ctrl	0	None	2
S2	stromal_retention_fibrosis	7.253718484765582	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	Ctrl	0	None	2
S3	stromal_retention_fibrosis	7.48509350976326	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	Ctrl	1	TNF (1)	2
S4	stromal_retention_fibrosis	8.443510288648955	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	Ctrl	1	TNF (1) + IL17 (1)	2
S5	stromal_retention_fibrosis	7.669648333935979	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	Ctrl	6	TNF (1)	2
S6	stromal_retention_fibrosis	7.194009741358788	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	Ctrl	6	TNF (1) + IL17 (1)	2
S7	stromal_retention_fibrosis	8.269015448471201	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	Ctrl	16	TNF (1)	2
S8	stromal_retention_fibrosis	3.5071814750430748	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	Ctrl	16	TNF (1) + IL17 (1)	2
S9	stromal_retention_fibrosis	6.535276337533279	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	CUX1	0	None	2
S10	stromal_retention_fibrosis	7.302304866225101	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	CUX1	0	None	2
S11	stromal_retention_fibrosis	8.062158900690383	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	CUX1	1	TNF (1)	2
S12	stromal_retention_fibrosis	8.241181133892814	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	CUX1	1	TNF (1) + IL17 (1)	2
S13	stromal_retention_fibrosis	8.541384713551865	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	CUX1	6	TNF (1)	2
S14	stromal_retention_fibrosis	8.343074505701706	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	CUX1	6	TNF (1) + IL17 (1)	2
S15	stromal_retention_fibrosis	8.207162204295438	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	CUX1	16	TNF (1)	2
S16	stromal_retention_fibrosis	8.25225807086814	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	CUX1	16	TNF (1) + IL17 (1)	2
S17	stromal_retention_fibrosis	7.499983024014981	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	LIFR	0	None	2
S18	stromal_retention_fibrosis	7.457730970426585	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	LIFR	0	None	2
S19	stromal_retention_fibrosis	8.209873109247814	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	LIFR	1	TNF (1)	2
S20	stromal_retention_fibrosis	8.273762614436293	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	LIFR	1	TNF (1) + IL17 (1)	2
S21	stromal_retention_fibrosis	8.672935169261239	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	LIFR	6	TNF (1)	2
S22	stromal_retention_fibrosis	8.617269031522946	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	LIFR	6	TNF (1) + IL17 (1)	2
S23	stromal_retention_fibrosis	8.687207101012758	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	LIFR	16	TNF (1)	2
S24	stromal_retention_fibrosis	8.700255726069127	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	LIFR	16	TNF (1) + IL17 (1)	2
S25	stromal_retention_fibrosis	7.521739284749231	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	ELF3	0	None	2
S26	stromal_retention_fibrosis	7.381552288876025	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	ELF3	0	None	2
S27	stromal_retention_fibrosis	8.385202157607397	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	ELF3	1	TNF (1)	2
S28	stromal_retention_fibrosis	8.446433303147389	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	ELF3	1	TNF (1) + IL17 (1)	2
S29	stromal_retention_fibrosis	8.636977243722631	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	ELF3	6	TNF (1)	2
S30	stromal_retention_fibrosis	8.683189033930717	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	ELF3	6	TNF (1) + IL17 (1)	2
S31	stromal_retention_fibrosis	8.497813851474083	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	ELF3	16	TNF (1)	2
S32	stromal_retention_fibrosis	8.450737586500027	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	ELF3	16	TNF (1) + IL17 (1)	2
S33	stromal_retention_fibrosis	7.493482186894894	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT3	0	None	2
S34	stromal_retention_fibrosis	7.49031959852542	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT3	0	None	2
S35	stromal_retention_fibrosis	8.380452549913437	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT3	1	TNF (1)	2
S36	stromal_retention_fibrosis	8.423166121411677	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT3	1	TNF (1) + IL17 (1)	2
S37	stromal_retention_fibrosis	8.662205283053227	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT3	6	TNF (1)	2
S38	stromal_retention_fibrosis	8.77709690325	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT3	6	TNF (1) + IL17 (1)	2
S39	stromal_retention_fibrosis	8.71433040579919	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT3	16	TNF (1)	2
S40	stromal_retention_fibrosis	8.713325854878102	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT3	16	TNF (1) + IL17 (1)	2
S41	stromal_retention_fibrosis	7.4666699155912575	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT4	0	None	2
S42	stromal_retention_fibrosis	7.493186659055268	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT4	0	None	2
S43	stromal_retention_fibrosis	8.298124281822712	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT4	1	TNF (1)	2
S44	stromal_retention_fibrosis	8.275031737620585	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT4	1	TNF (1) + IL17 (1)	2
S45	stromal_retention_fibrosis	8.572852532006106	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT4	6	TNF (1)	2
S46	stromal_retention_fibrosis	8.683398472023628	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT4	6	TNF (1) + IL17 (1)	2
S47	stromal_retention_fibrosis	8.537792303644515	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT4	16	TNF (1)	2
S48	stromal_retention_fibrosis	8.631078027904143	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA5	STAT4	16	TNF (1) + IL17 (1)	2
S49	stromal_retention_fibrosis	7.886266936322567	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	Ctrl	0	None	2
S50	stromal_retention_fibrosis	8.02186427342047	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	Ctrl	0	None	2
S51	stromal_retention_fibrosis	8.86893681249338	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	Ctrl	1	TNF (1)	2
S52	stromal_retention_fibrosis	8.88428970727086	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	Ctrl	1	TNF (1) + IL17 (1)	2
S53	stromal_retention_fibrosis	9.27469638965542	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	Ctrl	6	TNF (1)	2
S54	stromal_retention_fibrosis	9.36623327652557	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	Ctrl	6	TNF (1) + IL17 (1)	2
S55	stromal_retention_fibrosis	9.11452729392774	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	Ctrl	16	TNF (1)	2
S56	stromal_retention_fibrosis	9.39232872545283	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	Ctrl	16	TNF (1) + IL17 (1)	2
S57	stromal_retention_fibrosis	7.679942666573808	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	CUX1	0	None	2
S58	stromal_retention_fibrosis	7.751076538100239	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	CUX1	0	None	2
S59	stromal_retention_fibrosis	8.399226437460955	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	CUX1	1	TNF (1)	2
S60	stromal_retention_fibrosis	8.302403709584892	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	CUX1	1	TNF (1) + IL17 (1)	2
S61	stromal_retention_fibrosis	9.002512006431248	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	CUX1	6	TNF (1)	2
S62	stromal_retention_fibrosis	8.98463934821957	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	CUX1	6	TNF (1) + IL17 (1)	2
S63	stromal_retention_fibrosis	8.884731241426978	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	CUX1	16	TNF (1)	2
S64	stromal_retention_fibrosis	9.173279232038038	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	CUX1	16	TNF (1) + IL17 (1)	2
S65	stromal_retention_fibrosis	7.783628108450714	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	LIFR	0	None	2
S66	stromal_retention_fibrosis	7.9160688189035	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	LIFR	0	None	2
S67	stromal_retention_fibrosis	8.391609515476944	12	PDPN;VCAM1;ICAM1;SERPINE1;COL1A1;COL1A2;COL3A1;ITGA5;ITGB1;CXCL12;MMP3;MMP9	RA7	LIFR	1	TNF (1)	2
