I02255	I02256	I02258	I02260	I02263	I02269	I02272	I02275	I02276	I02277	I02278	I02279	I02280	I02283	I02284	I02286	I02287	I02288	I02290	I02291	I02292	I02293	I02294	I02296	I02297	I02298	I02300	I02301	I02302	I02303	J03062	J03063	J03065	J03066	J03067	J03069	J03070	J03071	J03072	J03073	J03075	J03077	J03078	J03079	J03080	J03081	J03083	J03084	J03087	J03089	J03090	J03091	J03092	J03093	J03094	J03095	J03097	J03099	J03100	J03102	J03103	J03106	J03107	J03108	J03110	J03112	J03113	J03114	J03115	J03117	J03118	J03121	I06617	I06618	I06619	I06620	I17272	I17275	I17276	I17277	I17280	I17281	I17282	I17285	I17286	I17288	I17289	I21313	J06237	J06238	J06239	J10262	J10263	J10264	J10265	feature_id
0	0	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV609
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	223	0	236	234	0	0	0	0	0	0	159	0	0	0	0	ASV612
22	0	0	109	0	0	0	0	0	0	23	0	0	0	25	0	0	0	0	0	121	0	0	0	65	0	0	0	27	27	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	171	0	0	0	0	120	165	0	0	0	0	0	0	35	0	13	345	0	73	0	48	21	0	0	0	60	ASV614
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	ASV615
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV616
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	339	0	0	263	0	156	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	ASV617
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	ASV618
12	71	0	25	0	0	10	18	5	0	8	0	0	0	45	0	0	0	0	0	0	0	7	17	0	0	0	0	0	0	30	0	0	0	0	40	19	0	0	0	0	131	0	23	0	0	37	0	95	0	0	138	0	0	79	0	217	0	0	0	0	0	0	12	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	20	21	0	61	0	0	51	0	13	0	0	0	129	2	ASV620
15	16	0	0	0	52	0	30	0	84	28	0	0	38	0	0	11	0	0	5	0	0	0	0	0	0	0	0	0	6	0	15	0	0	0	0	0	0	11	70	0	40	0	0	0	14	0	0	0	0	26	85	0	0	0	0	29	29	0	23	0	220	0	34	0	31	27	17	0	0	20	0	0	68	21	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	10	41	0	0	56	ASV621
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1734	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV622
248	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	69	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	0	109	0	0	0	0	0	ASV623
0	0	0	23	0	0	0	0	0	0	0	46	0	0	162	0	0	67	0	0	0	0	104	91	0	0	0	0	0	0	155	69	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	41	0	500	0	65	0	61	0	0	0	ASV626
0	0	0	0	8	0	0	0	0	0	0	0	12	41	0	0	0	0	0	0	0	0	0	0	0	24	0	11	0	0	0	0	0	0	0	0	0	0	0	145	92	0	16	0	0	0	0	0	0	47	0	0	142	0	0	0	0	0	0	0	0	0	0	0	436	0	82	0	19	0	151	0	0	78	24	34	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV628
0	76	0	0	0	0	58	21	0	0	0	0	38	0	0	0	0	0	0	0	43	0	0	0	25	0	0	0	0	265	0	0	0	0	0	0	0	47	0	18	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	24	0	0	0	316	151	0	0	0	0	0	0	0	0	13	0	0	0	0	0	30	0	0	0	4	ASV629
0	243	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	94	103	0	0	0	0	0	0	0	0	0	0	90	0	33	0	0	0	0	0	169	0	0	0	0	0	0	0	178	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	69	0	0	26	0	0	23	0	39	0	0	0	20	42	0	ASV631
0	199	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV634
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1589	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV636
0	0	0	0	0	0	0	192	0	0	0	0	95	50	0	0	0	0	0	0	0	0	0	0	0	37	0	160	0	0	0	0	79	0	0	0	0	313	0	6	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	26	0	0	0	0	0	0	58	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV638
0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	73	0	0	0	116	0	0	21	50	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	70	18	75	0	0	50	0	34	4	0	66	0	0	0	0	9	0	0	26	204	119	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	ASV642
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	0	0	0	232	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV643
0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	ASV644
0	0	0	45	0	0	0	0	83	0	0	0	0	0	0	4	0	0	0	0	0	0	8	0	4	0	0	14	0	0	0	0	55	8	0	6	15	24	57	7	0	20	11	0	7	30	0	35	0	0	0	0	0	0	14	0	0	0	0	45	9	0	0	9	79	0	0	0	0	0	0	11	11	0	45	0	0	23	0	0	59	77	0	39	48	0	5	105	0	0	10	0	16	43	12	ASV647
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	834	0	0	0	0	0	0	195	0	0	23	0	0	0	0	0	0	0	0	0	0	0	ASV648
0	0	0	0	0	362	0	0	0	0	0	0	0	0	0	0	1318	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	ASV650
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	ASV652
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	356	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV653
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	ASV654
0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	258	0	0	275	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	73	113	65	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV655
127	8	0	0	0	0	32	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	8	0	22	0	0	0	9	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	120	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	0	0	0	7	0	0	0	ASV656
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	139	0	0	0	ASV657
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	960	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	57	0	41	0	0	0	0	0	0	140	0	0	0	0	0	0	0	48	0	0	ASV658
0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	230	0	7	0	0	0	0	0	44	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	807	0	0	0	0	0	72	10	0	0	41	0	0	0	0	100	0	0	0	0	0	0	ASV660
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV662
0	0	0	0	0	0	0	0	31	0	0	15	25	42	0	16	0	0	0	34	0	0	0	0	0	0	0	28	18	10	0	16	0	0	41	0	42	160	9	49	41	0	0	32	0	0	46	0	0	0	2	41	108	65	33	0	34	0	0	0	5	0	0	25	0	2	74	32	0	0	0	42	0	17	14	0	0	0	0	0	8	0	0	0	0	0	0	0	29	20	0	0	0	0	22	ASV663
66	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	87	0	0	0	105	0	0	0	95	0	0	0	66	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	241	0	0	299	0	0	0	36	0	60	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV665
0	0	0	42	0	0	0	0	0	30	98	0	0	58	29	0	0	0	44	13	0	18	0	0	0	0	0	0	0	0	0	0	0	135	0	48	0	0	0	0	0	0	0	10	0	0	18	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	63	121	0	0	0	0	27	0	0	0	49	0	ASV667
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1348	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV668
0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	22	0	0	60	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	25	0	0	0	0	0	0	0	41	0	0	0	0	0	0	40	0	0	224	42	45	0	0	9	0	53	65	22	0	0	0	0	0	0	0	61	0	112	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV670
0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	88	0	0	0	0	0	ASV673
0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV675
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	61	186	0	0	0	0	0	0	0	0	0	0	192	206	0	74	59	19	0	24	0	19	50	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	ASV676
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	ASV679
0	0	0	19	31	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	145	0	0	16	0	0	0	0	58	0	0	104	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV680
0	0	0	49	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	7	9	4	0	18	43	0	0	11	10	0	26	22	0	0	0	0	217	3	0	35	17	0	0	10	5	0	24	0	38	0	6	0	7	0	0	8	69	9	0	0	17	0	0	0	0	0	11	0	0	12	0	0	31	0	0	0	0	0	21	5	29	0	16	8	65	0	12	68	0	0	0	0	0	58	0	ASV681
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	ASV682
9	9	0	0	0	0	18	0	0	0	0	0	0	27	0	0	0	0	27	0	49	12	0	0	42	0	0	0	8	4	0	0	20	69	0	0	0	0	31	77	0	0	0	42	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	44	37	21	0	0	8	0	114	0	0	0	66	0	0	7	229	110	0	0	0	0	28	0	0	63	0	0	0	0	0	0	29	21	0	0	0	ASV683
21	0	0	65	0	0	0	0	21	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	63	0	0	0	0	0	0	0	0	0	114	0	0	380	0	0	0	0	0	0	0	0	0	331	ASV684
0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749	0	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV685
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV686
0	0	0	37	0	0	0	165	0	10	46	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	78	13	0	70	0	135	0	0	0	0	0	0	68	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	35	42	0	0	0	0	0	ASV687
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	358	0	179	0	0	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	ASV688
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV690
0	2	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV691
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	407	0	0	0	0	0	0	0	0	0	23	0	0	0	0	323	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	ASV692
0	0	0	0	0	0	0	0	0	0	0	0	0	69	13	0	0	0	0	0	0	0	0	17	0	65	0	0	0	0	30	0	0	0	0	0	69	20	0	0	0	0	0	0	0	10	0	9	18	0	22	0	0	0	0	59	16	0	0	0	0	0	0	378	0	20	122	0	0	42	0	0	0	38	0	0	0	0	0	0	0	0	27	0	31	0	0	19	0	0	0	0	10	0	0	ASV693
0	73	0	0	0	0	37	35	0	0	0	0	104	0	0	0	0	0	23	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	33	0	0	0	0	0	4	0	0	30	0	0	16	41	0	0	63	0	0	30	0	0	0	0	0	21	0	0	0	0	0	84	0	0	0	0	0	0	37	0	27	39	206	0	0	0	0	0	0	0	0	21	0	15	77	17	0	0	0	0	15	ASV695
41	0	0	0	0	0	0	0	0	0	0	0	52	34	0	0	0	0	0	0	0	5	0	0	0	8	0	62	0	0	0	210	0	0	0	0	0	23	0	0	0	0	30	0	6	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	38	0	204	0	0	147	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	68	0	0	0	ASV698
0	0	0	0	0	0	9	0	27	0	0	0	0	0	0	0	0	0	12	0	0	30	100	127	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	76	0	159	0	0	0	198	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	33	0	0	0	0	0	99	0	0	0	0	0	0	0	ASV699
26	3	0	0	0	0	0	1	0	0	0	0	11	0	0	36	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	74	0	0	0	0	46	0	0	33	0	0	0	7	58	0	0	0	0	0	0	0	67	0	0	0	0	0	4	0	0	0	0	0	0	50	0	44	35	67	0	0	0	0	0	0	0	0	216	0	14	0	242	0	0	0	0	136	ASV700
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	0	0	0	108	0	0	0	0	0	0	0	0	0	0	12	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	ASV701
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	ASV702
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	ASV703
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	32	0	0	0	80	0	67	58	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	64	0	0	0	147	0	0	14	0	0	0	0	0	0	0	41	0	0	0	83	0	0	0	56	0	0	0	0	0	0	104	0	0	0	266	0	0	0	0	34	ASV706
0	0	0	0	0	0	0	0	0	0	0	1189	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV708
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	585	0	0	0	0	0	ASV709
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	0	0	0	0	399	0	280	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	ASV710
0	59	0	0	0	57	0	68	0	309	43	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV711
0	50	0	0	0	0	49	0	0	0	0	0	0	0	0	102	0	0	374	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	37	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV714
0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	101	0	11	0	0	116	0	0	114	0	0	229	0	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	ASV716
