analysis	gene	group	n_cells	mean_log_norm	detection_fraction
ibd_crohn_epithelial	CCL2	control	6713	0.006310871107140968	0.005213764337851929
ibd_crohn_epithelial	CCL3	case	4701	0.011772765903448248	0.009359710699851096
ibd_crohn_epithelial	CCL3	control	6713	0.004624135716720569	0.0034261879934455535
ibd_crohn_epithelial	CCL4	case	4701	0.017751756325984865	0.013826845352052754
ibd_crohn_epithelial	CCL4	control	6713	0.007520274048358113	0.005511693728586325
ibd_crohn_epithelial	CD36	case	4701	0.0011654795095309668	0.0012763241863433313
ibd_crohn_epithelial	CD36	control	6713	0.0015943532246573498	0.0011917175629375838
ibd_crohn_epithelial	CD44	case	4701	0.1803203149599695	0.14124654328866199
ibd_crohn_epithelial	CD44	control	6713	0.0881831362738214	0.07165201847162223
ibd_crohn_epithelial	CD68	case	4701	0.0596635264990448	0.057647309083173795
ibd_crohn_epithelial	CD68	control	6713	0.10360292922529059	0.10099806345896023
ibd_crohn_epithelial	CD74	case	4701	1.1429429536787779	0.5513720485003191
ibd_crohn_epithelial	CD74	control	6713	0.3469531514133716	0.19424996275882617
ibd_crohn_epithelial	CIITA	case	4701	0.05434476183636559	0.049563922569666026
ibd_crohn_epithelial	CIITA	control	6713	0.01423494591228178	0.01102338745717265
ibd_crohn_epithelial	CTSB	case	4701	0.281696846950603	0.22867475005318016
ibd_crohn_epithelial	CTSB	control	6713	0.22826620176311152	0.19544168032176373
ibd_crohn_epithelial	CTSD	case	4701	1.034895678952387	0.5328653477983408
ibd_crohn_epithelial	CTSD	control	6713	0.9930978923789433	0.5172054223149114
ibd_crohn_epithelial	CTSS	case	4701	0.6671587498451368	0.4099127845139332
ibd_crohn_epithelial	CTSS	control	6713	0.5337440691230774	0.3613883509608223
ibd_crohn_epithelial	CXCL10	case	4701	0.0038628626161713825	0.0038289725590299937
ibd_crohn_epithelial	CXCL10	control	6713	0.004020139587816561	0.0023834351258751676
ibd_crohn_epithelial	CXCL8	case	4701	0.058927924763131995	0.04233141884705382
ibd_crohn_epithelial	CXCL8	control	6713	0.023276311742184714	0.017726798748696558
ibd_crohn_epithelial	CXCR4	case	4701	0.025026818888167424	0.017655817911082748
ibd_crohn_epithelial	CXCR4	control	6713	0.009881581501776874	0.006703411291523909
ibd_crohn_epithelial	FABP5	case	4701	0.5631004996612504	0.31652839821314616
ibd_crohn_epithelial	FABP5	control	6713	0.47990456570071194	0.28988529718456724
ibd_crohn_epithelial	GBP1	case	4701	0.11292765488270348	0.09572431397574985
ibd_crohn_epithelial	GBP1	control	6713	0.05636830901544826	0.04990317294801132
ibd_crohn_epithelial	GPNMB	case	4701	0.0017854979610555876	0.0017017655817911082
ibd_crohn_epithelial	GPNMB	control	6713	0.00128137667901343	0.0008937881722031879
