dataset	gene	sgRNA	gate	low_vs_high_log2
GSE162463	Erfe	Erfe_sg3	CD40	2.5213715551245484
GSE162463	Erfe	Erfe_sg3	PDL1	-0.29857569521977195
GSE162463	Tssc4	Tssc4_sg1	MHCII	1.1386121887059302
GSE162463	Tssc4	Tssc4_sg1	CD40	-0.16691632154170016
GSE162463	Tssc4	Tssc4_sg1	PDL1	0.7888244841798446
GSE162463	Trim14	Trim14_sg1	MHCII	-0.49532812386332037
GSE162463	Trim14	Trim14_sg1	CD40	-0.46096667064751085
GSE162463	Trim14	Trim14_sg1	PDL1	0.2961774180146335
GSE162463	Control	BRDN0000738081	MHCII	2.200548471162619
GSE162463	Control	BRDN0000738081	CD40	0.9768711578484413
GSE162463	Control	BRDN0000738081	PDL1	-0.10573997760815065
GSE162463	Control	BRDN0000737530	MHCII	0.13747487283389576
GSE162463	Control	BRDN0000737530	CD40	-0.145439510965338
GSE162463	Control	BRDN0000737530	PDL1	1.6425042610019236
GSE162463	Atxn1l	Atxn1l_sg2	MHCII	1.1580327750347372
GSE162463	Atxn1l	Atxn1l_sg2	CD40	0.21342342376488194
GSE162463	Atxn1l	Atxn1l_sg2	PDL1	-2.2122644757973964
GSE162463	Picalm	Picalm_sg4	MHCII	-0.1287045919842399
GSE162463	Picalm	Picalm_sg4	CD40	0.5407563417769362
GSE162463	Picalm	Picalm_sg4	PDL1	-0.32656099290630874
GSE162463	Mcm10	Mcm10_sg3	MHCII	0.17968772598924326
GSE162463	Mcm10	Mcm10_sg3	CD40	-1.596154212748965
GSE162463	Mcm10	Mcm10_sg3	PDL1	0.524093155102256
GSE162463	Creb3	Creb3_sg2	MHCII	1.3624923121435377
GSE162463	Creb3	Creb3_sg2	CD40	0.9099278552177802
GSE162463	Creb3	Creb3_sg2	PDL1	-1.1922634934292093
GSE162463	Myg1	Myg1_sg2	MHCII	1.6003395731483638
GSE162463	Myg1	Myg1_sg2	CD40	2.1758042329608083
GSE162463	Myg1	Myg1_sg2	PDL1	4.941677010880169
GSE162463	Rcn2	Rcn2_sg4	MHCII	-0.8439693333154563
GSE162463	Rcn2	Rcn2_sg4	CD40	-1.160746566646179
GSE162463	Rcn2	Rcn2_sg4	PDL1	-0.1498941476560304
GSE162463	Wnt9a	Wnt9a_sg2	MHCII	-0.3682816620994645
GSE162463	Wnt9a	Wnt9a_sg2	CD40	-0.08162549564633696
GSE162463	Wnt9a	Wnt9a_sg2	PDL1	0.5284933970035114
GSE162463	Trp53	Trp53_sg3	MHCII	0.3940027529138894
GSE162463	Trp53	Trp53_sg3	CD40	1.3888682106451782
GSE162463	Trp53	Trp53_sg3	PDL1	0.7236401726042112
GSE162463	Fbxo28	Fbxo28_sg1	MHCII	-3.6225562213613043
GSE162463	Fbxo28	Fbxo28_sg1	CD40	-0.2797769877607218
GSE162463	Fbxo28	Fbxo28_sg1	PDL1	-0.43701860233466616
GSE162463	Tat	Tat_sg1	MHCII	-0.9740029991940142
GSE162463	Tat	Tat_sg1	CD40	-0.0874637329373334
GSE162463	Tat	Tat_sg1	PDL1	0.3326436713002593
GSE162463	Nrip2	Nrip2_sg2	MHCII	-1.4279936239725124
GSE162463	Nrip2	Nrip2_sg2	CD40	0.020860827042702555
GSE162463	Nrip2	Nrip2_sg2	PDL1	0.9592519036256295
GSE162463	Pip4k2c	Pip4k2c_sg1	MHCII	-0.15119230395515237
GSE162463	Pip4k2c	Pip4k2c_sg1	CD40	0.8738216627741665
GSE162463	Pip4k2c	Pip4k2c_sg1	PDL1	-0.37069775680256967
GSE162463	Trp53inp2	Trp53inp2_sg3	MHCII	-0.043466392524693816
GSE162463	Trp53inp2	Trp53inp2_sg3	CD40	0.7236670475044282
GSE162463	Trp53inp2	Trp53inp2_sg3	PDL1	-0.3985350065109067
GSE162463	Trim14	Trim14_sg3	MHCII	0.10433177926178028
GSE162463	Trim14	Trim14_sg3	CD40	-1.8166074468163824
GSE162463	Trim14	Trim14_sg3	PDL1	-0.4513285012732242
GSE162463	Rnf34	Rnf34_sg2	MHCII	-0.3896820844802171
GSE162463	Rnf34	Rnf34_sg2	CD40	0.7813798743170774
GSE162463	Rnf34	Rnf34_sg2	PDL1	-1.4607990198888623
GSE162463	Adrb1	Adrb1_sg2	MHCII	0.7387635911032494
GSE162463	Adrb1	Adrb1_sg2	CD40	-0.4604791047056602
GSE162463	Adrb1	Adrb1_sg2	PDL1	0.7816681412238762
GSE162463	Ncbp3	Ncbp3_sg4	MHCII	2.1324621393248004
GSE162463	Ncbp3	Ncbp3_sg4	CD40	-2.1092981254826957
GSE162463	Ncbp3	Ncbp3_sg4	PDL1	-0.6198387666983031
GSE162463	Ap3s1	Ap3s1_sg2	MHCII	1.772836243803565
GSE162463	Ap3s1	Ap3s1_sg2	CD40	1.185970934439693
GSE162463	Ap3s1	Ap3s1_sg2	PDL1	0.5661360152787625
GSE162463	Taf5l	Taf5l_sg3	MHCII	0.27983771416584663
GSE162463	Taf5l	Taf5l_sg3	CD40	-1.3167763701780502
GSE162463	Taf5l	Taf5l_sg3	PDL1	0.7534895269518677
GSE162463	Edil3	Edil3_sg2	MHCII	-0.7631667735948353
GSE162463	Edil3	Edil3_sg2	CD40	-0.6242720829794445
GSE162463	Edil3	Edil3_sg2	PDL1	0.7429956061753863
GSE162463	Wdr1	Wdr1_sg2	MHCII	2.716940702008224
GSE162463	Wdr1	Wdr1_sg2	CD40	0.11945364762064536
GSE162463	Wdr1	Wdr1_sg2	PDL1	-0.16120965686676772
GSE162463	Adrb2	Adrb2_sg2	MHCII	-0.9715353284831221
GSE162463	Adrb2	Adrb2_sg2	CD40	-1.0967231911164785
GSE162463	Adrb2	Adrb2_sg2	PDL1	-1.4855302198584865
GSE162463	Tcf3	Tcf3_sg3	MHCII	-1.8601527552377712
GSE162463	Tcf3	Tcf3_sg3	CD40	-0.27537981323372174
GSE162463	Tcf3	Tcf3_sg3	PDL1	0.899127403764555
GSE162463	Arhgap17	Arhgap17_sg1	MHCII	0.5049255003424765
GSE162463	Arhgap17	Arhgap17_sg1	CD40	0.6455134163740252
GSE162463	Arhgap17	Arhgap17_sg1	PDL1	-0.5491927067705485
GSE162463	Spata7	Spata7_sg4	MHCII	-0.8555485360666747
GSE162463	Spata7	Spata7_sg4	CD40	0.45515913104841677
GSE162463	Spata7	Spata7_sg4	PDL1	0.9947551088343741
GSE162463	Fam234b	Fam234b_sg2	MHCII	-2.2390358791832807
GSE162463	Fam234b	Fam234b_sg2	CD40	-0.1098601919627889
GSE162463	Fam234b	Fam234b_sg2	PDL1	-1.5848909502003201
GSE162463	Casp3	Casp3_sg4	MHCII	-0.8238722631704197
GSE162463	Casp3	Casp3_sg4	CD40	1.2643139300507715
GSE162463	Casp3	Casp3_sg4	PDL1	1.8734070447852773
GSE162463	Cep76	Cep76_sg1	MHCII	1.6607449647508572
GSE162463	Cep76	Cep76_sg1	CD40	-0.04926588398128467
GSE162463	Cep76	Cep76_sg1	PDL1	-0.35535909208692157
GSE162463	Pcdh1	Pcdh1_sg4	MHCII	0.22432585863808283
GSE162463	Pcdh1	Pcdh1_sg4	CD40	0.42665961235698036
GSE162463	Pcdh1	Pcdh1_sg4	PDL1	0.47337219010182313
GSE162463	Asns	Asns_sg1	MHCII	-0.5555997468522897
GSE162463	Asns	Asns_sg1	CD40	-0.8658290173504238
GSE162463	Asns	Asns_sg1	PDL1	-2.8649297372536404
GSE162463	Zfyve26	Zfyve26_sg2	MHCII	-0.11919232532993859
GSE162463	Zfyve26	Zfyve26_sg2	CD40	0.5943703186919307
GSE162463	Zfyve26	Zfyve26_sg2	PDL1	0.19245634543934664
GSE162463	Mideas	Mideas_sg1	MHCII	0.5316206241454995
GSE162463	Mideas	Mideas_sg1	CD40	0.23096843522694455
GSE162463	Mideas	Mideas_sg1	PDL1	0.2990611909249466
GSE162463	Trim32	Trim32_sg1	MHCII	0.05989470857877074
GSE162463	Trim32	Trim32_sg1	CD40	1.4335807381610133
GSE162463	Trim32	Trim32_sg1	PDL1	0.39042168182104514
GSE162463	Nup210	Nup210_sg1	MHCII	0.05999022568174601
GSE162463	Nup210	Nup210_sg1	CD40	-1.142514177059949
GSE162463	Nup210	Nup210_sg1	PDL1	-4.41504233500418
GSE162463	Narf	Narf_sg2	MHCII	0.05702762797946094
GSE162463	Narf	Narf_sg2	CD40	0.45082404704016504
GSE162463	Narf	Narf_sg2	PDL1	1.4335624507484455
GSE162463	Mllt1	Mllt1_sg2	MHCII	-0.7544854888751438
GSE162463	Mllt1	Mllt1_sg2	CD40	-1.3275603335209523
GSE162463	Mllt1	Mllt1_sg2	PDL1	-0.6078340283408201
GSE162463	Aff1	Aff1_sg4	MHCII	0.3107261639319826
GSE162463	Aff1	Aff1_sg4	CD40	-0.368530844759925
GSE162463	Aff1	Aff1_sg4	PDL1	-0.12084072538275167
GSE162463	Sppl2b	Sppl2b_sg2	MHCII	-1.0642357938993108
GSE162463	Sppl2b	Sppl2b_sg2	CD40	0.47355595318675253
GSE162463	Sppl2b	Sppl2b_sg2	PDL1	0.016288104596383458
GSE162463	Ampd2	Ampd2_sg1	MHCII	4.002989857790059
GSE162463	Ampd2	Ampd2_sg1	CD40	1.4315502474103148
GSE162463	Ampd2	Ampd2_sg1	PDL1	1.9644552829575157
GSE162463	Rhoj	Rhoj_sg4	MHCII	2.352479584364378
GSE162463	Rhoj	Rhoj_sg4	CD40	-0.16213066320632336
GSE162463	Rhoj	Rhoj_sg4	PDL1	-0.010244788003657513
GSE162463	Plcd1	Plcd1_sg4	MHCII	1.119911951433194
GSE162463	Plcd1	Plcd1_sg4	CD40	1.0170926681556345
GSE162463	Plcd1	Plcd1_sg4	PDL1	-1.0339351553786464
GSE162463	Abhd10	Abhd10_sg2	MHCII	2.3369497616473915
GSE162463	Abhd10	Abhd10_sg2	CD40	0.42778608180508987
GSE162463	Abhd10	Abhd10_sg2	PDL1	-0.644005202024636
GSE162463	Psme4	Psme4_sg1	MHCII	0.4402343634466329
GSE162463	Psme4	Psme4_sg1	CD40	2.079831578338545
GSE162463	Psme4	Psme4_sg1	PDL1	0.48828566421704656
GSE162463	Prpf8	Prpf8_sg1	MHCII	-0.9886076403697438
GSE162463	Prpf8	Prpf8_sg1	CD40	-4.9077793998997725
GSE162463	Prpf8	Prpf8_sg1	PDL1	5.425226450652135
GSE162463	Rit1	Rit1_sg4	MHCII	0.5713962262481397
GSE162463	Rit1	Rit1_sg4	CD40	1.3040767470560544
GSE162463	Rit1	Rit1_sg4	PDL1	0.2123667105423354
GSE162463	Zdhhc20	Zdhhc20_sg2	MHCII	-0.7773061808651499
GSE162463	Zdhhc20	Zdhhc20_sg2	CD40	-0.656773378430697
GSE162463	Zdhhc20	Zdhhc20_sg2	PDL1	0.6453278200984822
GSE162463	Ddr1	Ddr1_sg4	MHCII	-0.5046520731096958
GSE162463	Ddr1	Ddr1_sg4	CD40	-1.3808146717295318
GSE162463	Ddr1	Ddr1_sg4	PDL1	0.7381848279639163
GSE162463	Mark4	Mark4_sg2	MHCII	-0.4130747313816123
GSE162463	Mark4	Mark4_sg2	CD40	1.0841415708933064
GSE162463	Mark4	Mark4_sg2	PDL1	-0.3934265527605571
GSE162463	Tgfbr2	Tgfbr2_sg1	MHCII	-1.557598533232455
GSE162463	Tgfbr2	Tgfbr2_sg1	CD40	0.7315794667112794
GSE162463	Tgfbr2	Tgfbr2_sg1	PDL1	-0.06426938266915005
GSE162463	Utp4	Utp4_sg2	MHCII	-1.406876481960679
GSE162463	Utp4	Utp4_sg2	CD40	3.076731764415347
GSE162463	Utp4	Utp4_sg2	PDL1	0.0
GSE162463	Snx7	Snx7_sg4	MHCII	1.721692462301862
GSE162463	Snx7	Snx7_sg4	CD40	0.9666090838003892
GSE162463	Snx7	Snx7_sg4	PDL1	1.4901847230139393
GSE162463	Irs2	Irs2_sg4	MHCII	-2.735077458262563
GSE162463	Irs2	Irs2_sg4	CD40	-0.821966064409131
GSE162463	Irs2	Irs2_sg4	PDL1	0.15894746181453948
GSE162463	Med13l	Med13l_sg1	MHCII	1.264399434914164
GSE162463	Med13l	Med13l_sg1	CD40	-1.7624144893196583
GSE162463	Med13l	Med13l_sg1	PDL1	3.6351131159830414
GSE162463	Srgap2	Srgap2_sg3	MHCII	0.9505661600701169
GSE162463	Srgap2	Srgap2_sg3	CD40	-1.3800754496239174
GSE162463	Srgap2	Srgap2_sg3	PDL1	-0.24961338315018372
GSE162463	Ptpn4	Ptpn4_sg2	MHCII	0.9287169571133841
GSE162463	Ptpn4	Ptpn4_sg2	CD40	-0.04907723862611181
GSE162463	Ptpn4	Ptpn4_sg2	PDL1	1.612223243535281
GSE162463	Dhdh	Dhdh_sg3	MHCII	0.16322990684165248
GSE162463	Dhdh	Dhdh_sg3	CD40	0.200745644950888
GSE162463	Dhdh	Dhdh_sg3	PDL1	-1.204802257512623
GSE162463	Tmco1	Tmco1_sg3	MHCII	0.30641371313408283
GSE162463	Tmco1	Tmco1_sg3	CD40	0.7995708450152041
GSE162463	Tmco1	Tmco1_sg3	PDL1	-0.2964927794805884
GSE162463	Xpc	Xpc_sg2	MHCII	0.46840034048381174
GSE162463	Xpc	Xpc_sg2	CD40	1.2271468857133871
GSE162463	Xpc	Xpc_sg2	PDL1	-4.747189952842327
GSE162463	Ppbp	Ppbp_sg3	MHCII	2.0239414211298152
GSE162463	Ppbp	Ppbp_sg3	CD40	2.4217146579629985
GSE162463	Ppbp	Ppbp_sg3	PDL1	1.0336556734791142
GSE162463	Dipk1a	Dipk1a_sg1	MHCII	5.788051161524059
GSE162463	Dipk1a	Dipk1a_sg1	CD40	-0.5617993224048162
GSE162463	Dipk1a	Dipk1a_sg1	PDL1	2.7302563771404986
GSE162463	Rfng	Rfng_sg4	MHCII	-0.6148662517305277
GSE162463	Rfng	Rfng_sg4	CD40	0.40807178419810475
GSE162463	Rfng	Rfng_sg4	PDL1	0.51236087124446
GSE162463	Ankrd13b	Ankrd13b_sg2	MHCII	-0.7835540252306742
GSE162463	Ankrd13b	Ankrd13b_sg2	CD40	0.5838584843959699
GSE162463	Ankrd13b	Ankrd13b_sg2	PDL1	-0.3517007640592754
GSE162463	Cdip1	Cdip1_sg4	MHCII	-1.1604341168000145
GSE162463	Cdip1	Cdip1_sg4	CD40	-0.7180230240254937
GSE162463	Cdip1	Cdip1_sg4	PDL1	1.2792283151674029
GSE162463	Zfp580	Zfp580_sg1	MHCII	0.9647508756292286
GSE162463	Zfp580	Zfp580_sg1	CD40	1.7172347235655339
GSE162463	Zfp580	Zfp580_sg1	PDL1	4.439100683042839
GSE162463	Control	BRDN0000737809	MHCII	0.8497457511685513
GSE162463	Control	BRDN0000737809	CD40	0.6699353297701193
GSE162463	Control	BRDN0000737809	PDL1	-0.686011429042269
GSE162463	Psmb1	Psmb1_sg1	MHCII	0.14063282623312387
GSE162463	Psmb1	Psmb1_sg1	CD40	-0.32564952903027844
GSE162463	Psmb1	Psmb1_sg1	PDL1	-0.3650323563947812
GSE162463	Tnni3	Tnni3_sg1	MHCII	0.7468218177340645
GSE162463	Tnni3	Tnni3_sg1	CD40	0.4741230962549462
GSE162463	Tnni3	Tnni3_sg1	PDL1	-0.9703956288982197
GSE162463	Galnt7	Galnt7_sg3	MHCII	-1.275449051248149
GSE162463	Galnt7	Galnt7_sg3	CD40	-0.7130045388780043
GSE162463	Galnt7	Galnt7_sg3	PDL1	-0.2185637890428322
GSE162463	Cnga3	Cnga3_sg4	MHCII	-2.0151553151945945
GSE162463	Cnga3	Cnga3_sg4	CD40	1.2781023809036556
GSE162463	Cnga3	Cnga3_sg4	PDL1	-0.5473651652412741
GSE162463	Tbc1d31	Tbc1d31_sg3	MHCII	1.8452713789331021
GSE162463	Tbc1d31	Tbc1d31_sg3	CD40	-0.2335661424586831
GSE162463	Tbc1d31	Tbc1d31_sg3	PDL1	0.04795827572045733
GSE162463	Il1a	Il1a_sg2	MHCII	-0.3112498107350419
GSE162463	Il1a	Il1a_sg2	CD40	0.817459208284622
GSE162463	Il1a	Il1a_sg2	PDL1	-0.3174107043885951
GSE162463	Cyp4a14	Cyp4a14_sg4	MHCII	-2.729030025419694
GSE162463	Cyp4a14	Cyp4a14_sg4	CD40	-0.3571704290100291
GSE162463	Cyp4a14	Cyp4a14_sg4	PDL1	0.4182321200725173
GSE162463	Lpxn	Lpxn_sg1	MHCII	-0.9494145956945248
GSE162463	Lpxn	Lpxn_sg1	CD40	-1.425358808044708
GSE162463	Lpxn	Lpxn_sg1	PDL1	-0.9896843423533186
GSE162463	Awat2	Awat2_sg4	MHCII	-2.849354391906759
GSE162463	Awat2	Awat2_sg4	CD40	1.392953654510986
GSE162463	Awat2	Awat2_sg4	PDL1	-0.9312154694540744
GSE162463	Stap1	Stap1_sg2	MHCII	0.14164310150494275
GSE162463	Stap1	Stap1_sg2	CD40	0.35158522817970067
GSE162463	Stap1	Stap1_sg2	PDL1	0.5073447039950588
GSE162463	Adgb	Adgb_sg1	MHCII	-1.8290813609184193
GSE162463	Adgb	Adgb_sg1	CD40	-1.9947070521442873
GSE162463	Adgb	Adgb_sg1	PDL1	-0.6914402512718002
GSE162463	Megf9	Megf9_sg4	MHCII	-0.8272063328902729
GSE162463	Megf9	Megf9_sg4	CD40	1.99575951375982
GSE162463	Megf9	Megf9_sg4	PDL1	-0.2941158236070921
GSE162463	Rgn	Rgn_sg2	MHCII	-1.3610212575678649
GSE162463	Rgn	Rgn_sg2	CD40	-0.16596433092128132
GSE162463	Rgn	Rgn_sg2	PDL1	-0.6103463546849602
GSE162463	Acer3	Acer3_sg4	MHCII	-1.5243269338510386
GSE162463	Acer3	Acer3_sg4	CD40	-0.7655122542273058
GSE162463	Acer3	Acer3_sg4	PDL1	2.009376794193589
GSE162463	Control	BRDN0000738286	MHCII	0.725597683827355
GSE162463	Control	BRDN0000738286	CD40	0.27070545583618727
GSE162463	Control	BRDN0000738286	PDL1	-0.3437443793741496
GSE162463	Pck2	Pck2_sg2	MHCII	0.1314780864380761
GSE162463	Pck2	Pck2_sg2	CD40	0.23078496586763775
GSE162463	Pck2	Pck2_sg2	PDL1	0.059716215769988895
GSE162463	Calcrl	Calcrl_sg2	MHCII	-0.4526028843875713
GSE162463	Calcrl	Calcrl_sg2	CD40	-1.7322637522123359
GSE162463	Calcrl	Calcrl_sg2	PDL1	-0.5520912910617797
GSE162463	Dimt1	Dimt1_sg1	MHCII	-2.190501877328145
GSE162463	Dimt1	Dimt1_sg1	CD40	-5.936941456115983
GSE162463	Dimt1	Dimt1_sg1	PDL1	-2.0239875161061485
GSE162463	Slc17a2	Slc17a2_sg3	MHCII	-0.11872241708181805
GSE162463	Slc17a2	Slc17a2_sg3	CD40	0.32428190967638276
GSE162463	Slc17a2	Slc17a2_sg3	PDL1	0.9936229512944937
GSE162463	Mafa	Mafa_sg1	MHCII	-1.0974906136387543
GSE162463	Mafa	Mafa_sg1	CD40	0.1942491177622911
GSE162463	Mafa	Mafa_sg1	PDL1	-0.8001385213514035
GSE162463	Fbxo7	Fbxo7_sg4	MHCII	-1.1481809959666807
GSE162463	Fbxo7	Fbxo7_sg4	CD40	-1.0716758012048733
GSE162463	Fbxo7	Fbxo7_sg4	PDL1	2.598828254771388
GSE162463	Tasor	Tasor_sg3	MHCII	-1.6307933459517845
GSE162463	Tasor	Tasor_sg3	CD40	1.1260438340789332
GSE162463	Tasor	Tasor_sg3	PDL1	0.07404433761999951
GSE162463	Pxt1	Pxt1_sg3	MHCII	-1.8477895891043654
GSE162463	Pxt1	Pxt1_sg3	CD40	1.5073791161701176
GSE162463	Pxt1	Pxt1_sg3	PDL1	-0.15373861075532835
GSE162463	Farp2	Farp2_sg2	MHCII	-2.8785283793269976
GSE162463	Farp2	Farp2_sg2	CD40	0.8886419307834426
GSE162463	Farp2	Farp2_sg2	PDL1	-1.136820048010637
GSE162463	Pard6a	Pard6a_sg4	MHCII	0.8494649099935127
GSE162463	Pard6a	Pard6a_sg4	CD40	0.13711816462596527
GSE162463	Pard6a	Pard6a_sg4	PDL1	0.33144559733839746
GSE162463	Sdf4	Sdf4_sg1	MHCII	0.15580985984926357
GSE162463	Sdf4	Sdf4_sg1	CD40	-0.08089816005469581
GSE162463	Sdf4	Sdf4_sg1	PDL1	-1.3465203353460562
GSE162463	Mrm2	Mrm2_sg1	MHCII	1.1509271655590283
GSE162463	Mrm2	Mrm2_sg1	CD40	0.9825577938873794
GSE162463	Mrm2	Mrm2_sg1	PDL1	-0.8031952236967647
GSE162463	Olfr613	Olfr613_sg3	MHCII	-0.7653848620904512
GSE162463	Olfr613	Olfr613_sg3	CD40	0.3110411994877469
GSE162463	Olfr613	Olfr613_sg3	PDL1	-0.12519072294157055
GSE162463	Aldh2	Aldh2_sg2	MHCII	0.03556914905226554
GSE162463	Aldh2	Aldh2_sg2	CD40	0.42016589582008157
GSE162463	Aldh2	Aldh2_sg2	PDL1	0.24503252412418822
GSE162463	Parp4	Parp4_sg2	MHCII	0.2204428458015589
GSE162463	Parp4	Parp4_sg2	CD40	1.6437165177759123
GSE162463	Parp4	Parp4_sg2	PDL1	3.172310931729367
GSE162463	Cr1l	Cr1l_sg4	MHCII	-0.25815873132472605
GSE162463	Cr1l	Cr1l_sg4	CD40	0.9833691572570716
GSE162463	Cr1l	Cr1l_sg4	PDL1	0.8752395816188562
GSE162463	Bccip	Bccip_sg2	MHCII	-1.2030756986074667
GSE162463	Bccip	Bccip_sg2	CD40	0.22195421851186703
GSE162463	Bccip	Bccip_sg2	PDL1	-3.1463729988216085
GSE162463	Smim26	Smim26_sg1	MHCII	0.5863493304491744
GSE162463	Smim26	Smim26_sg1	CD40	2.4348940417748395
GSE162463	Smim26	Smim26_sg1	PDL1	3.4700998518932242
GSE162463	Ccng2	Ccng2_sg3	MHCII	2.197219503455763
GSE162463	Ccng2	Ccng2_sg3	CD40	0.05014958346949615
GSE162463	Ccng2	Ccng2_sg3	PDL1	0.1717868694963828
GSE162463	Mttp	Mttp_sg3	MHCII	-1.0397790282324102
GSE162463	Mttp	Mttp_sg3	CD40	0.8951041519846801
GSE162463	Mttp	Mttp_sg3	PDL1	1.4974340557398107
GSE162463	Rpp25	Rpp25_sg1	MHCII	0.1394698998565427
GSE162463	Rpp25	Rpp25_sg1	CD40	-0.23848385332365166
GSE162463	Rpp25	Rpp25_sg1	PDL1	-1.4951819890163187
GSE162463	Hmbox1	Hmbox1_sg3	MHCII	-0.8918252400602975
GSE162463	Hmbox1	Hmbox1_sg3	CD40	0.33685161782775697
GSE162463	Hmbox1	Hmbox1_sg3	PDL1	-0.8466866914973625
GSE162463	Wdsub1	Wdsub1_sg2	MHCII	2.8192917938974142
GSE162463	Wdsub1	Wdsub1_sg2	CD40	-1.0406239911865303
GSE162463	Wdsub1	Wdsub1_sg2	PDL1	2.141653547657085
GSE162463	Pnpla7	Pnpla7_sg1	MHCII	-1.6901701738696406
GSE162463	Pnpla7	Pnpla7_sg1	CD40	-1.9186885239085256
GSE162463	Pnpla7	Pnpla7_sg1	PDL1	-0.3162550237109248
GSE162463	Gnpat	Gnpat_sg2	MHCII	2.44519932285444
GSE162463	Gnpat	Gnpat_sg2	CD40	-0.13622912370145307
GSE162463	Gnpat	Gnpat_sg2	PDL1	-2.1795933860426318
GSE162463	Ndufs3	Ndufs3_sg3	MHCII	0.5140712331708798
GSE162463	Ndufs3	Ndufs3_sg3	CD40	1.6258047418581731
GSE162463	Ndufs3	Ndufs3_sg3	PDL1	0.5083554786745113
GSE162463	Bbc3	Bbc3_sg1	MHCII	0.46799678587284677
GSE162463	Bbc3	Bbc3_sg1	CD40	0.6058775867583955
GSE162463	Bbc3	Bbc3_sg1	PDL1	0.9093531411308289
GSE162463	Tmx1	Tmx1_sg4	MHCII	-3.939479991510348
GSE162463	Tmx1	Tmx1_sg4	CD40	0.35464294984259265
GSE162463	Tmx1	Tmx1_sg4	PDL1	0.8571837838277567
GSE162463	Rwdd2a	Rwdd2a_sg2	MHCII	-1.7709692626191276
GSE162463	Rwdd2a	Rwdd2a_sg2	CD40	1.1852757062531776
GSE162463	Rwdd2a	Rwdd2a_sg2	PDL1	0.19659324585766694
GSE162463	Usp36	Usp36_sg1	MHCII	0.24294967558767944
GSE162463	Usp36	Usp36_sg1	CD40	-3.5308355685295436
GSE162463	Usp36	Usp36_sg1	PDL1	-0.41432187770919154
GSE162463	Mospd3	Mospd3_sg1	MHCII	0.017722568630729952
GSE162463	Mospd3	Mospd3_sg1	CD40	1.6614345527537369
GSE162463	Mospd3	Mospd3_sg1	PDL1	1.252099583093047
GSE162463	Csnk1e	Csnk1e_sg3	MHCII	-0.4442389186926321
GSE162463	Csnk1e	Csnk1e_sg3	CD40	-0.7624640448481633
GSE162463	Csnk1e	Csnk1e_sg3	PDL1	-0.2413720399550767
GSE162463	Tas1r3	Tas1r3_sg3	MHCII	-0.5618939514128736
GSE162463	Tas1r3	Tas1r3_sg3	CD40	0.6843100264839002
GSE162463	Tas1r3	Tas1r3_sg3	PDL1	0.1119737630176872
GSE162463	Chd5	Chd5_sg1	MHCII	0.43151208966672294
GSE162463	Chd5	Chd5_sg1	CD40	0.08335284796522573
GSE162463	Chd5	Chd5_sg1	PDL1	-2.7181606034572288
GSE162463	Mocs1	Mocs1_sg3	MHCII	0.18673694824832868
GSE162463	Mocs1	Mocs1_sg3	CD40	-0.07213389668029804
GSE162463	Mocs1	Mocs1_sg3	PDL1	1.5097833591727037
GSE162463	Tcf12	Tcf12_sg3	MHCII	0.27623726916116836
GSE162463	Tcf12	Tcf12_sg3	CD40	1.202011108440586
GSE162463	Tcf12	Tcf12_sg3	PDL1	-1.472450613401906
GSE162463	Ckap2	Ckap2_sg2	MHCII	-0.4142296593991489
GSE162463	Ckap2	Ckap2_sg2	CD40	0.27731421055842265
GSE162463	Ckap2	Ckap2_sg2	PDL1	-0.12721231815478967
GSE162463	Gpsm1	Gpsm1_sg2	MHCII	0.3279347181069971
GSE162463	Gpsm1	Gpsm1_sg2	CD40	-0.894130225268382
GSE162463	Gpsm1	Gpsm1_sg2	PDL1	3.0961790576667383
GSE162463	Mettl18	Mettl18_sg1	MHCII	-0.8770473928973977
GSE162463	Mettl18	Mettl18_sg1	CD40	0.9164052515283263
GSE162463	Mettl18	Mettl18_sg1	PDL1	-1.2365831729120398
GSE162463	Eif4g3	Eif4g3_sg3	MHCII	-0.663974180238921
GSE162463	Eif4g3	Eif4g3_sg3	CD40	0.2997475925352504
GSE162463	Eif4g3	Eif4g3_sg3	PDL1	-0.28757308952250876
GSE162463	Cmtm7	Cmtm7_sg2	MHCII	1.4771810016301548
GSE162463	Cmtm7	Cmtm7_sg2	CD40	-0.342337019761339
GSE162463	Cmtm7	Cmtm7_sg2	PDL1	-0.4149032504649054
GSE162463	Fig4	Fig4_sg4	MHCII	-0.9941132460926844
GSE162463	Fig4	Fig4_sg4	CD40	2.540412935377776
GSE162463	Fig4	Fig4_sg4	PDL1	0.06498324162246219
GSE162463	Asgr2	Asgr2_sg1	MHCII	0.12069481941424273
GSE162463	Asgr2	Asgr2_sg1	CD40	0.123237325491036
GSE162463	Asgr2	Asgr2_sg1	PDL1	0.46339936526233705
GSE162463	Tmod3	Tmod3_sg4	MHCII	0.4549263898991426
GSE162463	Tmod3	Tmod3_sg4	CD40	-1.1793541606315612
GSE162463	Tmod3	Tmod3_sg4	PDL1	-3.12305720744579
GSE162463	Ssna1	Ssna1_sg3	MHCII	-0.18150978474858975
GSE162463	Ssna1	Ssna1_sg3	CD40	1.1115019479956796
GSE162463	Ssna1	Ssna1_sg3	PDL1	0.10711882985645886
GSE162463	Smim10l1	Smim10l1_sg3	MHCII	-0.8328335083316338
GSE162463	Smim10l1	Smim10l1_sg3	CD40	0.7273996391576089
