dataset	organism	contrast	gene	n_case	n_control	mean_case_log2	mean_control_log2	log2fc	hedges_g	welch_t	p	fdr
GSE162464	Mus musculus	Med16_US_vs_NTC_US	H2-Aa	3	3	2.8691101045832035	3.7097610056483217	-0.8406509010651182	-1.1727381220253015	-1.7953812505448643	0.17472268785808265	0.5922818752105585
GSE162464	Mus musculus	Med16_US_vs_NTC_US	H2-Ab1	3	3	5.742551181480725	5.805511220066528	-0.06296003858580246	-0.12244487431932716	-0.18745466481347953	0.8611850087825584	0.8611850087825584
GSE162464	Mus musculus	Med16_US_vs_NTC_US	H2-DMa	3	3	6.567858040334571	6.194870079083176	0.3729879612513951	1.1290568028509496	1.728508161001856	0.21471152097089563	0.5922818752105585
GSE162464	Mus musculus	Med16_US_vs_NTC_US	H2-DMb1	3	3	6.783968480492315	6.87801331550176	-0.09404483500944494	-0.1947970647218936	-0.29822088247534323	0.7857069010681172	0.834791755208667
GSE162464	Mus musculus	Med16_US_vs_NTC_US	H2-DMb2	3	3	3.132914563979398	3.3589385323502774	-0.22602396837087957	-0.17949914890413204	-0.27480082754936364	0.8045007630687382	0.834791755208667
GSE162464	Mus musculus	Med16_US_vs_NTC_US	H2-Eb1	3	3	2.566813239380364	3.2604532378415527	-0.6936399984611885	-0.6023283142247327	-0.9221231421758534	0.40954291713281826	0.6825715285546972
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Hmox1	3	3	12.072038496065266	12.183987357006659	-0.11194886094139278	-0.27037867235767116	-0.4139311153796557	0.7154148544203799	0.834791755208667
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Hsp90aa1	3	3	15.936655621018277	15.843546857039499	0.09310876397877799	0.23673629384688888	0.36242695220153676	0.7493239107209186	0.834791755208667
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Hspa1a	3	3	5.392395307360186	6.044066155769083	-0.6516708484088971	-0.8871107882252514	-1.3581054852937833	0.3068842693688069	0.6825715285546972
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Hspa1b	3	3	7.402032871331933	7.482712830785005	-0.0806799594530716	-0.24136052419753606	-0.3695063302091473	0.7451602966665927	0.834791755208667
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Ifi30	3	3	12.559413735546583	12.062189256690589	0.4972244788559941	1.2851240824311985	1.9674364113242904	0.17697129377663884	0.5922818752105585
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Ifit1	3	3	2.6024516406858678	3.2134149787407815	-0.6109633380549138	-0.660104506768119	-1.0105745115584104	0.3817407741244956	0.6825715285546972
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Irf1	3	3	9.84521835478217	9.413378378647463	0.43183997613470737	1.0434807717736854	1.597497154531948	0.23408724045110765	0.5922818752105585
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Isg15	3	3	3.43077387760068	4.431683808519203	-1.0009099309185232	-1.3370522836461352	-2.04693490897252	0.1685093652391929	0.5922818752105585
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Jun	3	3	11.565935741800574	11.669927073591081	-0.10399133179050679	-0.27634639644410214	-0.42306728971557617	0.7126528164284549	0.834791755208667
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Klf6	3	3	11.822362007313794	11.723417931600517	0.0989440757132769	0.2432889073804924	0.37245855197590166	0.7425648291686021	0.834791755208667
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Rfx5	3	3	10.47412318580966	9.74777202840932	0.7263511574003392	1.6522735029107871	2.5295168735327525	0.10174110219178187	0.5922818752105585
GSE162464	Mus musculus	Med16_US_vs_NTC_US	Stat1	3	3	9.984886644337015	10.151947233550155	-0.16706058921313982	-0.3641468688631879	-0.5574837625918686	0.6327342758258896	0.834791755208667
