analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	route_class	nominal_positive	nominal_negative	max_activating_paralog_delta	beats_activating_paralog
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRA6	6	6	4.252777340560027	1.83305060937116	2.4197267311888675	1.8591795859949325	3.4885429619496	0.0097940014978522	0.0551738914013927	0.0110333138559271	0.8333333333333334	3.0429139749655945	False	0.226244220983193	True	False	False	False	LILRA_activating_paralog	True	False	2.715659124880514	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRA6	6	6	4.074562455853049	1.83305060937116	2.241511846481889	1.1434831158399406	2.14561842541794	0.059608543251897	0.0836877400399683	0.0110333138559271	0.75	2.9538065326121044	False	0.4220719846809192	False	False	False	False	LILRA_activating_paralog	False	False	3.823198311319704	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRA6	9	13	3.3921502517394364	3.0602371155761667	0.3319131361632697	0.1305810744167961	0.3259503965429269	0.7479468740877455	0.0328012375631423	0.0493593509267086	0.6818181818181818	3.1960197621884134	False	0.9915400551322072	False	False	False	False	LILRA_activating_paralog	False	False	2.381846980674716	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRB1	6	6	6.829140973195521	5.560620267221739	1.2685207059737822	1.825586815180692	3.425509877314214	0.0067444519845198	0.2012495964160337	0.1134631416842177	1.0	6.19488062020863	False	0.2022841929409326	True	False	False	False	LILRB_inhibitory	True	False	2.715659124880514	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRB1	6	6	6.962638116465481	5.560620267221739	1.4020178492437418	1.320612387358557	2.477981731344005	0.0419686865676578	0.2873585481853475	0.1134631416842177	1.0	6.26162919184361	False	0.37381622655574	True	False	False	False	LILRB_inhibitory	True	False	3.823198311319704	False
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	LILRB1	6	6	0.0	0.5991477398999469	-0.5991477398999469	-0.9498831393749148	-1.7823496802045804	0.1347864097015235	0.0	0.0024277361858687	0.25	0.2995738699499734	False	0.6774855549138535	False	False	False	False	LILRB_inhibitory	False	False		False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRB1	9	13	6.451922519190027	6.944404751632603	-0.4924822324425761	-0.6590343123493783	-1.567939906349744	0.1354284611868713	0.1459580568164128	0.2251076146457133	1.0	6.742934747451548	False	0.941417255008202	False	False	False	False	LILRB_inhibitory	False	False	2.381846980674716	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	LILRB1	6	6	0.1989640036988194	0.0459938184801101	0.1529701852187092	0.8128598648452403	1.5252408007909872	0.1682672507016208	0.0006474382797007	0.0001559089491736	0.3333333333333333	0.1224789110894647	False	0.4563885683439105	False	False	False	False	LILRB_inhibitory	False	False	-0.4279118031637837	False
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	LILRB1	6	6	0.0977613108385906	0.5991477398999469	-0.5013864290613562	-0.7632707920932889	-1.4321924411588272	0.2033672489808321	0.0007575757575757	0.0024277361858687	0.3333333333333333	0.3484545253692687	False	0.6034493393566966	False	False	False	False	LILRB_inhibitory	False	False		False
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	LILRB1	5	18	0.169362503021662	0.1169761942648777	0.0523863087567842	0.24624900737074	0.6095998908828234	0.5575007914016499	0.0004872196514606	0.0003119413007025	0.3478260869565217	0.128364522255483	False	0.8016805236300305	False	False	False	False	LILRB_inhibitory	False	False	-0.0416981691775082	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	LILRB1	5	19	0.4039378026481994	0.2313619124846608	0.1725758901635386	0.3005021358389619	0.4961158322351156	0.6406524625757317	0.0008493801675106	0.0007514592773875	0.2916666666666667	0.267315222935398	False	0.835369902488412	False	False	False	False	LILRB_inhibitory	False	False	0.4987612590670312	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	LILRB1	11	14	0.3689417328420012	0.4729177425352535	-0.1039760096932523	-0.1564002688779782	-0.4227456458020077	0.676534278773752	0.0006292977509559	0.0003851562832488	0.44	0.4271682982702225	False	0.89495061941604	False	False	False	False	LILRB_inhibitory	False	False	-0.0370929030898445	False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	LILRB1	3	19	0.1839316541712343	0.1277014533761586	0.0562302007950756	0.1919022373707075	0.2888955472980976	0.7948802570791519	0.0016750418760469	0.0008462513643234	0.2727272727272727	0.1353692080300326	False	0.9458073311632316	False	False	False	False	LILRB_inhibitory	False	False	-0.0803546345289081	False
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	LILRB1	5	17	0.5571818050827753	0.6062517747933429	-0.0490699697105676	-0.034197435500601	-0.075028666934675	0.942198306754406	0.0008547008547008	0.0141730193044335	0.2272727272727272	0.5950995089500322	False	0.980977712361197	False	False	False	False	LILRB_inhibitory	False	False		False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRB2	6	6	7.30325092831773	5.920323025421182	1.382927902896547	2.881476370665624	5.406768764368867	0.0003013440684522	0.2355110209560414	0.125107976532936	1.0	6.611786976869457	False	0.0707039508712539	True	False	True	False	LILRB_inhibitory	True	False	2.715659124880514	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRB2	6	6	7.488220536989125	5.920323025421182	1.567897511567943	1.6901810755799958	3.1714361216372957	0.0175851930614945	0.3203109640381394	0.125107976532936	1.0	6.704271781205154	False	0.2816104529007825	True	False	False	False	LILRB_inhibitory	True	False	3.823198311319704	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	LILRB2	6	6	0.3477216762266729	0.254902632552115	0.0928190436745578	0.141342407664355	0.2652132506170069	0.7962517435088688	0.0007398936811924	0.0006510416666666	0.25	0.3013121543893939	False	0.90442955019113	False	False	False	False	LILRB_inhibitory	False	False	-0.4279118031637837	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRB2	9	13	6.883755386211375	6.842383155836099	0.0413722303752761	0.0606945982411	0.1510691959061826	0.881487463949625	0.1701936104650693	0.2068039106232403	1.0	6.85930815917144	False	0.9971430440168678	False	False	False	False	LILRB_inhibitory	False	False	2.381846980674716	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRB3	6	6	6.485089541201419	4.797990902966334	1.687098638235085	1.9323157738678305	3.625774854656344	0.0067757516671768	0.2602680514536127	0.0883192068628961	1.0	5.641540222083877	False	0.2006216494656879	True	False	False	False	LILRB_inhibitory	True	False	3.823198311319704	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRB3	6	6	6.263536012742869	4.797990902966334	1.465545109776535	1.5950831375801482	2.992995456300627	0.0153979196294819	0.1822445496384202	0.0883192068628961	1.0	5.530763457854602	False	0.2634292045097159	True	False	False	False	LILRB_inhibitory	True	False	2.715659124880514	False
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	LILRB3	10	14	2.0886796727312547	1.2699905028183334	0.8186891699129213	0.697861478142864	1.882597911350853	0.073203445051787	0.0069659170109221	0.0034780600143814	0.75	1.6111109902820508	False	0.8414957034907469	False	False	False	False	LILRB_inhibitory	False	False	-0.4051947742375956	False
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	LILRB3	6	6	0.7991114690532372	1.8364869883613817	-1.0373755193081444	-1.0189072098975034	-1.9118656437191155	0.0850836577494691	0.0052678460085867	0.0150809594444755	0.6666666666666666	1.3177992287073093	False	0.4525286481756587	False	False	False	False	LILRB_inhibitory	False	False		False
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	LILRB3	5	18	1.2771435289238813	0.6657617340448261	0.6113817948790552	0.7231416084641713	1.4408581012744948	0.1983652663576987	0.0079002370447184	0.0059556801920078	0.6956521739130435	0.798670819888099	False	0.632248224807186	False	False	False	False	LILRB_inhibitory	False	False	-0.0416981691775082	False
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	LILRB3	4	17	1.5252939667634144	0.7510080987588659	0.7742858680045486	0.52602494282603	1.2745849202693185	0.2447480809611852	0.009093964367869	0.0088357198450877	0.3809523809523809	0.8984911212359228	False	0.6924560334050875	False	False	False	False	LILRB_inhibitory	False	False		False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	LILRB3	6	6	1.6438033992095635	1.355531786752777	0.2882716124567865	0.4888090736489624	0.9171956633240704	0.3816423618457019	0.0080195461762278	0.0055920076619632	1.0	1.4996675929811702	False	0.6475191401966309	False	False	False	False	LILRB_inhibitory	False	False	-0.4279118031637837	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	LILRB3	11	14	0.6005442903631383	0.8545659134245437	-0.2540216230614054	-0.3319124257293754	-0.8879343116631628	0.383842720625876	0.0019381943162415	0.0036440821761603	0.72	0.7427963992775253	False	0.8441184433525579	False	False	False	False	LILRB_inhibitory	False	False	-0.0370929030898445	False
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	LILRB3	5	17	1.2583933774063372	0.5092809135624187	0.7491124638439185	0.60625903015283	0.9240240109900568	0.399272498258369	0.0046344959388437	0.0040586447344895	0.2727272727272727	0.6795337462542183	False	0.7345730941431025	False	False	False	False	LILRB_inhibitory	False	False		False
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	LILRB3	6	6	1.633370402042868	1.8364869883613817	-0.2031165863185138	-0.1633357628788445	-0.3064813266657797	0.7663970819998416	0.019519446835444	0.0150809594444755	0.8333333333333334	1.734928695202125	False	0.9271129532688084	False	False	False	False	LILRB_inhibitory	False	False		False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	LILRB3	6	6	1.5372915405406495	1.355531786752777	0.1817597537878725	0.1623318378494932	0.3045975734114677	0.7695847067684104	0.0075366313322595	0.0055920076619632	0.8333333333333334	1.4464116636467133	False	0.9103186047884242	False	False	False	False	LILRB_inhibitory	False	False	-0.4904545590832134	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	LILRB3	5	19	1.2255078484370825	1.1533991912908874	0.0721086571461948	0.0638415611596089	0.1271860545280755	0.9029268799415618	0.0107714258092504	0.0106913385696044	0.7083333333333334	1.1684218281963443	False	0.9597733931438596	False	False	False	False	LILRB_inhibitory	False	False	0.4987612590670312	False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	LILRB3	3	19	1.746445324905834	1.622972043267683	0.1234732816381509	0.0758100069241331	0.1048994394343917	0.9245832401375382	0.0185584229334879	0.0188277314486504	0.8181818181818182	1.6398093089456125	False	0.9784617458444588	False	False	False	False	LILRB_inhibitory	False	False	-0.0803546345289081	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRB3	9	13	5.919234288474523	5.941826073568676	-0.0225917850941534	-0.0248327099266839	-0.0659816483310044	0.9480738602000096	0.0831776716975382	0.1401777585921723	1.0	5.932583979666523	False	0.9990053045348096	False	False	False	False	LILRB_inhibitory	False	False	2.381846980674716	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	LILRB4	5	19	0.3805041873126141	0.0520079105884558	0.3284962767241583	1.355992693624856	2.547072727058642	0.0459972007873847	0.001337375820222	0.0001396063102052	0.2083333333333333	0.1204446349059888	False	0.4707506789833656	True	False	False	False	LILRB_inhibitory	False	False	0.4987612590670312	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRB4	6	6	6.581103255588972	5.672785086496739	0.9083181690922332	1.0863236365157265	2.038365042900575	0.0689152617161272	0.2426712801738703	0.1209693327169055	1.0	6.126944171042855	False	0.4465264133595487	False	False	False	False	LILRB_inhibitory	False	False	3.823198311319704	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRB4	6	6	6.440897563674731	5.672785086496739	0.7681124771779926	1.0547376579592014	1.9790974799283363	0.0803213467162341	0.1788154281985372	0.1209693327169055	1.0	6.056841325085735	False	0.4565153077291944	False	False	False	False	LILRB_inhibitory	False	False	2.715659124880514	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	LILRB4	11	14	0.2938312840203319	0.0504128915061445	0.2434183925141873	0.8128557470338149	1.8873441152705788	0.0839264432215272	0.0004607457732063	0.0001032838524203	0.4	0.157516984212387	False	0.8441184433525579	False	False	False	False	LILRB_inhibitory	False	False	-0.0370929030898445	False
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	LILRB4	5	18	0.25286436780039	0.1016110162304581	0.1512533515699318	0.7955639650527245	1.80300479988866	0.1117606927833112	0.0011571968351608	0.0003375387436294	0.391304347826087	0.1344921796152259	False	0.6051434810002234	False	False	False	False	LILRB_inhibitory	False	False	-0.0416981691775082	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRB4	9	13	7.74966723944812	7.951282433839109	-0.2016151943909898	-0.4625558099168728	-1.1524311593579435	0.2631785889242047	0.264326294527993	0.3668029661649974	1.0	7.868803490679161	False	0.958344072074493	False	False	False	False	LILRB_inhibitory	False	False	2.381846980674716	False
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	LILRB4	6	6	0.0	0.5079169270298144	-0.5079169270298144	-0.532938710021193	-1.0	0.3632174676491227	0.0	0.0071428571428571	0.0833333333333333	0.2539584635149072	False	0.7276869296333056	False	False	False	False	LILRB_inhibitory	False	False		False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	LILRB4	3	19	0.941183127207744	0.1382724133606811	0.8029107138470629	1.3456493197178063	0.8512972879922938	0.4836240391156627	0.0083752093802345	0.0009165979298536	0.2727272727272727	0.2477602379761897	False	0.8795206354525478	False	False	False	False	LILRB_inhibitory	False	False	-0.0803546345289081	False
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	LILRB4	10	14	0.262757698533124	0.4029359989056242	-0.1401783003725001	-0.1857507549772902	-0.503720968620832	0.6195656060279366	0.0006273725403342	0.0004873348056762	0.25	0.3445283737504158	False	0.9467591798224536	False	False	False	False	LILRB_inhibitory	False	False	-0.4051947742375956	False
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	LILRB4	6	6	0.3512710047730835	0.5079169270298144	-0.1566459222567308	-0.1351831528216034	-0.253656096432229	0.8055284988839396	0.0027472527472527	0.0071428571428571	0.1666666666666666	0.429593965901449	False	0.9399911685941694	False	False	False	False	LILRB_inhibitory	False	False		False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRB5	6	6	3.7462511975161945	6.983420406095111	-3.2371692085789165	-1.551855854452168	-2.9118842847622317	0.0169885057443839	0.0394182642142999	0.2095404562849951	0.9166666666666666	5.364835801805653	False	0.2764327537810835	False	True	False	False	LILRB_inhibitory	False	True	3.823198311319704	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRB5	6	6	4.388728926271725	6.983420406095111	-2.5946914798233864	-1.1300688322488093	-2.120448019630382	0.0649528693366582	0.0612168336382554	0.2095404562849951	0.9166666666666666	5.686074666183418	False	0.4259884100652913	False	False	False	False	LILRB_inhibitory	False	False	2.715659124880514	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	LILRB5	6	6	0.2044054316960557	0.1050926810152575	0.0993127506807982	0.3584955670359667	0.6726769144273845	0.5163975368537819	0.0009493534769835	0.0001994813484939	0.3333333333333333	0.1547490563556566	False	0.7472515565686297	False	False	False	False	LILRB_inhibitory	False	False	-0.4279118031637837	False
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	LILRB5	4	17	0.5676850406596439	0.186998165329666	0.3806868753299778	0.4355228805826744	0.636929163359642	0.5616381214823918	0.0014970059880239	0.0030959752321981	0.0952380952380952	0.2595099511068047	False	0.8499722141521202	False	False	False	False	LILRB_inhibitory	False	False		False
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	LILRB5	5	18	0.0817570651211974	0.1251999432936953	-0.0434428781724979	-0.1757141442335488	-0.4730333775479389	0.6456877388027987	0.0001888415806022	0.0002475632427646	0.2608695652173913	0.1157558393431523	False	0.848254713621497	False	False	False	False	LILRB_inhibitory	False	False	-0.0416981691775082	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRB5	9	13	5.95909621891737	6.185176821093093	-0.2260806021757231	-0.0980804116755115	-0.2275719724837304	0.8229885756582501	0.1144273283642407	0.147013956718826	0.9090909090909092	6.092689302021207	False	0.9950515392526736	False	False	False	False	LILRB_inhibitory	False	False	2.381846980674716	False
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	SIGLEC10	3	19	0.0	0.2580292810238161	-0.2580292810238161	-0.7078948834213847	-3.0428484835674148	0.0070007835281223	0.0	0.0019570091754139	0.3181818181818182	0.2228434699751139	False	0.2368293228537662	False	True	False	False	adjacent_inhibitory	False	False	-0.0803546345289081	False
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	SIGLEC10	3	3	4.5464678707305195	2.7314483868165347	1.8150194839139848	1.354539681292273	2.073706909698886	0.1486822662653084	0.0992811890838206	0.0405202312138728	1.0	3.638958128773527	False	0.7297013371935511	False	False	False	False	adjacent_inhibitory	False	False		False
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	SIGLEC10	3	3	0.1845416451365572	0.1310888059636274	0.0534528391729298	1.1685435751657824	1.7889596883523549	0.158121870520237	0.0020617914287659	0.0010421651406216	1.0	0.1578152255500923	False	0.5197468884415193	False	False	False	False	adjacent_inhibitory	False	False		False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	SIGLEC10	6	6	0.0363906996190057	0.1586667128585155	-0.1222760132395097	-0.7898229992295767	-1.4820146939563994	0.1802638520445164	7.978299026647519e-05	0.0004546821690204	0.3333333333333333	0.0975287062387606	False	0.4702571194043928	False	False	False	False	adjacent_inhibitory	False	False	-0.4279118031637837	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	SIGLEC10	11	14	0.4077022764711618	0.0804957063539222	0.3272065701172395	0.439857832699793	1.005427431082362	0.3369158103142737	0.0005682242756681	0.0002561053554706	0.2	0.2244665972055076	False	0.8441184433525579	False	False	False	False	adjacent_inhibitory	False	False	-0.0370929030898445	False
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	SIGLEC10	5	19	0.4221588747292942	0.1943503899084312	0.2278084848208629	0.2961301237285298	0.8943202532558654	0.3865613003597134	0.0020825257955557	0.0011737466267692	0.25	0.2418104909127777	False	0.6926680575104728	False	False	False	False	adjacent_inhibitory	False	False	0.4987612590670312	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	SIGLEC10	9	13	6.174960005889371	6.473320550157999	-0.2983605442686281	-0.2988656983607327	-0.7611344362665764	0.455486695275886	0.1075599035031852	0.1896870332325973	1.0	6.351263963866288	False	0.9715241121707002	False	False	False	False	adjacent_inhibitory	False	False	2.381846980674716	False
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	SIGLEC10	6	6	6.166951234674257	5.833543327322251	0.3334079073520062	0.3679516863975692	0.6904202668688433	0.5102287297233553	0.1927916901702465	0.1351660983972877	1.0	6.000247280998253	False	0.8004477042430369	False	False	False	False	adjacent_inhibitory	False	False	3.823198311319704	False
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	SIGLEC10	3	3	0.3713492767626307	0.4565548303341838	-0.0852055535715531	-0.2517536592657365	-0.3854175037997204	0.7262612088328553	0.0034183690853274	0.0033699510063131	1.0	0.4139520535484073	False	0.915541817220492	False	False	False	False	adjacent_inhibitory	False	False		False
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	SIGLEC10	10	14	0.5191930794539354	0.4161687536590812	0.1030243257948542	0.1222039324168872	0.3082653468249907	0.7610505651749757	0.0007662317091846	0.0009986320109439	0.2916666666666667	0.4590955560736038	False	0.966639677801808	False	False	False	False	adjacent_inhibitory	False	False	-0.4051947742375956	False
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	SIGLEC10	6	6	0.1165445464111654	0.1586667128585155	-0.04212216644735	-0.1625779743670271	-0.3050594211115983	0.7676824358187532	0.0009009009009009	0.0004546821690204	0.3333333333333333	0.1376056296348405	False	0.9097998230617892	False	False	False	False	adjacent_inhibitory	False	False	-0.4904545590832134	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	SIGLEC10	6	6	5.882310454579152	5.833543327322251	0.0487671272569008	0.0764175666032998	0.1433890336100017	0.8888534854243748	0.1502547264783174	0.1351660983972877	1.0	5.857926890950701	False	0.9769895668661102	False	False	False	False	adjacent_inhibitory	False	False	2.715659124880514	False
