analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	contrast_call
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	INPP5D	5	19	1.1253004943662035	0.4081476419061543	0.7171528524600495	0.8034695510742403	1.4133166009322962	0.2133455148213589	0.0053356584783346	0.0012852660875587	0.375	0.5575544861686647	False	0.5918788569014183	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	INPP5D	6	6	5.475375703412875	6.1021280294369475	-0.6267523260240724	-0.6710580840963027	-1.2591655878583436	0.2547489373633418	0.1611197498694364	0.1756988001061625	1.0	5.78875186642491	False	0.6429841931442715	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	INPP5D	3	3	3.190748200489757	2.549167743931724	0.641580456558033	0.810535110638615	1.2408733997968224	0.2884316743626743	0.0876061724563639	0.0485466144035281	1.0	2.86995797221074	False	0.6164615109311467	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	INPP5D	11	14	6.052036077842044	6.412611885909418	-0.3605758080673737	-0.4226755777088337	-1.0473101862227303	0.3087639578140736	0.1083072818668688	0.1856214669982953	1.0	6.253958530359772	False	0.8441184433525579	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	INPP5D	3	3	6.887073227398872	6.30464587526546	0.5824273521334122	0.7320086864150782	1.120654855626201	0.3743650764440157	0.4482699805068226	0.3736647398843931	1.0	6.595859551332166	False	0.7799455873463177	False	False	False	False	null_or_weak
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	INPP5D	6	6	2.3946857911735284	1.7520802354806235	0.6426055556929047	0.4256007116576185	0.7985922276891726	0.4469395918657818	0.0425919223051797	0.0139204997886273	0.8333333333333334	2.073383013327076	False	0.8182681241624252	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	INPP5D	6	6	2.7959726404269403	2.3956088442115653	0.400363796215375	0.35414933941402	0.6645217034430408	0.5236454141653661	0.0158997642019713	0.0117392426677606	1.0	2.5957907423192528	False	0.7850655720918219	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	INPP5D	9	13	6.879653080636641	6.5566928117961245	0.3229602688405162	0.2227914684748489	0.6327874047023035	0.5370676307951909	0.17324069593557	0.2579469177946498	1.0	6.688812921776336	False	0.9715241121707002	False	False	False	False	null_or_weak
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	INPP5D	5	17	3.131565529034245	2.6402858092028634	0.4912797198313816	0.2799015323160642	0.521757937324838	0.621079973617731	0.0462388205620363	0.0297713708172704	0.7727272727272727	2.751940290982722	False	0.8556851226545076	False	False	False	False	null_or_weak
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	INPP5D	6	6	1.443284009494125	1.7520802354806235	-0.3087962259864987	-0.2594055628395475	-0.4867455824877721	0.6371195381125282	0.0168412907543342	0.0139204997886273	0.75	1.5976821224873743	False	0.8765437339120887	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	INPP5D	3	19	0.649505939822451	0.4086134570749676	0.2408924827474833	0.3222123966508713	0.3612316793004289	0.7494237412139528	0.0041152263374485	0.0025223068017194	0.4545454545454545	0.441462431995079	False	0.9302703345958674	False	False	False	False	null_or_weak
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	INPP5D	5	18	0.2300460892309463	0.2474532019679911	-0.0174071127370447	-0.0380580525128667	-0.1139802107903189	0.9108339528045668	0.0008767494186433	0.0009717640036805	0.4347826086956521	0.2436690470251553	False	0.967291881679986	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LAIR1	6	6	6.1143989025802155	6.997842911258882	-0.8834440086786666	-1.9506405534538347	-3.6601592580435094	0.0046514946993377	0.1667723961115448	0.2584576676769234	1.0	6.556120906919548	False	0.173821630796644	False	True	False	False	negative_nominal
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	LAIR1	6	6	0.0652652898577995	0.868635095795787	-0.8033698059379875	-1.893940005558486	-3.553767009124128	0.0123538999491857	0.0004504504504504	0.0030140323025867	0.5	0.4669501928267932	False	0.2005203409064477	False	True	False	False	negative_nominal
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	LAIR1	5	19	1.7566345760004372	0.6294429595352727	1.1271916164651643	1.3423276625685578	2.870263606865083	0.0255629027046326	0.0137718796281483	0.0046912907477902	0.5833333333333334	0.8642745462988487	False	0.4268901124089078	True	False	False	False	positive_nominal
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	LAIR1	5	17	1.9603966665885273	0.1345155651231344	1.8258811014653928	2.391222972374651	3.270857542103227	0.0258461220384748	0.0106505048260585	0.0004171881518564	0.2272727272727272	0.5494885427289056	False	0.3573145867906226	True	False	False	False	positive_nominal
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	LAIR1	4	17	1.1587825016529891	0.5509444534835526	0.6078380481694365	0.5184449363710311	1.7599748925189451	0.0960217381875409	0.00764400344483	0.0118723208543083	0.3809523809523809	0.6667231293253499	False	0.5441466347182178	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	LAIR1	3	19	1.7835299996716405	0.5968661011044454	1.1866638985671951	1.4323901676603257	2.0225655329471888	0.157748311405417	0.0133353871329766	0.0048006033955438	0.5909090909090909	0.7586839054545176	False	0.7796068076599874	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	LAIR1	10	14	1.2411756518144164	0.7103092294556684	0.5308664223587479	0.4978840240319581	1.2833632218519428	0.213141894426655	0.0033056069973041	0.0021268021653994	0.5	0.9315035721051468	False	0.8669837867647283	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LAIR1	6	6	6.6124964920909335	6.997842911258882	-0.3853464191679485	-0.5698103375867247	-1.0691854933263627	0.3198963413783257	0.2545192240639954	0.2584576676769234	1.0	6.805169701674909	False	0.6937608979343768	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LAIR1	9	13	7.783185268362532	7.956476953299829	-0.1732916849372969	-0.3571027862319909	-0.9219809121700008	0.3675338088476455	0.27325470898416	0.3981678671006272	1.0	7.885584900370935	False	0.9621803366179228	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	LAIR1	11	14	0.8399089848969816	0.631681449449435	0.2082275354475465	0.2328362740259395	0.5912186756702708	0.5607881337499186	0.0010825755376038	0.0022690300197088	0.64	0.7233015650463556	False	0.8621515520990526	False	False	False	False	null_or_weak
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	LAIR1	6	6	1.4986636362546804	1.1349195093843951	0.3637441268702852	0.3000858277241841	0.5630775586037854	0.587279395966222	0.0159354737309229	0.0080244828024015	0.6666666666666666	1.3167915728195378	False	0.8693264800681313	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	LAIR1	6	6	0.6913229962895175	0.868635095795787	-0.1773120995062694	-0.2950035160189603	-0.5535411680026566	0.5921432215201095	0.002760727080071	0.0030140323025867	0.75	0.7799790460426522	False	0.7934306902404229	False	False	False	False	null_or_weak
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	LAIR1	6	6	1.401350443113324	1.1349195093843951	0.2664309337289288	0.2738934708280923	0.51393052461361	0.618465604036536	0.0100784511009953	0.0080244828024015	0.75	1.2681349762488596	False	0.8683625686859279	False	False	False	False	null_or_weak
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	LAIR1	5	18	0.4304499452640105	0.4517584484127133	-0.0213085031487028	-0.049004315049695	-0.1264121266319956	0.9019984923125232	0.0017862157499119	0.0014684832831448	0.6521739130434783	0.447126165119517	False	0.9642171601882328	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRB1	6	6	6.829140973195521	5.560620267221739	1.2685207059737822	1.825586815180692	3.425509877314214	0.0067444519845198	0.2012495964160337	0.1134631416842177	1.0	6.19488062020863	False	0.2022841929409326	True	False	False	False	positive_nominal
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRB1	6	6	6.962638116465481	5.560620267221739	1.4020178492437418	1.320612387358557	2.477981731344005	0.0419686865676578	0.2873585481853475	0.1134631416842177	1.0	6.26162919184361	False	0.37381622655574	True	False	False	False	positive_nominal
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	LILRB1	6	6	0.0	0.5991477398999469	-0.5991477398999469	-0.9498831393749148	-1.7823496802045804	0.1347864097015235	0.0	0.0024277361858687	0.25	0.2995738699499734	False	0.6774855549138535	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRB1	9	13	6.451922519190027	6.944404751632603	-0.4924822324425761	-0.6590343123493783	-1.567939906349744	0.1354284611868713	0.1459580568164128	0.2251076146457133	1.0	6.742934747451548	False	0.941417255008202	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	LILRB1	6	6	0.1989640036988194	0.0459938184801101	0.1529701852187092	0.8128598648452403	1.5252408007909872	0.1682672507016208	0.0006474382797007	0.0001559089491736	0.3333333333333333	0.1224789110894647	False	0.4563885683439105	False	False	False	False	null_or_weak
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	LILRB1	6	6	0.0977613108385906	0.5991477398999469	-0.5013864290613562	-0.7632707920932889	-1.4321924411588272	0.2033672489808321	0.0007575757575757	0.0024277361858687	0.3333333333333333	0.3484545253692687	False	0.6034493393566966	False	False	False	False	null_or_weak
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	LILRB1	5	18	0.169362503021662	0.1169761942648777	0.0523863087567842	0.24624900737074	0.6095998908828234	0.5575007914016499	0.0004872196514606	0.0003119413007025	0.3478260869565217	0.128364522255483	False	0.8016805236300305	False	False	False	False	null_or_weak
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	LILRB1	5	19	0.4039378026481994	0.2313619124846608	0.1725758901635386	0.3005021358389619	0.4961158322351156	0.6406524625757317	0.0008493801675106	0.0007514592773875	0.2916666666666667	0.267315222935398	False	0.835369902488412	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	LILRB1	11	14	0.3689417328420012	0.4729177425352535	-0.1039760096932523	-0.1564002688779782	-0.4227456458020077	0.676534278773752	0.0006292977509559	0.0003851562832488	0.44	0.4271682982702225	False	0.89495061941604	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	LILRB1	3	19	0.1839316541712343	0.1277014533761586	0.0562302007950756	0.1919022373707075	0.2888955472980976	0.7948802570791519	0.0016750418760469	0.0008462513643234	0.2727272727272727	0.1353692080300326	False	0.9458073311632316	False	False	False	False	null_or_weak
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	LILRB1	5	17	0.5571818050827753	0.6062517747933429	-0.0490699697105676	-0.034197435500601	-0.075028666934675	0.942198306754406	0.0008547008547008	0.0141730193044335	0.2272727272727272	0.5950995089500322	False	0.980977712361197	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRB2	6	6	7.30325092831773	5.920323025421182	1.382927902896547	2.881476370665624	5.406768764368867	0.0003013440684522	0.2355110209560414	0.125107976532936	1.0	6.611786976869457	False	0.0707039508712539	True	False	True	False	positive_fdr10
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRB2	6	6	7.488220536989125	5.920323025421182	1.567897511567943	1.6901810755799958	3.1714361216372957	0.0175851930614945	0.3203109640381394	0.125107976532936	1.0	6.704271781205154	False	0.2816104529007825	True	False	False	False	positive_nominal
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	LILRB2	6	6	0.3477216762266729	0.254902632552115	0.0928190436745578	0.141342407664355	0.2652132506170069	0.7962517435088688	0.0007398936811924	0.0006510416666666	0.25	0.3013121543893939	False	0.90442955019113	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRB2	9	13	6.883755386211375	6.842383155836099	0.0413722303752761	0.0606945982411	0.1510691959061826	0.881487463949625	0.1701936104650693	0.2068039106232403	1.0	6.85930815917144	False	0.9971430440168678	False	False	False	False	null_or_weak
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	LILRB4	5	19	0.3805041873126141	0.0520079105884558	0.3284962767241583	1.355992693624856	2.547072727058642	0.0459972007873847	0.001337375820222	0.0001396063102052	0.2083333333333333	0.1204446349059888	False	0.4707506789833656	True	False	False	False	positive_nominal
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	LILRB4	6	6	6.581103255588972	5.672785086496739	0.9083181690922332	1.0863236365157265	2.038365042900575	0.0689152617161272	0.2426712801738703	0.1209693327169055	1.0	6.126944171042855	False	0.4465264133595487	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	LILRB4	6	6	6.440897563674731	5.672785086496739	0.7681124771779926	1.0547376579592014	1.9790974799283363	0.0803213467162341	0.1788154281985372	0.1209693327169055	1.0	6.056841325085735	False	0.4565153077291944	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	LILRB4	11	14	0.2938312840203319	0.0504128915061445	0.2434183925141873	0.8128557470338149	1.8873441152705788	0.0839264432215272	0.0004607457732063	0.0001032838524203	0.4	0.157516984212387	False	0.8441184433525579	False	False	False	False	null_or_weak
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	LILRB4	5	18	0.25286436780039	0.1016110162304581	0.1512533515699318	0.7955639650527245	1.80300479988866	0.1117606927833112	0.0011571968351608	0.0003375387436294	0.391304347826087	0.1344921796152259	False	0.6051434810002234	False	False	False	False	null_or_weak
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	LILRB4	9	13	7.74966723944812	7.951282433839109	-0.2016151943909898	-0.4625558099168728	-1.1524311593579435	0.2631785889242047	0.264326294527993	0.3668029661649974	1.0	7.868803490679161	False	0.958344072074493	False	False	False	False	null_or_weak
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	LILRB4	6	6	0.0	0.5079169270298144	-0.5079169270298144	-0.532938710021193	-1.0	0.3632174676491227	0.0	0.0071428571428571	0.0833333333333333	0.2539584635149072	False	0.7276869296333056	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	LILRB4	3	19	0.941183127207744	0.1382724133606811	0.8029107138470629	1.3456493197178063	0.8512972879922938	0.4836240391156627	0.0083752093802345	0.0009165979298536	0.2727272727272727	0.2477602379761897	False	0.8795206354525478	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	LILRB4	10	14	0.262757698533124	0.4029359989056242	-0.1401783003725001	-0.1857507549772902	-0.503720968620832	0.6195656060279366	0.0006273725403342	0.0004873348056762	0.25	0.3445283737504158	False	0.9467591798224536	False	False	False	False	null_or_weak
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	LILRB4	6	6	0.3512710047730835	0.5079169270298144	-0.1566459222567308	-0.1351831528216034	-0.253656096432229	0.8055284988839396	0.0027472527472527	0.0071428571428571	0.1666666666666666	0.429593965901449	False	0.9399911685941694	False	False	False	False	null_or_weak
ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	tissue_resident	MERTK	6	6	0.0652652898577995	1.4373167943333254	-1.3720515044755257	-2.590278319981793	-4.860368127282004	0.0034729174649706	0.0004504504504504	0.0056782603357839	0.5833333333333334	0.7512910420955624	True	0.1248818933119705	False	True	False	False	negative_nominal
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	MERTK	9	13	5.949490279945181	6.778154816890843	-0.828664536945662	-1.0445869080014891	-2.42212966985408	0.0283020470688857	0.0921078494630208	0.2006091729593536	1.0	6.439155688140343	True	0.941417255008202	False	True	False	False	negative_nominal
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	MERTK	6	6	1.0455880575355745	1.7294314954513863	-0.6838434379158123	-0.7590234192747622	-1.4242227201784208	0.1942822728256572	0.0084797247840726	0.012755481856254	0.8333333333333334	1.3875097764934805	True	0.595529060094765	False	False	False	False	null_or_weak
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	MERTK	6	6	4.078104719817899	4.807369456348151	-0.7292647365302516	-0.6350866809783421	-1.1916692652201732	0.2639926013360923	0.0482733021178426	0.0798406277289772	1.0	4.442737088083025	True	0.649570527512892	False	False	False	False	null_or_weak
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	MERTK	6	6	0.9474711839496396	1.4373167943333254	-0.4898456103836858	-0.591666916796576	-1.110196924470072	0.2941741722796362	0.0046346254945132	0.0056782603357839	0.9166666666666666	1.1923939891414823	True	0.5817172398755196	False	False	False	False	null_or_weak
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	MERTK	3	3	5.054527782096582	5.798668715490945	-0.7441409333943625	-0.90761489947944	-1.3894958666700457	0.297221531492066	0.207248274450067	0.2315398690359831	1.0	5.426598248793764	True	0.7235702472389002	False	False	False	False	null_or_weak
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	MERTK	5	18	2.293140676738962	2.5784931474552866	-0.2853524707163246	-0.3553650771692621	-0.9567558808260808	0.3597940085385594	0.0192080733212532	0.025077491284822	1.0	2.5164600016473897	True	0.6990128317573617	False	False	False	False	null_or_weak
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	MERTK	5	19	1.8624283391697347	2.310072767711741	-0.4476444285420065	-0.3321295263893934	-0.7815221020925258	0.4579625208449114	0.0185707826575488	0.0327905032596586	0.8333333333333334	2.21681351176549	True	0.7385105472601141	False	False	False	False	null_or_weak
ibd_crohn_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon stromal	tissue_resident	MERTK	6	6	2.0901958075669107	1.7294314954513863	0.3607643121155242	0.2909605677399667	0.5459550268517673	0.6039662543044861	0.0306888130315109	0.012755481856254	0.9166666666666666	1.909813651509148	True	0.8734677616259761	False	False	False	False	null_or_weak
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	MERTK	5	17	3.296653678986862	2.95226044719487	0.344393231791992	0.1595868414602811	0.5069644442696004	0.6183785588558747	0.0337681392234304	0.0422754753733407	0.7727272727272727	3.030531636238504	True	0.8542775958712652	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	MERTK	10	14	3.3217228211729912	3.512678473189458	-0.1909556520164668	-0.1775502283982405	-0.4855395713459877	0.6322830502340101	0.0187150809639217	0.0220375850502203	0.9583333333333334	3.4331136181825967	True	0.9502917439563704	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	MERTK	3	3	1.9445359159971825	2.198559278090571	-0.2540233620933887	-0.2807635424360458	-0.4298296358403523	0.6913357390329666	0.037507555146663	0.0344601819280655	1.0	2.0715475970438764	True	0.8584031108829769	False	False	False	False	null_or_weak
t1d_beta_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	MERTK	3	19	0.595346124211252	0.4054215506703476	0.1899245735409044	0.3056033682202463	0.3126049844221667	0.7821075468400398	0.0050251256281407	0.0032346940764897	0.5	0.4313203561531982	True	0.9401248872765676	False	False	False	False	null_or_weak
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	MERTK	6	6	4.639291105308214	4.807369456348151	-0.168078351039937	-0.1466043043931025	-0.2750866124685757	0.7895026998637643	0.0663509732407493	0.0798406277289772	1.0	4.723330280828182	True	0.9300769372783356	False	False	False	False	null_or_weak
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	MERTK	4	17	2.539630808801647	2.601277934924689	-0.061647126123042	-0.0361522079269187	-0.1242748959992598	0.9024861841860786	0.0298306437963836	0.0511057645224664	0.8095238095238095	2.5895356251869663	True	0.9730176270519564	False	False	False	False	null_or_weak
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	MERTK	3	3	4.809523196804548	4.841989401192741	-0.0324662043881929	-0.0241189559101065	-0.0369244594427785	0.9735563945544484	0.1462475633528265	0.1213487475915221	1.0	4.825756298998645	True	0.9920028305252532	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	MERTK	11	14	1.5333992302840114	1.5462179495440096	-0.0128187192599982	-0.0125906245435837	-0.0314732055902161	0.9752198707670336	0.0058566916767276	0.0084554904020283	0.88	1.5405777130696103	True	0.9937539227105894	False	False	False	False	null_or_weak
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	PIK3CD	5	18	2.1194281535764157	3.015283282952169	-0.8958551293757533	-1.5717101144537011	-3.2314965706423155	0.0162230368343301	0.0129604196810051	0.0324185907854644	1.0	2.820532167870484	False	0.4622045924950984	False	True	False	False	negative_nominal
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	PIK3CD	5	17	2.317688483296238	0.779533346757874	1.538155136538364	1.0089664793698991	2.2412157452136334	0.0575300022381582	0.0171948282694796	0.0057717171910616	0.3636363636363636	1.1291140596075022	False	0.4397268559270639	False	False	False	False	null_or_weak
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	PIK3CD	11	14	1.82746468397672	1.3033943091747795	0.5240703748019404	0.6513430788548694	1.6474206397425597	0.114888044391374	0.0067435237893869	0.0060351085425249	0.92	1.5339852740876336	False	0.8441184433525579	False	False	False	False	null_or_weak
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	PIK3CD	10	14	2.058424104879972	1.6173306566689465	0.4410934482110253	0.3849472882508519	1.0101611816221945	0.3234520767992156	0.0055390520389899	0.0060619954555697	0.8333333333333334	1.8011195934235404	False	0.8834808135177435	False	False	False	False	null_or_weak
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	PIK3CD	3	3	2.970475575987297	2.5189685429568427	0.4515070330304542	0.6586198582598436	1.0083016170004984	0.3833382993920348	0.0820329904132562	0.0543058552745757	1.0	2.74472205947207	False	0.6784549365229653	False	False	False	False	null_or_weak
