gene	wave71_call	wave71_reason	meta_score	raw_channel_points	positive_channel_points	hard_no_channel_penalty	hard_block_penalty	soft_prior_penalty	text_prior_penalty	evidence_channel_count	positive_status_count	parked_status_count	hard_no_status_count	genetics_channel_count	perturbation_channel_count	modality_channel_count	expression_channel_count	reopener_channel_count	evidence_channels	hard_block_reason	soft_penalty_reason	top_calls	evidence_summary	blockers	source_waves	gene_norm
SCGB1C1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.2925	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38	SCGB1C1
SLC39A3	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.001304	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 1.0; psoriasis; 0.3504390439417388; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_chembl_target; screen_wilcoxon_fdr_not_significant	wave38	SLC39A3
TAGAP1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.320217	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38	TAGAP1
TAS2R106	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.27587	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38	TAS2R106
VMN1R142	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.225978	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0	too_few_guides; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38	VMN1R142
VMN2R87	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.176087	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38	VMN2R87
VMN2R98	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.281413	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 1.0	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38	VMN2R98
ZFP598	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.264783	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38	ZFP598
ZFP775	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.231522	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38	ZFP775
CASP8	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-1.138098	1.180713	1.061902	0.7	0.0	0.0	1.5	1	0	1	1	0	0	0	1	0	circuit_coupling			PARK_CIRCUIT_COUPLING_NEEDS_MS_OR_PERTURBATION; UNRESOLVED; NO_GO_CAUSAL_PROXY	gene; 5; Crohn disease; Sjogren syndrome; psoriasis; type 1 diabetes mellitus; ulcerative colitis; 0; 4	no_target_resolved_coloc_or_mr; Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	wave25;wave60	CASP8
FOS	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-1.255	1.531141	0.945	0.7	0.0	0.0	1.5	1	0	0	1	1	0	1	0	0	external_genetics			null_or_wrong_direction; NO_GO_CRISPR_RESCUE; UNRESOLVED; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	Fos proto-oncogene, AP-1 transcription factor subunit; AS; Crohn; Psoriasis; RA; UC; 0.0; 0.7358257671048686; 0; unresolved; ...(+2)	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38;wave55	FOS
LILRB3	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-1.4	0.265431	0.0	1.4	0.0	0.0	0.0	0	0	0	2	0	0	0	0	0				NO_GO_INSUFFICIENT_CONVERGENCE; NO_GO_MODEL_DIRECTION_SCREEN	myeloid inhibitory receptor; DESCRIPTIVE_GENE_SIGNAL; no_clear_directional_model_support; GSE282122_Mono_macro_post_nonremission_to_remission_UC_only; GSE282122_Mono_macro_post_nonremission_to_remission_CD_only		wave70;wave70c	LILRB3
PTPN6	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-1.4	0.012629	0.0	1.4	0.0	0.0	0.0	0	0	0	2	0	0	0	0	0				NO_GO_MODEL_DIRECTION_SCREEN; NO_GO_INSUFFICIENT_CONVERGENCE	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction; GSE282122_DC_post_nonremission_to_remission_UC_only; SHP1 inhibitory receptor phosphatase; DESCRIPTIVE_GENE_SIGNAL		wave70;wave70c	PTPN6
BLK	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-1.4063	0.772579	0.7937	0.7	0.0	0.0	1.5	1	0	0	1	1	0	1	0	0	external_genetics			NO_GO_BLOCKED_OR_BROAD_CLASS; NO_GO_WAVE62_TARGET_RESOLUTION	BLK proto-oncogene, Src family tyrosine kinase; RA; SLE; Sjogren; 0.0; 0.7908183346646018; 1; 0; B-cell/SRC-family kinase Wave69 scout; DESCRIPTIVE_GENE_SIGNAL	myeloid_expression_missing_in_Wave69D	wave55;wave70	BLK
LAIR1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.1	0.020048	0.0	2.1	0.0	0.0	0.0	0	0	0	3	0	0	0	0	0				NO_GO_INSUFFICIENT_CONVERGENCE; PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED; DESCRIPTIVE_GENE_SIGNAL; ra_antitnf_down_nominal; null_or_weak; UNRESOLVED; NO_GO_MODEL_DIRECTION_SCREEN	collagen-binding inhibitory receptor; DESCRIPTIVE_GENE_SIGNAL; null_or_weak; 1; type 1 diabetes mellitus; no_clear_directional_model_support; GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	No local Wave68/Wave62 cross-autoimmune genetic anchor in this scout.	wave70;wave70b;wave70c	LAIR1
LILRB1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.1	0.368031	0.0	2.1	0.0	0.0	0.0	0	0	0	3	0	0	0	0	0				NO_GO_INSUFFICIENT_CONVERGENCE; NO_GO_MODEL_DIRECTION_SCREEN; PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED; DESCRIPTIVE_GENE_SIGNAL; null_or_weak; not_present_in_wave37_mouse_screen	myeloid inhibitory receptor; DESCRIPTIVE_GENE_SIGNAL; token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction; GSE282122_Mono_macro_post_nonremission_to_remission_UC_only; remission_adjusted_down_fdr10; null_or_weak; 2; Crohn disease; ulcerative colitis	No local Wave68/Wave62 cross-autoimmune genetic anchor in this scout.	wave70;wave70b;wave70c	LILRB1
LILRB4	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.1	0.283301	0.0	2.1	0.0	0.0	0.0	0	0	0	3	0	0	0	0	0				PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED; DESCRIPTIVE_GENE_SIGNAL; null_or_weak; UNRESOLVED; NO_GO_INSUFFICIENT_CONVERGENCE; NO_GO_MODEL_DIRECTION_SCREEN	remission_adjusted_down_fdr10; null_or_weak; 1; type 1 diabetes mellitus; myeloid inhibitory receptor; DESCRIPTIVE_GENE_SIGNAL; token_deletion_moves_nonremission_cells_away_from_remission_centroid; restoration_or_agonism_direction; GSE282122_DC_post_nonremission_to_remission_UC_only	No local Wave68/Wave62 cross-autoimmune genetic anchor in this scout.	wave70;wave70b;wave70c	LILRB4
SH2D1B	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.1	-0.344403	0.0	2.1	0.0	0.0	0.0	0	0	0	3	0	0	0	0	0				NO_GO_LOW_TOKEN_SUPPORT; NO_GO_INSUFFICIENT_CONVERGENCE; NO_GO_LOCAL_SUPPORT_WEAK; DESCRIPTIVE_GENE_SIGNAL; null_or_weak; not_present_in_wave37_mouse_screen	insufficient_token_support; GSE282122_DC_post_nonremission_to_remission; null_or_weak; missing; 0; Fc receptor signaling adaptor; DESCRIPTIVE_GENE_SIGNAL		wave70;wave70b;wave70c	SH2D1B
SIGLEC10	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.1	-0.08061	0.0	2.1	0.0	0.0	0.0	0	0	0	3	0	0	0	0	0				NO_GO_MODEL_DIRECTION_SCREEN; NO_GO_INSUFFICIENT_CONVERGENCE; PARK_BLOCKED_OR_DIRECTIONALLY_UNRESOLVED; DESCRIPTIVE_GENE_SIGNAL; null_or_weak; not_present_in_wave37_mouse_screen	token_deletion_moves_nonremission_cells_toward_remission_centroid; suppression_or_antagonism_direction; GSE282122_Mono_macro_post_nonremission_to_remission; GSE282122_Mono_macro_post_nonremission_to_remission_UC_only; null_or_weak; 0; sialic-acid inhibitory receptor; DESCRIPTIVE_GENE_SIGNAL	No local Wave68/Wave62 cross-autoimmune genetic anchor in this scout.	wave70;wave70b;wave70c	SIGLEC10
A4GNT	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	-0.126196	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; -0.3152428595482235; 1.0	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	A4GNT
AXIN1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	-0.187174	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; -0.1472896811219346; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	AXIN1
BEAN1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	-0.02087	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 1.895895312215054; 0.9971256078463696	insufficient_directional_cross_disease_state_support; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	BEAN1
BIRC3	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	-0.053665	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CAUSAL_PROXY	0; 2	no_target_resolved_coloc_or_mr; Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	wave25	BIRC3
CD9	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.029022	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 1.1100295973517351; 1.0	insufficient_directional_cross_disease_state_support; disease_state_direction_conflict; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	CD9
CEBPB	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	-0.076304	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	activate_or_restore; 0.0; -0.0039576040128572; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	CEBPB
CHST11	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.181467	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 2.0; Crohn disease; Sjogren syndrome; -0.2506943649676447; 0.9971256078463696	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	CHST11
CHUK	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	-0.271636	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_WAVE63_TRANSITION_CONTROLLER; NO_GO_WAVE62_TARGET_RESOLUTION; NO_GO_DYNAMIC_CONTROLLER; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; NO_GO_WAVE61_GUARDRAIL	prior_transition_controller_audit; 0.0; 1.0; 2.0	ms_target_resolved; cross_disease_target_resolved; broad_genetic_support; module_or_state_support; strict_residual_or_ms_expression; real_perturbation_support; foundation_model_support; repair_or_efferocytosis_guardrail; no_manual_or_prior_blocker; not_generic_or_cytotoxic; ...(+3)	wave63	CHUK
CLEC7A	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.566739	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 3.0; Crohn disease; psoriasis; ulcerative colitis; -0.3549463925802421; 0.9971256078463696	no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	CLEC7A
COQ4	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.350543	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 1.0; Crohn disease; -0.6008962503040909; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	COQ4
CRTC2	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	-0.087391	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 1.0; Crohn disease; -0.0615243246865482; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	CRTC2
DAB2	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.317283	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	inhibit_or_reduce; 0.0; 0.5378984279794476; 0.9965506589785832	insufficient_directional_cross_disease_state_support; disease_state_direction_conflict; no_chembl_target; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	DAB2
DNAH9	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.181467	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; -1.8230947503604025; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	DNAH9
FMNL2	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.413835	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CAUSAL_PROXY	0; 3; 4	no_target_resolved_coloc_or_mr; Cell-state/module evidence is stronger than genetics; cannot anchor target causality. Perturbation/foundation evidence is contradicted or marked do-not-promote.	wave25	FMNL2
FZD4	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	-0.253696	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 1.0; psoriasis; 0.2341258402195833; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	FZD4
GABPA	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.181467	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 1.0; Crohn disease; 0.2091261469968142; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	GABPA
HADHB	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.034565	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.0918642518435639; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	HADHB
ICAM2	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.433696	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 2.0; psoriasis; ulcerative colitis; -0.6152780866644587; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	ICAM2
IFT52	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.181467	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 1.0; type 1 diabetes mellitus; 0.9637758346159933; 0.9971256078463696	insufficient_directional_cross_disease_state_support; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	IFT52
IGLON5	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.181467	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 1.0; ulcerative colitis; -0.3955086162820667; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	IGLON5
IL12RB1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	-0.115109	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	inhibit_or_reduce; 0.0; -0.2815930933581256; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	IL12RB1
LHX2	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	-0.18163	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.1614119352184504; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	LHX2
LRRC7	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	-0.137283	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	inhibit_or_reduce; 1.0; type 1 diabetes mellitus; 0.920009505703422; 0.0	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	LRRC7
MAPK14	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	-0.336545	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_WAVE63_TRANSITION_CONTROLLER; NO_GO_WAVE62_TARGET_RESOLUTION; NO_GO_DYNAMIC_CONTROLLER; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; NO_GO_WAVE61_GUARDRAIL	prior_transition_controller_audit; 3.0; 0.0; 5.0; 2.0; 2.5	ms_target_resolved; cross_disease_target_resolved; module_or_state_support; strict_residual_or_ms_expression; real_perturbation_support; foundation_model_support; repair_or_efferocytosis_guardrail; no_manual_or_prior_blocker; not_generic_or_cytotoxic; p38 inflammatory biology is saturated and broad; ...(+2)	wave63	MAPK14
MED16	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.219818	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_WAVE63_TRANSITION_CONTROLLER; PARK_STRONG_PERTURBATION_NO_DRUGGABLE_HANDLE; NO_GO_WAVE61_GUARDRAIL	prior_transition_controller_audit; 0.0; 2.0	ms_target_resolved; cross_disease_target_resolved; broad_genetic_support; module_or_state_support; strict_residual_or_ms_expression; foundation_model_support; repair_or_efferocytosis_guardrail; druggable_or_modality; no_manual_or_prior_blocker; not_generic_or_cytotoxic; ...(+5)	wave63	MED16
MGST2	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.317283	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 1.0; type 1 diabetes mellitus; -0.0569195742125767; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	MGST2
MREG	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-2.2	0.181467	0.0	0.7	0.0	0.0	1.5	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 1.0; psoriasis; -1.1356746357606893; 0.9971256078463696	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; prior_art_or_trial_crowded; screen_wilcoxon_fdr_not_significant	wave38	MREG
