gene	axis	priority_score	weighted_evidence_score	ms_anchor_score	positive_disease_count	negative_disease_count	positive_non_ms_disease_count	negative_non_ms_disease_count	ms_channels	ms_datasets	positive_diseases	negative_diseases	prior_flag
PTGFRN	unassigned	3.4307213587703096	0.9653606793851546	2.465360679385155	0	0	0	0	2	2			
FXYD6	unassigned	3.4306545173330356	0.9653272586665178	2.465327258666518	0	0	0	0	2	2			
FKBP1B	unassigned	3.42996814433506	0.96498407216753	2.46498407216753	1	0	0	0	2	2	MS		
NACAD	unassigned	3.429785632066009	0.9648928160330046	2.4648928160330046	0	0	0	0	2	2			
SPHK2	unassigned	3.4295458133317114	0.9647729066658557	2.4647729066658557	0	0	0	0	2	2			
CLIC6	unassigned	3.4290005092054257	0.9645002546027129	2.464500254602713	0	0	0	0	2	2			
LSM2	unassigned	3.42672511996708	0.9633625599835401	2.46336255998354	0	0	0	0	2	2			
FYN	unassigned	3.426667987171202	0.9633339935856009	2.463333993585601	1	0	0	0	2	2	MS		
YWHAB	unassigned	3.4241512321662295	0.962075616083115	2.4620756160831148	0	0	0	0	2	2			
TOM1L2	unassigned	3.4222196807615184	0.9611098403807592	2.461109840380759	0	0	0	0	2	2			
HADHB	unassigned	3.4218783905971364	0.9609391952985682	2.460939195298568	0	0	0	0	2	2			
XPO7	unassigned	3.4184577489663432	0.9592288744831714	2.4592288744831716	0	0	0	0	2	2			
LNPK	unassigned	3.4172709328228033	0.9586354664114016	2.4586354664114016	0	0	0	0	2	2			
ENPP6	unassigned	3.4146366281464893	0.9573183140732449	2.4573183140732446	0	0	0	0	2	2			
CLTA	unassigned	3.411790863503798	0.9558954317518988	2.455895431751899	0	0	0	0	2	2			
NDUFAB1	unassigned	3.4087734130214713	0.9543867065107354	2.4543867065107356	0	0	0	0	2	2			
SF3B6	unassigned	3.4060721333496273	0.9530360666748138	2.4530360666748137	0	0	0	0	2	2			
RPL14	unassigned	3.4040340072751096	0.9520170036375548	2.452017003637555	0	0	0	0	2	2			
CNTNAP1	unassigned	3.403143264779521	0.9515716323897603	2.4515716323897605	0	0	0	0	2	2			
OSBPL9	unassigned	3.403020080170812	0.9515100400854057	2.451510040085406	0	0	0	0	2	2			
LGI3	unassigned	3.3992847547738227	0.9496423773869114	2.4496423773869114	0	0	0	0	2	2			
UCHL5	unassigned	3.3938758547034134	0.9469379273517067	2.4469379273517067	0	0	0	0	2	2			
EIF3I	unassigned	3.3930411488679315	0.9465205744339655	2.4465205744339658	0	0	0	0	2	2			
SFXN3	unassigned	3.3872202075684337	0.9436101037842168	2.443610103784217	0	0	0	0	2	2			
GLIPR2	unassigned	3.3867620892812607	0.9433810446406303	2.4433810446406303	0	0	0	0	2	2			
RPL24	unassigned	3.3858437153281518	0.9429218576640761	2.442921857664076	0	0	0	0	2	2			
CCT5	unassigned	3.384423477567445	0.9422117387837228	2.4422117387837226	0	0	0	0	2	2			
LAMA5	unassigned	3.3841565782699483	0.9420782891349742	2.442078289134974	0	0	0	0	2	2			
SEPTIN10	unassigned	3.3840833224878217	0.9420416612439108	2.442041661243911	0	0	0	0	2	2			
PSMA4	unassigned	3.3839687344405283	0.9419843672202642	2.441984367220264	0	0	0	0	2	2			
TAX1BP1	unassigned	3.3822174765208786	0.9411087382604393	2.4411087382604393	0	0	0	0	2	2			
ACADS	unassigned	3.382207520414295	0.9411037602071475	2.4411037602071475	0	0	0	0	2	2			
TBC1D9B	unassigned	3.381396601936922	0.9406983009684611	2.440698300968461	0	0	0	0	2	2			
RTN4	unassigned	3.3796286268413605	0.9398143134206802	2.4398143134206802	0	0	0	0	2	2			
PSMD3	unassigned	3.379297076866475	0.9396485384332375	2.4396485384332376	0	0	0	0	2	2			
ATXN2L	unassigned	3.3790637610482728	0.9395318805241364	2.4395318805241364	0	0	0	0	2	2			
PSMB1	unassigned	3.377850649725784	0.938925324862892	2.438925324862892	0	0	0	0	2	2			
AIMP2	unassigned	3.375235668769969	0.9376178343849845	2.4376178343849846	0	0	0	0	2	2			
REEP5	unassigned	3.3743550387221646	0.9371775193610822	2.4371775193610823	0	0	0	0	2	2			
GNG5	unassigned	3.3724815114922286	0.9362407557461145	2.4362407557461143	0	0	0	0	2	2			
NEFM	unassigned	3.364931365281466	0.9324656826407328	2.432465682640733	0	0	0	0	2	2			
RASGRF2	unassigned	3.364392992189625	0.9321964960948124	2.4321964960948126	0	0	0	0	2	2			
CCDC91	unassigned	3.359972949165268	0.929986474582634	2.429986474582634	0	0	0	0	2	2			
PIK3C3	unassigned	3.3590209930375323	0.9295104965187659	2.429510496518766	0	0	0	0	2	2			
HCFC1	unassigned	3.3550856798554323	0.9275428399277161	2.427542839927716	0	0	0	0	2	2			
PRR18	unassigned	3.354261841201783	0.9271309206008913	2.4271309206008915	1	0	0	0	2	2	MS		
PRRT2	unassigned	3.3438819711925385	0.9219409855962694	2.4219409855962692	0	0	0	0	2	2			
MZB1	unassigned	3.342927086617892	0.921463543308946	2.421463543308946	1	0	0	0	2	2	MS		
ISOC2	unassigned	3.3423530754590702	0.9211765377295351	2.421176537729535	0	0	0	0	2	2			
CA2	unassigned	3.3414033918124	0.9207016959062001	2.4207016959062	0	0	0	0	2	2			
ALDH3A2	unassigned	3.3413746513945455	0.920687325697273	2.4206873256972727	0	0	0	0	2	2			
EPN1	unassigned	3.34136261817405	0.9206813090870248	2.420681309087025	0	0	0	0	2	2			
TFRC	unassigned	3.3369059406038257	0.9184529703019129	2.418452970301913	0	0	0	0	2	2			
RHOQ	unassigned	3.3349645891643966	0.9174822945821982	2.4174822945821983	0	0	0	0	2	2			
GSK3A	unassigned	3.3338476559937007	0.9169238279968501	2.4169238279968503	0	0	0	0	2	2			
TNXB	unassigned	3.333278002148985	0.9166390010744923	2.4166390010744925	0	0	0	0	2	2			
CDV3	unassigned	3.3319131926305365	0.9159565963152683	2.4159565963152683	0	0	0	0	2	2			
HNRNPUL1	unassigned	3.3311841672742455	0.9155920836371227	2.4155920836371227	0	0	0	0	2	2			
ARPC2	unassigned	3.3304146611768983	0.9152073305884492	2.415207330588449	0	0	0	0	2	2			
KLC4	unassigned	3.3283381826732796	0.9141690913366396	2.41416909133664	0	0	0	0	2	2			
G3BP1	unassigned	3.3281477982482395	0.9140738991241197	2.4140738991241197	0	0	0	0	2	2			
KCNQ2	unassigned	3.3250440478397305	0.9125220239198655	2.4125220239198653	0	0	0	0	2	2			
CAMKK1	unassigned	3.323210490972288	0.9116052454861443	2.411605245486144	0	0	0	0	2	2			
SMC1A	unassigned	3.322469457454268	0.9112347287271341	2.411234728727134	0	0	0	0	2	2			
DMXL1	unassigned	3.321980315726364	0.9109901578631822	2.410990157863182	0	0	0	0	2	2			
OSBPL2	unassigned	3.3163733152545722	0.908186657627286	2.408186657627286	0	0	0	0	2	2			
LRSAM1	unassigned	3.3162940889600865	0.908147044480043	2.4081470444800432	0	0	0	0	2	2			
CPNE8	unassigned	3.3162806607872755	0.9081403303936376	2.4081403303936377	1	0	0	0	2	2	MS		
SV2A	unassigned	3.3151434792977197	0.9075717396488598	2.40757173964886	0	0	0	0	2	2			
ANKMY2	unassigned	3.3131336956736384	0.9065668478368193	2.406566847836819	0	0	0	0	2	2			
ERMP1	unassigned	3.3125976430952955	0.9062988215476477	2.4062988215476477	0	0	0	0	2	2			
PSIP1	unassigned	3.3094392034492657	0.9047196017246331	2.404719601724633	0	0	0	0	2	2			
PGRMC1	unassigned	3.308606302339463	0.9043031511697315	2.4043031511697315	0	0	0	0	2	2			
ERH	unassigned	3.3080537576838207	0.9040268788419102	2.4040268788419104	0	0	0	0	2	2			
AMDHD2	unassigned	3.3071251370785575	0.9035625685392785	2.4035625685392787	1	0	0	0	2	2	MS		
ANP32A	unassigned	3.306548782828215	0.9032743914141076	2.4032743914141075	1	0	0	0	2	2	MS		
SEPTIN8	unassigned	3.3060661172184593	0.9030330586092297	2.4030330586092297	0	0	0	0	2	2			
RNASE1	unassigned	3.3059012163188637	0.9029506081594316	2.402950608159432	1	0	0	0	2	2	MS		
FA2H	unassigned	3.304712307825673	0.9023561539128364	2.4023561539128364	1	0	0	0	2	2	MS		
ARMCX1	unassigned	3.3035722702629755	0.9017861351314876	2.4017861351314878	0	0	0	0	2	2			
HSPA2	unassigned	3.302927339611159	0.9014636698055793	2.4014636698055796	0	0	0	0	2	2			
GNAI2	unassigned	3.302532142391123	0.9012660711955616	2.4012660711955616	0	0	0	0	2	2			
PDLIM4	unassigned	3.301490354008342	0.9007451770041712	2.400745177004171	0	0	0	0	2	2			
MBLAC2	unassigned	3.301010905028784	0.9005054525143923	2.400505452514392	0	0	0	0	2	2			
ARHGEF2	unassigned	3.3002971990302195	0.9001485995151096	2.4001485995151097	0	0	0	0	2	2			
MARCKS	unassigned	3.295135155125065	0.8975675775625327	2.3975675775625325	0	0	0	0	2	2			
DYNLT3	unassigned	3.294337003116963	0.8971685015584814	2.3971685015584816	0	0	0	0	2	2			
STAM	unassigned	3.2919531823967	0.8959765911983502	2.39597659119835	0	0	0	0	2	2			
SIRPA	unassigned	3.2910175782983275	0.8955087891491638	2.3955087891491638	0	0	0	0	2	2			
ZYX	unassigned	3.2860776407364973	0.8930388203682484	2.3930388203682487	0	0	0	0	2	2			
AHCY	unassigned	3.2852313933822153	0.8926156966911074	2.3926156966911076	0	0	0	0	2	2			
AIMP1	unassigned	3.2851822106921693	0.8925911053460847	2.3925911053460847	0	0	0	0	2	2			
PPP1R12A	unassigned	3.2841577132595994	0.8920788566297999	2.3920788566297997	0	0	0	0	2	2			
ALDH6A1	unassigned	3.28071204337464	0.8903560216873203	2.39035602168732	0	0	0	0	2	2			
PIGT	unassigned	3.276725188986191	0.8883625944930957	2.3883625944930955	0	0	0	0	2	2			
RHEB	unassigned	3.273652921972401	0.8868264609862003	2.3868264609862004	0	0	0	0	2	2			
CHCHD6	unassigned	3.2734219845104944	0.8867109922552472	2.386710992255247	0	0	0	0	2	2			
EPHA4	unassigned	3.2649425666835157	0.8824712833417576	2.382471283341758	0	0	0	0	2	2			
FNTA	unassigned	3.263648900770618	0.881824450385309	2.381824450385309	0	0	0	0	2	2			
CAT	unassigned	3.261118112344745	0.8805590561723722	2.3805590561723724	0	0	0	0	2	2			
ARL6IP1	unassigned	3.260300398071603	0.8801501990358016	2.3801501990358016	0	0	0	0	2	2			
DYNLL1	unassigned	3.260090867117521	0.8800454335587602	2.3800454335587604	0	0	0	0	2	2			
MAP7D1	unassigned	3.2538651936726417	0.8769325968363206	2.376932596836321	0	0	0	0	2	2			
HS1BP3	unassigned	3.25382327696678	0.8769116384833898	2.37691163848339	0	0	0	0	2	2			
AFDN	unassigned	3.2489135757758163	0.8744567878879081	2.374456787887908	0	0	0	0	2	2			
YARS2	unassigned	3.2403299881307426	0.8701649940653715	2.3701649940653713	0	0	0	0	2	2			
ABCA8	unassigned	3.2366834930052555	0.8683417465026279	2.3683417465026277	0	0	0	0	2	2			
AEBP1	unassigned	3.2238937420533436	0.8619468710266716	2.361946871026672	1	0	0	0	2	2	MS		
FKBP15	unassigned	3.2229523702203204	0.8614761851101601	2.36147618511016	1	0	0	0	2	2	MS		
TSC22D3	unassigned	3.222065398298061	0.8610326991490305	2.3610326991490305	1	0	0	0	2	2	MS		
QDPR	unassigned	3.212181870053538	0.8560909350267691	2.356090935026769	1	0	0	0	2	2	MS		
TRAPPC1	unassigned	3.210863658258198	0.855431829129099	2.355431829129099	0	0	0	0	2	2			
FOLH1	unassigned	3.1969396175860103	0.8484698087930052	2.348469808793005	1	0	0	0	2	2	MS		
DENND5A	unassigned	3.196876174334351	0.8484380871671757	2.3484380871671755	1	0	0	0	2	2	MS		
LAMP1	lysosome_antigen_processing	3.1911986072140213	1.2752760711930735	5.665922536020948	4	4	3	4	3	3	MS,SLE_myeloid,lupus_nephritis,psoriasis	Crohn,RA,SLE_CD4_T,Sjogren	
GIPC1	unassigned	3.189308843849693	0.8446544219248466	2.3446544219248464	0	0	0	0	2	2			
ASS1	unassigned	3.1862357684365685	0.8431178842182842	2.3431178842182843	1	0	0	0	2	2	MS		
ERO1A	unassigned	3.181653140192882	0.840826570096441	2.340826570096441	1	0	0	0	2	2	MS		
FAM177A1	unassigned	3.1758108327882546	0.8379054163941275	2.3379054163941273	1	0	0	0	2	2	MS		
SMOC1	unassigned	3.146187805774388	0.823093902887194	2.323093902887194	0	0	0	0	2	2			
CNPY2	unassigned	3.141827030641201	0.8209135153206003	2.3209135153206004	0	0	0	0	2	2			
TMEM256	unassigned	3.1404320319928116	0.8202160159964057	2.320216015996406	0	0	0	0	2	2			
ATL3	unassigned	3.132896684069701	0.8164483420348504	2.3164483420348505	1	0	0	0	2	2	MS		
PABPC4	unassigned	3.1323208055360148	0.8161604027680073	2.3161604027680074	1	0	0	0	2	2	MS		
TGFBI	unassigned	3.112687999004967	0.8063439995024836	2.3063439995024835	1	0	0	0	2	2	MS		
SHISA4	unassigned	3.11186256574158	0.8059312828707899	2.30593128287079	0	0	0	0	2	2			
RPL34	unassigned	3.0997570489506296	0.7998785244753148	2.299878524475315	0	0	0	0	2	2			
SPRYD7	unassigned	3.099687188947083	0.7998435944735417	2.2998435944735416	0	0	0	0	2	2			
DOCK1	unassigned	3.085867558030028	0.7929337790150142	2.292933779015014	1	0	0	0	2	2	MS		
FKBP5	unassigned	3.0773697940337357	0.7886848970168678	2.288684897016868	1	0	0	0	2	2	MS		
KCTD12	unassigned	3.076177853731788	0.7880889268658939	2.288088926865894	1	0	0	0	2	2	MS		
TYRO3	unassigned	3.0745529025593132	0.7872764512796568	2.2872764512796566	0	0	0	0	2	2			
RPSA	unassigned	3.062818200865161	0.7814091004325806	2.2814091004325805	1	0	0	0	2	2	MS		
NDUFAF4	unassigned	3.0621346834240786	0.7810673417120395	2.2810673417120393	0	0	0	0	2	2			
RCN2	unassigned	3.053052396479951	0.7765261982399755	2.2765261982399756	0	0	0	0	2	2			
ASPN	unassigned	3.0464315639899056	0.7732157819949526	2.2732157819949528	0	0	0	0	2	2			
RPS29	unassigned	3.042790387943848	0.7713951939719239	2.271395193971924	1	0	0	0	2	2	MS		
ARHGAP18	unassigned	3.0357253723333364	1.1428626861666682	1.8928626861666682	1	0	0	0	1	1	MS		
NDUFB6	unassigned	3.0236239517259342	0.7618119758629669	2.261811975862967	0	0	0	0	2	2			
ARHGAP1	unassigned	3.0100567817639874	0.7550283908819935	2.2550283908819937	1	0	0	0	2	2	MS		
NPEPL1	unassigned	3.0091102978841615	0.7545551489420808	2.2545551489420808	1	0	0	0	2	2	MS		
GNB4	unassigned	2.99381596159546	0.7469079807977299	2.24690798079773	1	0	0	0	2	2	MS		
SDCBP	unassigned	2.979287045041816	0.739643522520908	2.239643522520908	1	0	0	0	2	2	MS		
GAD1	unassigned	2.9720030109290247	0.7360015054645123	2.2360015054645124	0	0	0	0	2	2			
PRPF31	unassigned	2.969985026534471	0.7349925132672355	2.2349925132672355	0	0	0	0	2	2			
PHLDA3	unassigned	2.967909528734803	0.7339547643674017	2.2339547643674016	0	0	0	0	2	2			
LYPLAL1	unassigned	2.9673949644823487	0.7336974822411746	2.2336974822411744	1	0	0	0	2	2	MS		
COA3	unassigned	2.9652932930831675	0.7326466465415837	2.2326466465415837	0	0	0	0	2	2			
EDIL3	unassigned	2.956649968387098	0.728324984193549	2.228324984193549	1	0	0	0	2	2	MS		
B2M	unassigned	2.9413264315490286	0.7206632157745143	2.2206632157745143	1	0	0	0	2	2	MS		
ATP6V1B2	unassigned	2.928738701680137	0.7143693508400688	2.2143693508400686	1	0	0	0	2	2	MS		
NPDC1	unassigned	2.9281883538768767	0.7140941769384385	2.2140941769384384	0	0	0	0	2	2			
BORCS7	unassigned	2.9231540011612793	0.7115770005806396	2.2115770005806397	0	0	0	0	2	2			
ETF1	unassigned	2.9231487183364617	0.711574359168231	2.211574359168231	0	0	0	0	2	2			
PLEKHO2	unassigned	2.9135060050431036	0.7067530025215518	2.206753002521552	1	0	0	0	2	2	MS		
AP2A2	unassigned	2.893222443714592	0.6966112218572961	2.196611221857296	1	0	0	0	2	2	MS		
BLVRB	unassigned	2.883752690259092	0.691876345129546	2.191876345129546	1	0	0	0	2	2	MS		
VTN	unassigned	2.883660680733276	0.691830340366638	2.191830340366638	0	0	0	0	2	2			
PRPH	unassigned	2.863296222817029	0.6816481114085144	2.1816481114085144	0	0	0	0	2	2			
SORBS3	unassigned	2.8590155455488926	0.6795077727744463	2.1795077727744463	1	0	0	0	2	2	MS		
MVP	unassigned	2.8574649163108488	0.6787324581554244	2.1787324581554244	1	0	0	0	2	2	MS		
CPLX1	unassigned	2.8468229531822287	0.6734114765911144	2.1734114765911143	1	0	0	0	2	2	MS		
ARHGDIB	unassigned	2.8282745112292202	0.6641372556146101	2.16413725561461	1	0	0	0	2	2	MS		
GPN1	unassigned	2.8281378588521555	0.6640689294260778	2.1640689294260778	0	0	0	0	2	2			
RLBP1	unassigned	2.825382501612137	0.6626912508060685	2.1626912508060685	1	0	0	0	2	2	MS		
HDDC2	unassigned	2.8164695443170693	0.6582347721585347	2.1582347721585347	0	0	0	0	2	2			
BCKDK	unassigned	2.8087588256481126	0.6543794128240561	2.1543794128240563	0	0	0	0	2	2			
ATP6AP2	unassigned	2.8025227926194676	1.0262613963097338	1.7762613963097338	1	0	0	0	1	1	MS		
SRRM1	unassigned	2.7964758044349054	0.6482379022174526	2.1482379022174527	0	0	0	0	2	2			
AZGP1	unassigned	2.795006712594505	0.6475033562972524	2.1475033562972525	0	0	0	0	2	2			
TINAGL1	unassigned	2.7908118487629165	0.6454059243814582	2.1454059243814583	0	0	0	0	2	2			
RPLP2	unassigned	2.786009055109444	0.643004527554722	2.143004527554722	1	0	0	0	2	2	MS		
SRPRA	unassigned	2.783417524479054	0.6417087622395268	2.141708762239527	0	0	0	0	2	2			
ABHD17B	unassigned	2.773835613317014	0.6369178066585071	2.136917806658507	1	0	0	0	2	2	MS		
EXOC7	unassigned	2.761351444542459	0.6306757222712294	2.1306757222712296	1	0	0	0	2	2	MS		
ME3	unassigned	2.755156915766099	0.6275784578830496	2.1275784578830494	1	0	0	0	2	2	MS		
KCNAB2	unassigned	2.7395899167366426	0.6197949583683215	2.1197949583683213	1	0	0	0	2	2	MS		
SF3A3	unassigned	2.7330643444771425	0.6165321722385715	2.1165321722385713	0	0	0	0	2	2			
RPL7A	unassigned	2.7102343329405993	0.6051171664702995	2.1051171664702997	1	0	0	0	2	2	MS		
IQSEC1	unassigned	2.7036200255935743	0.601810012796787	2.101810012796787	1	0	0	0	2	2	MS		
AHNAK	unassigned	2.70036689530016	0.6001834476500798	2.10018344765008	1	0	0	0	2	2	MS		
SGCD	unassigned	2.6951920352039176	0.5975960176019588	2.097596017601959	0	0	0	0	2	2			
MAP2K2	unassigned	2.6939698210413514	0.5969849105206759	2.0969849105206757	1	0	0	0	2	2	MS		
ATP6V0C	unassigned	2.6891055792910876	0.5945527896455438	2.094552789645544	1	0	0	0	2	2	MS		
RPS26	unassigned	2.685186239367967	0.5925931196839838	2.0925931196839835	0	0	0	0	2	2			
GSK3B	unassigned	2.684129487623135	0.5920647438115678	2.0920647438115676	1	1	0	0	2	2	MS	MS	
SCARB2	unassigned	2.680275767937725	0.9651378839688624	1.7151378839688625	1	0	0	0	1	1	MS		
APOBR	unassigned	2.6621077641417514	0.9560538820708756	1.7060538820708757	1	0	0	0	1	1	MS		
F11R	unassigned	2.6492441815179113	0.5746220907589557	2.0746220907589557	1	0	0	0	2	2	MS		
GAB1	unassigned	2.6460485436227357	0.9480242718113677	1.6980242718113678	1	0	0	0	1	1	MS		
SHPK	unassigned	2.638650794806189	0.5693253974030944	2.0693253974030945	1	0	0	0	2	2	MS		
ETFDH	unassigned	2.630290312469108	0.5651451562345541	2.065145156234554	1	0	0	0	2	2	MS		
CTNNA1	unassigned	2.627956076714833	0.5639780383574164	2.0639780383574164	1	0	0	0	2	2	MS		
RRBP1	unassigned	2.6154620274238978	0.5577310137119489	2.057731013711949	1	0	0	0	2	2	MS		
IRAK1	unassigned	2.6150339277261416	0.557516963863071	2.057516963863071	1	0	0	0	2	2	MS		
RPL36	unassigned	2.5934038431640216	0.5467019215820108	2.046701921582011	1	0	0	0	2	2	MS		
TXNRD1	unassigned	2.5798769879454735	0.539938493972737	2.0399384939727367	1	0	0	0	2	2	MS		
SUSD2	unassigned	2.5698166924474144	0.5349083462237071	2.034908346223707	1	0	0	0	2	2	MS		
POLR2B	unassigned	2.569720518361022	0.5348602591805112	2.034860259180511	0	0	0	0	2	2			
TNS1	unassigned	2.5598102131067346	0.5299051065533675	2.0299051065533673	1	0	0	0	2	2	MS		
VPS13A	unassigned	2.5547745565511013	0.5273872782755507	2.0273872782755507	1	0	0	0	2	2	MS		
LCP1	unassigned	2.5442741678579672	0.5221370839289836	2.0221370839289836	1	0	0	0	2	2	MS		
C1orf50	unassigned	2.5429828601885696	0.5214914300942847	2.021491430094285	1	0	0	0	2	2	MS		
GGT5	unassigned	2.5402836565646236	0.520141828282312	2.020141828282312	1	0	0	0	2	2	MS		
F13A1	unassigned	2.5373180928157115	0.5186590464078555	2.0186590464078558	1	0	0	0	2	2	MS		
SCAMP1	unassigned	2.5355009320455437	0.5177504660227721	2.017750466022772	1	0	0	0	2	2	MS		
DHRS7	unassigned	2.53357613645234	0.5167880682261701	2.01678806822617	1	0	0	0	2	2	MS		
TSTD1	unassigned	2.5108075538646837	0.5054037769323416	2.005403776932342	0	0	0	0	2	2			
SLC44A2	unassigned	2.510764177395111	0.5053820886975555	2.0053820886975555	1	0	0	0	2	2	MS		
PREB	unassigned	2.5047774272870953	0.5023887136435476	2.0023887136435476	0	0	0	0	2	2			
GPRC5B	unassigned	2.504392414071684	0.502196207035842	2.002196207035842	1	0	0	0	2	2	MS		
LMNB1	unassigned	2.491183276264606	0.4955916381323029	1.995591638132303	1	0	0	0	2	2	MS		
SCN4B	unassigned	2.480444212543343	0.4902221062716714	1.9902221062716714	0	0	0	0	2	2			
DHRS7B	unassigned	2.476891399652204	0.488445699826102	1.988445699826102	1	0	0	0	2	2	MS		
OSTF1	unassigned	2.47570012046644	0.4878500602332201	1.98785006023322	1	0	0	0	2	2	MS		
AHSG	unassigned	2.4721905281765375	0.48609526408826886	1.9860952640882688	0	0	0	0	2	2			
RPN2	unassigned	2.4585479328807933	0.47927396644039666	1.9792739664403967	1	1	0	0	2	2	MS	MS	
SRXN1	unassigned	2.4578201382936085	0.4789100691468041	1.9789100691468042	0	0	0	0	2	2			
UGGT1	unassigned	2.455759458064043	0.47787972903202147	1.9778797290320216	1	0	0	0	2	2	MS		
PBXIP1	unassigned	2.4548763127046147	0.47743815635230735	1.9774381563523074	1	0	0	0	2	2	MS		
SHROOM1	unassigned	2.442641329057815	0.4713206645289074	1.9713206645289074	0	0	0	0	2	2			
AMBP	unassigned	2.4318201475281254	0.46591007376406274	1.9659100737640627	0	0	0	0	2	2			
LARP1	unassigned	2.4215358775759004	0.4607679387879503	1.9607679387879502	1	1	0	0	2	2	MS	MS	
ATP6V1F	unassigned	2.418824384010609	0.4594121920053045	1.9594121920053045	1	0	0	0	2	2	MS		
FARP1	unassigned	2.4093149733087413	0.45465748665437056	1.9546574866543707	1	0	0	0	2	2	MS		
MCRIP1	unassigned	2.4082105516763477	0.45410527583817384	1.9541052758381738	1	0	0	0	2	2	MS		
SURF4	unassigned	2.3856231522634395	0.44281157613171973	1.9428115761317197	1	0	0	0	2	2	MS		
CD300A	unassigned	2.3827102856459534	0.4413551428229766	1.9413551428229767	1	0	0	0	2	2	MS		
IMMT	unassigned	2.3794798706073426	0.43973993530367117	1.9397399353036713	1	0	0	0	2	2	MS		
SLC7A8	unassigned	2.3634422089077107	0.43172110445385536	1.9317211044538554	0	1	0	0	2	2		MS	
PDIA3	unassigned	2.3590722196638696	0.4295361098319348	1.9295361098319348	1	0	0	0	2	2	MS		
SACM1L	unassigned	2.358071337089145	0.42903566854457253	1.9290356685445724	1	0	0	0	2	2	MS		
ANO6	unassigned	2.3404525824838744	0.42022629124193733	1.9202262912419372	1	0	0	0	2	2	MS		
ACADL	unassigned	2.3332851967741286	0.41664259838706436	1.9166425983870643	0	0	0	0	2	2			
COL6A2	unassigned	2.330860451473252	0.41543022573662614	1.915430225736626	0	0	0	0	2	2			
VAMP5	unassigned	2.3272415402839135	0.41362077014195664	1.9136207701419568	0	0	0	0	2	2			
RPL28	unassigned	2.3205426046163233	0.41027130230816167	1.9102713023081617	1	0	0	0	2	2	MS		
PIK3CB	unassigned	2.3204734071479303	0.410236703573965	1.9102367035739651	1	0	0	0	2	2	MS		
CPNE3	unassigned	2.3199009741230636	0.4099504870615317	1.9099504870615318	1	0	0	0	2	2	MS		
STT3A	unassigned	2.3191685697944324	0.40958428489721627	1.9095842848972162	1	0	0	0	2	2	MS		
DHCR7	unassigned	2.3046249363844	0.4023124681922	1.9023124681922	0	0	0	0	2	2			
SORT1	unassigned	2.3045463939692916	0.4022731969846458	1.9022731969846458	1	0	0	0	2	2	MS		
DOCK5	unassigned	2.3020188408691054	0.40100942043455273	1.9010094204345527	0	1	0	0	2	2		MS	
RPL18A	unassigned	2.2990279261780278	0.3995139630890139	1.8995139630890139	1	0	0	0	2	2	MS		
PRNP	unassigned	2.2960544573686312	0.39802722868431556	1.8980272286843156	1	0	0	0	2	2	MS		
DNAJC19	unassigned	2.272997281591667	0.3864986407958335	1.8864986407958335	0	0	0	0	2	2			
BLVRA	unassigned	2.265722079365628	0.38286103968281393	1.882861039682814	1	0	0	0	2	2	MS		
GNA13	unassigned	2.2571460574960116	0.3785730287480058	1.8785730287480058	1	0	0	0	2	2	MS		
ADAM22	unassigned	2.250271202564613	0.3751356012823066	1.8751356012823066	1	0	0	0	2	2	MS		
BSDC1	unassigned	2.2438137673089047	0.3719068836544523	1.8719068836544523	0	0	0	0	2	2			
EGLN1	unassigned	2.2430546783128182	0.3715273391564091	1.8715273391564091	1	0	0	0	2	2	MS		
PRKG1	unassigned	2.2404266881291703	0.3702133440645852	1.8702133440645852	1	0	0	0	2	2	MS		
MYO5A	unassigned	2.2402711114703484	0.37013555573517426	1.8701355557351742	0	0	0	0	2	2			
SRSF11	unassigned	2.2247678998975875	0.3623839499487938	1.8623839499487937	1	0	0	0	2	2	MS		
COL1A2	unassigned	2.2168323373326104	0.35841616866630516	1.8584161686663052	1	0	0	0	2	2	MS		
TPM2	unassigned	2.209299412338485	0.3546497061692424	1.8546497061692424	1	0	0	0	2	2	MS		
CAP1	unassigned	2.2054855136311686	0.35274275681558426	1.8527427568155843	1	0	0	0	2	2	MS		
SNX1	unassigned	2.197452288296195	0.34872614414809744	1.8487261441480975	1	0	0	0	2	2	MS		
ABCF1	unassigned	2.196107454123706	0.34805372706185295	1.848053727061853	0	0	0	0	2	2			
TMEM63A	unassigned	2.1861933225096686	0.3430966612548343	1.8430966612548343	1	1	0	0	2	2	MS	MS	
ATP6V0A1	unassigned	2.1783296062045086	0.3391648031022544	1.8391648031022543	0	0	0	0	2	2			
GON7	unassigned	2.1765018433573124	0.3382509216786562	1.8382509216786562	0	0	0	0	2	2			
FMNL2	unassigned	2.173760330676849	0.3368801653384247	1.8368801653384246	1	0	0	0	2	2	MS		
TPD52L1	unassigned	2.173563543414658	0.3367817717073289	1.836781771707329	1	0	0	0	2	2	MS		
NTMT1	unassigned	2.173161675718602	0.336580837859301	1.836580837859301	0	0	0	0	2	2			
STX1B	unassigned	2.170158836662095	0.3350794183310476	1.8350794183310475	1	0	0	0	2	2	MS		
GCLC	unassigned	2.1674370953417883	0.33371854767089426	1.8337185476708942	1	1	0	0	2	2	MS	MS	
CPNE2	unassigned	2.1610928625395314	0.3305464312697657	1.8305464312697657	1	0	0	0	2	2	MS		
