disease	dataset	modality	compartment	module	metric	n_case	n_control	delta	hedges_g	p	fdr	support_level	support_score
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	inflammatory_nfkb	donor_mean_z_score	18	18	-0.032158750102666	-0.2083132135779679	0.5270389338369028	0.6395528635324214	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	lipid_loader_repair	donor_mean_z_score	18	18	0.0125636713508625	0.2627617640815859	0.4257694271984469	0.5513981645318531	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	lysosomal_apc	donor_mean_z_score	18	18	-0.0085636335398977	-0.0668247663354566	0.8388270586584576	0.8752978003392601	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	mif_cd74_receptor_state	donor_mean_z_score	18	18	-0.0450643548870716	-0.2659281059574798	0.420489480010163	0.5513981645318531	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	mixscale_validated_ifng_readout	donor_mean_z_score	18	18	-0.0178272683572939	-0.1822923804739017	0.5796287459185954	0.6860166584424952	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	complement_phagocytosis	donor_mean_z_score	5	18	0.0397822717873031	0.7746748578630984	0.277054444235968	0.4336504344562977	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	complement_phagocytosis	donor_mean_z_score	3	19	0.1136589388095447	1.2049184783449407	0.3997494622464898	0.5464929357293784	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	complement_phagocytosis	donor_mean_z_score	5	19	-0.0410524723176041	-0.3768099328499243	0.2612216483025083	0.4159314386684026	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	hif_nampt_metabolic	donor_mean_z_score	5	18	0.2871434275753872	1.936231779773692	0.0549206395861529	0.1556790868501292	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	hif_nampt_metabolic	donor_mean_z_score	3	19	0.1698269008542945	0.859079142434495	0.3699417567666431	0.5222707154352609	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	hif_nampt_metabolic	donor_mean_z_score	5	19	0.2743267862699387	1.0612485456512797	0.128544608662043	0.2776563547100129	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	hla_ii_apc	donor_mean_z_score	5	19	0.2235528871445532	1.3773049946875355	0.0167662445535936	0.0896623752203365	supportive	2.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	hla_ii_apc	donor_mean_z_score	5	18	0.0919654525127152	0.7801062692205772	0.0436271417049943	0.140648695645952	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	hla_ii_apc	donor_mean_z_score	3	19	0.4516314833111438	2.094201947591127	0.3391128731443421	0.4883225373278527	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	ifn_apc	donor_mean_z_score	5	18	0.1527456160027379	1.1047657249328984	0.0616294156829564	0.1643451084878838	trend	1.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	ifn_apc	donor_mean_z_score	5	19	0.1757945843003663	1.3999377400494224	0.0403860203829253	0.1332414150861823	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	ifn_apc	donor_mean_z_score	3	19	0.5633379025044165	2.695912431973707	0.235264981916712	0.3909018161077677	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	inflammatory_nfkb	donor_mean_z_score	5	18	0.4911889444012564	3.74722806677596	0.0103713209240625	0.0772484592964659	supportive	2.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	inflammatory_nfkb	donor_mean_z_score	5	19	0.3672627610056071	2.400568564409452	0.0248936311856106	0.1010819701412581	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	inflammatory_nfkb	donor_mean_z_score	3	19	0.4918826415180479	2.796046127102837	0.2039368859590529	0.3552448981222212	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	lipid_loader_repair	donor_mean_z_score	5	18	0.2052927106971705	2.0029885329161807	0.0211984525207547	0.0915773148896606	supportive	2.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	lipid_loader_repair	donor_mean_z_score	3	19	0.2684656338069596	1.6845935423331764	0.3294554293825659	0.4840977737866274	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	lipid_loader_repair	donor_mean_z_score	5	19	0.0548120304295186	0.667636886606506	0.1367529687746551	0.2867829248089855	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	lysosomal_apc	donor_mean_z_score	5	19	0.2111920550283281	1.4548028041815635	0.0656802302378208	0.1700910672183246	trend	1.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	lysosomal_apc	donor_mean_z_score	5	18	0.1436927242555934	1.0526662378623264	0.1452944353383573	0.2960716795574074	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	lysosomal_apc	donor_mean_z_score	3	19	0.1031262115869493	0.567530920008046	0.6408601182227468	0.7212215289516322	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	mif_cd74_receptor_state	donor_mean_z_score	5	19	0.1720618892473699	1.1417987887175869	0.003640007880635	0.0525390881951736	supportive	2.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	mif_cd74_receptor_state	donor_mean_z_score	5	18	0.0812568330810173	0.5997381069105399	0.0803384001539974	0.1961037231008101	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	mif_cd74_receptor_state	donor_mean_z_score	3	19	0.5042026549942139	2.081391468968663	0.3369228926003603	0.4883225373278527	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	mixscale_validated_ifng_readout	donor_mean_z_score	5	19	0.2724331892978909	1.9517385698065193	0.0192878150046977	0.0913585065286465	supportive	2.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	mixscale_validated_ifng_readout	donor_mean_z_score	5	18	0.2979775059852992	1.707221192300657	0.046001520409057	0.1440332262855032	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	mixscale_validated_ifng_readout	donor_mean_z_score	3	19	0.4954543078148132	3.121576234503129	0.1769190973659089	0.3278614301073529	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	complement_phagocytosis	donor_mean_z_score	6	6	0.0047848520080787	0.116675699758358	0.8335186648150581	0.8739807359225852	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	complement_phagocytosis	donor_mean_z_score	6	6	-0.2427821082271818	-1.1948385531275318	0.0583275696475437	0.1594779119477145	negative_trend	-1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	hif_nampt_metabolic	donor_mean_z_score	6	6	0.3961886265140769	2.2042513819690743	0.0063653546568736	0.0652726326153747	supportive	2.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	hif_nampt_metabolic	donor_mean_z_score	6	6	0.6951364212868024	2.061433384468718	0.0084247665328455	0.0664276621144054	supportive	2.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	hla_ii_apc	donor_mean_z_score	6	6	0.3812501418830969	1.571999960468735	0.0148479543501657	0.0871839249186987	supportive	2.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	hla_ii_apc	donor_mean_z_score	6	6	0.1453383370787183	0.7668214976355503	0.196785802610297	0.3455750679985703	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	ifn_apc	donor_mean_z_score	6	6	0.2895967139945096	1.5785251194189207	0.0170192471483046	0.0896623752203365	supportive	2.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	ifn_apc	donor_mean_z_score	6	6	0.4847164229986094	2.358543424842494	0.0012969113476323	0.0525390881951736	supportive	2.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	inflammatory_nfkb	donor_mean_z_score	6	6	0.1857117414325387	3.3298491315490826	0.0003399058227033	0.0272504788034642	strong	3.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	inflammatory_nfkb	donor_mean_z_score	6	6	0.9524837890778208	2.169404569909906	0.0077840696433708	0.0660492307000359	supportive	2.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	lipid_loader_repair	donor_mean_z_score	6	6	0.0280753354071789	0.6565482561886778	0.2687702595500194	0.4237545698014904	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	lipid_loader_repair	donor_mean_z_score	6	6	0.1202125134437931	0.9066788957788818	0.1213084047654657	0.267373626830006	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	lysosomal_apc	donor_mean_z_score	6	6	0.2479435015472393	1.660122892299652	0.0149342834351474	0.0871839249186987	supportive	2.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	lysosomal_apc	donor_mean_z_score	6	6	0.0113946264637093	0.144479253034558	0.7918480220635983	0.838427317479104	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	mif_cd74_receptor_state	donor_mean_z_score	6	6	0.4394729298112865	1.880073615416148	0.0055423191681903	0.0598570470164554	supportive	2.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	mif_cd74_receptor_state	donor_mean_z_score	6	6	0.2908169398201553	1.6522797558223674	0.01903878642493	0.0913585065286465	supportive	2.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	mixscale_validated_ifng_readout	donor_mean_z_score	6	6	0.4432732317739749	3.2710794754908497	0.0001159594193558	0.0250472345808662	strong	3.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	mixscale_validated_ifng_readout	donor_mean_z_score	6	6	0.1347169404636061	1.1700784589872044	0.0530850551940962	0.1556790868501292	trend	1.0
