disease	dataset	modality	compartment	gene	metric	n_case	n_control	delta	hedges_g	p	fdr	support_level	support_score
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	CD44	sample_mean_log1p_cpm_gene	3	2	0.3042293170228873	1.6083821954141562	0.0879434375074514	0.212529973976341	trend	1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	CD44	log2_expression	10	11	1.3446537852001974	0.9541987285932504	0.0331669831445104	0.2084781797654941	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CD44	donor_mean_z_score	9	13	0.0248792153032391	0.0763916345670895	0.8459511886682914	0.9281133075233976	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CD44	donor_mean_z_score	11	14	-0.1529111831178057	-0.5350629694966299	0.1723921267184211	0.5173637795185537	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	CD44	donor_mean_z_score	3	3	-0.0259317866044482	-0.0839606368700791	0.9084676876559676	0.95943254514824	null_or_negative	0.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	CD44	donor_mean_z_score	3	3	-0.1866201640778026	-0.4948672209598144	0.4938275785282616	0.7349499982240089	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CD44	donor_mean_z_score	18	18	0.0075255704789584	0.0412967840560042	0.8999273607751997	0.956733406804199	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CD44	donor_mean_z_score	3	19	0.2909600126257615	0.692390102894555	0.4283172037364462	0.7004686662140702	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CD44	donor_mean_z_score	5	18	-0.0250047522973495	-0.0576192347105978	0.9198424808420556	0.9628614744881466	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CD44	donor_mean_z_score	5	19	-0.0296720993890688	-0.1105144974680186	0.8653711473944795	0.9386142762011374	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CD44	donor_mean_z_score	6	6	0.5282584684824891	1.4137363550949773	0.0440588155784926	0.289818433773495	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CD44	donor_mean_z_score	6	6	0.4255547899299934	1.1534502037786938	0.0678980369239472	0.3484216973152504	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CD68	donor_mean_z_score	6	6	-0.0796740804851893	-0.6761037504577566	0.238391508902856	0.5741159163065723	null_or_negative	0.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CD68	donor_mean_z_score	6	6	-0.1457145237331751	-0.621789730110439	0.2713242527961881	0.6072696506124344	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CD68	donor_mean_z_score	11	14	0.032518974899912	0.2417066644622294	0.5397999123683302	0.764318459990556	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CD68	donor_mean_z_score	9	13	-0.0876821201592127	-0.271823085323443	0.4648448205943576	0.7154014300594891	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	CD68	donor_mean_z_score	3	3	0.1082502207528542	1.9830626114297751	0.0653930599549327	0.3435707424993067	trend	1.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	CD68	donor_mean_z_score	3	3	-0.0832165406190499	-0.665442646768635	0.3851299853549255	0.6774211838891293	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CD68	donor_mean_z_score	18	18	0.0081866175153455	0.0445187214007828	0.8921592923994252	0.9520072018694552	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CD68	donor_mean_z_score	5	18	0.3455086499784445	1.0068189595683743	0.2078367533912973	0.5548997911703838	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CD68	donor_mean_z_score	3	19	0.0334110556033513	0.0898603503634633	0.9319397138369806	0.970612557942502	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CD68	donor_mean_z_score	5	19	-0.1667813227438764	-0.6368991763897014	0.2622624345276118	0.5983884424159415	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CD68	donor_mean_z_score	6	6	0.1383799439220688	0.5935252051196883	0.3015699550971164	0.6318108940969792	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CD68	donor_mean_z_score	6	6	0.0300665395209718	0.1385040870823217	0.800988886861863	0.9053027787529804	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CD74	donor_mean_z_score	6	6	0.9462283379329244	1.6173022618526631	0.0132218017773647	0.2115464453984163	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CD74	donor_mean_z_score	6	6	0.0268978704578615	0.0776518943697995	0.8870810029910005	0.9493843510271576	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	CD74	sample_mean_log1p_cpm_gene	3	2	1.429350493578222	0.8510758596834239	0.2323846503764269	0.2815372107282357	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	CD74	sample_mean_log1p_cpm_gene	3	2	2.5825488370919807	10.062120318418662	0.0514363562861995	0.1491654332299787	trend	1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	CD74	log2_expression	10	11	0.2553907019006836	0.5415320486815584	0.2187160729350419	0.4374321458700838	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CD74	donor_mean_z_score	11	14	0.3616885105179011	1.4896042625574764	0.0017261096433971	0.1917174114402367	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CD74	donor_mean_z_score	9	13	0.1143313444782113	0.2812481538919348	0.4749144261234606	0.7234039934003591	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	CD74	donor_mean_z_score	3	3	0.7130395347007785	1.4838005999379582	0.1499879171925776	0.4883885502603076	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	CD74	donor_mean_z_score	3	3	0.3290868921038729	1.355449472330254	0.1102185341496523	0.435431246023318	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CD74	donor_mean_z_score	18	18	-0.0731770758301864	-0.2460392446932733	0.4556774861274621	0.7093838145561181	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CD74	donor_mean_z_score	5	18	0.3354677571315716	1.223498988567667	0.071362193265698	0.356338991302587	trend	1.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CD74	donor_mean_z_score	5	19	0.5437219066095881	1.2935455229092925	0.0003750088782009	0.1917174114402367	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CD74	donor_mean_z_score	3	19	1.2966235280196672	2.312352229713029	0.2974844443287367	0.6307913680077337	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CD74	donor_mean_z_score	6	6	0.7703496154406599	1.5186346777365478	0.0172938851294079	0.2115464453984163	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CD74	donor_mean_z_score	6	6	0.0799023391206041	0.3081725979582955	0.580317834172273	0.7987170190758166	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CIITA	donor_mean_z_score	6	6	0.2245489086959302	1.154133371393269	0.0651963358316244	0.3435707424993067	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CIITA	donor_mean_z_score	6	6	0.1429839873818493	0.4224421197896371	0.4483332520366276	0.7049957771583333	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	CIITA	sample_mean_log1p_cpm_gene	3	2	0.0694717149350434	0.8302358064868669	0.2427044920070997	0.2815372107282357	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	CIITA	sample_mean_log1p_cpm_gene	3	2	0.2050628259043746	1.7981433532899769	0.0692869561458689	0.1791201879066048	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CIITA	donor_mean_z_score	9	13	-0.0890961008379004	-0.2724084573978216	0.539695764312994	0.764318459990556	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CIITA	donor_mean_z_score	11	14	-0.0639781964231168	-0.3084410334543388	0.3885371536879644	0.6802467270011227	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	CIITA	donor_mean_z_score	3	3	0.3081120285852886	2.0336983523776087	0.0779397067563997	0.3611851485441884	trend	1.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	CIITA	donor_mean_z_score	3	3	0.2180046805692818	0.5747644550935243	0.4454269039674506	0.7032857374264625	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CIITA	donor_mean_z_score	18	18	-0.0361026669513879	-0.2490571383563718	0.4500711103921478	0.7051297690354336	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CIITA	donor_mean_z_score	5	19	0.3703337650995419	2.280889211318359	0.0733984004824086	0.3567628069288295	trend	1.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CIITA	donor_mean_z_score	5	18	0.1131667067021431	1.538380338845842	0.1408974832291457	0.4774832611111266	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CIITA	donor_mean_z_score	3	19	0.0414902876373064	0.6592671614797647	0.5666171468155925	0.7857745914669105	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CIITA	donor_mean_z_score	6	6	0.0878654791584326	0.6923024897646828	0.2231872798905868	0.565325518480937	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CIITA	donor_mean_z_score	6	6	0.2078999747140721	0.995947771686902	0.1082158280958718	0.4342202506668212	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CTSB	donor_mean_z_score	6	6	0.1159980587455938	1.2735695179550923	0.0413263810304672	0.2798823688835875	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CTSB	donor_mean_z_score	6	6	-0.0972211469121401	-0.387079293970022	0.4852050615384853	0.7280920032464963	null_or_negative	0.0
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	CTSB	sample_mean_log1p_cpm_gene	3	2	0.9642374254874452	1.2202623718500256	0.1401699668826591	0.2709952693064744	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	CTSB	sample_mean_log1p_cpm_gene	3	2	0.631157916504566	0.9240160357079809	0.2132583823451197	0.2811133221822033	positive_null	0.25
MS	GSE111972	sorted_bulk_microglia	white matter microglia	CTSB	log2_expression	10	11	-0.0599954640789519	-0.1033313175720312	0.8140537383462653	0.9425885391377808	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CTSB	donor_mean_z_score	9	13	-0.1119360244629931	-0.5404169377596787	0.1549999119934269	0.4947628113505897	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CTSB	donor_mean_z_score	11	14	-0.0351478425297194	-0.1190332562093983	0.7512587485456153	0.886277601970864	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	CTSB	donor_mean_z_score	3	3	1.0162597242438864	3.28247737300106	0.0097142185125996	0.2115464453984163	trend	1.0
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	CTSB	donor_mean_z_score	3	3	-0.0668512143418278	-0.1937134742946573	0.7909654749055878	0.8986982737495077	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CTSB	donor_mean_z_score	18	18	-0.0178042511213778	-0.1160270406137836	0.7240757352800422	0.8746048882846333	null_or_negative	0.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CTSB	donor_mean_z_score	5	19	0.387995487329333	1.1237196335455792	0.0769965944909115	0.3611851485441884	trend	1.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CTSB	donor_mean_z_score	5	18	0.1434196024049779	0.5587021677599482	0.5037407306520428	0.7393620830719215	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CTSB	donor_mean_z_score	3	19	0.4310096061152314	1.0224177706785664	0.4499138720182359	0.7051297690354336	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CTSB	donor_mean_z_score	6	6	0.1337688821203126	1.0049081293077946	0.1034969253465237	0.4301170923491894	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CTSB	donor_mean_z_score	6	6	0.1466368080234741	0.5676471484939263	0.3125483791917678	0.6423033562007203	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CTSD	donor_mean_z_score	6	6	0.0144184702073607	0.0683939724305528	0.9009933713522204	0.9570717969550556	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CTSD	donor_mean_z_score	6	6	-0.3872631464784102	-1.4639119840941637	0.02295503071838	0.2278630381639821	negative_trend	-1.0
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	CTSD	sample_mean_log1p_cpm_gene	3	2	0.8129787247341248	1.1724317897117793	0.1352301519588969	0.2709952693064744	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	CTSD	sample_mean_log1p_cpm_gene	3	2	1.101777333045178	3.240638252805033	0.0126118070287091	0.0457178004790706	strong	3.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	CTSD	log2_expression	10	11	0.4931363740249406	0.9402214690667554	0.0483200176388117	0.2362311973453019	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CTSD	donor_mean_z_score	9	13	-0.0875865601968188	-0.3608447931384762	0.3309758985847003	0.6538120058436172	null_or_negative	0.0
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CTSD	donor_mean_z_score	11	14	-0.1082924606380608	-0.2838396375454882	0.4634192743090552	0.7154014300594891	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	CTSD	donor_mean_z_score	3	3	0.1866295395470315	0.6153677071239149	0.440269226684858	0.7032857374264625	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	CTSD	donor_mean_z_score	3	3	0.0840242400127965	0.2370816691766272	0.7487118389264955	0.8857219536283866	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CTSD	donor_mean_z_score	18	18	0.0004648171390443	0.0022332421725282	0.994574343298246	1.0	positive_null	0.25
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CTSD	donor_mean_z_score	5	18	0.216758053500371	0.7058941432447511	0.216286719556079	0.560181718962771	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CTSD	donor_mean_z_score	5	19	0.315114550105566	0.939237003054052	0.1717964789304248	0.5173637795185537	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CTSD	donor_mean_z_score	3	19	-0.0894026880069613	-0.2384693654659538	0.7669379730173238	0.8909259431450516	null_or_negative	0.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CTSD	donor_mean_z_score	6	6	0.0859810176128586	0.3821546594840334	0.4911399937665424	0.7349499982240089	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CTSD	donor_mean_z_score	6	6	-0.4222255111637795	-1.723044864531866	0.0132443966049964	0.2115464453984163	negative_trend	-1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CTSS	donor_mean_z_score	6	6	0.3741268596798106	1.5411278055404474	0.0181567544325339	0.21321693278572	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CTSS	donor_mean_z_score	6	6	0.1370260959167262	0.6116097102177329	0.2907733110379448	0.6234335647044712	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	CTSS	sample_mean_log1p_cpm_gene	3	2	0.2160653097110417	1.227637803906766	0.1394688329860367	0.2709952693064744	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	CTSS	sample_mean_log1p_cpm_gene	3	2	0.5307378635462064	22.502637330799654	0.000278372128929	0.0027116891048613	strong	3.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	CTSS	log2_expression	10	11	0.189873422640673	0.6388917205212462	0.1407159118865243	0.325868427526688	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CTSS	donor_mean_z_score	11	14	0.0106734232141729	0.0340719059831253	0.9312038187831256	0.970612557942502	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CTSS	donor_mean_z_score	9	13	-0.0126101007484825	-0.0368930069044297	0.922067490159914	0.964253584480956	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	CTSS	donor_mean_z_score	3	3	0.2480614770719607	1.6175085848411297	0.1032868376694264	0.4301170923491894	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	CTSS	donor_mean_z_score	3	3	0.1859533263550866	0.4874936902349819	0.4990653710704428	0.7360750987373887	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CTSS	donor_mean_z_score	18	18	-0.0381736456312457	-0.0914710167604386	0.780878850034549	0.8954311942382126	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CTSS	donor_mean_z_score	5	18	0.3973850237546453	1.5228123819484003	0.0778512776255048	0.3611851485441884	trend	1.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CTSS	donor_mean_z_score	5	19	0.348536800619066	1.7678416619618618	0.0628505656516251	0.3394460929708026	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CTSS	donor_mean_z_score	3	19	0.6432649274924135	2.820843624156973	0.2073709054768544	0.5548997911703838	positive_null	0.25
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CTSS	donor_mean_z_score	6	6	0.5838029551141575	2.286029886916042	0.0017874549075027	0.1917174114402367	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CTSS	donor_mean_z_score	6	6	0.0609098205599856	0.3798513847621876	0.4953118973888705	0.7354979450786012	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CXCL10	donor_mean_z_score	6	6	0.5284673329564772	1.2110593479771965	0.0569938600830278	0.334642848193925	trend	1.0
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CXCL10	donor_mean_z_score	6	6	0.0059470768058454	0.1071625830805828	0.8449384542913781	0.9281133075233976	positive_null	0.25
Graves disease	GSE248205	spatial_visium	thyroid tissue spots	CXCL10	sample_mean_log1p_cpm_gene	3	2	0.0755320336882893	0.8599121247287087	0.2364035623454291	0.2815372107282357	positive_null	0.25
Hashimoto thyroiditis	GSE248205	spatial_visium	thyroid tissue spots	CXCL10	sample_mean_log1p_cpm_gene	3	2	0.3048047739521659	1.5798852037162547	0.0916092114387957	0.2125333705380061	trend	1.0
MS	GSE111972	sorted_bulk_microglia	white matter microglia	CXCL10	log2_expression	10	11	1.0833175761966238	0.7361200117292042	0.0961728499382612	0.3041381514381535	trend	1.0
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CXCL10	donor_mean_z_score	9	13	0.163333466717726	0.6971368351175213	0.1454525374483697	0.4820551620872594	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CXCL10	donor_mean_z_score	11	14	0.0253428411110287	0.3855487573023567	0.3591381365178822	0.6697088274008902	positive_null	0.25
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	CXCL10	donor_mean_z_score	3	3	0.5041040077058394	1.1307490492844143	0.2239219045858086	0.565325518480937	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	CXCL10	donor_mean_z_score	3	3	0.1339373373447946	1.2143131263793354	0.1428889843317119	0.4800469814818667	positive_null	0.25
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CXCL10	donor_mean_z_score	18	18	-0.0140718201265785	-0.0708840159072733	0.8293679033593163	0.9223205180711772	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CXCL10	donor_mean_z_score	5	18	0.0767413833663284	1.0776236159044272	0.2749994489747275	0.6074374956708933	positive_null	0.25
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CXCL10	donor_mean_z_score	5	19	0.1884090812328096	1.3763541996249726	0.2420077250752088	0.5776525218545336	positive_null	0.25
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CXCL10	donor_mean_z_score	3	19	-0.0049558282348701	-0.2326421730310586	0.3305649312781842	0.6538120058436172	null_or_negative	0.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CXCL10	donor_mean_z_score	6	6	0.3650199349397536	1.0848117008398184	0.0737806531717024	0.3567628069288295	trend	1.0
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CXCL10	donor_mean_z_score	6	6	0.0425261267695854	0.5183687285290831	0.3576371601615328	0.6697088274008902	positive_null	0.25
Crohn disease	ibd_crohn_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CXCL8	donor_mean_z_score	6	6	0.323945179858956	0.9117599159535864	0.146779941312889	0.4842224868054072	positive_null	0.25
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CXCL8	donor_mean_z_score	6	6	1.0573464215233337	0.9841272083793638	0.1172274252487385	0.4378572877174881	positive_null	0.25
Sjogren syndrome	sjogren_gland_apc	single_cell_or_single_nucleus_h5ad	salivary gland APC	CXCL8	donor_mean_z_score	9	13	0.0389978774869661	0.1429879309623911	0.7272048561537912	0.8748329096586961	positive_null	0.25
Sjogren syndrome	sjogren_gland_epithelial	single_cell_or_single_nucleus_h5ad	salivary gland epithelial	CXCL8	donor_mean_z_score	11	14	-0.1308275575689705	-0.5436561948220948	0.1422424035889988	0.4800469814818667	null_or_negative	0.0
psoriasis	psoriasis_keratinocyte	single_cell_or_single_nucleus_h5ad	skin keratinocyte	CXCL8	donor_mean_z_score	3	3	0.2631991300148556	0.6267568393439391	0.4298178964824883	0.7004686662140702	positive_null	0.25
psoriasis	psoriasis_skin_apc	single_cell_or_single_nucleus_h5ad	skin APC	CXCL8	donor_mean_z_score	3	3	-0.5851733006309048	-1.4477679486051476	0.1325720208099278	0.4662940826383155	null_or_negative	0.0
rheumatoid arthritis	ra_blood_myeloid	single_cell_or_single_nucleus_h5ad	blood myeloid/APC	CXCL8	donor_mean_z_score	18	18	-0.064624632990067	-0.2071636254896487	0.5296886321220969	0.7559173349292888	null_or_negative	0.0
type 1 diabetes mellitus	t1d_acinar_cell	single_cell_or_single_nucleus_h5ad	pancreatic acinar cell	CXCL8	donor_mean_z_score	5	18	1.2152636955847025	3.143971070946456	0.0190857855176759	0.217378002335436	trend	1.0
type 1 diabetes mellitus	t1d_ductal_cell	single_cell_or_single_nucleus_h5ad	pancreatic ductal cell	CXCL8	donor_mean_z_score	5	19	1.052085550153014	2.6856427491450754	0.0115576175560593	0.2115464453984163	trend	1.0
type 1 diabetes mellitus	t1d_beta_cell	single_cell_or_single_nucleus_h5ad	pancreatic beta cell	CXCL8	donor_mean_z_score	3	19	1.3852181081799009	3.0012509262708575	0.1445838821281984	0.4820551620872594	positive_null	0.25
ulcerative colitis	ibd_uc_epithelial	single_cell_or_single_nucleus_h5ad	colon epithelial	CXCL8	donor_mean_z_score	6	6	0.4919127052618005	1.785161864091323	0.0194517860599778	0.2184060189190493	trend	1.0
ulcerative colitis	ibd_uc_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CXCL8	donor_mean_z_score	6	6	1.1025730193712997	2.462696465195063	0.0011566860409076	0.1917174114402367	trend	1.0
Crohn disease	ibd_crohn_myeloid	single_cell_or_single_nucleus_h5ad	colon myeloid	CXCR4	donor_mean_z_score	6	6	0.4543187278843824	1.5654972179935367	0.0213805293126988	0.2278630381639821	trend	1.0
