gene	n_contexts_compared	c15_trend_contexts_tested	c15_trend_positive_context_count	c15_trend_positive_disease_count	c15_trend_negative_context_count	c15_strict_positive_context_count	c15_strict_positive_disease_count	c15_myeloid_positive_context_count	c15_state_pearson_r	c15_state_pearson_p	c15_state_spearman_r	c15_state_spearman_p	best_c15_context_delta	best_c15_context	positive_c15_contexts	negative_c15_contexts	contrast_state_score	mechanistic_seed	ms_delta_log2	ms_p	ms_fdr	residual_strict_disease_count	residual_retained_disease_count	wave39_call	wave39_score	uniprot_accessible	chembl_activity_count	wave55_score	wave55_n_genetic_diseases_ge_0_25	wave55_genetic_diseases_ge_0_25	wave62_score	wave62_call	wave62_ms_max_l2g_score	wave62_ms_max_relevant_qtl_h4	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	manual_blocker	prior_context_blocker	w68_cell_state	w68_remission_adjusted_delta	w68_remission_adjusted_p	w68_remission_adjusted_fdr	w68_call	w37_screen_call	w37_contrast_lfc	w37_contrast_fdr	w18_strong_support_contexts	w18_recommendation	wave79_call	wave79_gate_count	wave94_call	wave94_score	wave95_call	gate_ms_anchor	gate_c15_contrast_state	gate_cross_disease_residual	gate_cell_response_or_transition	gate_real_perturbation	gate_foundation_support	gate_genetics	gate_modality	gate_prior_not_blocked	intervention_evidence_count	pre_donor_controller_score	candidate_for_donor_validation
GPN2	17	7	1	1	1	1	1	0	-0.3260487852106386	0.20153681522404174	-0.3921568627450981	0.11949978461381588	0.8532431080813625	t1d_endothelial_cell	t1d_endothelial_cell	ibd_crohn_myeloid	0.34790242957872275	False	-0.1253422617198794	0.4837896658179845	0.926038761164836	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.3125312389207858	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.6520975704212773	False
GPATCH3	17	7	1	1	1	1	1	0	-0.05653596211422565	0.8293621445179834	-0.09068627450980393	0.729235337448989	0.9218748560024216	t1d_endothelial_cell	t1d_endothelial_cell	ibd_crohn_myeloid	0.8869280757715488	False	0.1715913097545023	0.514433507516038	0.9337690437858048	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-1.438646397254836	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.11307192422845125	False
NUDC	17	7	0	0	2	0	0	0	-0.4641240764142757	0.06055334869704408	-0.4338235294117647	0.08189345203365919				ibd_uc_myeloid;t1d_stellate_cell	-3.9282481528285516	False	0.3407077067475654	0.1745256987318374	0.8993702893651148	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.5824975326535505	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-5.9282481528285516	False
SLC9A1	17	7	1	1	0	1	1	0	-0.11772724487210658	0.6527108629984147	-0.14215686274509806	0.586262862651232	0.9587491401566886	t1d_endothelial_cell	t1d_endothelial_cell		2.264545510255787	False	0.0617947453565008	0.8116868301860127	0.9761732664217524	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.3910833129223947	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	2.264545510255787	False
WDTC1	17	7	0	0	2	0	0	0	-0.20129639087905304	0.43849960246247155	0.004901960784313726	0.9851029592703197				ibd_crohn_myeloid;ibd_uc_myeloid	-3.402592781758106	False	-0.0281731005206431	0.822811754338367	0.9761732664217524	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.3837144562236123	0.9965506589785832	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-5.402592781758106	False
TMEM222	17	7	0	0	1	0	0	0	-0.533942192155509	0.027267004253478083	-0.5955882352941178	0.01164673138054415				ibd_crohn_myeloid	-2.567884384311018	False	0.3062095770844184	0.2898461389011027	0.9055783835864206	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.1611730985796764	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-3.567884384311018	False
SYTL1	17	7	0	0	0	0	0	0	0.11217752629849329	0.6681800219745857	-0.08333333333333334	0.750504450153402					0.22435505259698657	False	1.0055236613670315	0.3757623649576065	0.9141270983319502	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.0661887123565643	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	0.22435505259698657	False
MAP3K6	17	7	1	1	0	1	1	0	0.12345651010677992	0.6368804671138825	0.02696078431372549	0.9181909009189737	0.9381048960071938	t1d_endothelial_cell	t1d_endothelial_cell		2.74691302021356	False	-3.0361187648503423	0.0066865706518296	0.8344760564031432	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.5086855024684067	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	2.74691302021356	False
WASF2	17	7	0	0	0	0	0	0	-0.43101591982216536	0.08411536634160949	-0.44852941176470595	0.07094643963763717					-0.8620318396443307	False	-0.0149201510365575	0.923938438642206	0.9900445491146652	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	-1.6668859952972346	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.8620318396443307	False
AHDC1	17	7	0	0	0	0	0	0	-0.08421462658643321	0.747945912715488	0.002450980392156863	0.9925511887884692					-0.16842925317286642	False	0.1474550587831373	0.4519160251910886	0.9226676071654472	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.2106102098363284	0.9965506589785832	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.16842925317286642	False
FGR	12	5	2	2	0	2	2	2	0.5997784617686708	0.03925442400695648	0.1398601398601399	0.6646331617926677	2.2801352424655557	ibd_uc_myeloid	ibd_crohn_myeloid;ibd_uc_myeloid		8.199556923537342	False	-0.322676730291441	0.3152148519476971	0.9114390952630576	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro	-1.0289496551654576	0.0081574260663011	0.025275060450117	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.1126449023336011	0.9971256078463696	0.0			0.0				False	False	False	True	False	False	False	False	True	1	9.699556923537342	False
IFI6	17	7	4	3	0	1	1	2	-0.3856103219214739	0.12635324189302818	-0.29411764705882354	0.2518444167529263	1.9710700192186903	t1d_acinar_cell	ibd_crohn_myeloid;sjogren_gland_apc;t1d_ductal_cell;t1d_acinar_cell		6.728779356157053	False	-0.4966511717679687	0.1139139466127205	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	6.728779356157053	False
FAM76A	17	7	0	0	0	0	0	0	-0.3131990151445006	0.22092128673921213	-0.43627450980392163	0.07998887245986519					-0.6263980302890012	False	0.405492962909018	0.1367414037603563	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.2537096906164556	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.6263980302890012	False
STX12	17	7	0	0	0	0	0	0	0.04719502670563058	0.8572566860347307	-0.12009803921568628	0.6461426985863068					0.09439005341126117	False	0.0398539907810171	0.8034089098499239	0.9754873976997136	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro	-0.4456979372188813	0.0095285841117813	0.0271582490976239	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.2748985441175801	0.920009505703422	0.0			0.0				False	False	False	True	False	False	False	False	True	1	1.5943900534112612	False
PPP1R8	17	7	1	1	0	1	1	0	-0.2827295083053395	0.27152449653592725	-0.41666666666666674	0.09615710991420606	0.3932288378803532	t1d_stellate_cell	t1d_stellate_cell		1.934540983389321	False	-0.1557239827877907	0.4586656753663703	0.9239963547089984	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.3970770295209591	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	1.934540983389321	False
THEMIS2	17	7	1	1	0	1	1	0	-0.16998312944665928	0.5142415656674034	-0.19117647058823534	0.46232612062451384	1.0444683510221966	t1d_stellate_cell	t1d_stellate_cell		2.1600337411066812	False	-0.2758675680483815	0.4508646841916431	0.9225905944386774	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.1453158963925649	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	2.1600337411066812	False
RPA2	17	7	0	0	0	0	0	0	-0.05160851090731992	0.8440549194805101	-0.03186274509803922	0.9033768447188891					-0.10321702181463983	False	0.0838305304576376	0.785890240799858	0.9745041645639924	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.5509718020689407	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.10321702181463983	False
XKR8	17	7	0	0	0	0	0	0	0.26806009406730924	0.29822440654810267	0.25000000000000006	0.3331701359154762					0.5361201881346185	False	-0.4595822442228732	0.0576479362578109	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro	-1.9250098187185989	0.0005291632556404	0.0110563461001185	DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.3398447547236924	1.0	0.0			0.0				False	False	False	True	False	False	False	False	True	1	2.0361201881346185	False
EYA3	17	7	5	2	0	3	2	1	0.19002351244685498	0.4650810162646489	0.32107843137254904	0.20889818325093903	1.144884735560948	t1d_ductal_cell	ibd_crohn_myeloid;t1d_ductal_cell;t1d_acinar_cell;t1d_stellate_cell;t1d_endothelial_cell		9.38004702489371	False	-0.1768477688787566	0.4419966854487632	0.9214560346888634	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.1711821326257988	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	9.38004702489371	False
PTAFR	17	7	1	1	0	1	1	1	0.10034191349917153	0.7015886924319598	0.1936274509803922	0.4564969285487544	0.5575352594430774	ibd_crohn_myeloid	ibd_crohn_myeloid		3.700683826998343	False	-0.007163476645255	0.9771387330692362	0.9978591419243252	0.0	0.0				0.0	3.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.0946945085876144	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	3.700683826998343	False
DNAJC8	17	7	1	1	1	0	0	0	-0.16983106144365362	0.5146235962404044	-0.13970588235294118	0.5928010818860754	0.3502781935769352	t1d_acinar_cell	t1d_acinar_cell	t1d_stellate_cell	-0.8396621228873072	False	0.0865298231599673	0.5048888050424679	0.9300602197639828	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.3520260203657396	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-1.8396621228873071	False
ATP5IF1	17	7	0	0	3	0	0	0	-0.685456361096408	0.002388960755449069	-0.5808823529411765	0.014476718085072133				ibd_crohn_myeloid;ibd_uc_myeloid;t1d_endothelial_cell	-5.870912722192816	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-8.870912722192816	False
AL353622.1	8	1	0	0	0	0	0	0	-0.056132059259615064	0.894973256599261	-0.09523809523809526	0.8225054302036114					-0.11226411851923013	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.11226411851923013	False
SESN2	17	7	1	1	1	1	1	0	-0.1202192478178484	0.6458075544589083	-0.24264705882352944	0.3480470322955878	0.9366880457324536	t1d_stellate_cell	t1d_stellate_cell	t1d_acinar_cell	0.7595615043643034	False	0.8645210953654008	0.3476350789579404	0.9141270983319502	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.0881219834122373	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.24043849563569664	False
MED18	17	7	1	1	0	1	1	0	0.45501210252696433	0.06647834592136835	0.49019607843137264	0.04575998028099106	1.246948012870381	t1d_stellate_cell	t1d_stellate_cell		3.4100242050539284	False	-0.2188788716993013	0.5207802391107405	0.9352591033176444	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.2526987899160307	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	3.4100242050539284	False
PHACTR4	17	7	0	0	3	0	0	0	-0.5910025211866128	0.01247741924297354	-0.5098039215686275	0.036568145531216366				ibd_crohn_myeloid;ibd_uc_myeloid;t1d_endothelial_cell	-5.682005042373225	False	0.3564089268190162	0.0156746545875068	0.8372898579012464	0.0	0.0				0.0	0.0	0.0		0.1593308746814727	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.0595814347503456	1.0	0.0			0.0				True	False	False	False	False	False	False	False	True	0	-6.682005042373225	False
RCC1	17	7	2	1	0	2	1	0	0.09199828262739965	0.7254592904222561	-0.029411764705882353	0.9107803991169199	2.0103550327314013	t1d_endothelial_cell	t1d_stellate_cell;t1d_endothelial_cell		3.6839965652547995	False	-0.5003869623118486	0.0917003093522136	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.8708246747922701	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	0.0	0.0	1.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.1729555162804801	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	3.6839965652547995	False
TRNAU1AP	17	7	0	0	0	0	0	0	0.15390381321035534	0.5553523199953144	-0.09313725490196079	0.7221860910253712					0.3078076264207107	False	0.2942678911121721	0.3129397151104467	0.9105959046846624	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.2027908181231792	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	0.3078076264207107	False
SNHG12	17	7	1	1	0	0	0	1	-0.18387492276669487	0.4799094922927039	-0.20833333333333337	0.4223129818009652	0.3903552070930365	sjogren_gland_apc	sjogren_gland_apc		1.6322501544666101	False	0.3847639246397687	0.3653792455100239	0.9141270983319502	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	1.6322501544666101	False
TAF12	17	7	1	1	0	0	0	0	0.12323945464875627	0.6374775622529494	0.1936274509803922	0.4564969285487544	0.3283902405088277	t1d_ductal_cell	t1d_ductal_cell		1.2464789092975126	False	-0.0648928782820164	0.7729379748678021	0.9733233960040236	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.808160770320391	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	1.2464789092975126	False
RAB42	17	7	0	0	1	0	0	0	-0.3800141207175841	0.13242517810788268	-0.019607843137254905	0.9404583435037518				ibd_uc_myeloid	-2.260028241435168	False	-0.4129316715632916	0.5874345959254299	0.9464766675794598	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.0870125541028487	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-3.260028241435168	False
AL360012.1	6	2	0	0	0	0	0	0	0.21745893334579752	0.6789532411548644	0.028571428571428574	0.9571545189504373					0.43491786669159505	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	0.43491786669159505	False
GMEB1	17	7	0	0	0	0	0	0	0.0012220634231436753	0.9962859724281566	0.02696078431372549	0.9181909009189737					0.0024441268462873506	False	0.0314912625362042	0.861680035044524	0.9797533479060436	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.110454034047894	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	0.0024441268462873506	False
YTHDF2	17	7	0	0	0	0	0	0	0.25205452152354935	0.3290801077432905	0.1985294117647059	0.44495054367880854					0.5041090430470987	False	0.1327571129098164	0.3644206959031834	0.9141270983319502	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.8747315389922106	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	0.5041090430470987	False
EPB41	17	7	3	3	0	3	3	2	0.6806983159395412	0.002632259745479197	0.5710784313725491	0.016646381649637165	0.9966567700983012	ibd_crohn_myeloid	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_endothelial_cell		10.861396631879082	False	0.0799359778666097	0.6217490671776011	0.9490245393797272	0.0	0.0				0.0	0.0	0.0		0.0613027662038803	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	10.861396631879082	True
SRSF4	17	7	0	0	0	0	0	0	-0.13613265398380692	0.6023861936397277	-0.13480392156862747	0.6059663630124607					-0.27226530796761383	False	0.0934581279865938	0.5092482896887446	0.9325418504967176	0.0	0.0				0.0	0.0	0.0		0.0883456692099571	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.0069793712800932	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.27226530796761383	False
MECR	17	7	0	0	0	0	0	0	-0.40461810997887615	0.10718293868975631	-0.40196078431372556	0.10973047964744033					-0.8092362199577523	False	-0.995111453715162	0.3402998626296603	0.9141270983319502	0.0	0.0				0.0	3.0	1.0	AS	0.4609436392784118	NO_GO_WAVE62_TARGET_RESOLUTION	0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.2613678113678145	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.8092362199577523	False
MATN1-AS1	17	7	0	0	0	0	0	0	0.2292865450071015	0.37602615203334183	0.22549019607843138	0.3841966507618189					0.458573090014203	False	0.834637105025652	0.3903886407898895	0.9157809859344704	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	0.458573090014203	False
LAPTM5	17	7	1	1	1	1	1	0	0.002609649663910911	0.9920689884266929	0.10784313725490197	0.6803504180481621	1.6120616980107787	t1d_endothelial_cell	t1d_endothelial_cell	ibd_crohn_myeloid	1.005219299327822	False	0.2726573823705198	0.1303632586408956	0.8989378106274888	0.0	0.0	NO_GO_SURFACEOME_RESCUE	12.25	True	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0	do_not_promote		0.0	NO_GO_ACCESSIBLE_STATE_RERANK	2.77265738237052		False	False	False	False	False	False	False	True	True	1	1.005219299327822	True
SDC3	17	7	1	1	1	0	0	0	-0.5129260590047705	0.035245284006495146	-0.4338235294117647	0.08189345203365919	0.665761315299572	t1d_acinar_cell	t1d_acinar_cell	ibd_uc_myeloid	-1.525852118009541	False	0.4519583592693497	0.0746344895716322	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.0851728016547408	1.0	0.0			0.0				True	False	False	False	False	False	False	False	True	0	-0.525852118009541	False
PUM1	17	7	0	0	1	0	0	0	-0.3726453079122437	0.1407249553601881	-0.5171568627450981	0.03351135213888932				t1d_endothelial_cell	-2.245290615824487	False	-0.0978488474853822	0.3820192515064962	0.9141270983319502	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.5582349014658613	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-3.245290615824487	False
SNRNP40	17	7	2	1	0	1	1	0	-0.10672715187233994	0.6834962140769505	-0.10294117647058824	0.6942047830993175	0.7064814603719771	t1d_acinar_cell	t1d_acinar_cell;t1d_endothelial_cell		3.2865456962553203	False	0.1144588408722935	0.53169197360835	0.9357323188472788	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.3069306361830604	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	3.2865456962553203	False
ZCCHC17	17	7	0	0	2	0	0	0	-0.3909595207015626	0.12073332719241896	-0.3186274509803922	0.2125915923704277				ibd_crohn_myeloid;ibd_uc_myeloid	-3.781919041403125	False	-0.0090983878929531	0.9651072057641384	0.9966020921174218	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.4402226007302893	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-5.781919041403125	False
FABP3	17	7	1	1	2	0	0	1	-0.06874279796786986	0.793202496855035	0.17647058823529413	0.49806765732373415	1.4911107206200351	sjogren_gland_apc	sjogren_gland_apc	ibd_crohn_myeloid;ibd_uc_myeloid	-1.1374855959357397	False	2.5704523604033014	0.0174620898902024	0.8372898579012464	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.3397938114317864	0.920009505703422	0.0			0.0				True	False	False	False	False	False	False	False	True	0	-1.1374855959357397	False
SERINC2	17	7	0	0	0	0	0	0	-0.00911477811058167	0.9723037664774005	0.1519607843137255	0.5604155062809044					-0.01822955622116334	False	-1.08578974043931	0.4170058499920892	0.9185195974256102	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.4784129926885723	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.01822955622116334	False
TINAGL1	16	6	1	1	0	0	0	0	0.27089730392521044	0.3101865890984213	0.37058823529411766	0.15765046473782077	1.557502457240853	t1d_acinar_cell	t1d_acinar_cell		1.541794607850421	False	-1.7272209164661367	0.2006605683200342	0.8993702893651148	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.4507863765201955	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	1.541794607850421	False
PEF1	17	7	0	0	0	0	0	0	-0.1437651620428585	0.5819889351968299	-0.13970588235294118	0.5928010818860754					-0.287530324085717	False	0.4610246418239931	0.1108515814956248	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.2534068260183116	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-0.287530324085717	False
COL16A1	17	7	1	1	0	0	0	0	0.08493798838885484	0.7458477317617761	0.15686274509803924	0.5476805847029369	1.3226050507101568	t1d_ductal_cell	t1d_ductal_cell		1.1698759767777096	False	-1.910681612114045	0.1533948651911271	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.3145993983186131	0.9971256078463696	0.0			0.0				False	False	False	False	False	False	False	False	True	0	1.1698759767777096	False
AL136115.2	9	2	1	1	0	1	1	1	0.8450047329408344	0.0041335848070060185	0.6666666666666667	0.049867230568885125	1.3054944178610357	ibd_uc_myeloid	ibd_uc_myeloid		5.190009465881669	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	5.190009465881669	False
PTP4A2	17	7	1	1	0	1	1	1	0.3425063975188292	0.17838137599918838	-0.05147058823529412	0.8444669030406069	0.8396321293572298	ibd_uc_myeloid	ibd_uc_myeloid		4.185012795037658	False	0.2216392147748926	0.1554469261498187	0.8989378106274888	0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	-0.9323118603598166	0.920009505703422	0.0			0.0				False	False	False	False	False	False	False	False	True	0	4.185012795037658	False
KHDRBS1	17	7	0	0	2	0	0	0	-0.2502180943445636	0.3327345776461639	-0.2524509803921569	0.32829422956501814				sjogren_gland_apc;t1d_ductal_cell	-3.500436188689127	False	0.1821429122666256	0.27610557721836	0.9049965616313804	0.0	0.0				0.0	1.0	0.0		0.0		0.0	0.0	0.0	0.0			Mono_macro				DESCRIPTIVE_GENE_SIGNAL	UNRESOLVED	0.7483557852577813	1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	-5.500436188689127	False
AL445248.1	9	2	0	0	0	0	0	0	0.5853321523526209	0.09775269035506834	0.6666666666666667	0.049867230568885125					1.1706643047052419	False				0.0	0.0				0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0			DC				DESCRIPTIVE_GENE_SIGNAL			1.0	0.0			0.0				False	False	False	False	False	False	False	False	True	0	1.1706643047052419	False
