gene	contrast	n_case	n_control	mean_case_log2	mean_control_log2	log2fc	welch_t	p	fdr
H2-DMa	Med16_US_vs_NTC_US	3	3	6.567858040334571	6.194870079083176	0.3729879612513951	1.728508161001856	0.21471152097089563	0.370519881321457
H2-DMb1	Med16_US_vs_NTC_US	3	3	6.783968480492315	6.87801331550176	-0.09404483500944494	-0.29822088247534323	0.7857069010681172	0.8559376855211334
H2-DMb2	Med16_US_vs_NTC_US	3	3	3.132914563979398	3.3589385323502774	-0.22602396837087957	-0.27480082754936364	0.8045007630687382	0.862358831349745
H2-Eb1	Med16_US_vs_NTC_US	3	3	2.566813239380364	3.2604532378415527	-0.6936399984611885	-0.9221231421758534	0.40954291713281826	0.5606578061770272
Ifi30	Med16_US_vs_NTC_US	3	3	12.559413735546583	12.062189256690589	0.4972244788559941	1.9674364113242904	0.17697129377663884	0.3166000209765557
Ifit1	Med16_US_vs_NTC_US	3	3	2.6024516406858678	3.2134149787407815	-0.6109633380549138	-1.0105745115584104	0.3817407741244956	0.5394163112628741
Ifit2	Med16_US_vs_NTC_US	3	3	8.740350340391613	8.818344850535276	-0.07799451014366277	-0.2865240884942186	0.7988372723522104	0.862358831349745
Ifit3	Med16_US_vs_NTC_US	3	3	2.797439140926253	2.6356301985361728	0.16180894239008037	0.7006345265536122	0.5297471069539905	0.653801809215368
Igtp	Med16_US_vs_NTC_US	3	3	7.435193617802507	7.485867605336337	-0.050673987533830456	-0.2368022342195287	0.8340891728936083	0.8839531995339871
Il6	Med16_US_vs_NTC_US	3	3	0.861654166907052	1.1949875002403854	-0.33333333333333337	-0.6638220507437913	0.5592621173339444	0.6773671607460817
Irf1	Med16_US_vs_NTC_US	3	3	9.84521835478217	9.413378378647463	0.43183997613470737	1.597497154531948	0.23408724045110765	0.4004123849821578
Irf7	Med16_US_vs_NTC_US	3	3	3.4590701767961836	3.9517526090643993	-0.49268243226821573	-1.0931744983184448	0.3663346761920312	0.5214252690324532
Irgm1	Med16_US_vs_NTC_US	3	3	9.129918321859956	8.886365510076777	0.24355281178317867	1.0171651922843505	0.41450489117825867	0.5606578061770272
Isg15	Med16_US_vs_NTC_US	3	3	3.43077387760068	4.431683808519203	-1.0009099309185232	-2.04693490897252	0.1685093652391929	0.312945964015644
Lamp1	Med16_US_vs_NTC_US	3	3	14.996751447005911	14.611224866104541	0.38552658090137015	1.4582510920420593	0.2720175808426859	0.4347821988878996
Lamp2	Med16_US_vs_NTC_US	3	3	12.83244995666116	12.594803017629033	0.23764693903212653	0.8424200997520968	0.4836253536009116	0.6163852545893971
Lamp3	Med16_US_vs_NTC_US	3	3	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.7071067811865475	0.5185185185185185	0.6440198159943382
Med16	Med16_US_vs_NTC_US	3	3	8.06622188316367	10.160547056694174	-2.0943251735305033	-7.445714020384972	0.012089350459896316	0.04400045253575182
Nlrc5	Med16_US_vs_NTC_US	3	3	8.730161807996657	9.12920754205365	-0.3990457340569922	-1.5938818107878976	0.25156823481778273	0.41928039136297124
Oasl2	Med16_US_vs_NTC_US	3	3	6.266427207173973	6.098691255887715	0.16773595128625818	0.7363939335412896	0.5023755336257137	0.6325435586185767
Rfx5	Med16_US_vs_NTC_US	3	3	10.47412318580966	9.74777202840932	0.7263511574003392	2.5295168735327525	0.10174110219178187	0.2204390547488607
Stat1	Med16_US_vs_NTC_US	3	3	9.984886644337015	10.151947233550155	-0.16706058921313982	-0.5574837625918686	0.6327342758258896	0.7432721914822197
Tap1	Med16_US_vs_NTC_US	3	3	9.413104459339456	9.299155080441023	0.11394937889843249	0.48122688016119064	0.6661978457141629	0.7732653566325104
Tap2	Med16_US_vs_NTC_US	3	3	9.936811377998852	9.75293446492851	0.1838769130703426	0.7199399836531825	0.5394911217209036	0.6616400549407309
Tnf	Med16_US_vs_NTC_US	3	3	9.935678641156327	9.636181369770904	0.29949727138542315	1.052667866828089	0.3994056584796413	0.5563150243109289
B2m	NTC_IFNg_vs_NTC_US	3	3	15.722454696567901	13.987561630786468	1.7348930657814332	7.538060921122594	0.012410384048545385	0.04400045253575182
Cd74	NTC_IFNg_vs_NTC_US	3	3	15.448672872200161	10.220430944667466	5.228241927532695	23.179117081873997	0.0007166260778169127	0.008220122657311646
Ciita	NTC_IFNg_vs_NTC_US	3	3	11.594113977366165	3.3974309381569223	8.196683039209242	30.386930257097347	1.6488592896485436e-05	0.0010717585382715533
Ctsb	NTC_IFNg_vs_NTC_US	3	3	16.438325222184673	15.878788296914175	0.559536925270498	2.3556710675325485	0.13500299993567053	0.2659149998732904
Ctsd	NTC_IFNg_vs_NTC_US	3	3	16.29782051208923	16.238129347816017	0.059691164273214525	0.2522104109314109	0.822699191297727	0.8766466792516763
Ctsl	NTC_IFNg_vs_NTC_US	3	3	13.337155893711037	13.375390696574861	-0.03823480286382441	-0.15890906185194995	0.8870682120093503	0.9250176542343492
Ctss	NTC_IFNg_vs_NTC_US	3	3	14.96849038120338	13.536115054249754	1.4323753269536255	5.78063123289046	0.02196845389330544	0.06903196852642604
Cxcl10	NTC_IFNg_vs_NTC_US	3	3	11.008073558350283	4.5380832425631334	6.4699903157871494	18.48954655879301	5.1453997761275216e-05	0.0020067059126897334
Cxcl9	NTC_IFNg_vs_NTC_US	3	3	11.790302228865622	1.7739760316291207	10.016326197236502	21.53667943678595	0.000117876338217806	0.0032836979932103104
Gbp2	NTC_IFNg_vs_NTC_US	3	3	16.26597427112128	7.384510334489054	8.881463936632226	35.81713164813796	0.00018268195301202584	0.003562298083734504
Gbp5	NTC_IFNg_vs_NTC_US	3	3	12.944516438804094	3.8737120377582137	9.07080440104588	40.79205256225764	0.00045520789709546655	0.006340395709543999
Gsk3b	NTC_IFNg_vs_NTC_US	3	3	11.448368541446884	11.510847693170192	-0.062479151723307425	-0.2795666989525768	0.8048682425930953	0.862358831349745
H2-Aa	NTC_IFNg_vs_NTC_US	3	3	12.681130094112158	3.7097610056483217	8.971369088463836	31.135284096018253	6.364198885232929e-06	0.0010717585382715533
H2-Ab1	NTC_IFNg_vs_NTC_US	3	3	13.202407557944674	5.805511220066528	7.396896337878147	25.452999572588837	1.4588221463762058e-05	0.0010717585382715533
H2-DMa	NTC_IFNg_vs_NTC_US	3	3	11.169573269531144	6.194870079083176	4.9747031904479675	25.36060464190437	0.000841804006395431	0.00867953452117487
H2-DMb1	NTC_IFNg_vs_NTC_US	3	3	11.34392337032446	6.87801331550176	4.465910054822699	17.151526270049	0.00022548108796270657	0.003997164741157071
H2-DMb2	NTC_IFNg_vs_NTC_US	3	3	6.355482207889096	3.3589385323502774	2.996543675538818	7.292713594179785	0.0019290843946827654	0.013932276183819972
H2-Eb1	NTC_IFNg_vs_NTC_US	3	3	12.629978958551789	3.2604532378415527	9.369525720710236	17.37178708235817	0.0007075368903679615	0.008220122657311646
Ifi30	NTC_IFNg_vs_NTC_US	3	3	12.346640612266071	12.062189256690589	0.2844513555754826	1.2056637825903704	0.3408404565282012	0.5035143107802972
Ifit1	NTC_IFNg_vs_NTC_US	3	3	9.314306470109697	3.2134149787407815	6.100891491368916	10.76253528564651	0.0026749856556956392	0.015956284048089974
Ifit2	NTC_IFNg_vs_NTC_US	3	3	11.347911743798853	8.818344850535276	2.5295668932635778	10.14034036030284	0.005975933957312051	0.026484252765360226
Ifit3	NTC_IFNg_vs_NTC_US	3	3	8.154114376021958	2.6356301985361728	5.518484177485785	17.311778642808523	9.4641612969149e-05	0.0030758524214973423
Igtp	NTC_IFNg_vs_NTC_US	3	3	12.585886373027321	7.485867605336337	5.100018767690984	20.295227621963907	0.002107700688021695	0.014172470143594155
Il6	NTC_IFNg_vs_NTC_US	3	3	4.082246866164382	1.1949875002403854	2.8872593659239962	13.504909607715744	0.00129155629017504	0.011557056494251617
Irf1	NTC_IFNg_vs_NTC_US	3	3	13.549513863974733	9.413378378647463	4.136135485327269	16.83587100731441	0.0015299320333308723	0.012430697770813336
Irf7	NTC_IFNg_vs_NTC_US	3	3	8.237788162626108	3.9517526090643993	4.2860355535617085	15.678243854289093	0.00018126868619526302	0.003562298083734504
Irgm1	NTC_IFNg_vs_NTC_US	3	3	13.530491803870298	8.886365510076777	4.644126293793521	18.17648629743539	0.002809979482389475	0.016116058796057285
Isg15	NTC_IFNg_vs_NTC_US	3	3	9.299819317419875	4.431683808519203	4.8681355089006715	18.188867638812134	0.0009602758303783292	0.00936268934618871
Lamp1	NTC_IFNg_vs_NTC_US	3	3	14.719620966355047	14.611224866104541	0.10839610025050561	0.476724787500003	0.6758111514557381	0.7782185129264773
Lamp2	NTC_IFNg_vs_NTC_US	3	3	13.173590882111801	12.594803017629033	0.5787878644827682	2.7653953052545877	0.09700955959470049	0.2125490350670404
Lamp3	NTC_IFNg_vs_NTC_US	3	3	0.0	0.3333333333333333	-0.3333333333333333	-0.9999999999999999	0.4226497308103743	0.5606578061770272
Med16	NTC_IFNg_vs_NTC_US	3	3	9.973022742010192	10.160547056694174	-0.18752431468398179	-0.9088875491543404	0.44116981192722976	0.5812710359852014
Nlrc5	NTC_IFNg_vs_NTC_US	3	3	12.40587320852061	9.12920754205365	3.276665666466961	13.909322309935318	0.0050493825078227975	0.023443561643462986
Oasl2	NTC_IFNg_vs_NTC_US	3	3	10.304858271529618	6.098691255887715	4.206167015641903	14.647901754058275	0.000301637105274042	0.004548595642987454
Rfx5	NTC_IFNg_vs_NTC_US	3	3	9.962062826583253	9.74777202840932	0.21429079817393237	0.8192777094046194	0.48028916113698145	0.6161604369849433
Stat1	NTC_IFNg_vs_NTC_US	3	3	14.728168109092389	10.151947233550155	4.576220875542234	20.183217866286167	0.0022358950911632466	0.014533318092561101
Tap1	NTC_IFNg_vs_NTC_US	3	3	13.347813695681452	9.299155080441023	4.048658615240429	16.68617500172988	0.0008456982353965257	0.00867953452117487
Tap2	NTC_IFNg_vs_NTC_US	3	3	12.387262421357738	9.75293446492851	2.634327956429228	11.80033843602741	0.004111360611701574	0.020556803058507867
Tnf	NTC_IFNg_vs_NTC_US	3	3	11.368651119504918	9.636181369770904	1.7324697497340136	6.999398862178026	0.017330729173394902	0.057279528623932305
