gene	chembl_target_chembl_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_nM_activity_count	chembl_search_url	uniprot_accession	uniprot_protein	uniprot_function_excerpt	uniprot_location	uniprot_url
IDO1	CHEMBL4685	Indoleamine 2,3-dioxygenase 1	SINGLE PROTEIN	Homo sapiens	7278	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IDO1&limit=10	P14902	Indoleamine 2,3-dioxygenase 1	Catalyzes the first and rate limiting step of the catabolism of the essential amino acid tryptophan along the kynurenine pathway (PubMed:17671174, PubMed:18026683). Involved in the peripheral immune tolerance, contributing to maintain homeostasis by preventing autoimmunity or immunopathology that would result from uncontrolled and overreacting immune responses (PubMed:25691885). Tryptophan shortage inhibits T lymphocytes division and accumulation of tryptophan catabolites induces T-cell apoptosis and differentiation of regulatory T-cells (PubMed:25691885). Acts as a suppressor of anti-tumor immunity (PubMed:14502282, PubMed:23103127, PubMed:25157255, PubMed:25691885). Limits the growth of intracellular pathogens by depriving tryptophan (PubMed:25691885). Protects the fetus from maternal im	Cytoplasm, cytosol	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AIDO1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
PPIF	CHEMBL3325306	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	SINGLE PROTEIN	Homo sapiens	46	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PPIF&limit=10	P30405	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding (PubMed:20676357). Involved in regulation of the mitochondrial permeability transition pore (mPTP) (PubMed:26387735). It is proposed that its association with the mPTP is masking a binding site for inhibiting inorganic phosphate (Pi) and promotes the open probability of the mPTP leading to apoptosis or necrosis; the requirement of the PPIase activity for this function is debated (PubMed:26387735). In cooperation with mitochondrial p53/TP53 is involved in activating oxidative stress-induced necrosis (PubMed:22726440). Involved in modulation of mitochondrial membrane F(1)F(0) ATP synthase activity and regulation of mitochondrial matrix adenine nucleotide	Mitochondrion matrix	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APPIF%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
PDIA4	CHEMBL4295717	Protein disulfide-isomerase A4	SINGLE PROTEIN	Homo sapiens	8	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PDIA4&limit=10	P13667	Protein disulfide-isomerase A4		Endoplasmic reticulum lumen;Melanosome	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APDIA4%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CFP					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CFP&limit=10	P27918	Properdin	A positive regulator of the alternate pathway (AP) of complement (PubMed:16301317, PubMed:20382442, PubMed:28264884, PubMed:9748277). It binds to and stabilizes the C3- and C5-convertase enzyme complexes (PubMed:16301317, PubMed:20382442, PubMed:28264884, PubMed:9748277). Inhibits CFI-CFH mediated degradation of Complement C3 beta chain (C3b) (PubMed:31507604)	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACFP%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
SMCO4					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SMCO4&limit=10	Q9NRQ5	Single-pass membrane and coiled-coil domain-containing protein 4		Membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ASMCO4%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
NMI					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=NMI&limit=10	Q13287	N-myc-interactor	Acts as a signaling pathway regulator involved in innate immune system response (PubMed:26342464, PubMed:29038465, PubMed:29350881, PubMed:9989503). In response to interleukin 2/IL2 and interferon IFN-gamma/IFNG, interacts with signal transducer and activator of transcription/STAT which activate the transcription of downstream genes involved in a multitude of signals for development and homeostasis (PubMed:29377960, PubMed:9989503). Enhances the recruitment of CBP/p300 coactivators to STAT1 and STAT5, resulting in increased STAT1- and STAT5-dependent transcription (PubMed:9989503). In response to interferon IFN-alpha, associates in a complex with signaling pathway regulator IFI35 to regulate immune response; the complex formation prevents proteasome-mediated degradation of IFI35 (PubMed:10	Cytoplasm;Nucleus;Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ANMI%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
MSRB1	CHEMBL3509600	Methionine-R-sulfoxide reductase B1	SINGLE PROTEIN	Rattus norvegicus	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=MSRB1&limit=10	Q9NZV6	Methionine-R-sulfoxide reductase B1	Methionine-sulfoxide reductase that specifically reduces methionine (R)-sulfoxide back to methionine. While in many cases, methionine oxidation is the result of random oxidation following oxidative stress, methionine oxidation is also a post-translational modification that takes place on specific residue. Acts as a regulator of actin assembly by reducing methionine (R)-sulfoxide mediated by MICALs (MICAL1, MICAL2 or MICAL3) on actin, thereby promoting filament repolymerization. Plays a role in innate immunity by reducing oxidized actin, leading to actin repolymerization in macrophages	Cytoplasm;Nucleus;Cytoplasm, cytoskeleton	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AMSRB1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
SCD	CHEMBL5555	Stearoyl-CoA desaturase	SINGLE PROTEIN	Homo sapiens	1320	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SCD&limit=10	O00767	Stearoyl-CoA desaturase	Stearoyl-CoA desaturase that utilizes O(2) and electrons from reduced cytochrome b5 to introduce the first double bond into saturated fatty acyl-CoA substrates (PubMed:15907797, PubMed:18765284). Catalyzes the insertion of a cis double bond at the delta-9 position into fatty acyl-CoA substrates including palmitoyl-CoA and stearoyl-CoA (PubMed:15907797, PubMed:18765284). Gives rise to a mixture of 16:1 and 18:1 unsaturated fatty acids (PubMed:15610069). Plays an important role in lipid biosynthesis. Plays an important role in regulating the expression of genes that are involved in lipogenesis and in regulating mitochondrial fatty acid oxidation (By similarity). Plays an important role in body energy homeostasis (By similarity). Contributes to the biosynthesis of membrane phospholipids, chol	Endoplasmic reticulum membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ASCD%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CYTOR					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CYTOR&limit=10					https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACYTOR%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
SERPINA1	CHEMBL1795142	Alpha-1-antiproteinase	SINGLE PROTEIN	Mus caroli	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SERPINA1&limit=10	P01009	Alpha-1-antitrypsin	Reversible chymotrypsin inhibitor. It also inhibits elastase, but not trypsin. Its major physiological function is the protection of the lower respiratory tract against proteolytic destruction by human leukocyte elastase (HLE)	Secreted, extracellular space, extracellular matrix	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ASERPINA1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CXCL3					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CXCL3&limit=10	P19876	C-X-C motif chemokine 3	Ligand for CXCR2 (By similarity). Has chemotactic activity for neutrophils. May play a role in inflammation and exert its effects on endothelial cells in an autocrine fashion. In vitro, the processed form GRO-gamma(5-73) shows a fivefold higher chemotactic activity for neutrophilic granulocytes	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACXCL3%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
S100A9	CHEMBL4296265	Protein S100-A9	SINGLE PROTEIN	Homo sapiens	59	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=S100A9&limit=10	P06702	Protein S100-A9	S100A9 is a calcium- and zinc-binding protein which plays a prominent role in the regulation of inflammatory processes and immune response (PubMed:12626582, PubMed:15331440, PubMed:16258195, PubMed:19122197, PubMed:20103766, PubMed:21325622, PubMed:8423249). It can induce neutrophil chemotaxis, adhesion, can increase the bactericidal activity of neutrophils by promoting phagocytosis via activation of SYK, PI3K/AKT, and ERK1/2 and can induce degranulation of neutrophils by a MAPK-dependent mechanism (PubMed:12626582, PubMed:15331440, PubMed:20103766). Predominantly found as calprotectin (S100A8/A9) which has a wide plethora of intra- and extracellular functions (PubMed:16258195, PubMed:19122197, PubMed:8423249). The intracellular functions include: facilitating leukocyte arachidonic acid tr	Secreted;Cytoplasm;Cytoplasm, cytoskeleton;Cell membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AS100A9%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CXCL1					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CXCL1&limit=10	P09341	Growth-regulated alpha protein	Has chemotactic activity for neutrophils. May play a role in inflammation and exerts its effects on endothelial cells in an autocrine fashion. In vitro, the processed forms GRO-alpha(4-73), GRO-alpha(5-73) and GRO-alpha(6-73) show a 30-fold higher chemotactic activity	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACXCL1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
PDE4B	CHEMBL275	3',5'-cyclic-AMP phosphodiesterase 4B	SINGLE PROTEIN	Homo sapiens	3812	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PDE4B&limit=10	Q07343	3',5'-cyclic-AMP phosphodiesterase 4B	Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes (PubMed:15260978). May be involved in mediating central nervous system effects of therapeutic agents ranging from antidepressants to antiasthmatic and anti-inflammatory agents	Cytoplasm;Cell membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APDE4B%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CXCL2	CHEMBL3286076	C-X-C motif chemokine 2	SINGLE PROTEIN	Homo sapiens	3	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CXCL2&limit=10	P19875	C-X-C motif chemokine 2	Produced by activated monocytes and neutrophils and expressed at sites of inflammation. Hematoregulatory chemokine, which, in vitro, suppresses hematopoietic progenitor cell proliferation. GRO-beta(5-73) shows a highly enhanced hematopoietic activity	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACXCL2%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
OLFM4					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=OLFM4&limit=10	Q6UX06	Olfactomedin-4	May promote proliferation of pancreatic cancer cells by favoring the transition from the S to G2/M phase. In myeloid leukemic cell lines, inhibits cell growth and induces cell differentiation and apoptosis. May play a role in the inhibition of EIF4EBP1 phosphorylation/deactivation. Facilitates cell adhesion, most probably through interaction with cell surface lectins and cadherin	Secreted, extracellular space;Mitochondrion	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AOLFM4%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
ARPC5	CHEMBL4295658	Actin-related protein 2/3 complex subunit 5	SINGLE PROTEIN	Homo sapiens	4	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=ARPC5&limit=10	O15511	Actin-related protein 2/3 complex subunit 5	Component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF) (PubMed:9230079). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility (PubMed:9230079). In addition to its role in the cytoplasmic cytoskeleton, the Arp2/3 complex also promotes actin polymerization in the nucleus, thereby regulating gene transcription and repair of damaged DNA (PubMed:29925947). The Arp2/3 complex promotes homologous recombination (HR) repair in response to DNA damage by promoting nuclear actin polymerization, leading to drive motility of double-strand breaks (DSBs) (PubMed:29925947)	Cytoplasm, cytoskeleton;Cell projection;Nucleus	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AARPC5%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
TTYH3					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TTYH3&limit=10	Q9C0H2	Protein tweety homolog 3	Calcium-independent, swelling-dependent volume-regulated anion channel (VRAC-swell) which plays a pivotal role in the process of regulatory volume decrease (RVD) in the brain through the efflux of anions like chloride and organic osmolytes like glutamate (By similarity). Probable large-conductance Ca(2+)-activated chloride channel (PubMed:15010458)	Cell membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ATTYH3%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
RAB10	CHEMBL4105971	Ras-related protein Rab-10	SINGLE PROTEIN	Homo sapiens	240	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=RAB10&limit=10	P61026	Ras-related protein Rab-10	(Microbial infection) Upon Legionella pneumophila infection promotes endoplasmic reticulum recruitment and bacterial replication. Plays a role in remodeling the Legionella-containing vacuole (LCV) into an endoplasmic reticulum-like vacuole	Cytoplasmic vesicle membrane;Golgi apparatus membrane;Golgi apparatus, trans-Golgi network membrane;Endosome membrane;Recycling endosome membrane;Cytoplasmic vesicle, phagosome membrane;Cytoplasm, cytoskeleton, cilium basal body;Endoplasmic reticulum membrane;Cytoplasm, perinuclear region;Lysosome	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ARAB10%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
S100A8	CHEMBL5725128	Protein S100-A8	SINGLE PROTEIN	Homo sapiens	1	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=S100A8&limit=10	P05109	Protein S100-A8	(Microbial infection) Upon infection by human coronavirus SARS-CoV-2, may induce expansion of aberrant immature neutrophils in a TLR4-dependent manner	Secreted;Cytoplasm;Cytoplasm, cytoskeleton;Cell membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AS100A8%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
GBP4					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=GBP4&limit=10	Q96PP9	Guanylate-binding protein 4	Interferon (IFN)-inducible GTPase that plays important roles in innate immunity against a diverse range of bacterial, viral and protozoan pathogens (By similarity). Negatively regulates the antiviral response by inhibiting activation of IRF7 transcription factor (By similarity)	Golgi apparatus membrane;Cytoplasm;Nucleus;Cytoplasm, perinuclear region	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AGBP4%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CSGALNACT1	CHEMBL2040705	Chondroitin sulfate N-acetylgalactosaminyltransferase 1	SINGLE PROTEIN	Homo sapiens	33	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CSGALNACT1&limit=10	Q8TDX6	Chondroitin sulfate N-acetylgalactosaminyltransferase 1	Transfers 1,4-N-acetylgalactosamine (GalNAc) from UDP-GalNAc to the non-reducing end of glucuronic acid (GlcUA). Required for addition of the first GalNAc to the core tetrasaccharide linker and for elongation of chondroitin chains. Important role in chondroitin chain biosynthesis in cartilage formation and subsequent endochondral ossification (PubMed:11788602, PubMed:12163485, PubMed:12446672, PubMed:17145758, PubMed:31705726). Moreover, is involved in the metabolism of aggrecan (By similarity)	Golgi apparatus, Golgi stack membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACSGALNACT1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
RAB24					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=RAB24&limit=10	Q969Q5	Ras-related protein Rab-24	The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different sets of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. RAB24 is an atypical RAB protein that presents low GTPase activity and thereby exists predominantly in the GTP-bound active state. RAB24 is required for the clearance of late autophagic vacuoles under basal conditions. It is not needed for starvation-induced autophagy. Involved in the modulation of meiotic apparatus assembly and meiotic progression during oocyte maturation, possibly through regulation of kinetochore-	Cytoplasm, cytosol;Membrane;Cytoplasmic vesicle, autophagosome membrane;Cytoplasm, perinuclear region;Cytoplasm, cytoskeleton, spindle	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ARAB24%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
LRG1					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=LRG1&limit=10	P02750	Leucine-rich alpha-2-glycoprotein		Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ALRG1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
SERPINB1	CHEMBL6066509	Leukocyte elastase inhibitor	SINGLE PROTEIN	Homo sapiens	2	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SERPINB1&limit=10	P30740	Leukocyte elastase inhibitor	Neutrophil serine protease inhibitor that plays an essential role in the regulation of the innate immune response, inflammation and cellular homeostasis (PubMed:30692621). Acts primarily to protect the cell from proteases released in the cytoplasm during stress or infection. These proteases are important in killing microbes but when released from granules, these potent enzymes also destroy host proteins and contribute to mortality. Regulates the activity of the neutrophil proteases elastase, cathepsin G, proteinase-3, chymase, chymotrypsin, and kallikrein-3 (PubMed:11747453, PubMed:30692621). Also acts as a potent intracellular inhibitor of GZMH by directly blocking its proteolytic activity (PubMed:23269243). During inflammation, limits the activity of inflammatory caspases CASP1, CASP4 an	Secreted;Cytoplasm;Cytolytic granule;Early endosome	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ASERPINB1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
SBNO2					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=SBNO2&limit=10	Q9Y2G9	Protein strawberry notch homolog 2	Acts as a transcriptional coregulator, that can have both coactivator and corepressor functions. Inhibits the DCSTAMP-repressive activity of TAL1, hence enhancing the access of the transcription factor MITF to the DC-STAMP promoter in osteoclast. Plays a role in bone homeostasis; required as a positive regulator in TNFSF11//RANKL-mediated osteoclast fusion via a DCSTAMP-dependent pathway. May also be required in the regulation of osteoblast differentiation (By similarity). Involved in the transcriptional corepression of NF-kappaB in macrophages (PubMed:18025162). Plays a role as a regulator in the pro-inflammatory cascade (PubMed:18025162)		https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ASBNO2%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
KCNJ2	CHEMBL1914276	Inward rectifier potassium channel 2	SINGLE PROTEIN	Homo sapiens	23	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=KCNJ2&limit=10	P63252	Inward rectifier potassium channel 2	Inward rectifier potassium channels are characterized by a greater tendency to allow potassium to flow into the cell rather than out of it (PubMed:36149965, PubMed:7590287, PubMed:9490857). Their voltage dependence is regulated by the concentration of extracellular potassium; as external potassium is raised, the voltage range of the channel opening shifts to more positive voltages (PubMed:7590287, PubMed:7696590). The inward rectification is mainly due to the blockage of outward current by internal magnesium (PubMed:9490857). Can be blocked by extracellular barium or cesium (PubMed:7590287, PubMed:7696590). Probably participates in establishing action potential waveform and excitability of neuronal and muscle tissues (PubMed:7590287, PubMed:7696590, PubMed:7840300)	Cell membrane;Cell membrane, sarcolemma, T-tubule	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AKCNJ2%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CCL20					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CCL20&limit=10	P78556	C-C motif chemokine 20	Acts as a ligand for C-C chemokine receptor CCR6. Signals through binding and activation of CCR6 and induces a strong chemotactic response and mobilization of intracellular calcium ions (PubMed:11035086, PubMed:11352563, PubMed:20068036). The ligand-receptor pair CCL20-CCR6 is responsible for the chemotaxis of dendritic cells (DC), effector/memory T-cells and B-cells and plays an important role at skin and mucosal surfaces under homeostatic and inflammatory conditions, as well as in pathology, including cancer and various autoimmune diseases (PubMed:21376174). CCL20 acts as a chemotactic factor that attracts lymphocytes and, slightly, neutrophils, but not monocytes (PubMed:11352563, PubMed:9038201). Involved in the recruitment of both the pro-inflammatory IL17 producing helper T-cells (Th1	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACCL20%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
PI3	CHEMBL2189144	Phosphoinositide 3-kinase regulatory subunit 4	SINGLE PROTEIN	Homo sapiens	2	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PI3&limit=10	P19957	Elafin	Neutrophil and pancreatic elastase-specific inhibitor of skin. It may prevent elastase-mediated tissue proteolysis. Has been shown to inhibit the alpha-4-beta-2/CHRNA2-CHRNB2 nicotinic acetylcholine receptor and to produce a weak inhibition on Kv11.1/KCNH2/ERG1 and on the transient receptor potential cation channel subfamily V member 1 (TRPV1) (PubMed:29483648)	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3API3%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
NLRC5					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=NLRC5&limit=10	Q86WI3	Protein NLRC5	Probable regulator of the NF-kappa-B and type I interferon signaling pathways. May also regulate the type II interferon signaling pathway. Plays a role in homeostatic control of innate immunity and in antiviral defense mechanisms	Cytoplasm	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ANLRC5%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
TMSB10	CHEMBL6067186	Thymosin beta-10	SINGLE PROTEIN	Homo sapiens	2	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TMSB10&limit=10	P63313	Thymosin beta-10	Plays an important role in the organization of the cytoskeleton. Binds to and sequesters actin monomers (G actin) and therefore inhibits actin polymerization (By similarity)	Cytoplasm, cytoskeleton	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ATMSB10%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
CBX3	CHEMBL3826866	Chromobox protein homolog 3	SINGLE PROTEIN	Homo sapiens	4	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CBX3&limit=10	Q13185	Chromobox protein homolog 3	Component of heterochromatin, which recognizes and binds histone H3 tails methylated at 'Lys-9', leading to epigenetic repression (PubMed:11242053). Also recognizes and binds histone H1.4 methylated at 'Lys-26' (H1.4K26me) (PubMed:16127177). Excluded from chromatin when histone H1.4 is Simultaneously methylated at Lys-26 (H1.4K26me) and phosphorylated at Ser-27 (H1.4S27Ph) (PubMed:16127177). Involved in the formation of functional kinetochore through interaction with MIS12 complex proteins (PubMed:15502821). Contributes to the conversion of local chromatin to a heterochromatin-like repressive state through H3 'Lys-9' trimethylation, mediates the recruitment of the methyltransferases SUV39H1 and/or SUV39H2 by the PER complex to the E-box elements of the circadian target genes such as PER2 i	Nucleus	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACBX3%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1
