candidate	source	count_or_signal	top_hits
IL7R	Europe PMC	19446	PMID:41775781;DOI:10.1038/s41598-026-41818-3 | 2026 | Sci Rep | Integrative mendelian randomization approaches for therapeutic target prioritisation in immune-mediated diseases.; DOI:10.21203/rs.3.rs-9368949/v1 | 2026 | PPR | InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF insulator disruption across seven autoimmune diseases; PMID:40981083;DOI:10.3390/epidemiologia6030052 | 2025 | Epidemiologia (Basel) | The Prevalence of Various Autoimmune Comorbidities in Patients with Inflammatory Bowel Disease.; PMID:41323472;DOI:10.1016/j.jtauto.2025.100333 | 2025 | J Transl Autoimmun | Mendelian randomization study of the causal relationship between autoimmune diseases and anemia using proteomic and genetic data.; PMID:41334562;DOI:10.2147/itt.s569016 | 2025 | Immunotargets Ther | The Role of Intestinal Microbiota and Immune System Interactions in Autoimmune Diseases.
IL7R	Europe PMC preprints	364	DOI:10.21203/rs.3.rs-9368949/v1 | 2026 | PPR | InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF insulator disruption across seven autoimmune diseases; DOI:10.1101/2024.04.27.24306475 | 2024 | PPR | Integrative Mendelian Randomization approaches for therapeutic target prioritisation in immune-mediated diseases; DOI:10.1101/2025.08.26.671836 | 2025 | PPR | Targeting Impaired Type I Interferon–IL-27 Signaling Rescues T Regulatory Cell Suppressive Function in Relapsing-Remitting Multiple Sclerosi; DOI:10.21203/rs.3.rs-8232381/v1 | 2025 | PPR | Genetic and Epidemiological Evidence Linking Respiratory and Musculoskeletal Diseases: Shared Risk Factors and Intervention Windows; DOI:10.21203/rs.3.rs-6905832/v1 | 2025 | PPR | NAMPT activity plays a key role in driving autoimmune processes that mediate beta-cell death and type 1 diabetes development in mice
IL7R	ClinicalTrials.gov	5	NCT01190111 | TERMINATED | HIV | Study on Interleukin-7 (CYT107) in HIV Patients; NCT02447926 | TERMINATED | End Stage Liver Disease | Procurement of Leukapheresis Products From End Stage Liver Disease (ESLD) Patients for Immunological Studies; NCT07398586 | COMPLETED | Ulcerative Colitis (UC) | The Association Between Interleukin-7 Receptor Gene Polymorphism and the Risk of Ulcerative Colitis; NCT01969058 | COMPLETED | HIV-1 Infection | Effect of Isotretinoin on Immune Activation Among HIV-1 Infected Subjects With Incomplete CD4+ T Cell Recovery; NCT02963610 | TERMINATED | Relapsed or Refractory Solid Tumors, Nonsmall Cell Lung Cancer | Phase I/II Study of Lenalidomide Plus Pembrolizumab in Patients With Solid Tumors With Expansion in Non-small Cell Lung 
IL7R	Google Patents	5	HTML saved; result-count not parsed
IL7R	ChEMBL	target_hits:0	
IL7R	UniProt	3	P16871 | IL7R | Interleukin-7 receptor subunit alpha; B8YG18 | IL7R; D6RCR9 | IL7R
CXCL8	PubMed	28211	PMID:28899799; PMID:33081840; PMID:37573659; PMID:18936492; PMID:31203717
CXCL8	Europe PMC	191386	PMID:41978157;DOI:10.3390/nu18071107 | 2026 | Nutrients | Effect of Probiotic and Synbiotic Oral Supplementation in Autoimmune Diseases: An Updated Systematic Review and Meta-Analysis of Randomized ; PMID:42079633;DOI:10.3389/fimmu.2026.1805306 | 2026 | Front Immunol | SIRL-1 deficiency reveals pro-inflammatory IL-8 axis in inflammatory bowel disease: a novel diagnostic ratio.; PMID:39993091;DOI:10.1097/md.0000000000041484 | 2025 | Medicine (Baltimore) | Causal role of common autoimmune diseases in interstitial cystitis/bladder pain syndrome: Mendelian randomization (MR) study.; PMID:41257445;DOI:10.1080/07853890.2025.2587931 | 2025 | Ann Med | Chronic obstructive pulmonary disease (COPD) and autoimmune diseases: unravelling complex interactions.; PMID:41798923;DOI:10.3389/fimmu.2026.1810163 | 2026 | Front Immunol | Editorial: Novel biomarkers for early diagnosis involved in autoimmune and autoinflammatory diseases.
CXCL8	Europe PMC preprints	2227	DOI:10.64898/2026.05.18.725891 | 2026 | PPR | Inflammatory Stromal Aging in Ulcerative Colitis and Colitis-Associated Cancer; DOI:10.1101/2025.11.12.25339883 | 2025 | PPR | Immunothrombosis shapes the interaction between neutrophils and synovial fibroblasts in rheumatoid arthritis; DOI:10.21203/rs.3.rs-7590228/v1 | 2026 | PPR | Glucocorticoid-induced Leucine Zipper (GILZ) is a novel secreted protein by intestinal L-cells and is dysregulated during active ulcerative ; DOI:10.20944/preprints202602.0625.v1 | 2026 | PPR | <em>Posidonia oceanica</em> (<em>L.</em>) <em>Delile</em> as a Marine Anti-Inflammatory Modulator of Keratinocyte Psoriatic Inflammation; DOI:10.64898/2026.04.30.722078 | 2026 | PPR | Internalization of myelin debris by neutrophils fuels inflammation
CXCL8	ClinicalTrials.gov	5	NCT05182645 | COMPLETED | Crohn Disease | Effect of a Stress Reduction and Lifestyle Modification Programme on the Quality of Life of Crohn's Disease Patients; NCT04948489 | WITHDRAWN | Endometriosis | IUD and Norethindrone Acetate for Treatment of Endometriosis; NCT02630511 | COMPLETED | Asthma | Asthma Exacerbations and Vascular Function; NCT06558136 | COMPLETED | Periodontitis, Gingivitis, Periodontal Health | Evaluation of Salivary Biomarker Levels in Individuals With Different Periodontal Conditions; NCT02156440 | COMPLETED | Osteoarthritis of the Knee | Cross-over Study of the Efficacy and Safety of SierraSil Joint Formula 14 in Osteoarthritis of the Knee
CXCL8	Google Patents	5	HTML saved; result-count not parsed
CXCL8	ChEMBL	CHEMBL2157:726	CHEMBL2157 | Interleukin-8 | Homo sapiens | SINGLE PROTEIN
CXCL8	UniProt	3	P10145 | CXCL8 | Interleukin-8; C9J4T6 | CXCL8 | C-X-C motif chemokine; A0A8Q3SIG6 | CXCL8
TIMP1	PubMed	2508	PMID:38797379; PMID:35749827; PMID:38622667; PMID:18031104; PMID:36867343
TIMP1	Europe PMC	20951	PMID:41406923;DOI:10.1016/j.prp.2025.156334 | 2026 | Pathol Res Pract | Harnessing the therapeutic potential of TIMP-1 in autoimmune inflammation: A prospective insight.; PMID:41834537;DOI:10.1107/s2059798326001749 | 2026 | Acta Crystallogr D Struct Biol | The human TIMP-1 unbound structure provides a platform for fragment screening.; PMID:40304766;DOI:10.1007/s00011-025-02038-z | 2025 | Inflamm Res | Shared genetic association between inflammatory bowel disease and acute myeloid leukemia: insights from mendelian randomization and transcri; PMID:42173177;DOI:10.1016/j.cellsig.2026.112612 | 2026 | Cell Signal | Inhibition of ferroptosis or NF-κB signalling protects LPS-induced TIMP1 overexpression-induced cell damage.; PMID:41212891;DOI:10.1371/journal.pone.0336243 | 2025 | PLoS One | Integrative machine learning and multi-omics framework identifies shared biomarkers for rheumatoid arthritis and ulcerative colitis.
TIMP1	Europe PMC preprints	153	DOI:10.20944/preprints202512.1106.v1 | 2025 | PPR | Myelin Basic Protein Post-Translational Modifications Orchestrate Astrocyte Regulatory Networks; DOI:10.64898/2026.02.24.707845 | 2026 | PPR | Longitudinal  <i>in vivo</i>  human wound healing model defines key role for smooth muscle cells in ECM remodeling; DOI:10.21203/rs.3.rs-6917781/v1 | 2025 | PPR | Mannose Receptor C type 2 influences autoimmune neuroinflammation and blood-brain barrier integrity; DOI:10.20944/preprints202512.0326.v1 | 2025 | PPR | GnRH Agonist Triptorelin Induces Hepatic Fibrosis via Sex-Specific Oxidative and Inflammatory Responses in Adolescent Rats; DOI:10.21203/rs.3.rs-3482634/v1 | 2023 | PPR | Identification and validation of PANoptosis and autophagy-related molecular characterization in ulcerative colitis
TIMP1	ClinicalTrials.gov	5	NCT03455166 | COMPLETED | Psoriasis, Psoriatic Arthritis | Identification of New Prognostic Markers in Psoriatic Arthritis; NCT00550862 | TERMINATED | Liver Cirrhosis, Biliary | Study of INT 747 in Combination With URSO in Patients With Primay Biliary Cirrhosis (PBC); NCT02912260 | COMPLETED | Non-alcoholic Steatohepatitis | Phase 2 Study of MGL-3196 in Patients With Non-Alcoholic Steatohepatitis (NASH); NCT05171400 | UNKNOWN | Wound Healing, Insulin, Palate; Wound | A New Drug Delivery System - Silk Fibroin Film Loaded or Not With Insulin on Palatal Mucosa Wound Healing; NCT01249092 | COMPLETED | Primary Biliary Cirrhosis | Pentoxifylline for Primary Biliary Cirrhosis
TIMP1	Google Patents	5	HTML saved; result-count not parsed
TIMP1	ChEMBL	target_hits:0	
TIMP1	UniProt	3	P01033 | TIMP1 | Metalloproteinase inhibitor 1; Q6FGX5 | TIMP1 | Metalloproteinase inhibitor 1; Q5H9B4 | TIMP1 | Metalloproteinase inhibitor 1
PDPN	PubMed	354	PMID:29476097; PMID:39919897; PMID:40141145; PMID:30736372; PMID:40084998
PDPN	Europe PMC	6849	PMID:41832613;DOI:10.1113/jp290391 | 2026 | J Physiol | Regulation of basal and tumour necrosis factor α-induced fibroblast gene expression by peptidylarginine deiminase 2.; PMID:40989755;DOI:10.2147/jir.s528624 | 2025 | J Inflamm Res | Elevated Serum Podoplanin Levels Correlate with Disease Severity and Inflammation in Ulcerative Colitis: A Cross-Sectional Study.; PMID:39766196;DOI:10.3390/biom14121489 | 2024 | Biomolecules | Interleukin-27 and Autoimmune Disorders: A Compressive Review of Immunological Functions.; PMID:41465476;DOI:10.3390/ijms262412051 | 2025 | Int J Mol Sci | Does Podoplanin (PDPN) Reflect the Involvement of the Immunological System in Coronary Artery Disease Risk? A Single-Center Prospective Anal; PMID:42082703;DOI:10.1007/s00296-026-06112-5 | 2026 | Rheumatol Int | Scalable synovial fibroblast sources enable reproducible basal synovial organoid formation: an in vitro platform study.
PDPN	Europe PMC preprints	116	DOI:10.64898/2026.01.07.698165 | 2026 | PPR | Cribriform Plate Microenvironment Assembles a Suppressive Myeloid Network during EAE-induced Neuroinflammation; DOI:10.1101/2025.09.23.678006 | 2025 | PPR | TWEAK is increased in ulcerative colitis and contributes to fibroblast-mediated monocyte activation via heterologous non-canonical NF-kB/STA; DOI:10.21203/rs.3.rs-4921177/v2 | 2025 | PPR | PKN2 signalling induces stromal cell protrusions to preserve lymph node structural integrity; DOI:10.21203/rs.3.rs-4481666/v1 | 2024 | PPR | Podoplanin hetero-insufficiency demonstrates congenital protein-losing enteropathy by inflammation in the jejunum: NO synthase inhibitor may; DOI:10.21203/rs.3.rs-5304153/v1 | 2024 | PPR | Dual-Targeting of PDPN-Expressing Synovial Fibroblasts and Macrophages via CLEC-2-Engineered Exosomes for Osteoarthritis Therapy
PDPN	ClinicalTrials.gov	5	NCT07395570 | ACTIVE_NOT_RECRUITING | Gastric Neoplasia | Efficacy of CADe System in Detecting Gastric Neoplasia; NCT04298073 | UNKNOWN | Superficial Bladder Cancer t1a | Skipping BCG for T1a Urinary Bladder Tumor.; NCT06158529 | RECRUITING | Painful Diabetic Peripheral Neuropathy | High-frequency SCS Versus SCS in the Treatment of Diabetic Peripheral Neuropathic Pain; NCT02372578 | TERMINATED | Painful Diabetic Peripheral Neuropathy (PDPN) | Study to Assess Analgesic Efficacy and Safety of ASP3662 in Subjects With Painful Diabetic Peripheral Neuropathy; NCT06022978 | UNKNOWN | Esophageal Cancer | Submucosal Saline Injection Followed by Endoscopic Ultrasound
PDPN	Google Patents	5	HTML saved; result-count not parsed
PDPN	ChEMBL	target_hits:0	
PDPN	UniProt	3	Q86YL7 | PDPN | Podoplanin; D6RH07 | PDPN; E7ETC6 | PDPN
HIF1A	PubMed	1079	PMID:38342630; PMID:40195021; PMID:37894865; PMID:32048886; PMID:39435670
HIF1A	Europe PMC	167504	PMID:41454913;DOI:10.1093/jimmun/vkaf330 | 2026 | J Immunol | Altered B cell metabolic pathways characterize type 1 diabetes progression.; PMID:41985670;DOI:10.1016/j.jare.2026.04.039 | 2026 | J Adv Res | Sirtuin 7-mediated deacetylation of hypoxia-inducible factor 1-alpha facilitates glycolytic reprogramming and inflammation of keratinocytes ; PMID:41687943;DOI:10.1016/j.jep.2026.121353 | 2026 | J Ethnopharmacol | Huangtu Decoction regulates macrophage M1/M2 polarization to alleviate DSS- and rhubarb-induced Deficiency-Cold Pattern in Ulcerative Coliti; PMID:41153754;DOI:10.3390/biomedicines13102472 | 2025 | Biomedicines | Interferons in Autoimmunity: From Loss of Tolerance to Chronic Inflammation.; PMID:41376628;DOI:10.3389/fimmu.2025.1695894 | 2025 | Front Immunol | The role of microRNAs and long non-coding RNAs in epigenetic regulation of T cells: implications for autoimmunity.
HIF1A	Europe PMC preprints	1638	DOI:10.21203/rs.3.rs-9497163/v1 | 2026 | PPR | Systematic post-translational modification profiling identifies molecular subtypes and therapeutic targets in ulcerative colitis: evidence f; DOI:10.1101/2025.09.19.677372 | 2025 | PPR | Dexamethasone inhibits the LPS-induced activation of hypoxia-inducible factor 1 alpha (HIF-1α) in macrophages independently of the DUSP1-p38; DOI:10.1101/2023.01.25.23285014 | 2023 | PPR | Incident autoimmune diseases in association with a SARS-CoV-2 infection: A matched cohort study; DOI:10.21203/rs.3.rs-6784948/v1 | 2025 | PPR | Single-cell atlas of the human immune system reveals sex-specific dynamics of immunosenescence; DOI:10.64898/2026.03.13.711666 | 2026 | PPR | Epidermal CD109 Overexpression Limits Cutaneous Inflammatory Signaling
HIF1A	ClinicalTrials.gov	5	NCT00565656 | TERMINATED | Myelodysplastic Syndromes | A Trial of Bevacizumab in Myelodysplastic Syndromes (Int-1, Int-2 and High Risk According to International Prognostic Sc; NCT05850611 | UNKNOWN | Diabetic Foot Ulcers, Diabetic Wound | The Effect of Combination Therapy of Oral MB and PRP-FG in Patients With Non-healing Diabetic Foot Ulcer; NCT06283420 | RECRUITING | Heart Failure | Metabolic Response to the Initiation of Heart Failure Therapy; NCT01120288 | COMPLETED | Neoplasms, Liver Metastases | A Pilot Study of EZN-2968, an Antisense Oligonucleotide Inhibitor of HIF-1alpha, in Adults With Advanced Solid Tumors Wi; NCT04813913 | COMPLETED | Oncology | VASCular Impact of Angiogenic Treatment in Patients With Advanced Colorectal Cancer
HIF1A	Google Patents	5	HTML saved; result-count not parsed
HIF1A	ChEMBL	CHEMBL4296108:14;CHEMBL4261:6388;CHEMBL4296117:14	CHEMBL6046 | Hypoxia-inducible factor 1-alpha | Mus musculus | SINGLE PROTEIN; CHEMBL4296108 | HIF1A/p300/CREB-binding protein | Homo sapiens | PROTEIN-PROTEIN INTERACTION; CHEMBL4261 | Hypoxia-inducible factor 1-alpha | Homo sapiens | SINGLE PROTEIN; CHEMBL4296117 | von Hippel-Lindau disease tumor suppressor/Elongin-C/Elongin-B/HIF1A | Homo sapiens | PROTEIN COMPLEX; CHEMBL3885588 | Histone acetyltransferase p300/Hypoxia-inducible factor 1-alpha | Homo sapiens | PROTEIN COMPLEX
HIF1A	UniProt	3	Q16665 | HIF1A | Hypoxia-inducible factor 1-alpha; D0VY79 | HIF1A | Hypoxia-inducible factor 1-alpha; A8MYV6 | HIF1A | Hypoxia-inducible factor 1-alpha
PTPRE	PubMed	6	PMID:31844669; PMID:38662200; PMID:31889940; PMID:19707549; PMID:18778695
PTPRE	Europe PMC	355	PMID:39859276;DOI:10.3390/ijms26020560 | 2025 | Int J Mol Sci | The Role of Long Non-Coding RNA in Rheumatoid Arthritis.; PMID:41798917;DOI:10.3389/fimmu.2026.1753808 | 2026 | Front Immunol | Blood-based epigenetic biomarkers in rheumatoid arthritis: current knowledge and future perspectives.; PMID:40586619;DOI:10.1002/kjm2.70064 | 2025 | Kaohsiung J Med Sci | Astragaloside IV Alleviates Ulcerative Colitis Progression by Inhibiting WDR5-Mediated ENO1 H3K4me3 Modification.; PMID:41542331;DOI:10.1002/hsr2.71659 | 2026 | Health Sci Rep | Integrated Single Cell Spatial Analysis Reveals Dysregulated Basal Progenitor Cells in Ulcerative Colitis Pathogenesis: A Multi Omics Study.; PMID:38662200;DOI:10.1007/s10238-024-01343-x | 2024 | Clin Exp Med | A novel diagnostic model based on lncRNA PTPRE expression, neutrophil count and red blood cell distribution width for diagnosis of seronegat
PTPRE	Europe PMC preprints	2	DOI:10.1101/2020.08.27.270835 | 2020 | PPR | Secondary analysis of transcriptomes of SARS-CoV-2 infection models to characterize COVID-19; DOI:10.1101/2021.01.29.21250755 | 2021 | PPR | A Molecular network approach reveals shared cellular and molecular signatures between chronic fatigue syndrome and other fatiguing illnesses
PTPRE	ClinicalTrials.gov	1	NCT03319680 | UNKNOWN | Hemodialysis-Induced Symptom | Benefits of Hemodialysis With Citrate (ABC-treat) Study
PTPRE	Google Patents	5	HTML saved; result-count not parsed
PTPRE	ChEMBL	CHEMBL4850:72	CHEMBL4850 | Receptor-type tyrosine-protein phosphatase epsilon | Homo sapiens | SINGLE PROTEIN
PTPRE	UniProt	3	P23469 | PTPRE | Receptor-type tyrosine-protein phosphatase epsilon; S4R2Y5 | PTPRE | protein-tyrosine-phosphatase; S4R3X3 | PTPRE
C1QTNF1	PubMed	42	PMID:40424084; PMID:36812667; PMID:34840267; PMID:28212710; PMID:31991227
C1QTNF1	Europe PMC	509	PMID:40424084;DOI:10.1152/ajprenal.00346.2024 | 2025 | Am J Physiol Renal Physiol | Local C1q/TNF-related protein 1 attenuates kidney inflammation and fibrosis by regulating macrophage activation.; PMID:41179695;DOI:10.48305/arya.2025.43204.3006 | 2025 | ARYA Atheroscler | Serum levels of C1q/TNF-related protein-1 (CTRP1) and CTRP3 in patients with coronary artery disease.; PMID:39617479;DOI:10.5551/jat.65313 | 2025 | J Atheroscler Thromb | Genetic Evidence of Causal Effect between C1q/TNF-Related Protein-1 and Atherosclerosis: a Bidirectional and Multivariate Mendelian Randomiz; PMID:40552250;DOI:10.1155/ijog/6182868 | 2025 | Int J Genomics | Association of Cannabinoid CB2 Receptor Q63R Variant With Rheumatoid Arthritis in an Iranian Cohort.; PMID:40200367;DOI:10.1186/s13102-025-01123-4 | 2025 | BMC Sports Sci Med Rehabil | Exercise-induced changes in insulin sensitivity, atherogenic index of plasma, and CTRP1/CTRP3 levels: the role of combined and high-intensit
C1QTNF1	Europe PMC preprints	7	DOI:10.1101/2024.12.04.24318411 | 2024 | PPR | Transcriptome analysis in osteoarthritis primary tissues identifies high-confidence effector genes; DOI:10.1101/2020.12.29.424653 | 2020 | PPR | C1q/CTRP1 exerts neuroprotective effects in TBI rats by regulating inflammation and autophagy; DOI:10.1101/2020.04.17.046938 | 2020 | PPR | Regulation of angiotensin converting enzyme 2 (ACE2) in obesity: implications for COVID-19; DOI:10.1101/776690 | 2019 | PPR | Adiponectin and related C1q/TNF-related proteins bind selectively to anionic phospholipids and sphingolipids; DOI:10.1101/2022.03.02.22271106 | 2022 | PPR | Proteome reveals antiviral host response and NETosis during acute COVID-19 in high-risk patients
C1QTNF1	ClinicalTrials.gov	2	NCT02083159 | UNKNOWN | NAFLD | C1q/TNF-related Proteins in Non-Alcoholic Fatty Liver Disease; NCT06175624 | COMPLETED | Periodontitis, Gingivitis, Healthy | Effect of Non-Surgical Periodontal Treatment on Gingival Crevicular Fluid and Serum Biomarker Levels
C1QTNF1	Google Patents	5	HTML saved; result-count not parsed
C1QTNF1	ChEMBL	target_hits:0	
C1QTNF1	UniProt	3	Q9BXJ1 | C1QTNF1 | Complement C1q tumor necrosis factor-related protein 1; A0A0C4DFP7 | C1QTNF1; A0A3B0J271 | ADIP
