gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood
ANAPC5	17	1	1	0	0	1	1	psoriasis	type 1 diabetes mellitus	0.008899231347754867	0.3849693710143581	0.3951953621845856	3.121938982959856	0.009839437364276003	-0.31290789942695874	psoriasis_keratinocyte:0.395,p=0.0089	False
ANAPC7	17	2	0	0	0	2	0	psoriasis;type 1 diabetes mellitus		0.02274005412954078	0.3573830627957798	1.0265259485982146	1.5104015534188668			t1d_stellate_cell:1.03,p=0.023;psoriasis_keratinocyte:0.746,p=0.026	False
ANG	17	1	1	1	0	1	1	type 1 diabetes mellitus	psoriasis	0.0009463173345862356	0.09769447672393981	1.8924925417333252	1.0689681116645633	0.015061108675552473	-2.0765423211941134	t1d_endothelial_cell:1.89,p=0.00095	False
ANGEL1	17	1	0	0	0	1	0	psoriasis		0.030332600488008163	0.40019800162873154	1.2583653872670564	2.1718190872720333			psoriasis_keratinocyte:1.26,p=0.03	False
ANGEL2	17	0	1	0	0	0	1		type 1 diabetes mellitus					0.04806573604853401	-0.5228945096447974		False
ANGPT1	14	0	0	0	0	0	0										False
ANGPT2	17	2	0	0	0	1	0	psoriasis		0.046381128608032	0.40743069016620587	1.1501078565350138	2.2953607257456685			psoriasis_skin_stromal:1.15,p=0.046;psoriasis_keratinocyte:0.928,p=0.048	False
ANGPT4	4	0	0	0	0	0	0										False
ANGPTL1	15	0	2	0	1	0	2		Crohn disease;ulcerative colitis					6.859572090724245e-05	-3.0009628383690745		False
ANGPTL2	13	0	0	0	0	0	0										False
ANGPTL3	6	0	1	0	1	0	1		type 1 diabetes mellitus					0.0004554453693131904	-0.8139157015094268		False
ANGPTL4	17	5	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0030052529385167703	0.15709873974471136	2.1658769332471524	1.4187348359519907			t1d_beta_cell:0.975,p=0.003;psoriasis_keratinocyte:2.17,p=0.0084;ibd_uc_epithelial:1.64,p=0.019;ibd_crohn_epithelial:1.64,p=0.024;t1d_acinar_cell:1.66,p=0.047	False
ANGPTL5	5	0	1	0	0	0	1		psoriasis					0.024006463420457303	-2.318604477316652		False
ANGPTL6	14	0	0	0	0	0	0										False
ANGPTL7	6	0	2	0	0	0	2		Crohn disease;ulcerative colitis					0.017211251685669948	-1.956563726555389		False
ANGPTL8	8	0	1	0	0	0	1		type 1 diabetes mellitus					0.013924813341113139	-0.2556627620731802		False
ANHX	2	0	0	0	0	0	0										False
ANK1	15	1	0	0	0	1	0	ulcerative colitis		0.03392762143524073	0.3325171932541805	1.2768751341820288	1.309042684044439			ibd_uc_stromal:1.28,p=0.034	False
ANK2	17	0	2	0	0	0	1		ulcerative colitis					0.009776945936355542	-3.253212519435357		False
ANK3	17	0	1	0	0	0	1		ulcerative colitis					0.005705021383499974	-2.1258816644909695		False
ANK3-DT	4	0	0	0	0	0	0										False
ANKAR	17	0	0	0	0	0	0										False
ANKDD1A	17	2	2	0	0	2	1	Crohn disease;ulcerative colitis	psoriasis	0.018319802182791417	0.2793702400256064	1.796455671795601	1.5560837901335005	0.027120092592467757	-2.2976442713314116	ibd_crohn_myeloid:1.8,p=0.018;ibd_uc_myeloid:1.57,p=0.033	False
ANKDD1B	14	0	0	0	0	0	0										False
ANKEF1	12	0	1	0	0	0	1		psoriasis					0.009248327909288635	-0.6524547829703169		False
ANKFN1	9	0	3	0	0	0	3		Crohn disease;psoriasis;ulcerative colitis					0.014871830500809537	-1.3619527469899537		False
ANKFY1	17	1	0	0	0	1	0	Crohn disease		0.038708280935854246	0.2633100203762268	0.5453924092686879	1.303153583675348			ibd_crohn_epithelial:0.545,p=0.039	False
ANKH	17	0	5	0	0	0	3		Crohn disease;type 1 diabetes mellitus;ulcerative colitis					0.0025952772926405654	-2.5101434964667177		False
ANKH-DT	6	0	1	0	0	0	1		type 1 diabetes mellitus					0.04628703009816961	-0.7155000948898171		False
ANKHD1	17	0	1	0	0	0	1		psoriasis					0.01407355122592932	-0.5613371999328614		False
ANKHD1-DT	4	0	0	0	0	0	0										False
ANKHD1-EIF4EBP3	14	0	0	0	0	0	0										False
ANKIB1	17	1	0	0	0	1	0	ulcerative colitis		0.01045370217325223	0.19318954395317975	0.8024662800580282	1.7953781080869209			ibd_uc_epithelial:0.802,p=0.01	False
ANKK1	7	0	1	0	0	0	1		ulcerative colitis					0.04404411050373353	-0.34813212207380956		False
ANKLE1	15	0	0	0	0	0	0										False
ANKLE2	17	3	0	0	0	2	0	Crohn disease;ulcerative colitis		0.004251780886822291	0.14040193577859186	0.890269805443781	1.490923454196433			ibd_uc_epithelial:0.562,p=0.0043;ibd_crohn_myeloid:0.89,p=0.026;ibd_uc_stromal:0.839,p=0.032	False
ANKMY1	17	0	0	0	0	0	0										False
ANKMY2	17	0	1	0	0	0	1		ulcerative colitis					0.00933941340271038	-0.9060030385893127		False
ANKRA2	17	2	0	0	0	1	0	type 1 diabetes mellitus		0.006476709523132545	0.3055638754394937	0.5102150223218809	0.7961974817458575			t1d_ductal_cell:0.393,p=0.0065;t1d_stellate_cell:0.51,p=0.042	False
ANKRD1	8	0	0	0	0	0	0										False
ANKRD10	17	1	0	0	0	1	0	Crohn disease		0.0080867537123885	0.1563588639550722	0.6395749722670834	1.7617324902314209			ibd_crohn_epithelial:0.64,p=0.0081	False
ANKRD10-IT1	3	0	0	0	0	0	0										False
ANKRD11	17	1	1	0	0	1	1	ulcerative colitis	type 1 diabetes mellitus	0.04876382811370869	0.39065897601846006	0.5952330241102137	1.2106022531487721	0.028897989274762278	-0.3334583306390799	ibd_uc_myeloid:0.595,p=0.049	False
ANKRD12	17	0	0	0	0	0	0										False
ANKRD13A	17	1	1	0	0	1	1	Crohn disease	type 1 diabetes mellitus	0.02259365954965984	0.30450239717072897	0.7613449699814385	1.5073278574803144	0.00748815713039657	-0.48713529193354344	ibd_crohn_myeloid:0.761,p=0.023	False
ANKRD13B	15	0	0	0	0	0	0										False
ANKRD13C	17	1	0	0	0	1	0	psoriasis		0.011233404217791502	0.7297013371935511	0.6028373700725727	2.9384690281725336			psoriasis_skin_apc:0.603,p=0.011	False
ANKRD13C-DT	8	2	0	0	0	1	0	Sjogren syndrome		0.021036338549946427	0.8414957034907469	1.8873521915245157	0.949408726455126			sjogren_gland_stromal:0.519,p=0.021;sjogren_gland_apc:1.89,p=0.04	False
ANKRD13D	17	1	1	0	0	1	1	psoriasis	Crohn disease	0.03665907774878487	0.40121785300954577	0.7767131125351527	2.157090505247388	0.01605277707140731	-0.5838277756292403	psoriasis_keratinocyte:0.777,p=0.037	False
ANKRD16	17	1	1	0	0	1	1	psoriasis	ulcerative colitis	0.023502930888069908	0.40019800162873154	0.6336319379690547	3.3897187022056494	0.03454503373687309	-1.2438002237026993	psoriasis_keratinocyte:0.634,p=0.024	False
ANKRD17	17	0	0	0	0	0	0										False
ANKRD17-DT	7	0	0	0	0	0	0										False
ANKRD18A	11	0	0	0	0	0	0										False
ANKRD18B	9	0	0	0	0	0	0										False
ANKRD2	7	0	0	0	0	0	0										False
ANKRD20A1	7	0	1	0	0	0	1		psoriasis					0.03526910235569084	-1.2658836306257442		False
ANKRD20A2	4	0	0	0	0	0	0										False
ANKRD20A2P	3	0	0	0	0	0	0										False
ANKRD20A3	7	0	1	0	1	0	1		ulcerative colitis					0.0013103022507507018	-1.795810381096625		False
ANKRD20A3P	5	0	2	0	0	0	2		Sjogren syndrome;type 1 diabetes mellitus					0.003066208358395714	-1.0811686713259365		False
ANKRD20A4	7	0	0	0	0	0	0										False
ANKRD20A4P	7	0	1	0	0	0	1		type 1 diabetes mellitus					0.005012436407585957	-1.285106127387187		False
ANKRD20A8P	8	0	0	0	0	0	0										False
ANKRD22	13	4	0	2	0	3	0	Crohn disease;psoriasis;ulcerative colitis		2.474381976493011e-07	0.003378026274308259	5.034139977221749	3.1730694269225967			ibd_uc_myeloid:4.5,p=2.5e-07;ibd_crohn_myeloid:5.03,p=5.4e-05;ibd_uc_epithelial:0.882,p=0.008;psoriasis_skin_apc:1.92,p=0.044	False
ANKRD23	15	0	0	0	0	0	0										False
ANKRD24	10	0	0	0	0	0	0										False
ANKRD26	17	1	1	0	0	1	1	type 1 diabetes mellitus	Crohn disease	0.0023503002668436752	0.14773875773371312	1.7841327304003536	1.0096134855200187	0.02604746048188082	-1.3856899545571393	t1d_endothelial_cell:1.78,p=0.0024	False
ANKRD27	17	1	1	1	0	1	1	type 1 diabetes mellitus	ulcerative colitis	0.00022499324177489103	0.05870265701019812	1.7129029402802702	1.2823650035166119	0.02740468635351851	-0.5832022315734289	t1d_stellate_cell:1.71,p=0.00022	False
ANKRD28	17	3	1	1	0	3	1	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	Sjogren syndrome	0.0015185955845331853	0.09847653102512098	2.1981853135944958	1.4555949716055168	0.00713411391074502	-0.4592676524542023	ibd_uc_stromal:2.2,p=0.0015;ibd_crohn_stromal:1.53,p=0.021;t1d_endothelial_cell:0.956,p=0.023	False
ANKRD29	17	2	0	0	0	2	0	Crohn disease;psoriasis		0.015355165359542478	0.3921590108107973	2.1926165281983776	1.9989598871969192			psoriasis_keratinocyte:2.19,p=0.015;ibd_crohn_stromal:1.67,p=0.031	False
ANKRD30A	4	0	1	0	0	0	1		psoriasis					0.01849265722585745	-1.4394098813710163		False
ANKRD30B	10	0	1	0	0	0	1		type 1 diabetes mellitus					0.048391933256769507	-0.2344086407369244		False
ANKRD30BL	4	0	0	0	0	0	0										False
ANKRD31	11	0	0	0	0	0	0										False
ANKRD33	7	0	0	0	0	0	0										False
ANKRD33B	17	0	3	0	0	0	2		psoriasis;ulcerative colitis					0.0004419494091087244	-3.5086537475101616		False
ANKRD33B-AS1	3	0	0	0	0	0	0										False
ANKRD34A	14	0	0	0	0	0	0										False
ANKRD34B	2	0	0	0	0	0	0										False
ANKRD34C	3	0	0	0	0	0	0										False
ANKRD34C-AS1	4	0	0	0	0	0	0										False
ANKRD35	17	0	1	0	0	0	1		psoriasis					0.03562049730497356	-1.0061554782607556		False
ANKRD36	17	0	0	0	0	0	0										False
ANKRD36B	17	0	0	0	0	0	0										False
ANKRD36C	17	3	1	0	0	2	1	Crohn disease;type 1 diabetes mellitus	Crohn disease	0.005231705157483673	0.19661736878610467	1.7161661650271833	0.8961459083863034	0.009210901997580005	-1.1045844571963417	t1d_endothelial_cell:1.72,p=0.0052;t1d_ductal_cell:0.748,p=0.035;ibd_crohn_epithelial:0.787,p=0.048	False
ANKRD37	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.0022381263368122617	0.14676537467877487	2.06593923253083	1.0043655985799051			t1d_endothelial_cell:2.07,p=0.0022	False
ANKRD39	17	1	0	0	0	1	0	Crohn disease		0.043247746086722744	0.27426974320232866	0.4189540815913939	1.407444238539636			ibd_crohn_epithelial:0.419,p=0.043	False
ANKRD40	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.004920825569538221	0.20967351498791387	0.7797958223066086	1.0359643631765532			t1d_stellate_cell:0.78,p=0.0049	False
ANKRD40CL	5	0	0	0	0	0	0										False
ANKRD42	17	1	2	1	1	1	2	Crohn disease	Crohn disease;ulcerative colitis	0.0007046989250377332	0.07893525051546146	0.8271938788136577	2.568483472485677	0.0002962717367232933	-1.305233011013898	ibd_crohn_epithelial:0.827,p=0.0007	False
ANKRD44	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.004999626391482792	0.278624664084541	1.1152943401292679	0.8029188142416984			t1d_ductal_cell:1.12,p=0.005	False
ANKRD44-AS1	2	0	0	0	0	0	0										False
ANKRD44-DT	3	0	0	0	0	0	0										False
ANKRD44-IT1	3	0	0	0	0	0	0										False
ANKRD45	10	0	0	0	0	0	0										False
ANKRD46	17	0	1	0	0	0	1		Crohn disease					0.024269948245889513	-0.7527843454719689		False
ANKRD49	17	0	0	0	0	0	0										False
ANKRD50	17	2	1	0	0	2	1	Crohn disease;type 1 diabetes mellitus	psoriasis	0.004978221734710702	0.13967428494683565	1.089467493315329	1.523194939445922	0.023709111993690215	-0.9308082025734556	ibd_crohn_epithelial:0.667,p=0.005;t1d_beta_cell:1.09,p=0.016	False
ANKRD52	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.027471156164676387	0.3806858775901371	0.9602844593404036	0.6804268670513905			t1d_stellate_cell:0.96,p=0.027	False
ANKRD53	11	1	0	0	0	1	0	type 1 diabetes mellitus		0.00931177767157685	0.2618533165341775	0.8925332120015733	1.7492014421805444			t1d_stellate_cell:0.893,p=0.0093	False
ANKRD54	17	0	0	0	0	0	0										False
ANKRD55	9	0	0	0	0	0	0										False
ANKRD6	17	0	1	0	0	0	1		Crohn disease					0.04744854300577854	-1.099568803325064		False
ANKRD61	3	0	0	0	0	0	0										False
ANKRD62	12	0	2	0	0	0	2		type 1 diabetes mellitus;ulcerative colitis					0.003348605719063112	-1.4978334381218952		False
ANKRD62P1-PARP4P3	2	0	0	0	0	0	0										False
ANKRD65	15	0	1	0	0	0	1		Sjogren syndrome					0.02946846083060943	-1.971868823520107		False
ANKRD66	1	0	0	0	0	0	0										False
ANKRD7	12	1	0	0	0	1	0	type 1 diabetes mellitus		0.014298009563834502	0.3064265553942904	0.6408436715368412	0.71215867542607			t1d_stellate_cell:0.641,p=0.014	False
ANKRD9	17	2	0	0	0	1	0	psoriasis		0.011938076294789298	0.40019800162873154	1.0314331282372589	2.8956707540308617			psoriasis_skin_stromal:0.594,p=0.012;psoriasis_keratinocyte:1.03,p=0.027	False
ANKS1A	17	0	0	0	0	0	0										False
ANKS1B	17	1	0	0	0	1	0	type 1 diabetes mellitus		0.04500351616899412	0.46987694395989926	0.8554018052833242	0.7091599042715104			t1d_ductal_cell:0.855,p=0.045	False
ANKS3	17	2	0	0	0	2	0	psoriasis;type 1 diabetes mellitus		0.032063105970397875	0.4011776855304397	1.0820623095409103	1.3926001564725108			t1d_beta_cell:0.643,p=0.032;psoriasis_keratinocyte:1.08,p=0.036	False
ANKS4B	10	0	0	0	0	0	0										False
ANKS6	17	2	2	0	0	2	1	Crohn disease;psoriasis	type 1 diabetes mellitus	0.007568287936403968	0.49837108466529817	1.4288313315850198	2.1897678787471193	0.014956810079553523	-0.5916481017329835	ibd_crohn_stromal:1.43,p=0.0076;psoriasis_skin_stromal:0.329,p=0.017	False
ANKUB1	6	0	0	0	0	0	0										False
ANKZF1	17	2	1	0	0	1	1	psoriasis	ulcerative colitis	0.011583347083008688	0.3849693710143581	1.3983404189855313	2.732830142143878	0.04930392196168739	-1.3849652834604886	psoriasis_keratinocyte:0.704,p=0.012;psoriasis_skin_apc:1.4,p=0.044	False
ANLN	16	3	0	0	0	2	0	Crohn disease;psoriasis		0.015652470154654253	0.19025826275139868	1.4713639900836828	1.9492557237527255			ibd_crohn_epithelial:1.23,p=0.016;psoriasis_keratinocyte:1.19,p=0.019;psoriasis_skin_stromal:1.47,p=0.044	False
ANO1	15	2	0	0	0	2	0	Crohn disease;ulcerative colitis		0.019256843801904226	0.26766842319157047	2.603336625187282	1.6243422953333733			ibd_uc_stromal:0.97,p=0.019;ibd_crohn_stromal:2.6,p=0.02	False
ANO1-AS1	2	0	0	0	0	0	0										False
ANO10	17	1	0	0	0	1	0	psoriasis		0.03971335184467313	0.40121785300954577	0.6565867424168461	2.0026164980433783			psoriasis_keratinocyte:0.657,p=0.04	False
ANO2	7	0	0	0	0	0	0										False
ANO3	10	0	0	0	0	0	0										False
ANO4	5	0	0	0	0	0	0										False
ANO5	16	1	0	0	0	1	0	Crohn disease		0.035928082566187784	0.35205393311270844	0.9023513462148912	1.5175532177337503			ibd_crohn_myeloid:0.902,p=0.036	False
ANO6	17	1	1	0	0	1	1	Crohn disease	type 1 diabetes mellitus	0.0075744012538640675	0.49837108466529817	0.7948498097598176	1.8032341617044243	0.013451930717787481	-0.5173260412522334	ibd_crohn_stromal:0.795,p=0.0076	False
ANO7	17	3	0	0	0	2	0	type 1 diabetes mellitus;ulcerative colitis		0.00039717027064890674	0.14504485601371706	2.3678606140458154	1.9109473773549859			t1d_acinar_cell:1.43,p=0.0004;ibd_uc_stromal:1.27,p=0.0088;t1d_endothelial_cell:2.37,p=0.037	False
ANO8	17	1	0	0	0	1	0	Crohn disease		0.049387243816526274	0.2878186272324588	0.6249391193859739	1.2220048919872977			ibd_crohn_epithelial:0.625,p=0.049	False
ANO9	16	3	0	0	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.006969150486872471	0.30884828341158505	2.0396548212432397	1.579346357511481			t1d_ductal_cell:1.4,p=0.007;ibd_uc_stromal:2.04,p=0.03;ibd_crohn_stromal:1.07,p=0.034	False
ANOS1	14	0	0	0	0	0	0										False
ANP32A	17	5	0	0	0	3	0	Crohn disease;psoriasis;ulcerative colitis		0.002798994874853417	0.12270474460479319	0.643142771347323	2.0457845284377845			ibd_crohn_epithelial:0.286,p=0.0028;psoriasis_skin_apc:0.643,p=0.0098;ibd_uc_myeloid:0.5,p=0.019;ibd_crohn_myeloid:0.633,p=0.032;psoriasis_keratinocyte:0.399,p=0.048	False
ANP32B	17	1	0	0	0	1	0	Crohn disease		0.03800807433637827	0.26181837208938147	0.6968853316156132	1.329832323657106			ibd_crohn_epithelial:0.697,p=0.038	False
ANP32D	3	0	0	0	0	0	0										False
ANP32E	17	1	1	0	0	1	1	ulcerative colitis	psoriasis	0.013829057933417186	0.21041293652981125	0.8962482390631621	1.6215271122308985	0.01676066433577036	-0.46855616612789497	ibd_uc_epithelial:0.896,p=0.014	False
ANPEP	17	5	1	0	0	3	1	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	0.007124736456985134	0.20327688219372606	3.3649330058411997	1.2465527083227608	0.047170170382705844	-2.1661940469888172	ibd_uc_myeloid:3.36,p=0.0071;t1d_beta_cell:1.98,p=0.011;t1d_ductal_cell:1.54,p=0.012;ibd_crohn_myeloid:2.86,p=0.015;t1d_stellate_cell:1.36,p=0.021	False
ANTKMT	8	0	0	0	0	0	0										False
ANTXR1	17	1	1	0	0	1	1	psoriasis	ulcerative colitis	0.03764987582919803	0.40121785300954577	0.9604134613291704	3.169902205253268	0.011145982084231912	-2.2237369088126906	psoriasis_keratinocyte:0.96,p=0.038	False
ANTXR2	17	1	0	0	0	1	0	Crohn disease		0.012946710696041318	0.18123812377492207	0.7488970263065289	1.6665545006686575			ibd_crohn_epithelial:0.749,p=0.013	False
ANTXRL	2	0	0	0	0	0	0										False
ANXA1	17	3	2	2	0	2	2	type 1 diabetes mellitus;ulcerative colitis	Crohn disease;ulcerative colitis	0.00014130308686788418	0.027019760760178316	3.971647143580095	2.5129267111013687	0.0328420210022964	-0.6975067098106464	t1d_beta_cell:1.59,p=0.00014;ibd_uc_epithelial:3.97,p=0.00014;t1d_acinar_cell:2.84,p=0.00024	False
ANXA10	9	2	0	0	0	1	0	type 1 diabetes mellitus		0.00060786598992613	0.15701052588320005	1.631371907333071	3.1305224477349203			t1d_acinar_cell:1.48,p=0.00061;t1d_stellate_cell:1.63,p=0.024	False
ANXA11	17	0	0	0	0	0	0										False
ANXA13	8	0	1	0	0	0	1		psoriasis					0.039755378346701474	-0.9570654017255781		False
ANXA2	17	2	0	1	0	1	0	type 1 diabetes mellitus		0.00013370399636667977	0.0508531681934542	0.8591590285152311	1.4590324882748993			t1d_endothelial_cell:0.859,p=0.00013;t1d_acinar_cell:0.736,p=0.019	False
ANXA2R	17	3	1	0	0	3	1	Crohn disease;psoriasis;type 1 diabetes mellitus	type 1 diabetes mellitus	0.01669262154710887	0.19341879200793768	1.2740703936287545	1.6340631294647214	0.048584448554579995	-0.20141293107081928	ibd_crohn_epithelial:0.775,p=0.017;t1d_endothelial_cell:1.27,p=0.036;psoriasis_keratinocyte:0.738,p=0.043	False
ANXA2R-AS1	7	0	0	0	0	0	0										False
ANXA3	17	4	0	1	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		7.258819559511506e-05	0.03282276396253697	2.8298831198710586	1.7878655241824966			ibd_uc_myeloid:2.83,p=7.3e-05;ibd_uc_epithelial:1.34,p=0.01;t1d_endothelial_cell:2.44,p=0.018;ibd_crohn_myeloid:2.74,p=0.024	False
ANXA4	17	4	3	0	0	2	2	type 1 diabetes mellitus;ulcerative colitis	Crohn disease;ulcerative colitis	0.010688384094987688	0.26298804242178286	2.3975421809433417	1.4093007057489093	0.012075590518675555	-1.0050660586986524	t1d_endothelial_cell:2.11,p=0.011;t1d_ductal_cell:0.824,p=0.02;ibd_uc_epithelial:0.722,p=0.027;t1d_acinar_cell:2.4,p=0.044	False
ANXA5	17	3	0	0	0	3	0	Crohn disease;psoriasis;ulcerative colitis		0.007072375419177861	0.1539637073647223	1.2548688665297245	2.0717760097063938			ibd_uc_epithelial:1.25,p=0.0071;ibd_crohn_epithelial:0.851,p=0.0076;psoriasis_skin_stromal:0.285,p=0.034	False
ANXA6	17	2	0	0	0	2	0	psoriasis;type 1 diabetes mellitus		0.014632359501944685	0.29106308276006065	2.6773234614745247	1.616675084430024			t1d_endothelial_cell:2.68,p=0.015;psoriasis_skin_stromal:0.646,p=0.032	False
ANXA7	17	1	1	0	0	1	1	Crohn disease	Crohn disease	0.002316805382722967	0.1196115793466152	0.5343854499670746	2.2658730159512386	0.02083890588299157	-0.3991201804520408	ibd_crohn_epithelial:0.534,p=0.0023	False
ANXA8	9	0	0	0	0	0	0										False
ANXA8L1	5	0	0	0	0	0	0										False
ANXA9	12	3	0	0	0	1	0	type 1 diabetes mellitus		0.006093822096831207	0.3055638754394937	1.696436492175721	1.9756246005877824			t1d_ductal_cell:1.7,p=0.0061;t1d_stellate_cell:1.33,p=0.041;t1d_beta_cell:1.52,p=0.044	False
AOAH	12	1	2	0	1	1	2	psoriasis	Crohn disease;ulcerative colitis	0.04309838533173221	0.7297013371935511	1.2786571900446146	2.2025758906421258	0.0010858458555958643	-2.7007803657219345	psoriasis_skin_apc:1.28,p=0.043	False
AOAH-IT1	1	0	0	0	0	0	0										False
AOC1	13	0	0	0	0	0	0										False
AOC2	14	0	1	0	1	0	1		type 1 diabetes mellitus					8.654719329043978e-05	-0.9603390029115448		False
AOC3	15	0	2	0	1	0	2		type 1 diabetes mellitus;ulcerative colitis					0.0004180628746606782	-1.450752337008331		False
AOPEP	8	0	0	0	0	0	0										False
AOX1	15	3	1	0	0	2	1	type 1 diabetes mellitus;ulcerative colitis	Sjogren syndrome	0.011529513925917176	0.2970471446890641	1.8984915596712941	0.938810658894716	0.026244239515484935	-0.8560150240455546	t1d_acinar_cell:0.68,p=0.012;t1d_ductal_cell:1.02,p=0.012;ibd_uc_stromal:1.9,p=0.025	False
AOX3P-AOX2P	2	0	0	0	0	0	0										False
AP000221.1	1	0	0	0	0	0	0										False
AP000229.1	5	0	0	0	0	0	0										False
AP000233.2	1	0	0	0	0	0	0										False
AP000235.1	3	0	0	0	0	0	0										False
AP000238.1	3	0	0	0	0	0	0										False
AP000240.1	3	0	0	0	0	0	0										False
AP000251.1	2	0	0	0	0	0	0										False
AP000253.1	5	0	0	0	0	0	0										False
AP000254.1	9	0	0	0	0	0	0										False
AP000265.1	2	0	0	0	0	0	0										False
AP000266.1	1	0	0	0	0	0	0										False
AP000281.2	3	0	0	0	0	0	0										False
AP000282.1	3	0	0	0	0	0	0										False
AP000289.1	2	0	0	0	0	0	0										False
AP000290.1	2	0	0	0	0	0	0										False
AP000302.1	2	0	0	0	0	0	0										False
AP000320.1	3	0	0	0	0	0	0										False
AP000322.1	2	0	0	0	0	0	0										False
AP000345.1	2	0	0	0	0	0	0										False
AP000345.2	7	0	1	0	0	0	1		ulcerative colitis					0.030333579721835372	-0.48854158538788867		False
AP000350.5	6	0	1	0	0	0	1		ulcerative colitis					0.027288018083721704	-0.9964825164674727		False
AP000350.6	7	0	0	0	0	0	0										False
AP000350.7	6	0	1	0	0	0	1		ulcerative colitis					0.03157189596147887	-0.3702188288013648		False
AP000356.2	1	0	0	0	0	0	0										False
AP000357.2	1	0	0	0	0	0	0										False
AP000365.1	4	0	0	0	0	0	0										False
AP000424.1	3	0	0	0	0	0	0										False
AP000426.1	1	0	0	0	0	0	0										False
AP000432.1	1	0	0	0	0	0	0										False
AP000438.1	5	0	0	0	0	0	0										False
AP000439.1	3	0	0	0	0	0	0										False
AP000439.2	5	0	1	0	0	0	1		psoriasis					0.00035005952306381373	-1.3775875132047564		False
AP000439.3	2	0	0	0	0	0	0										False
AP000442.1	7	0	0	0	0	0	0										False
AP000442.2	9	0	0	0	0	0	0										False
AP000446.1	6	0	0	0	0	0	0										False
AP000459.1	3	0	0	0	0	0	0										False
AP000462.1	3	0	0	0	0	0	0										False
AP000462.2	3	0	0	0	0	0	0										False
AP000472.1	1	0	0	0	0	0	0										False
AP000474.1	2	0	0	0	0	0	0										False
AP000477.1	3	0	0	0	0	0	0										False
AP000487.1	6	0	0	0	0	0	0										False
AP000487.2	3	0	0	0	0	0	0										False
AP000542.2	5	0	0	0	0	0	0										False
AP000542.3	3	0	0	0	0	0	0										False
AP000547.2	3	0	0	0	0	0	0										False
AP000550.1	5	0	0	0	0	0	0										False
AP000552.1	4	0	0	0	0	0	0										False
AP000553.1	2	0	0	0	0	0	0										False
AP000553.3	2	0	0	0	0	0	0										False
AP000561.1	3	0	0	0	0	0	0										False
AP000569.1	3	0	0	0	0	0	0										False
AP000593.4	3	0	0	0	0	0	0										False
AP000640.1	4	0	1	0	0	0	1		ulcerative colitis					0.04351904501916027	-0.351457429383435		False
AP000640.2	3	0	0	0	0	0	0										False
AP000654.1	7	0	0	0	0	0	0										False
AP000662.1	3	0	0	0	0	0	0										False
AP000676.5	3	0	0	0	0	0	0										False
AP000679.1	4	0	0	0	0	0	0										False
AP000688.1	3	0	0	0	0	0	0										False
AP000688.2	1	0	0	0	0	0	0										False
AP000688.3	2	0	0	0	0	0	0										False
AP000688.4	2	0	0	0	0	0	0										False
AP000692.1	3	0	0	0	0	0	0										False
AP000692.2	8	0	1	0	0	0	1		psoriasis					0.013458123545479225	-0.9017305334346413		False
AP000695.1	3	0	0	0	0	0	0										False
AP000696.1	1	0	0	0	0	0	0										False
AP000704.1	7	0	0	0	0	0	0										False
AP000708.1	3	0	0	0	0	0	0										False
AP000753.2	3	0	0	0	0	0	0										False
AP000755.2	1	0	0	0	0	0	0										False
AP000757.1	5	0	1	0	0	0	1		psoriasis					0.045851896438819734	-0.3614204526067291		False
AP000757.2	1	0	0	0	0	0	0										False
AP000759.1	4	0	1	0	0	0	1		psoriasis					0.037611531313191345	-0.98719925066922		False
AP000763.3	8	1	0	0	0	1	0	Crohn disease		0.0446731956684709	0.37597894190182846	1.1976992762186396	1.2567976446314153			ibd_crohn_myeloid:1.2,p=0.045	False
AP000763.4	3	0	0	0	0	0	0										False
AP000766.1	9	0	0	0	0	0	0										False
AP000769.2	5	0	2	0	0	0	2		psoriasis;ulcerative colitis					0.009142876117021841	-0.7972971416124116		False
AP000769.3	4	0	0	0	0	0	0										False
AP000777.1	2	0	0	0	0	0	0										False
AP000779.1	3	1	0	0	0	1	0	psoriasis		0.03412614158215905	0.5646879596057841	0.31071217674746	2.0731955538252964			psoriasis_skin_stromal:0.311,p=0.034	False
AP000781.1	1	0	0	0	0	0	0										False
AP000785.1	1	0	0	0	0	0	0										False
AP000785.2	5	0	1	0	0	0	1		psoriasis					0.04289080882453292	-0.20254969794166594		False
AP000786.1	2	0	0	0	0	0	0										False
AP000787.1	9	0	0	0	0	0	0										False
