gene	modules	submodules	is_target_gene	n_up_contexts	n_up_datasets	n_down_contexts	n_down_datasets	max_delta	min_delta	up_contexts	down_contexts
HSPA1A	stress_cytotoxicity	stress_core	False	0	0	8	7	0.3546210971277445	-2.0074852774635605		WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_OxLDL_vs_WT_OxLDL;Young_BEX_vs_Young_vehicle;Aged_BEX_vs_Aged_vehicle
HSPA1B	stress_cytotoxicity	stress_core	False	0	0	11	7	0.2802846051330026	-1.7509038205749698		WT_6h_AC_vs_WT_Ctrl;MF_AC_vs_MF;AC_45min_vs_Alone;AC_90min_vs_Alone;IFNg_Treg_phago_vs_IFNg_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;GpnmbR150X_OxLDL_vs_WT_OxLDL;Young_BEX_vs_Young_vehicle;Aged_BEX_vs_Aged_vehicle;StrokeAged_BEX_vs_StrokeAged_vehicle
COL1A2	fibrosis_profibrotic	fibrosis_core	False	0	0	8	5	0.3916672793087055	-1.2874165662225974		AC_45min_vs_Alone;AC_90min_vs_Alone;IL10_Treg_phago_vs_IL10_nonphago;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;Young_BEX_vs_Young_vehicle;Aged_BEX_vs_Aged_vehicle;StrokeAged_BEX_vs_StrokeAged_vehicle
F13A1	resolution_efferocytosis	repair_cytokine_matrix	False	0	0	6	5	0.3723013045231581	-1.3547798683978296		WT_2h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;AC_90min_vs_Alone;LipaOE_vs_Control_PM;GpnmbR150X_BMDM_vs_WT_BMDM;StrokeAged_BEX_vs_StrokeAged_vehicle
COL3A1	fibrosis_profibrotic	fibrosis_core	False	0	0	5	4	0.4780874069950324	-1.3082546013053933		AC_90min_vs_Alone;IL10_Treg_phago_vs_IL10_nonphago;GpnmbR150X_BMDM_vs_WT_BMDM;Young_BEX_vs_Young_vehicle;StrokeAged_BEX_vs_StrokeAged_vehicle
FN1	fibrosis_profibrotic	fibrosis_core	False	0	0	5	4	0.4060836197461154	-2.9497135084310093		WT_2h_AC_vs_WT_Ctrl;WT_6h_AC_vs_WT_Ctrl;AC_45min_vs_Alone;IL10_Treg_phago_vs_IL10_nonphago;GpnmbR150X_BMDM_vs_WT_BMDM
IFI44L	generic_ifn	ifn_core	False	0	0	1	1	-0.3817247174276054	-0.5410168353328288		GpnmbR150X_BMDM_vs_WT_BMDM
HLA-DRA	lipid_lysosomal_apc	mhcII_ciita	False	0	0	1	1	-0.5606254233658441	-0.5606254233658441		MF_AC_vs_MF
GBP1	generic_ifn	ifn_core	False	0	0	0	0	0.33259596554771	0.33259596554771		
HLA-DRB1	lipid_lysosomal_apc	mhcII_ciita	False	0	0	0	0	-0.1959519634677706	-0.1959519634677706		
HLA-DMA	lipid_lysosomal_apc	mhcII_ciita	False	0	0	0	0	-0.2381365316352811	-0.2381365316352811		
HLA-DMB	lipid_lysosomal_apc	mhcII_ciita	False	0	0	0	0	-0.4122943904426378	-0.4122943904426378		
HLA-DPB1	lipid_lysosomal_apc	mhcII_ciita	False	0	0	0	0	-0.41526941086894653	-0.41526941086894653		
HLA-DPA1	lipid_lysosomal_apc	mhcII_ciita	False	0	0	0	0	-0.415707384250535	-0.415707384250535		
OAS1	generic_ifn	ifn_core	False	0	0	0	0	-0.4773951731045214	-0.4773951731045214		
