feature_type	feature	contrast	n_case	n_control	mean_case	mean_control	delta_log2	hedges_g	welch_t	p	ols_beta_disease_ms	ols_p_disease_ms	ols_note	fdr
gene	GBP1	MS_WM_vs_CON_WM	10	11	10.027485791432223	9.53605728924966	0.49142850218256307	0.8000728439177743	1.941672516094299	0.06818483072204742	0.36147659955799766	0.25333389914896365	HC3 robust SE; covariates disease, region, age, sex	0.22728276907349143
gene	CXCL10	MS_WM_vs_CON_WM	10	11	9.492508461603729	8.409190885407105	1.0833175761966238	0.7361200117292042	1.7520621445206943	0.09617284993826129	0.5981807429310829	0.3131279518563127	HC3 robust SE; covariates disease, region, age, sex	0.2419280750076221
gene	HLA-DRA	MS_WM_vs_CON_WM	10	11	16.14379257445295	15.854660936548958	0.2891316379039903	0.7323559303695486	1.7476619949187118	0.09677123000304884	0.29010466945572766	0.1415569693341505	HC3 robust SE; covariates disease, region, age, sex	0.2419280750076221
gene	STAT1	MS_WM_vs_CON_WM	10	11	10.769226205105904	10.231326595237705	0.5378996098681981	0.6835132062150272	1.5844640618362924	0.1363451431707629	0.36559100257967514	0.2571928193649411	HC3 robust SE; covariates disease, region, age, sex	0.2814318237730487
gene	CTSS	MS_WM_vs_CON_WM	10	11	13.078209620035372	12.888336197394699	0.18987342264067308	0.6388917205212462	1.5378385276560829	0.14071591188652435	0.289290238283167	0.024131589004829774	HC3 robust SE; covariates disease, region, age, sex	0.2814318237730487
gene	LAMP3	MS_WM_vs_CON_WM	10	11	5.97419427971815	4.861449822553196	1.112744457164954	0.6035372974366917	1.4816225643094276	0.15888527072636688	0.41981195868446336	0.6714520951882987	HC3 robust SE; covariates disease, region, age, sex	0.28888231041157614
gene	CD74	MS_WM_vs_CON_WM	10	11	16.914341471134943	16.65895076923426	0.2553907019006836	0.5415320486815584	1.2765617875849604	0.2187160729350419	0.17723691796878221	0.4155103391539091	HC3 robust SE; covariates disease, region, age, sex	0.36452678822506984
gene	LAMP1	MS_WM_vs_CON_WM	10	11	12.261967336437134	12.099707777238866	0.16225955919826873	0.49935684843165407	1.173918915191457	0.25694907984155396	0.020902963734722557	0.9036707728334518	HC3 robust SE; covariates disease, region, age, sex	0.3953062766793138
gene	LAMP2	MS_WM_vs_CON_WM	10	11	12.146416208135033	12.011577929606728	0.13483827852830466	0.4676148239106621	1.099040973851178	0.2874373653306042	0.07972932439293101	0.5308787018897763	HC3 robust SE; covariates disease, region, age, sex	0.4106248076151489
gene	CXCR4	MS_WM_vs_CON_WM	10	11	14.061004342843294	13.74891749718671	0.31208684565658373	0.4215814445672457	1.0312234107056786	0.3176858396110893	0.9729067248667964	0.04471452220120355	HC3 robust SE; covariates disease, region, age, sex	0.42358111948145244
gene	IFI30	MS_WM_vs_CON_WM	10	11	12.17303677267371	11.9628744025758	0.21016237009791006	0.37297383905006115	0.8992631635122216	0.37994695495218206	0.2280738350360041	0.44025102457379717	HC3 robust SE; covariates disease, region, age, sex	0.47493369369022753
gene	CIITA	MS_WM_vs_CON_WM	10	11	11.971245526809515	12.130474562861957	-0.15922903605244265	-0.24168364296884293	-0.5709471098103927	0.5752493711426078	-0.12634336261654194	0.7136297298373965	HC3 robust SE; covariates disease, region, age, sex	0.6767639660501268
gene	CTSB	MS_WM_vs_CON_WM	10	11	15.357356554454594	15.417352018533546	-0.059995464078951954	-0.10333131757203128	-0.23978583967802997	0.8140537383462653	-0.2068212743451191	0.4611398973967805	HC3 robust SE; covariates disease, region, age, sex	0.9045041537180725
gene	IRF1	MS_WM_vs_CON_WM	10	11	10.364342633214994	10.39474080718185	-0.030398173966856845	-0.041879168293785296	-0.09895076892311558	0.9222930745319915	0.10218247138732617	0.7556017443510519	HC3 robust SE; covariates disease, region, age, sex	0.9708348152968332
gene	RFX5	MS_WM_vs_CON_WM	10	11	10.52554752440773	10.521217289263383	0.004330235144346162	0.011245397321076664	0.02707014877908763	0.9786885809467265	-0.031950967457268664	0.875717022882153	HC3 robust SE; covariates disease, region, age, sex	0.9786885809467265
gene	HLA-DPA1	MS_all_vs_CON_all	15	16	14.945473127646927	14.296790298766084	0.6486828288808439	1.166685729216913	3.3245558226937635	0.002450010736371536	0.5106684291580474	0.031114942470352822	HC3 robust SE; covariates disease, region, age, sex	0.04900021472743072
gene	HLA-DPB1	MS_all_vs_CON_all	15	16	13.568226506486543	13.033801842777953	0.5344246637085899	0.775592592327893	2.194876550081854	0.03735287266232015	0.42760547315124864	0.14092006500866217	HC3 robust SE; covariates disease, region, age, sex	0.21245976976776068
