gene	disease	mean_delta	mean_hedges_g	min_p	positive_all	positive_any_nominal	negative_any_nominal	n_contrasts
IL1B	RA	2497.772551111111	1.6384229353890132	0.0026190465557407	True	True	False	1
IL1B	lupus_nephritis	0.1248764683245529	-0.3777688773441324	0.0007378632885359	False	False	True	2
IL1B	psoriasis	1.0122154137931034	1.4989178161297214	3.5060510731588664e-11	True	True	False	1
LAMP1	IBD_active_vs_inactive	-0.022275408310348698	-0.18899137701416596	0.0758597414091103	False	False	False	2
LAMP1	RA	-17778.523277777775	-3.760460250330188	0.0031704705057829	False	False	True	1
LAMP1	lupus_nephritis	0.036351997671128594	0.25769877330494334	0.0119978302261929	False	True	False	2
LAMP1	psoriasis	0.016856948275862	0.1369679021744445	0.3049570567684003	True	False	False	1
LIPA	IBD_active_vs_inactive	0.04292508890502322	0.32265687414128186	9.279164022328124e-05	False	True	True	2
LIPA	RA	-40827.34088888889	-5.963302761754954	0.0001583095986072	False	False	True	1
LIPA	lupus_nephritis	0.8922588335967259	1.8133004604025555	1.6531253190993725e-11	True	True	False	2
LIPA	psoriasis	0.5505935517241379	1.9230573201356345	4.101836280095948e-11	True	True	False	1
LPL	IBD_active_vs_inactive	0.5753683246827732	1.0890736684658253	4.890789408448467e-09	True	True	False	2
LPL	RA	3696.389881111112	0.7741601540920027	0.0774201283446252	True	False	False	1
LPL	lupus_nephritis	-0.59065239166637	-0.6921954691388992	0.0001557474577592	False	False	True	2
LPL	psoriasis	-1.164545103448276	-1.0118516549148844	8.590846734596652e-09	False	False	True	1
MARCO	IBD_active_vs_inactive	0.1271927914533619	0.49128234250425395	0.0176553292114071	True	True	False	2
MARCO	RA	16969.15082222222	3.151423736095684	1.2600990759415738e-05	True	True	False	1
MARCO	lupus_nephritis	0.3473083785229165	0.20388111415913002	0.0002657741797366	False	True	False	2
MARCO	psoriasis	-0.0501491724137931	-0.0934281812167838	0.4835011839462342	False	False	False	1
MERTK	IBD_active_vs_inactive	0.0746016275705439	0.15909288453350326	0.0137284490014778	False	True	False	2
MERTK	RA	-1360.205366666667	-1.497770178828933	0.0329180468865051	False	False	True	1
MERTK	lupus_nephritis	0.4721082653050593	0.6466764696653201	3.547108376442497e-08	False	True	False	2
MERTK	psoriasis	-0.3752781896551724	-1.3669613313305868	3.8574757988593025e-10	False	False	True	1
MSR1	IBD_active_vs_inactive	0.5643074196565361	0.9842300732665045	7.512288221922327e-08	True	True	False	2
MSR1	RA	-203.06086333333317	-0.4471218904012496	0.3950699538201289	False	False	False	1
MSR1	lupus_nephritis	0.1428857339949409	0.6272712976102033	2.6604100013910217e-05	True	True	False	2
MSR1	psoriasis	0.0760266379310344	0.4532903793708952	0.0009595994474677	True	True	False	1
NAMPT	IBD_active_vs_inactive	0.9545059867077681	1.744616377763467	5.315189990366626e-13	True	True	False	2
NAMPT	RA	6667.121090000001	3.5642792597232993	1.067746075510371e-05	True	True	False	1
NAMPT	psoriasis	1.7163548534482758	2.662215145493622	3.694568926535923e-11	True	True	False	1
PLIN2	IBD_active_vs_inactive	-0.30047280077896454	-0.23644249563114772	0.0037408747443486	False	True	True	2
PLIN2	RA	-22550.22404955556	-5.779998472870773	0.0001891865621602	False	False	True	1
PLIN2	lupus_nephritis	0.03524080258110196	-0.03184032913537721	0.0172809776915097	False	True	True	2
PLIN2	psoriasis	-0.2706293620689655	-0.825571297086063	7.086649072718152e-07	False	False	True	1
SPP1	IBD_active_vs_inactive	1.5988398032163609	1.1500630030313588	3.1796391125944004e-14	True	True	False	2
SPP1	RA	26322.885596333326	4.673905630220314	1.8909001410340356e-07	True	True	False	1
SPP1	lupus_nephritis	0.20791635192485192	0.4384330224882679	0.0551342160503463	True	False	False	2
SPP1	psoriasis	0.2969686379310344	0.4627137814929255	0.0003742459638568	True	True	False	1
TNF	IBD_active_vs_inactive	0.4498015309107264	0.8866305916811956	6.746557863457566e-09	True	True	False	2
TNF	RA	899.6885355555553	2.1022596757348513	0.000388905952221	True	True	False	1
TNF	lupus_nephritis	0.009387083351042352	-0.16735686438628844	0.0147723915941516	False	True	True	2
TNF	psoriasis	0.2800415862068965	0.9852056021469576	2.0311008851614722e-08	True	True	False	1
TPP1	IBD_active_vs_inactive	0.06766311283082065	0.25671360991401193	0.2253135901205704	True	False	False	2
TPP1	RA	-6174.153988888889	-5.994661895198184	2.4108024180019896e-06	False	False	True	1
TPP1	lupus_nephritis	0.10682849981160555	0.36211410448462183	0.0879165092617127	True	False	False	2
TPP1	psoriasis	0.1787357931034482	0.718101360973844	9.655319243835846e-06	True	True	False	1
TREM2	IBD_active_vs_inactive	0.0020966411095048503	0.0110152390004607	0.9409191685648464	True	False	False	2
TREM2	RA	-3004.97348888889	-1.309931812844464	0.0141033213165238	False	False	True	1
TREM2	lupus_nephritis	0.470590224583483	0.6731272550417444	4.010141620276096e-06	True	True	False	2
TREM2	psoriasis	0.2550958275862069	0.6387188954113213	2.0959136854864125e-05	True	True	False	1
