gene	europepmc_query	europepmc_hit_count	europepmc_examples_json	europepmc_url
PKM	"""PKM"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1191	"[{""doi"": ""10.3389/fendo.2024.1383221"", ""id"": ""39314521"", ""source"": ""MED"", ""title"": ""The association of common autoimmune diseases with autoimmune thyroiditis: a two-sample Mendelian randomization study."", ""year"": ""2024""}, {""doi"": ""10.2147/jir.s557806"", ""id"": ""41847428"", ""source"": ""MED"", ""title"": ""Identification and Validation of Key Purine Metabolism-Related Genes in Ulcerative Colitis Using Bioinformatics and Machine Learning."", ""year"": ""2026""}, {""doi"": ""10.1186/s43556-026-00472-x"", ""id"": ""42159990"", ""source"": ""MED"", ""title"": ""Lactate and lactylation: mechanisms, function, diseases, and therapeutic targets."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22PKM%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
KCNJ2	"""KCNJ2"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	417	"[{""doi"": ""10.3389/fimmu.2024.1456392"", ""id"": ""39290707"", ""source"": ""MED"", ""title"": ""Exploring the transcriptomic landscape of moyamoya disease and systemic lupus erythematosus: insights into crosstalk genes and immune relationships."", ""year"": ""2024""}, {""doi"": ""10.1038/s41540-026-00726-y"", ""id"": ""42056128"", ""source"": ""MED"", ""title"": ""Integrating AI, mechanistic modelling and network approaches in systems biology for translational research."", ""year"": ""2026""}, {""doi"": ""10.3389/fphar.2025.1535621"", ""id"": ""40012622"", ""source"": ""MED"", ""title"": ""MicroRNAs in atrial fibrillation - have we discovered the Holy Grail or opened a Pandora's box?"", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22KCNJ2%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
P4HB	"""P4HB"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	402	"[{""doi"": ""10.1016/j.dld.2025.04.015"", ""id"": ""40300947"", ""source"": ""MED"", ""title"": ""Distribution of epithelial endoplasmic reticulum stress-related proteins in adult and pediatric Crohn's disease: Association with inflammation and fibrosis."", ""year"": ""2025""}, {""doi"": ""10.12122/j.issn.1673-4254.2025.09.12"", ""id"": ""41022602"", ""source"": ""MED"", ""title"": ""[Diagnostic and predictive value of ferroptosis-related genes in patients with ulcerative colitis]."", ""year"": ""2025""}, {""doi"": ""10.34172/jlms.2024.26"", ""id"": ""39188934"", ""source"": ""MED"", ""title"": ""Efficacy Evaluation of Treatment of Psoriasis Via Narrow Band-Ultraviolet Radiation."", ""year"": ""2024""}]"	https://europepmc.org/search?query=%22P4HB%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
SLC25A22	"""SLC25A22"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	113	"[{""doi"": ""10.1242/dmm.052275"", ""id"": ""40539845"", ""source"": ""MED"", ""title"": ""Mutant zebrafish lacking slc25a22a show spontaneous seizures and respond to the anti-seizure medication valproic acid."", ""year"": ""2025""}, {""doi"": ""10.1186/s12967-025-06976-4"", ""id"": ""41102706"", ""source"": ""MED"", ""title"": ""Targeting mitochondrial transporters and metabolic reprogramming for disease treatment."", ""year"": ""2025""}, {""doi"": ""10.3390/ijms25126528"", ""id"": ""38928233"", ""source"": ""MED"", ""title"": ""A Glimpse into Humoral Response and Related Therapeutic Approaches of Takayasu's Arteritis."", ""year"": ""2024""}]"	https://europepmc.org/search?query=%22SLC25A22%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
LRG1	"""LRG1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	672	"[{""doi"": ""10.1080/17474124.2026.2628012"", ""id"": ""41636455"", ""source"": ""MED"", ""title"": ""Leucine-rich alpha-2 glycoprotein as a blood biomarker in inflammatory bowel disease: clinical implications and future perspectives."", ""year"": ""2026""}, {""doi"": ""10.1007/s10067-025-07545-2"", ""id"": ""40665055"", ""source"": ""MED"", ""title"": ""Leucine-rich alpha-2-glycoprotein 1 (LRG1) decrement during biologics therapy and its correlation with disease features and treatment outcomes in rheumatoid arthritis patients."", ""year"": ""2025""}, {""doi"": ""10.1097/md.0000000000047536"", ""id"": ""41686630"", ""source"": ""MED"", ""title"": ""Predicting mucosal healing in patients with ulcerative colitis in clinical remission using biomarkers: A single-center prospective pilot study."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22LRG1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
AP2B1	"""AP2B1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	130	"[{""doi"": ""10.1136/jitc-2025-013814"", ""id"": ""41592893"", ""source"": ""MED"", ""title"": ""Autoantibodies as predictors for immune-related adverse events in checkpoint inhibition therapy of metastatic melanoma."", ""year"": ""2026""}, {""doi"": ""10.3390/cimb47080594"", ""id"": ""40864748"", ""source"": ""MED"", ""title"": ""Trans-eQTLs Can Be Used to Identify Tissue-Specific Gene Regulatory Networks."", ""year"": ""2025""}, {""doi"": ""10.3389/fneur.2025.1605982"", ""id"": ""40948637"", ""source"": ""MED"", ""title"": ""Aberrant lncRNA and mRNA expression in patients with anti-&lt;i&gt;N&lt;/i&gt;-methyl-d-aspartate receptor encephalitis."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22AP2B1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
DDX39A	"""DDX39A"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	74	"[{""doi"": ""10.1096/fj.202401764r"", ""id"": ""39873909"", ""source"": ""MED"", ""title"": ""The role of circular RNAs in autoimmune diseases: Potential diagnostic biomarkers and therapeutic targets."", ""year"": ""2025""}, {""doi"": ""10.1172/jci196379"", ""id"": ""41615953"", ""source"": ""MED"", ""title"": ""MAP4K2 suppresses antitumor immunity in a pancreatic cancer model by promoting Treg differentiation."", ""year"": ""2026""}, {""doi"": ""10.1002/hsr2.71659"", ""id"": ""41542331"", ""source"": ""MED"", ""title"": ""Integrated Single Cell Spatial Analysis Reveals Dysregulated Basal Progenitor Cells in Ulcerative Colitis Pathogenesis: A Multi Omics Study."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22DDX39A%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
APOL1	"""APOL1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1672	"[{""doi"": ""10.1371/journal.pone.0339397"", ""id"": ""41481752"", ""source"": ""MED"", ""title"": ""Analysis of common differential gene expression between rheumatoid arthritis and ulcerative colitis."", ""year"": ""2026""}, {""doi"": null, ""id"": ""PMC12985002"", ""source"": ""PMC"", ""title"": ""Cultural Determinants of Chronic Disease Management: A Cross-Comparative Medical Review"", ""year"": ""2026""}, {""doi"": ""10.1007/s10067-025-07723-2"", ""id"": ""41205134"", ""source"": ""MED"", ""title"": ""Exploration of the shared gene signatures and potential molecular mechanisms between Crohn's disease and psoriasis."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22APOL1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
PDPN	"""PDPN"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1203	"[{""doi"": null, ""id"": ""PMC13066243"", ""source"": ""PMC"", ""title"": ""Baseline Th17/Tc17 and LAG-3 levels serve as candidate exploratory markers for early ixekizumab response in psoriasis"", ""year"": null}, {""doi"": ""10.1093/ecco-jcc/jjag012"", ""id"": ""41765035"", ""source"": ""MED"", ""title"": ""TWEAK is increased in ulcerative colitis and contributes to fibroblast-mediated monocyte activation via heterologous non-canonical NF-kB/STAT3 signaling."", ""year"": ""2026""}, {""doi"": ""10.1038/s41598-026-38426-6"", ""id"": ""41663590"", ""source"": ""MED"", ""title"": ""The astrocyte marker ALDH1L1 also identifies a stromal cell population in the lymph node."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22PDPN%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
CASP8	"""CASP8"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	6629	"[{""doi"": ""10.7717/peerj.19536"", ""id"": ""40585331"", ""source"": ""MED"", ""title"": ""The potential mechanism of Huangqin for treatment of systemic lupus erythematosus based on network pharmacology, molecular docking and molecular dynamics simulation."", ""year"": ""2025""}, {""doi"": ""10.1016/j.compbiolchem.2026.109040"", ""id"": ""41935502"", ""source"": ""MED"", ""title"": ""Network pharmacology and bioinformatics reveal multi-target neuroprotective mechanisms of Radix Bupleuri in multiple sclerosis via CASP8, HSP90AA1, CDK4, and MDM2."", ""year"": ""2026""}, {""doi"": ""10.3390/medsci13040310"", ""id"": ""41440542"", ""source"": ""MED"", ""title"": ""Emerging Insights into the Interplay Between PANoptosis and Autophagy in Immune Regulation and Immune-Mediated Inflammatory Diseases."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22CASP8%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
DYNLT1	"""DYNLT1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	64	"[{""doi"": ""10.62347/qhvd4331"", ""id"": ""42179742"", ""source"": ""MED"", ""title"": ""Shared gene signatures between rheumatoid arthritis and Sj\u00f6gren's syndrome."", ""year"": ""2026""}, {""doi"": ""10.3389/fphar.2025.1697406"", ""id"": ""41383480"", ""source"": ""MED"", ""title"": ""Signal transduction, dimerization, and therapeutic targeting of Orexin and receptor systems."", ""year"": ""2025""}, {""doi"": ""10.3390/biom16040501"", ""id"": ""42072623"", ""source"": ""MED"", ""title"": ""MAVS as a Key Regulator of Tumor Proliferation, Survival, the Tumor Microenvironment, and Immunity."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22DYNLT1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
ITGB4	"""ITGB4"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	515	"[{""doi"": ""10.1097/md.0000000000046678"", ""id"": ""41431012"", ""source"": ""MED"", ""title"": ""Novel insight into the gene etiology of ulcerative colitis gained from transcriptome association study and single-cell sequence analysis."", ""year"": ""2025""}, {""doi"": ""10.3390/genes16091085"", ""id"": ""41010030"", ""source"": ""MED"", ""title"": ""Genetic and Epigenetic Factors in Ulcerative Colitis: A Narrative Literature Review."", ""year"": ""2025""}, {""doi"": ""10.3389/fimmu.2026.1858274"", ""id"": ""42148111"", ""source"": ""MED"", ""title"": ""Editorial: The pathogenesis and novel treatment options in AIBDs."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22ITGB4%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
PSMB8	"""PSMB8"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1277	"[{""doi"": ""10.1186/s12863-026-01414-w"", ""id"": ""41851628"", ""source"": ""MED"", ""title"": ""A curated list of immune system associated genes related to cancer."", ""year"": ""2026""}, {""doi"": ""10.1038/s41392-025-02372-y"", ""id"": ""40877259"", ""source"": ""MED"", ""title"": ""Neuronal immunoproteasome and PFKFB3-forced glycolysis: key players in multiple sclerosis."", ""year"": ""2025""}, {""doi"": ""10.1007/s00125-024-06303-4"", ""id"": ""39467873"", ""source"": ""MED"", ""title"": ""Autoimmune diseases and the risk and prognosis of latent autoimmune diabetes in adults."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22PSMB8%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
COX7A2	"""COX7A2"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	124	"[{""doi"": ""10.1097/md.0000000000044435"", ""id"": ""41517693"", ""source"": ""MED"", ""title"": ""Identification of mitochondria metabolism-related biomarkers associated with the development of rheumatoid arthritis using bioinformatics: An observational study."", ""year"": ""2026""}, {""doi"": ""10.1016/j.isci.2026.114857"", ""id"": ""41732265"", ""source"": ""MED"", ""title"": ""Machine learning-driven identification of shared and disease-specific mitochondria-related genes in COPD, NSCLC, and NSCLC with COPD."", ""year"": ""2026""}, {""doi"": ""10.1186/s12967-025-07253-0"", ""id"": ""41185013"", ""source"": ""MED"", ""title"": ""A novel palmitoylation-based molecular signature reveals COX6A1 as a key regulator in metabolic dysfunction-associated steatotic liver disease."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22COX7A2%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
SQLE	"""SQLE"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	504	"[{""doi"": ""10.1038/s41419-025-08204-9"", ""id"": ""41326356"", ""source"": ""MED"", ""title"": ""Immune cells dying from ferroptosis: mechanisms and therapeutic opportunities."", ""year"": ""2025""}, {""doi"": ""10.3390/ijms27031540"", ""id"": ""41683959"", ""source"": ""MED"", ""title"": ""Characteristics of T-Cells Expressing IL-37 and Its Receptors in Inflammatory Bowel Disease."", ""year"": ""2026""}, {""doi"": ""10.1016/j.mycmed.2026.101621"", ""id"": ""41916248"", ""source"": ""MED"", ""title"": ""The first reported case of terbinafine-resistant Trichophyton rubrum in Tunisia and its clinical implications."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22SQLE%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
SAA2	"""SAA2"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	563	"[{""doi"": ""10.1016/j.jtauto.2025.100333"", ""id"": ""41323472"", ""source"": ""MED"", ""title"": ""Mendelian randomization study of the causal relationship between autoimmune diseases and anemia using proteomic and genetic data."", ""year"": ""2025""}, {""doi"": ""10.1186/s12933-026-03203-2"", ""id"": ""42106685"", ""source"": ""MED"", ""title"": ""Integrative proteogenomic and observational analysis identifies potential biomarkers for latent autoimmune diabetes in adults."", ""year"": ""2026""}, {""doi"": ""10.1016/j.xcrm.2025.102236"", ""id"": ""40669446"", ""source"": ""MED"", ""title"": ""Endoscopic healing in pediatric IBD perpetuates a persistent signature defined by Th17 cells with molecular and microbial drivers of disease."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22SAA2%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
PTPN2	"""PTPN2"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1469	"[{""doi"": null, ""id"": ""PMC12979485"", ""source"": ""PMC"", ""title"": ""Mendelian randomization studies in atopic dermatitis: causal insights across omics layers"", ""year"": null}, {""doi"": ""10.1097/in9.0000000000000056"", ""id"": ""39944077"", ""source"": ""MED"", ""title"": ""Protein phosphatases in systemic autoimmunity."", ""year"": ""2025""}, {""doi"": ""10.17179/excli2024-7684"", ""id"": ""39421031"", ""source"": ""MED"", ""title"": ""Autoimmune diseases share a common genetic architecture involving the JAK-STAT pathway."", ""year"": ""2024""}]"	https://europepmc.org/search?query=%22PTPN2%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
C1QTNF1	"""C1QTNF1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	86	"[{""doi"": ""10.1186/s40001-025-03387-5"", ""id"": ""41272894"", ""source"": ""MED"", ""title"": ""Proteomics identifies complement protein signatures in patients with primary biliary cholangitis."", ""year"": ""2025""}, {""doi"": ""10.1155/ijog/6182868"", ""id"": ""40552250"", ""source"": ""MED"", ""title"": ""Association of Cannabinoid CB2 Receptor Q63R Variant With Rheumatoid Arthritis in an Iranian Cohort."", ""year"": ""2025""}, {""doi"": ""10.17305/bb.2024.10103"", ""id"": ""38498315"", ""source"": ""MED"", ""title"": ""Dynamic network biomarker C1QTNF1 regulates tumor formation at the tipping point of hepatocellular carcinoma."", ""year"": ""2024""}]"	https://europepmc.org/search?query=%22C1QTNF1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
TNFRSF11B	"""TNFRSF11B"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	849	"[{""doi"": ""10.3389/fimmu.2026.1671806"", ""id"": ""41659880"", ""source"": ""MED"", ""title"": ""T-bet: biological functions, molecular mechanisms, and therapeutic applications: a systematic review."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2026.1794207"", ""id"": ""41988199"", ""source"": ""MED"", ""title"": ""Understanding heterogeneity in the pathogenesis and drug responses of ulcerative colitis through single-cell and spatial transcriptomics."", ""year"": ""2026""}, {""doi"": ""10.1212/nxi.0000000000200578"", ""id"": ""42024828"", ""source"": ""MED"", ""title"": ""Emerging CSF and Serum Biomarkers in Multiple Sclerosis: Cytokines, MOG, GFAP, and Beyond."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22TNFRSF11B%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
CASP10	"""CASP10"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	568	"[{""doi"": ""10.1093/oxfimm/iqag002"", ""id"": ""41710123"", ""source"": ""MED"", ""title"": ""Exploring the role of gelsolin and high-density lipoproteins in autoimmune diseases: spotlight on rheumatoid arthritis and systemic lupus erythematosus."", ""year"": ""2026""}, {""doi"": ""10.1186/s12863-026-01414-w"", ""id"": ""41851628"", ""source"": ""MED"", ""title"": ""A curated list of immune system associated genes related to cancer."", ""year"": ""2026""}, {""doi"": ""10.1038/s41598-025-94053-7"", ""id"": ""40148470"", ""source"": ""MED"", ""title"": ""Exploring new drug treatment targets for immune related bone diseases using a multi omics joint analysis strategy."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22CASP10%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
COL4A1	"""COL4A1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1352	"[{""doi"": ""10.1016/j.ijbiomac.2025.149013"", ""id"": ""41237879"", ""source"": ""MED"", ""title"": ""Collagen IV and laminin-1 as key macromolecules in ocular structure and pathology: A review."", ""year"": ""2025""}, {""doi"": ""10.1212/nxi.0000000000200578"", ""id"": ""42024828"", ""source"": ""MED"", ""title"": ""Emerging CSF and Serum Biomarkers in Multiple Sclerosis: Cytokines, MOG, GFAP, and Beyond."", ""year"": ""2026""}, {""doi"": ""10.1016/j.mtbio.2026.102778"", ""id"": ""41585440"", ""source"": ""MED"", ""title"": ""Engineered prebiotic microcapsules Co-Encapsulating berberine and curcumin Elicit multi-synergistic therapy for ulcerative colitis."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22COL4A1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
LTF	"""LTF"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1600	"[{""doi"": ""10.1097/md.0000000000044022"", ""id"": ""40859509"", ""source"": ""MED"", ""title"": ""Chemotaxis-related molecular markers underlying the immune disorder of psoriasis and ulcerative colitis: Preliminary analysis and verification."", ""year"": ""2025""}, {""doi"": ""10.1371/journal.pone.0339397"", ""id"": ""41481752"", ""source"": ""MED"", ""title"": ""Analysis of common differential gene expression between rheumatoid arthritis and ulcerative colitis."", ""year"": ""2026""}, {""doi"": ""10.1126/sciadv.adz7117"", ""id"": ""42160433"", ""source"": ""MED"", ""title"": ""The immunoproteome and multimorbidity: A Mendelian randomization study."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22LTF%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
SAA1	"""SAA1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1192	"[{""doi"": ""10.1371/journal.pone.0344169"", ""id"": ""41911226"", ""source"": ""MED"", ""title"": ""Unraveling the toxicological impact of Bisphenol A exposure on dermatomyositis: An integration of network toxicology and machine learning approaches."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2025.1726664"", ""id"": ""41472723"", ""source"": ""MED"", ""title"": ""Co-occurrence of autoimmune diseases and metabolic disorders in familial mediterranean fever patients: review of literature and case reports."", ""year"": ""2025""}, {""doi"": ""10.1016/j.intimp.2026.116710"", ""id"": ""42030894"", ""source"": ""MED"", ""title"": ""Serum amyloid A1 directly engages TLR4/MD-2 to trigger neuroinflammatory signaling in microglia cultures."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22SAA1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
METAP1	"""METAP1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	49	"[{""doi"": ""10.1002/advs.202508280"", ""id"": ""40642900"", ""source"": ""MED"", ""title"": ""Zinc Alleviates Gut Barrier Dysfunction by Promoting the Methylation of AKT."", ""year"": ""2025""}, {""doi"": null, ""id"": ""PMC11448958"", ""source"": ""PMC"", ""title"": ""Patent highlights October\u2013November 2023"", ""year"": null}, {""doi"": ""10.1165/rcmb.2024-0428oc"", ""id"": ""39836049"", ""source"": ""MED"", ""title"": ""Novel Sarcoidosis Epitope Augments MHCII, CD80, and CD86 Expression and Promotes B-Cell Differentiation and IgG Production."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22METAP1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
KYNU	"""KYNU"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	631	"[{""doi"": ""10.3389/fimmu.2025.1755047"", ""id"": ""41624885"", ""source"": ""MED"", ""title"": ""Identifying common genetic etiologies between iridocyclitis and related immune-mediated diseases."", ""year"": ""2025""}, {""doi"": ""10.1016/j.neuint.2026.106141"", ""id"": ""41794052"", ""source"": ""MED"", ""title"": ""Kynureninase deficiency ameliorated monocytic recruitment and severity in a mouse model of multiple sclerosis."", ""year"": ""2026""}, {""doi"": ""10.1007/s10753-025-02339-9"", ""id"": ""40685481"", ""source"": ""MED"", ""title"": ""The Kynurenine Pathway in Psoriasis: Mechanisms and Therapeutic Opportunities."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22KYNU%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
CD274	"""CD274"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	5529	"[{""doi"": ""10.1038/s41598-026-41818-3"", ""id"": ""41775781"", ""source"": ""MED"", ""title"": ""Integrative mendelian randomization approaches for therapeutic target prioritisation in immune-mediated diseases."", ""year"": ""2026""}, {""doi"": ""10.2147/jir.s552678"", ""id"": ""41368353"", ""source"": ""MED"", ""title"": ""NCF2 as a Novel Diagnostic Biomarker in Ulcerative Colitis: Linking Macrophage Infiltration to Immune Dysregulation via Multi-Omics Analysis."", ""year"": ""2025""}, {""doi"": ""10.1007/s12016-026-09140-y"", ""id"": ""41949720"", ""source"": ""MED"", ""title"": ""Regulatory B Cells at the Crossroads of Epigenetic Control and Immune Homeostasis."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22CD274%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
CFP	"""CFP"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	2723	"[{""doi"": ""10.1177/20503121261440443"", ""id"": ""42052249"", ""source"": ""MED"", ""title"": ""Positivity rate of QuantiFERON-TB Gold Plus&lt;sup&gt;\u00ae&lt;/sup&gt; test among candidates for biotherapy and factors influencing results."", ""year"": ""2026""}, {""doi"": ""10.46747/cfp.710708e158"", ""id"": ""40730448"", ""source"": ""MED"", ""title"": ""Approach to lubricant use for sexual activity."", ""year"": ""2025""}, {""doi"": ""10.1111/imr.70107"", ""id"": ""41574968"", ""source"": ""MED"", ""title"": ""The X Factor in Immunity: Sex Differences Shaped by the X Chromosome."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22CFP%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
SMCO4	"""SMCO4"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	16	"[{""doi"": ""10.1002/hsr2.71659"", ""id"": ""41542331"", ""source"": ""MED"", ""title"": ""Integrated Single Cell Spatial Analysis Reveals Dysregulated Basal Progenitor Cells in Ulcerative Colitis Pathogenesis: A Multi Omics Study."", ""year"": ""2026""}, {""doi"": ""10.1007/s00125-024-06261-x"", ""id"": ""39240351"", ""source"": ""MED"", ""title"": ""Implicating type 2 diabetes effector genes in relevant metabolic cellular models using promoter-focused Capture-C."", ""year"": ""2024""}, {""doi"": ""10.24546/0100489391"", ""id"": ""38719338"", ""source"": ""MED"", ""title"": ""Genetic Rare Variants Affecting Multiple Pathways in Japanese Patients with Palindromic Rheumatism."", ""year"": ""2024""}]"	https://europepmc.org/search?query=%22SMCO4%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29
