gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score	has_ms_anchor	broad_pool_reason
PKM	17	7	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0001061048032522	0.0250248385526533	1.1126863304662082	2.00625856059578			ibd_uc_epithelial:1.11,p=0.00011;psoriasis_keratinocyte:0.949,p=0.0034;ibd_crohn_epithelial:0.548,p=0.0065;psoriasis_skin_apc:0.542,p=0.017;ibd_uc_stromal:0.734,p=0.035;psoriasis_skin_stromal:0.582,p=0.041;t1d_endothelial_cell:1.05,p=0.042	False	0.2079528837975353	0.3734962823418621	0.3934173353018323	0.9157809859344704							1.728659970244652	0.1143299851223261	1.614329985122326	0.0	0.0				False	False	0.0	21.086432998512233	False	positive_disease_count>=4
PSMA5	17	7	0	1	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0.0008766227770088	0.0925780088798446	0.8450957626122797	1.653251976174746			ibd_uc_myeloid:0.845,p=0.00088;ibd_uc_stromal:0.677,p=0.003;ibd_crohn_myeloid:0.631,p=0.011;sjogren_gland_apc:0.405,p=0.015;ibd_uc_epithelial:0.667,p=0.021;psoriasis_skin_stromal:0.628,p=0.022;ibd_crohn_stromal:0.527,p=0.034	False	-0.1820091427843166	-0.1930274329819929	0.6669236814806572	0.9572241788020496							1.5136697075882326	0.0068348537941163	1.5068348537941163	0.0	0.0				False	False	0.0	21.07568348537941	False	positive_disease_count>=4
KCNJ2	17	5	0	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		7.618220736109399e-05	0.0328227639625369	4.40008345488718	3.3708414024499036			ibd_crohn_myeloid:4.4,p=7.6e-05;ibd_uc_myeloid:4.4,p=8.7e-05;psoriasis_keratinocyte:1.24,p=0.0046;t1d_stellate_cell:0.59,p=0.031;ibd_uc_stromal:2.08,p=0.039	False	0.0024263976862091	0.0036433761761448	0.9930959415390695	0.9992380443970746															False	False	0.0	21.0	False	positive_disease_count>=4
S100A11	17	6	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		6.859537320475845e-05	0.0203054553859871	1.766050002575316	2.31929766445369			ibd_uc_epithelial:1.77,p=6.9e-05;ibd_uc_myeloid:0.753,p=0.0016;ibd_uc_stromal:0.673,p=0.0017;psoriasis_keratinocyte:0.995,p=0.019;t1d_endothelial_cell:0.593,p=0.035;ibd_crohn_epithelial:0.891,p=0.038	False	0.1429402669372077	0.2329751383732517	0.5904902998605951	0.9466965949245808							5.686771886173778	2.093385943086889	3.593385943086889	1.0	0.0	MS			False	False	0.0	20.28433859430869	False	positive_disease_count>=4
P4HB	17	4	0	2	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0.0001651252932294	0.0282149116521777	1.4739017190730932	2.6711571512501857			ibd_uc_epithelial:1.11,p=0.00017;ibd_crohn_epithelial:1.01,p=0.00031;sjogren_gland_stromal:1.47,p=0.027;psoriasis_skin_apc:0.956,p=0.028	False	-0.1078198500006752	-0.2766885154398827	0.5193269228408691	0.9352591033176444							4.1273843411659	1.3136921705829498	2.81369217058295	0.0	0.0				False	False	0.0	20.206369217058295	False	positive_disease_count>=4
SUB1	17	8	0	0	0	4	0	Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0022164030969758	0.2642006213184074	0.9862119958665988	1.3520719796913525			sjogren_gland_apc:0.411,p=0.0022;ibd_uc_myeloid:0.437,p=0.015;t1d_acinar_cell:0.335,p=0.016;sjogren_gland_stromal:0.301,p=0.023;t1d_stellate_cell:0.245,p=0.024;psoriasis_keratinocyte:0.986,p=0.032;ibd_uc_stromal:0.46,p=0.033;psoriasis_skin_apc:0.779,p=0.034	False	0.0303632231526425	0.0833090512125096	0.8461992617464025	0.976211196296546							1.4611379559370654	-0.0388620440629345	1.5	0.0	0.0				False	False	0.0	20.073056897796853	False	positive_disease_count>=4
SLC25A22	17	8	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0018110760816995	0.1368544317342327	1.8365546500377208	1.5856985877980363			t1d_endothelial_cell:1.84,p=0.0018;psoriasis_keratinocyte:0.621,p=0.0059;ibd_uc_stromal:0.804,p=0.0062;ibd_crohn_epithelial:1.19,p=0.013;psoriasis_skin_stromal:0.834,p=0.015;ibd_uc_myeloid:1.23,p=0.018;ibd_uc_epithelial:1.19,p=0.027;ibd_crohn_myeloid:1.54,p=0.034	False	-0.6985123452763329	-0.7841653290589646	0.0770558522970201	0.8989378106274888							0.5357146298638544	-0.9642853701361456	1.5	0.0	0.0				False	False	0.0	20.02678573149319	False	positive_disease_count>=4
SBNO2	17	4	0	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0003986607409518	0.0687630571101208	1.5755740760243238	2.4945474400861594			ibd_crohn_epithelial:1.44,p=0.0004;ibd_uc_epithelial:1.58,p=0.0011;psoriasis_keratinocyte:1.21,p=0.018;t1d_stellate_cell:0.898,p=0.024	False	-0.3898123533746496	-0.4081820666187324	0.3337161519905203	0.9141270983319502															False	False	0.0	20.0	False	positive_disease_count>=4
MOB3B	17	4	0	2	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.000508860435466	0.082977307796108	2.3984427596690705	3.0502897668473947			ibd_crohn_myeloid:2.34,p=0.00051;ibd_uc_myeloid:2.4,p=0.00058;psoriasis_keratinocyte:1.44,p=0.02;t1d_beta_cell:1.25,p=0.037	False	0.0276495030161427	0.0245204508031555	0.9558863220247624	0.995447887770418															False	False	0.0	20.0	False	positive_disease_count>=4
ASPM	15	6	0	1	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus		0.0006334040526531	0.0777330097610089	1.8134917642706985	1.7785327982012589			t1d_beta_cell:0.948,p=0.00063;ibd_crohn_epithelial:1.43,p=0.0047;psoriasis_skin_stromal:1.77,p=0.027;ibd_crohn_myeloid:0.989,p=0.028;psoriasis_keratinocyte:1.81,p=0.034;sjogren_gland_apc:1.74,p=0.037	False	-1.3638286692250996	-0.5494849912199671	0.2047101795475818	0.8993702893651148															False	False	0.0	20.0	False	positive_disease_count>=4
LRRC61	17	6	0	1	0	4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.0006806053749276	0.0987648290296002	2.6302575724237283	1.3649957498719274			t1d_stellate_cell:2.63,p=0.00068;t1d_ductal_cell:1.29,p=0.0036;ibd_crohn_myeloid:1.88,p=0.013;sjogren_gland_stromal:0.906,p=0.03;ibd_uc_stromal:1.33,p=0.042;t1d_endothelial_cell:1.17,p=0.046	False	0.697050672079687	0.2387771765395056	0.5819581822185158	0.9460303616141402															False	False	0.0	20.0	False	positive_disease_count>=4
ASL	17	6	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0007839726025205	0.0808141225355613	2.0430911451520246	1.5252463491804438			ibd_crohn_epithelial:0.656,p=0.00078;t1d_endothelial_cell:1.63,p=0.0087;psoriasis_keratinocyte:2.04,p=0.015;ibd_uc_stromal:1.12,p=0.018;t1d_ductal_cell:0.838,p=0.034;t1d_stellate_cell:1.56,p=0.046	False	-0.321226334266484	-0.4928165122313689	0.2727488139944647	0.9049965616313804															False	False	0.0	20.0	False	positive_disease_count>=4
LRG1	16	7	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0025918012771778	0.1944023182111086	2.7962096324776127	1.854183224525053			t1d_ductal_cell:1.29,p=0.0026;ibd_uc_myeloid:2.8,p=0.0061;ibd_crohn_myeloid:2.47,p=0.0091;t1d_acinar_cell:1.05,p=0.011;psoriasis_keratinocyte:0.57,p=0.026;t1d_stellate_cell:2.36,p=0.029;ibd_crohn_epithelial:0.876,p=0.048	False	0.2380702563143817	0.1823833163257539	0.6702536111918803	0.9586149392782212							1.8979781267506757	0.1989890633753376	1.6989890633753375	0.0	0.0				False	False	0.0	19.094898906337537	False	positive_disease_count>=4
AP2B1	17	5	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0013939777127008	0.0809247144286635	0.762265661526313	1.592152169915944			ibd_uc_epithelial:0.762,p=0.0014;ibd_crohn_epithelial:0.715,p=0.016;t1d_stellate_cell:0.526,p=0.022;t1d_endothelial_cell:0.64,p=0.036;psoriasis_skin_apc:0.573,p=0.047	False	0.1143865331231861	0.3606628711775221	0.3967725673770887	0.9157809859344704							1.4202286977911316	-0.0797713022088684	1.5	0.0	0.0				False	False	0.0	19.071011434889556	False	positive_disease_count>=4
ATOX1	17	5	0	1	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		5.240601206796278e-05	0.0222272310103389	0.9165512727347584	1.991582284672315			ibd_uc_stromal:0.901,p=5.2e-05;sjogren_gland_stromal:0.585,p=0.0049;ibd_crohn_stromal:0.611,p=0.011;sjogren_gland_apc:0.917,p=0.011;psoriasis_keratinocyte:0.857,p=0.032	False	0.5235633697570927	0.2459770193743616	0.5641167566536998	0.9421446607973148															False	False	0.0	19.0	False	positive_disease_count>=4
DDX39A	17	5	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0001214491322947	0.0334368637386116	0.953101965254972	2.795983766315687			ibd_uc_stromal:0.814,p=0.00012;psoriasis_skin_stromal:0.493,p=0.014;t1d_endothelial_cell:0.474,p=0.016;ibd_crohn_stromal:0.613,p=0.017;psoriasis_keratinocyte:0.953,p=0.036	False	-0.2536254050302382	-0.5158766274148572	0.2501673335954121	0.9004758652001262															False	False	0.0	19.0	False	positive_disease_count>=4
APOL1	17	5	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0003577910696826	0.0417904697946241	2.8189585429046327	2.2257084457147083			ibd_uc_epithelial:2.82,p=0.00036;ibd_crohn_epithelial:1.76,p=0.011;psoriasis_skin_stromal:0.647,p=0.015;t1d_acinar_cell:1.69,p=0.028;t1d_ductal_cell:0.962,p=0.034	False	-0.1201588560224085	-0.2281927208994943	0.5940095372095473	0.9466965949245808															False	False	0.0	19.0	False	positive_disease_count>=4
PDPN	16	5	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0003776262931097	0.0551170230677552	2.2832934503389977	2.299946007761362			ibd_uc_stromal:2.28,p=0.00038;ibd_crohn_stromal:1.69,p=0.0026;ibd_uc_myeloid:2.26,p=0.022;t1d_ductal_cell:0.849,p=0.026;psoriasis_keratinocyte:0.965,p=0.034	False	0.1646831166015037	0.2972665130185128	0.49717795424805	0.927698641490189															False	False	0.0	19.0	False	positive_disease_count>=4
CASP8	17	5	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0011967088628273	0.0757169573247667	1.3222139402142783	2.4956543222789938			ibd_uc_epithelial:1.15,p=0.0012;psoriasis_keratinocyte:1.32,p=0.007;psoriasis_skin_stromal:0.529,p=0.019;t1d_ductal_cell:1.18,p=0.029;ibd_crohn_epithelial:0.56,p=0.042	False	-0.3627815685608038	-0.7894495491804349	0.0737162362572369	0.8989378106274888															False	False	0.0	19.0	False	positive_disease_count>=4
IDO1	13	7	0	0	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0.00322826600589	0.1536003676736752	5.7271363260966694	1.4771151962959084			ibd_crohn_myeloid:5.73,p=0.0032;ibd_uc_myeloid:4.95,p=0.0076;ibd_crohn_epithelial:2.71,p=0.025;ibd_crohn_stromal:3.24,p=0.027;psoriasis_skin_stromal:0.324,p=0.03;sjogren_gland_apc:2.42,p=0.032;ibd_uc_epithelial:3.09,p=0.05	False																			False	False	0.0	19.0	False	positive_disease_count>=4
PSMA4	17	6	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0025356413592798	0.1439296467683314	1.077728981682493	1.548796759834925			ibd_uc_myeloid:0.809,p=0.0025;ibd_crohn_myeloid:0.724,p=0.014;t1d_ductal_cell:0.5,p=0.02;ibd_uc_epithelial:0.539,p=0.023;psoriasis_skin_apc:1.08,p=0.025;t1d_acinar_cell:0.862,p=0.028	False	0.1542598339379122	0.3536640483643714	0.4197115533720868	0.9195199515584406							3.3839687344405283	0.9419843672202642	2.441984367220264	0.0	0.0				False	False	0.0	18.169198436722027	False	positive_disease_count>=4
DYNLT1	17	4	0	1	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0.0003381348923547	0.0631444712778092	0.8730507828924665	2.0864736921101974			ibd_uc_myeloid:0.745,p=0.00034;psoriasis_keratinocyte:0.873,p=0.0083;sjogren_gland_epithelial:0.304,p=0.022;ibd_crohn_myeloid:0.537,p=0.038	False	0.0988216463745192	0.1490689407885298	0.7211931205756285	0.9677414401546712							2.0996460135457253	0.2998230067728628	1.7998230067728629	0.0	0.0				False	False	0.0	18.104982300677285	False	positive_disease_count>=4
ITGB4	16	4	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0006242890390748	0.098617289852056	1.3542288588910676	1.5209165215067424			t1d_stellate_cell:1.09,p=0.00062;psoriasis_keratinocyte:1.35,p=0.014;ibd_uc_epithelial:0.643,p=0.014;ibd_crohn_epithelial:0.41,p=0.026	False	-1.3797347469240266	-0.6767017869583666	0.1442983736782742	0.8989378106274888							2.0663708549314492	0.2831854274657246	1.7831854274657246	1.0	0.0	MS			False	False	0.0	18.10331854274657	False	positive_disease_count>=4
CAPZA1	17	6	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0103422604266697	0.2203715012570442	0.8514139447435545	1.363337276721535			psoriasis_skin_stromal:0.851,p=0.01;ibd_crohn_epithelial:0.434,p=0.024;ibd_uc_epithelial:0.416,p=0.033;ibd_crohn_myeloid:0.627,p=0.035;t1d_beta_cell:0.544,p=0.043;t1d_endothelial_cell:0.506,p=0.048	False	-0.0475030377449154	-0.1417443548955727	0.734525172997871	0.9693303715651268							2.0364174522627687	0.2682087261313842	1.7682087261313844	1.0	0.0	MS			False	False	0.0	18.10182087261314	False	positive_disease_count>=4
PSMB8	14	6	0	0	0	4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.0046742538011632	0.1812866843564773	1.6430577882882362	1.38487322001513			ibd_uc_myeloid:1.11,p=0.0047;ibd_crohn_myeloid:1.05,p=0.017;sjogren_gland_epithelial:0.54,p=0.021;t1d_acinar_cell:1.64,p=0.029;ibd_crohn_epithelial:0.421,p=0.035;sjogren_gland_apc:0.405,p=0.044	False	0.254256085876932	0.4750501765981927	0.2662975252805021	0.9049965616313804							1.739323662179002	0.119661831089501	1.619661831089501	0.0	0.0				False	False	0.0	18.08696618310895	False	positive_disease_count>=4
PPIF	17	4	0	1	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0.0007079680995625	0.0916163162915363	2.070558497023524	2.3950495317084552			ibd_crohn_myeloid:2.03,p=0.00071;ibd_uc_myeloid:2.07,p=0.0025;psoriasis_keratinocyte:1.08,p=0.0093;sjogren_gland_apc:0.483,p=0.023	False	0.0794098483837952	0.1532872643924068	0.7293829927625533	0.9684447890186522							1.2898787306381196	-0.2101212693618803	1.5	0.0	1.0		MS		False	False	0.0	18.064493936531907	False	positive_disease_count>=4
PDIA4	17	4	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		1.8382247381480167e-05	0.0326479535548552	1.3601199318790511	2.3012279584035573			ibd_crohn_epithelial:1.21,p=1.8e-05;ibd_uc_epithelial:1.36,p=0.0058;t1d_ductal_cell:0.658,p=0.019;psoriasis_keratinocyte:0.877,p=0.031	False	-0.6214340839245054	-0.9090225195686528	0.0407144742028937	0.8573807218486817							1.2292695305275312	-0.2707304694724688	1.5	0.0	0.0				False	False	0.0	18.061463476526377	False	positive_disease_count>=4
NUP205	17	4	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0007338881664293	0.0928122836033744	1.918535078240395	1.7518180152141731			t1d_endothelial_cell:1.92,p=0.00073;ibd_crohn_epithelial:1,p=0.0077;ibd_uc_epithelial:0.995,p=0.012;psoriasis_skin_stromal:0.508,p=0.047	False	0.060155073131991	0.1723321218892944	0.6829134822005106	0.961744569860308							1.151618894071846	-0.3483811059281542	1.5	0.0	0.0				False	False	0.0	18.05758094470359	False	positive_disease_count>=4
COX7A2	17	6	0	0	0	4	0	Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0021712098903838	0.2387332858759088	0.6198037864857131	0.9492123557619498			t1d_acinar_cell:0.437,p=0.0022;t1d_ductal_cell:0.203,p=0.009;psoriasis_keratinocyte:0.62,p=0.01;ibd_uc_stromal:0.482,p=0.018;t1d_stellate_cell:0.224,p=0.02;sjogren_gland_stromal:0.419,p=0.029	False	0.1753693830366742	0.3598881529359254	0.3925186644961553	0.9157809859344704							0.4629440380823033	-1.037055961917697	1.5	0.0	0.0				False	False	0.0	18.023147201904116	False	positive_disease_count>=4
PSMA1	17	6	0	0	0	4	0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.0067668403295615	0.1733796076908522	0.5979730077347876	1.3209052955788143			t1d_acinar_cell:0.478,p=0.0068;ibd_uc_epithelial:0.598,p=0.0075;ibd_uc_stromal:0.429,p=0.0098;t1d_ductal_cell:0.322,p=0.03;sjogren_gland_epithelial:0.227,p=0.045;ibd_crohn_myeloid:0.389,p=0.046	False	-0.0205187994462949	-0.0364595663254123	0.9295250036210368	0.9912593641611068							0.2578735349729617	-1.2421264650270385	1.5	0.0	0.0				False	False	0.0	18.012893676748646	False	positive_disease_count>=4
GPX2	15	4	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0001792787735778	0.0297190422960053	3.076297732253536	2.3673491390307975			ibd_uc_epithelial:1.49,p=0.00018;ibd_crohn_epithelial:0.891,p=0.012;psoriasis_keratinocyte:1.45,p=0.019;t1d_endothelial_cell:3.08,p=0.043	False	-1.5707501698055557	-0.8913574086753667	0.0453220159509071	0.8720558158456704															False	False	0.0	18.0	False	positive_disease_count>=4
SQLE	17	4	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0003300422904372	0.0525789503994112	1.7135161781450532	2.6526332092885494			ibd_uc_stromal:1.65,p=0.00033;ibd_crohn_stromal:1.71,p=0.0012;t1d_endothelial_cell:1.3,p=0.016;psoriasis_skin_stromal:0.948,p=0.022	False	-0.3408177110309154	-0.4248469728573634	0.3307572199460259	0.9141270983319502															False	False	0.0	18.0	False	positive_disease_count>=4
SAA2	15	4	0	1	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0.000550498463923	0.050335994883583	5.775545127130531	1.8701070044747328			ibd_uc_epithelial:5.33,p=0.00055;ibd_crohn_epithelial:2.39,p=0.012;sjogren_gland_epithelial:1.05,p=0.022;psoriasis_keratinocyte:5.78,p=0.047	False	0.0900059811430504	0.0387163291550789	0.9283295010838492	0.9906908528042592															False	False	0.0	18.0	False	positive_disease_count>=4
DENND2D	17	4	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0006144379307144	0.0536843811927694	2.19691387040271	1.996249301816674			ibd_uc_epithelial:1.07,p=0.00061;ibd_crohn_epithelial:0.466,p=0.032;psoriasis_keratinocyte:1.09,p=0.034;t1d_ductal_cell:2.2,p=0.05	False	0.23284797395325	0.2758418344445017	0.5132071050995565	0.9333944066040598															False	False	0.0	18.0	False	positive_disease_count>=4
PTPN2	17	4	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0006188104759379	0.0844701842239166	1.3565676650846914	2.472176445022466			ibd_uc_myeloid:1.36,p=0.00062;ibd_crohn_myeloid:1.02,p=0.0036;psoriasis_skin_apc:0.834,p=0.0086;t1d_endothelial_cell:1.12,p=0.012	False	-0.0059418057306839	-0.0082627624468498	0.9843569990044077	0.998541739884114															False	False	0.0	18.0	False	positive_disease_count>=4
C1QTNF1	17	4	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0007050255678289	0.0715425887840995	2.051331747167722	2.391713099844818			ibd_uc_stromal:1.75,p=0.00071;psoriasis_keratinocyte:1.55,p=0.0041;ibd_crohn_stromal:2.05,p=0.0058;t1d_ductal_cell:1.64,p=0.0059	False	-0.2172605175146804	-0.0739427772686202	0.8642634636230562	0.9801638168834976															False	False	0.0	18.0	False	positive_disease_count>=4
TNFRSF11B	16	4	0	1	0	4	0	Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0007879349406509	0.0758592823535925	4.554324005512545	2.94981134438561			ibd_uc_stromal:4.55,p=0.00079;psoriasis_skin_stromal:2.2,p=0.0044;t1d_endothelial_cell:2.55,p=0.0083;sjogren_gland_stromal:0.98,p=0.037	False	-0.1831827811733077	-0.1075447371704372	0.8077787138916218	0.9761732664217524															False	False	0.0	18.0	False	positive_disease_count>=4
CASP10	17	4	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0009422532626574	0.0670803067658871	1.4580380201082734	2.225112707720367			ibd_uc_epithelial:1.13,p=0.00094;psoriasis_keratinocyte:1.46,p=0.004;ibd_crohn_epithelial:0.717,p=0.0047;t1d_endothelial_cell:1.2,p=0.046	False	0.249366701816033	0.5718727573949167	0.2063174319242694	0.8993702893651148															False	False	0.0	18.0	False	positive_disease_count>=4
MAGOHB	17	4	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.001590299502245	0.0853151936851667	1.7151790972705907	2.274104625221234			ibd_uc_epithelial:1.02,p=0.0016;ibd_crohn_epithelial:0.578,p=0.0033;psoriasis_keratinocyte:0.996,p=0.018;t1d_endothelial_cell:1.72,p=0.034	False	0.1247308793297978	0.1656232975631704	0.6937139762437037	0.9646161727383372															False	False	0.0	18.0	False	positive_disease_count>=4
ESCO2	16	4	0	1	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0016431843035022	0.0869214467151387	1.8662637583293145	2.098038225742352			ibd_uc_epithelial:1.51,p=0.0016;ibd_crohn_epithelial:1.51,p=0.0056;t1d_ductal_cell:0.836,p=0.03;psoriasis_keratinocyte:1.87,p=0.045	False	0.6111340072242708	0.2201193758878879	0.6073267920045339	0.9473423366873376															False	False	0.0	18.0	False	positive_disease_count>=4
CKLF	17	6	0	0	0	4	0	Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0048903547795575	0.148747543450874	1.109078401499663	1.1515524520817624			ibd_uc_epithelial:1.11,p=0.0049;t1d_ductal_cell:0.769,p=0.0073;sjogren_gland_epithelial:0.48,p=0.013;psoriasis_keratinocyte:0.618,p=0.035;ibd_uc_stromal:0.606,p=0.037;sjogren_gland_stromal:0.484,p=0.041	False	0.0498404644382599	0.0991698622932122	0.8196714074505087	0.9761732664217524															False	False	0.0	18.0	False	positive_disease_count>=4
DDIT4	17	6	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0053306569255697	0.2846420589556082	2.3704638013789694	1.515532084511027			psoriasis_skin_apc:0.773,p=0.0053;psoriasis_keratinocyte:1.36,p=0.015;ibd_uc_epithelial:0.77,p=0.03;t1d_stellate_cell:2.37,p=0.038;ibd_crohn_stromal:0.993,p=0.046;ibd_crohn_epithelial:0.746,p=0.048	False	-0.2457619189268136	-0.3367230361666434	0.4286369433632368	0.9195199515584406															False	False	0.0	18.0	False	positive_disease_count>=4
IFT43	17	6	0	0	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis		0.0079155165604453	0.1755432362898747	2.003438789492535	1.611243244384437			ibd_uc_epithelial:0.674,p=0.0079;sjogren_gland_apc:2,p=0.0098;ibd_crohn_stromal:0.56,p=0.022;psoriasis_keratinocyte:0.5,p=0.022;ibd_uc_stromal:0.445,p=0.031;psoriasis_skin_stromal:0.563,p=0.031	False	0.1897444533074441	0.3083516120251293	0.4658323993028715	0.9239963547089984															False	False	0.0	18.0	False	positive_disease_count>=4
PDLIM7	17	6	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0082392701174795	0.1952763160291199	1.7982146243090549	1.5653835927439594			ibd_crohn_stromal:1.21,p=0.0082;psoriasis_skin_apc:1.49,p=0.01;ibd_crohn_epithelial:0.999,p=0.017;ibd_uc_myeloid:1.8,p=0.019;ibd_crohn_myeloid:1.79,p=0.027;t1d_stellate_cell:1.65,p=0.048	False	0.3031114239445287	0.3058254638163591	0.4681143272853248	0.9239963547089984															False	False	0.0	18.0	False	positive_disease_count>=4
COL4A1	15	5	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		3.11431380293999e-05	0.2481018091112143	2.3352648799352727	2.27780445810544			ibd_crohn_stromal:2.34,p=3.1e-05;psoriasis_skin_stromal:1.9,p=0.0052;ibd_uc_stromal:1.7,p=0.016;t1d_acinar_cell:1.53,p=0.022;psoriasis_skin_apc:1.85,p=0.026	False	0.1822153154682535	0.0611596969358203	0.8835701022678253	0.984156675655436							3.680936955796424	1.090468477898212	2.590468477898212	0.0	0.0				False	False	0.0	17.184046847789823	False	positive_disease_count>=4
SH3GLB1	17	5	0	0	0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0012428744035346	0.1280366604158236	1.002923304129001	2.0341869118691354			ibd_crohn_stromal:1,p=0.0012;ibd_crohn_epithelial:0.529,p=0.0034;ibd_uc_stromal:0.734,p=0.0048;t1d_acinar_cell:0.291,p=0.016;psoriasis_skin_stromal:0.377,p=0.048	False	0.121922219674655	0.4831110919011995	0.2538318604382732	0.9005265226936453							1.8690219574747275	0.1845109787373638	1.6845109787373638	0.0	0.0				False	False	0.0	17.093451097873736	False	positive_disease_count>=4
LTF	13	5	0	0	0	4	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus		0.0043497076024288	0.2284176470688612	7.456637983661279	1.4402908074828835			psoriasis_skin_stromal:2.34,p=0.0043;psoriasis_keratinocyte:7.46,p=0.0054;sjogren_gland_epithelial:1.07,p=0.017;t1d_acinar_cell:1.63,p=0.019;ibd_crohn_epithelial:0.425,p=0.026	False	-3.3124210879584215	-1.3439247455419585	0.0043608765942223	0.8344760564031432							1.8449374288660692	0.1724687144330345	1.6724687144330346	0.0	0.0				False	False	0.0	17.092246871443304	False	positive_disease_count>=4
