gene	clinicaltrials_query	clinicaltrials_hit_count	clinicaltrials_examples_json	clinicaltrials_url
PTPN2	PTPN2 autoimmune	1	"[{""conditions"": [""Hashimoto's Disease"", ""Graves' Disease""], ""nct_id"": ""NCT00958113"", ""status"": ""COMPLETED"", ""title"": ""Autoimmune Thyroid Disease Genetic Study""}]"	https://clinicaltrials.gov/search?term=PTPN2+autoimmune
C1QTNF1	C1QTNF1 autoimmune	0	[]	https://clinicaltrials.gov/search?term=C1QTNF1+autoimmune
TNFRSF11B	TNFRSF11B autoimmune	5	"[{""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT00976599"", ""status"": ""COMPLETED"", ""title"": ""A Study To Evaluate The Mechanism Of Action Of CP-690,550 In Patients With Rheumatoid Arthritis""}, {""conditions"": [""Diabetes Mellitus Type 1""], ""nct_id"": ""NCT01277913"", ""status"": ""COMPLETED"", ""title"": ""The Effect of Supplementation With Two Different Doses of Vitamin D on Bone Mineral Density, Vitamin D Levels and Hand Grip Strength in Children With Diabetes Mellitus Type 1""}, {""conditions"": [""Osteoporosis"", ""Lupus Erythematosus, Systemic""], ""nct_id"": ""NCT02799173"", ""status"": ""COMPLETED"", ""title"": ""Determination of the RANKL/Osteoprotegerin Ratio in Patients With Systemic Lupus Erythematosus. Role in Osteoporosis and Cardiovascular Calcification""}, {""conditions"": [""Giant Cell Arteritis (GCA)""], ""nct_id"": ""NCT06957002"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""Bosentan in the Treatment of Giant Cell Arteritis""}, {""conditions"": [""Atrophic Gastritis""], ""nct_id"": ""NCT07388459"", ""status"": ""RECRUITING"", ""title"": ""Natural History, Evolution, and Clinical Features of Autoimmune Atrophic Gastritis""}]"	https://clinicaltrials.gov/search?term=TNFRSF11B+autoimmune
CASP10	CASP10 autoimmune	1	"[{""conditions"": [""COVID-19""], ""nct_id"": ""NCT05003492"", ""status"": ""UNKNOWN"", ""title"": ""Utilizing the Crosstalk Among Aerosolized Phenformin , Methylene Blue, Photodynamic Therapy , Zinc and Potassium for Treating Severe COVID-19 Infection and Its Inflammatory Complication""}]"	https://clinicaltrials.gov/search?term=CASP10+autoimmune
COL4A1	COL4A1 autoimmune	0	[]	https://clinicaltrials.gov/search?term=COL4A1+autoimmune
LTF	LTF autoimmune	5	"[{""conditions"": [""Crohn's Disease""], ""nct_id"": ""NCT04154735"", ""status"": ""WITHDRAWN"", ""title"": ""Autologous Transplant Targeted Against Crohn's""}, {""conditions"": [""Severe Alcoholic Hepatitis in 'Extremis'- Defined by mDF>54""], ""nct_id"": ""NCT02265328"", ""status"": ""COMPLETED"", ""title"": ""Efficacy of Combination Therapy of Glucocorticoids and Bovine Colostrum in Treatment of Severe Alcoholic Hepatitis.""}, {""conditions"": [""Eosinophilic Granulomatosis With Polyangiitis (Churg-Strauss) (EGPA)""], ""nct_id"": ""NCT07591753"", ""status"": ""COMPLETED"", ""title"": ""Long-Term Safety and Effectiveness of Mepolizumab 300 mg in Europe (Mepo LTF Study)""}, {""conditions"": [""Sjogren's Syndrome"", ""Non-celiac Gluten Sensitivity""], ""nct_id"": ""NCT05644795"", ""status"": ""COMPLETED"", ""title"": ""Wheat-free Diet in the Treatment of Sjogren's Syndrome""}, {""conditions"": [""Multiple Sclerosis""], ""nct_id"": ""NCT01031459"", ""status"": ""COMPLETED"", ""title"": ""Telephone Interview of Patients That Participated in the the Pivotal Betaferon MS Trial.""}]"	https://clinicaltrials.gov/search?term=LTF+autoimmune
SAA1	SAA1 autoimmune	1	"[{""conditions"": [""Familial Mediterranean Fever""], ""nct_id"": ""NCT06923124"", ""status"": ""COMPLETED"", ""title"": ""A Study to Describe a Group of Spanish Patients With FMF and to Identify Suboptimally Treated Patients With Minimal Disease Activity and Its Impact on Quality of Life""}]"	https://clinicaltrials.gov/search?term=SAA1+autoimmune
METAP1	METAP1 autoimmune	0	[]	https://clinicaltrials.gov/search?term=METAP1+autoimmune
KYNU	KYNU autoimmune	0	[]	https://clinicaltrials.gov/search?term=KYNU+autoimmune
CD274	CD274 autoimmune	5	"[{""conditions"": [""Gastric or Gastro-oesophageal Junction Carcinoma"", ""Advanced, Relapsed Gastric or Gastro-oesophageal Junction Carcinoma"", ""Second-line Therapy""], ""nct_id"": ""NCT04713059"", ""status"": ""UNKNOWN"", ""title"": ""Toripalimab Combined With Anlotinib for Patients With Advanced, Relapsed, or Refractory Gastric, or Esophagogastric Junction Cancer (EGJC)""}, {""conditions"": [""Non-small Cell Lung Cancer""], ""nct_id"": ""NCT03631784"", ""status"": ""COMPLETED"", ""title"": ""A Trial of Pembrolizumab in Combination With Chemotherapy and Radiotherapy in Stage III NSCLC (KEYNOTE-799, MK-3475-799)""}, {""conditions"": [""HepatoCellular Carcinoma""], ""nct_id"": ""NCT04152356"", ""status"": ""UNKNOWN"", ""title"": ""Combined Immunotherapy and Targeted Therapy for Hepatocellular Carcinoma""}, {""conditions"": [""Non Small Cell Lung Cancer Metastatic""], ""nct_id"": ""NCT07190677"", ""status"": ""RECRUITING"", ""title"": ""First-line Therapy With Nivolumab Plus Ipilimumab in Combination With Chemotherapy for Metatastatic NSCLC (NICReWo Trial)""}, {""conditions"": [""Autoimmune Disease"", ""Crohn Disease"", ""Dermatomyositis"", ""Hematopoietic and Lymphoid Cell Neoplasm"", ""Inflammatory Bowel Disease"", ""Malignant Solid Neoplasm"", ""Multiple Sclerosis"", ""Psoriasis"", ""Psoriatic Arthritis"", ""Rheumatoid Arthritis"", ""Sjogren Syndrome"", ""Systemic Lupus Erythematosus"", ""Systemic Scleroderma"", ""Ulcerative Colitis""], ""nct_id"": ""NCT03816345"", ""status"": ""RECRUITING"", ""title"": ""Testing an Immunotherapy Anti-cancer Drug, Nivolumab, for Advanced Cancers in Patients With Autoimmune Disorders, AIM-NIVO""}]"	https://clinicaltrials.gov/search?term=CD274+autoimmune
