gene	screen_call	median_efficient_minus_noneater_lfc	n_sgrna	efficient_fdr	contrast_fdr	reopener_score	reopener_call	positive_disease_count	negative_disease_count	positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	opentargets_max_genetic_association	opentargets_disease_count	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	top_retained_tests	wave34_call	gwas_catalog_trait_count	chembl_target_id	chembl_best_nM	druggable_activity_count	efferocytosis_screen_call	efferocytosis_median_efficient_minus_noneater_lfc	efferocytosis_contrast_fdr	geneformer_model_support_pass	wave57_call
TLR4	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4803911127178999	4	0.8221627590893646	0.920009505703422	1.4803911127179	NO_GO_EFFEROCYTOSIS_ONLY	1.0	0.0	ulcerative colitis	0.3021497538455104	0.2499409602958784	0.9004758652001262	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4803911127178999	0.920009505703422	False	
VWC2L	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4765807868261477	4	0.9052095024317248	0.9971256078463696	1.4765807868261476	NO_GO_EFFEROCYTOSIS_ONLY	0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4765807868261477	0.9971256078463696	False	
GBA	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4616720160943237	3	0.8221627590893646	0.920009505703422	1.4616720160943237	NO_GO_EFFEROCYTOSIS_ONLY	0.0	0.0		-0.1001534998395801	0.6462813891007144	0.9532107136523256	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4616720160943237	0.920009505703422	False	
GSX2	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4512077698966469	4	0.8221627590893646	0.920009505703422	1.451207769896647	NO_GO_EFFEROCYTOSIS_ONLY	0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4512077698966469	0.920009505703422	False	
SLC11A1	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4272456230925703	4	0.9052095024317248	1.0	1.4272456230925703	NO_GO_EFFEROCYTOSIS_ONLY	2.0	1.0	Crohn disease;ulcerative colitis	-0.3989819396641199	0.3690425596386173	0.9141270983319502	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4272456230925703	1.0	False	
NUBPL	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4191301942996069	4	0.8221627590893646	0.920009505703422	1.4191301942996069	NO_GO_EFFEROCYTOSIS_ONLY	1.0	1.0	type 1 diabetes mellitus	-0.81666379846616	0.3840346720764066	0.9141270983319502	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.4191301942996069	0.920009505703422	False	
APOA5	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.411978883115214	4	1.0	0.920009505703422	1.411978883115214	NO_GO_EFFEROCYTOSIS_ONLY	0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.411978883115214	0.920009505703422	False	
RGS9	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.3916737569236979	3	0.8221627590893646	0.920009505703422	1.3916737569236979	NO_GO_EFFEROCYTOSIS_ONLY	0.0	2.0		0.5556585264741809	0.6300452069229966	0.9500527916792992	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.3916737569236979	0.920009505703422	False	
ZFYVE16	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.3729889053279988	4	0.8221627590893646	0.9971256078463696	1.3729889053279987	NO_GO_EFFEROCYTOSIS_ONLY	1.0	0.0	ulcerative colitis	0.3467020399360443	0.1313165820557861	0.8989378106274888	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.3729889053279988	0.9971256078463696	False	
COL11A1	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.3563176729220714	3	0.8221627590893646	0.920009505703422	1.3563176729220714	NO_GO_EFFEROCYTOSIS_ONLY	0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.3563176729220714	0.920009505703422	False	
