context	gene	ensembl_id	token_id	n_disease_cells	n_control_cells	n_disease_cells_with_token	mean_shift_to_control_cosine	mean_projection_to_control	mean_embedding_delta_norm	random_mean_shift_to_control_cosine	random_sd_shift_to_control_cosine	random_mean_projection_to_control	interpretation	cosine_shift_z_vs_random	projection_minus_random	candidate_support_flag
psoriasis_keratinocyte	SCARB2	ENSG00000138760	7621	24	24	1	0.0006895661354064	0.0235159434378147	0.3390633165836334	-0.0001388978626992	0.0006742620306581	-0.0069192228741788	positive_shift_means_deleted_embedding_moved_toward_control_centroid	1.2286973912753092	0.0304351663119935	False
psoriasis_keratinocyte	GPNMB	ENSG00000136235	7137	24	24	1	0.0004050731658935	0.01140564866364	0.3835131824016571	-0.0001388978626992	0.0006742620306581	-0.0069192228741788	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.8067650317811429	0.0183248715378188	False
psoriasis_keratinocyte	SPP1	ENSG00000118785	4804	24	24	0				-0.0001388978626992	0.0006742620306581	-0.0069192228741788	token_not_detected_in_selected_disease_cells			False
psoriasis_stromal	LGALS3	ENSG00000131981	6432	24	24	7	-0.0005347984260879	-0.0694765374064445	0.6196979880332947	-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.837895168920341	-0.0659182200939136	False
psoriasis_stromal	LGALS1	ENSG00000100097	2170	24	24	4	0.0002716779708862	0.0104828998446464	1.1226744651794434	-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.7120307347089435	0.0140412171571773	True
psoriasis_stromal	LGALS9	ENSG00000168961	12261	24	24	0				-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	token_not_detected_in_selected_disease_cells			False
psoriasis_stromal	LGALS3BP	ENSG00000108679	3539	24	24	1	0.0004076361656188	0.0254936255514621	0.3201605081558227	-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.9733218631503613	0.029051942863993	False
psoriasis_stromal	CD44	ENSG00000026508	457	24	24	19	-0.0005728132091462	-0.0103395702317357	0.7671797871589661	-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.9109538439218352	-0.006781252919204799	False
psoriasis_stromal	TYROBP	ENSG00000011600	309	24	24	0				-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	token_not_detected_in_selected_disease_cells			False
psoriasis_stromal	CTSB	ENSG00000164733	11238	24	24	1	-0.0002347230911254	-0.0011045886203646	0.3459666669368744	-9.881456693013509e-05	0.0005203322269056	-0.0035583173125309	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.2611956691660418	0.0024537286921663	False
