candidate_node	query	source	status	mode	hit_count	top_titles	url
FCGR2A	FCGR2A autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=FCGR2A+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
TNFSF15	"""TNFSF15"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	583	The Therapeutic Potential of Targeting TL1A in a Spectrum of Inflammatory Disorders. || Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach. || Exploration and discovery of treatment targets for primary biliary cholangitis based on plasma and cerebrospinal fluid proteomics: A multicenter mendelian randomization study.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22TNFSF15%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
TNFSF15	TNFSF15 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=TNFSF15+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
NCF1	"""NCF1"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	638	Ferroptosis: unveiling a transformative perspective in the landscape of autoimmune diseases. || Peptidylarginine Deiminases: An Overview of Recent Advances in Citrullination Research. || Single-cell transcriptional landscape of peripheral myeloid cells in autoimmune diseases.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22NCF1%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
NCF1	NCF1 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=NCF1+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
FCGR2B	"""FCGR2B"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	834	Integrative mendelian randomization approaches for therapeutic target prioritisation in immune-mediated diseases. || The immunoproteome and multimorbidity: A Mendelian randomization study. || Advances in nanotechnology for the diagnosis and management of autoimmune diseases.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22FCGR2B%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
FCGR2B	FCGR2B autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=FCGR2B+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
TNFRSF9	"""TNFRSF9"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	1020	GM-CSF&lt;sup&gt;+&lt;/sup&gt; Th: a central player in autoimmunity. || Combining immune checkpoints with TNFSF agonists: a new horizon for cancer and autoimmune therapies. || Role of CD5 signalling for pro-inflammatory Th17 response in multiple sclerosis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22TNFRSF9%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
TNFRSF9	TNFRSF9 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=TNFRSF9+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
DCLRE1B	"""DCLRE1B"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	37	The phenotypic and genetic association between endometriosis and immunological diseases. || The shared genetic architecture underlying the autoimmune and cardiovascular disease: a multivariate genome-wide analysis. || eQTL analysis: A bridge from genome to mechanism.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22DCLRE1B%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
DCLRE1B	DCLRE1B autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=DCLRE1B+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
