candidate_node	connected_anchor_count	connected_anchors	connection_roles	connection_weight_sum	connection_weight_max	source_database_count	top_source_databases	best_enrichr_tf_library	best_enrichr_tf_term	best_enrichr_tf_adjusted_p	best_enrichr_tf_overlap
NCF1	1	NCF1	self_anchor	5.137519710197456	5.137519710197456	1	wave68_self_anchor				
NCF2	1	NCF1	manual_seed_controller	5.137519710197456	5.137519710197456	1	manual_seed_from_immediate_known_biology				
NCF4	1	NCF1	manual_seed_controller	5.137519710197456	5.137519710197456	1	manual_seed_from_immediate_known_biology				
NOX3	1	NCF1	outgoing_from_anchor	5.137519710197456	5.137519710197456	2	SIGNOR;Wang				
NOX4	1	NCF1	outgoing_from_anchor	5.137519710197456	5.137519710197456	2	SignaLink3;TCRcuration_SignaLink3				
PRKCA	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	21	HINT;HPRD;KEA;MIMP;NetworKIN_KEA;PhosphoNetworks;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper				
PRKCB	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	20	BioGRID;HINT;HPRD;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;Reactome_ProtMapper				
PRKCD	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	17	HINT;HPRD;KEA;MIMP;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper				
PRKCZ	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	15	BioGRID;HINT;HPRD;InnateDB;KEA;MIMP;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;Reactome_ProtMapper;SIGNOR				
PRKG1	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	2	KEA;NetworKIN_KEA				
RAC2	1	NCF1	manual_seed_controller	5.137519710197456	5.137519710197456	1	manual_seed_from_immediate_known_biology				
RPS6KA3	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	2	KEA;NetworKIN_KEA				
SPI1	1	NCF1	incoming_to_anchor	5.137519710197456	5.137519710197456	2	SPIKE;SPIKE_LC				
CD86	1	CD80	manual_seed_controller	4.410144002680043	4.410144002680043	1	manual_seed_from_immediate_known_biology				
NGFR	1	CD80	outgoing_from_anchor	4.410144002680043	4.410144002680043	5	CellPhoneDB;Cellinker;ICELLNET;Lit-BM-17;Wojtowicz2020				
ZPBP2	1	CD80	incoming_to_anchor	4.410144002680043	4.410144002680043	2	Cellinker;Wojtowicz2020				
FCGR2B	1	FCGR2B	self_anchor	4.05868693547569	4.05868693547569	1	wave68_self_anchor				
IGHG1_IGLC1	1	FCGR2B	incoming_to_anchor	4.05868693547569	4.05868693547569	2	Cellinker;ICELLNET				
INPP5D	1	FCGR2B	manual_seed_controller	4.05868693547569	4.05868693547569	1	manual_seed_from_immediate_known_biology				
LILRB1	1	FCGR2B	manual_seed_controller	4.05868693547569	4.05868693547569	1	manual_seed_from_immediate_known_biology				
MARCHF9	1	FCGR2B	incoming_to_anchor	4.05868693547569	4.05868693547569	1	SIGNOR				
TNFRSF9	1	TNFRSF9	self_anchor	3.6156515899391937	3.6156515899391937	1	wave68_self_anchor				
TRAF1	1	TNFRSF9	manual_seed_controller	3.6156515899391937	3.6156515899391937	1	manual_seed_from_immediate_known_biology				
TRAF2	1	TNFRSF9	manual_seed_controller	3.6156515899391937	3.6156515899391937	1	manual_seed_from_immediate_known_biology				
ATM	1	DCLRE1B	outgoing_from_anchor	3.492227791461062	3.492227791461062	2	SPIKE;SPIKE_LC				
ATR	1	DCLRE1B	outgoing_from_anchor	3.492227791461062	3.492227791461062	2	SPIKE;SPIKE_LC				
DCLRE1B	1	DCLRE1B	self_anchor	3.492227791461062	3.492227791461062	1	wave68_self_anchor				
HSPA1A	1	DCLRE1B	incoming_to_anchor	3.492227791461062	3.492227791461062	2	SPIKE;SPIKE_LC				
MUS81	1	DCLRE1B	outgoing_from_anchor	3.492227791461062	3.492227791461062	2	SPIKE;SPIKE_LC				
TERF2	1	DCLRE1B	outgoing_from_anchor	3.492227791461062	3.492227791461062	7	BioGRID;HINT;IntAct;LMPID;Lit-BM-17;SPIKE;SPIKE_LC				
