gene	wave34_call	wave34_score	gate	passed
UBE2V1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
UBE3D	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
UGGT2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
USP10	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
USP12	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
USP40	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
USP8	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
VAPA	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
VAV2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	True
VPS4B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
VSTM2B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	True
WDR53	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
WIPF1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
WNT16	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
WSB2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
XCL2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
YIF1A	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZBTB41	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZCCHC7	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZDHHC23	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZFHX3-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZFPM2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZFYVE16	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZNF217	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZNF385B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZNF573	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZNF596	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZNF627	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZNF718	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZSWIM6	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
ZSWIM8	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0	gate_local_cell_state	False
PAM	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.5999999999999996	gate_local_cell_state	False
WFS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.5999999999999996	gate_local_cell_state	False
ZSCAN26	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.5999999999999996	gate_local_cell_state	False
ARAP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
BTRC	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
C6ORF48	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
CDHR3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
CHADL	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
DDAH2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
EDEM2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
EPHX2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
EXTL2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
FMN2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
GNG4	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
KCNIP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
KLF4	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
MAF	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
MAFB	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
MUCL3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
PHACTR3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
POU3F1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
PRSS36	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
SEMA5A	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
SLC12A5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
SLC15A2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
SLC17A4	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
SLIT3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
TBKBP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
TCF19	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
TERF1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
TOX	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
TTC28	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
UNC5B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
VLDLR-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
ZFHX3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
ADRB2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
ARHGAP30	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
C19ORF38	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
C8ORF34	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
CCNG1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	True
CHSY1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
CYCS	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
DMAC1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
DOK3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
EIF3E	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	True
FOXQ1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
GPR160	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
GYPC	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	True
HDAC11	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
IREB2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
LRCH1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
MAGI1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
MYC	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
PRR14	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
RPL5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	True
SH3BP2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
SPRED1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
ST6GAL1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.4	gate_local_cell_state	False
A1CF	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ABI1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ABLIM3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ACAA2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ACOX2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ADAM28	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
AGAP2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ANAPC1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ANO6	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ANTXR1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
AQP3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ASB5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
BARX2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
BBX	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
BCL9L	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
BMP7	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
BRD10	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
BTBD3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
C18ORF54	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CABP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CALM2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CCDC149	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CCDC8	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CCDC85B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CCNG2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CD164L2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CDC27	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CDK11B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CEP57	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CFLAR	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CLEC1A	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CPT1A	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CPT2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CRAT	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CTSW	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
CYP4F12	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
DARS	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
DEF8	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
DIRAS2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	True
DKKL1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
EBNA1BP2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ECPAS	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
EGR2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ELAVL2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ELF3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
EMX2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
EMX2OS	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ENOX1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
EPPK1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
FAAP24	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
FARP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
FBXO48	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
FDFT1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
FERMT3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
FGFRL1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
FIGNL1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
FKRP	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
FUT1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GAB3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GABPB2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GALNT13	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GAS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GATAD2B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GDAP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GLG1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GLIS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GLTPD2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GNG7	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GNG8	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GRB14	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GRIN3A	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
GTDC1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
H2AC6	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
HELZ2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
HIPK3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
HOTAIRM1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
HPCAL1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	True
HPSE2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
HTR1F	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
IFT140	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
IL16	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
IL24	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
IRX2-DT	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
ITCH	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
JPH3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
KCNJ3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
KCNK5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
KIZ-AS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
KLF13	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
LDHD	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
LMO7	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
LRRC7	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
MAGT1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
MAP3K4	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
MARCKS	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
MED27	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
METRN	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
MICAL2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
MON1B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
MYH11	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
N4BP2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
NEURL1B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
NR3C1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	True
NSMCE1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
NTNG2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
NUBPL	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
OAS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PARP11	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PBXIP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PCDH8	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PCDH9	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PHKG1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PHYKPL	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PI4KA	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PIK3R1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PLEKHG6	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PMFBP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	True
PMVK	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PPFIBP2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PPP2R5C	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PRKCA	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PROCR	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PROSER3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PSMB1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PSMB6	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PTMA	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
PTPRR	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
RAB12	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
RAB2A	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
RAET1G	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
RASGRF1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
RFESD	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
RGS10	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
RPL37	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	True
RPL7	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SAV1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	True
SCAF8	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SCFD2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SDC2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SEZ6L2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SFRP2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SIPA1L2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SLC24A5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SLC25A15	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SLC25A27	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SLCO3A1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SMAD4	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SNX9	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SOWAHC	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
SPATA13	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
STAP2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.2	gate_local_cell_state	False
