dataset	pathway	perturbation	cell_type	target_module_effect	target_module_median_effect	target_n_genes	target_genes_present	target_negative_fraction	target_sig_negative_fdr10	generic_ifn_effect	generic_ifn_median_effect	generic_ifn_n_genes	generic_ifn_genes_present	generic_ifn_negative_fraction	generic_ifn_sig_negative_fdr10	stress_module_effect	stress_module_median_effect	stress_n_genes	stress_genes_present	stress_positive_fraction	stress_sig_positive_fdr10	target_suppression	generic_ifn_suppression	target_vs_ifn_margin	target_over_ifn_ratio	stress_induction	stress_abs_effect	selectivity_score
GSE281048_Mixscale	TNFA	REPIN1	MCF7	0.0168111959069654	0.0168111959069654	1	RFX5	0.0	0	-0.152154147501804	-0.152154147501804	1	IRF1	1.0	0	0.12702489991389082	0.0996449876112553	5	ATF4,DNAJB1,HSP90AA1,JUN,KLF6	0.8	0	0.0	0.152154147501804	-0.152154147501804	0.0	0.12702489991389082	0.12702489991389082	-0.20931535246305488
GSE281048_Mixscale	TNFA	SOX4	A549	0.16813994580267735	0.16813994580267735	2	CTSS,RFX5	0.0	0	0.15095606672484693	0.1663289777070765	4	GBP1,IFIT1,IRF1,STAT1	0.0	0	-0.022128250156543516	-0.0130066707759302	5	ATF4,DNAJB1,FOS,HSP90AA1,JUN	0.4	0	0.0	0.0	0.0	0.0	0.0	0.022128250156543516	-0.002212825015654352
GSE281048_Mixscale	TNFA	SOX4	BXPC3	0.0232320844843317	0.0232320844843317	1	CTSS	0.0	0	-0.2791114327375947	-0.211743500016553	3	GBP1,IRF1,STAT1	1.0	0	-0.28128456612520425	-0.267294708511216	5	ATF4,CASP3,DNAJB1,HSP90AA1,JUN	0.2	0	0.0	0.2791114327375947	-0.2791114327375947	0.0	0.0	0.28128456612520425	-0.30723988935011515
GSE281048_Mixscale	TNFA	SOX4	HAP1			0			0	-0.193816952998367	-0.193816952998367	1	STAT1	1.0	0	0.07255659044667336	0.07255659044667336	2	ATF4,HSP90AA1	0.5	0	0.0	0.193816952998367	-0.193816952998367	0.0	0.07255659044667336	0.07255659044667336	-0.22646741869936998
GSE281048_Mixscale	TNFA	SOX4	HT29	-0.0776893677565313	-0.0776893677565313	1	CTSS	1.0	0	-0.05625195631046502	-0.06632528145661284	4	GBP1,IFIT1,IRF1,STAT1	0.75	0	0.13307899225778239	0.13728442324100398	6	ATF4,CASP3,DNAJB1,FOS,HSP90AA1,JUN	0.8333333333333334	0	0.0776893677565313	0.05625195631046502	0.021437411446066285	0.776893677565313	0.13307899225778239	0.13307899225778239	-0.03844813506993579
GSE281048_Mixscale	TNFA	SOX4	K562			0			0	-0.0663230099279947	-0.0663230099279947	2	IRF1,STAT1	0.5	0	0.02194787084756254	0.0507249098286207	5	ATF4,CASP3,DNAJB1,HSP90AA1,JUN	0.6	0	0.0	0.0663230099279947	-0.0663230099279947	0.0	0.02194787084756254	0.02194787084756254	-0.07619955180939783
GSE281048_Mixscale	TNFA	SOX4	MCF7	0.0535348225466583	0.0535348225466583	1	RFX5	0.0	0	0.010286273887435499	0.010286273887435499	2	IRF1,STAT1	0.5	0	0.02889343089909882	0.021361767125675148	4	ATF4,DNAJB1,HSP90AA1,JUN	0.5	0	0.0	0.0	0.0	0.0	0.02889343089909882	0.02889343089909882	-0.013002043904594468
GSE281048_Mixscale	TNFA	SOX9	A549	-0.2855146413200915	-0.2855146413200915	2	CTSS,RFX5	1.0	0	-0.03756661619569698	-0.03437987885785755	4	GBP1,IFIT1,IRF1,STAT1	1.0	0	-0.14483048930897435	-0.062348264239592006	6	ATF4,DNAJB1,FOS,HSP90AA1,JUN,KLF6	0.5	0	0.2855146413200915	0.03756661619569698	0.24794802512439454	2.8551464132009152	0.0	0.14483048930897435	0.2334649761934971
GSE281048_Mixscale	TNFA	SOX9	BXPC3	-0.677691611953569	-0.677691611953569	1	CTSS	1.0	0	-0.34431895951290864	-0.321495535913011	3	GBP1,IRF1,STAT1	1.0	0	0.014339067588821383	0.039104347322990146	6	ATF4,CASP3,DNAJB1,HSP90AA1,JUN,KLF6	0.5	0	0.677691611953569	0.34431895951290864	0.33337265244066033	1.9682088169419032	0.014339067588821383	0.014339067588821383	0.3269200720256907
GSE281048_Mixscale	TNFA	SOX9	HAP1			0			0	-0.0595223667831928	-0.0595223667831928	1	STAT1	1.0	0	0.34963371455841635	0.222283490227612	3	ATF4,HSP90AA1,KLF6	1.0	0	0.0	0.0595223667831928	-0.0595223667831928	0.0	0.34963371455841635	0.34963371455841635	-0.21685753833448015
GSE281048_Mixscale	TNFA	SOX9	HT29	-0.072982254004744	-0.072982254004744	1	CTSS	1.0	0	-0.021901505873387475	-0.03195070434629025	4	GBP1,IFIT1,IRF1,STAT1	0.5	0	0.11067126614713747	0.136593154119694	7	ATF4,CASP3,DNAJB1,FOS,HSP90AA1,JUN,KLF6	0.7142857142857143	0	0.072982254004744	0.021901505873387475	0.05108074813135652	0.7298225400474398	0.11067126614713747	0.11067126614713747	0.001278678365144656
GSE281048_Mixscale	TNFA	SOX9	K562			0			0	-0.2648395496606115	-0.2648395496606115	2	IRF1,STAT1	1.0	0	-0.15877097959589534	-0.18570280156118602	6	ATF4,CASP3,DNAJB1,HSP90AA1,JUN,KLF6	0.16666666666666666	0	0.0	0.2648395496606115	-0.2648395496606115	0.0	0.0	0.15877097959589534	-0.28071664762020104
GSE281048_Mixscale	TNFA	SOX9	MCF7	-0.177951408808185	-0.177951408808185	1	RFX5	1.0	0	-0.047157712774033	-0.047157712774033	2	IRF1,STAT1	1.0	0	0.08437440342109666	0.0855711440789713	5	ATF4,DNAJB1,HSP90AA1,JUN,KLF6	0.8	0	0.177951408808185	0.047157712774033	0.130793696034152	1.7795140880818499	0.08437440342109666	0.08437440342109666	0.09282521449465851
GSE281048_Mixscale	TNFA	TNFRSF1A	A549	-1.141604727406027	-1.141604727406027	2	CTSS,RFX5	1.0	1	-0.7446932376660298	-0.7342754842589235	4	GBP1,IFIT1,IRF1,STAT1	1.0	3	-0.1422409385000985	-0.020968188383639	6	ATF4,DNAJB1,FOS,HSP90AA1,JUN,KLF6	0.5	2	1.141604727406027	0.7446932376660298	0.39691148973999724	1.5329865636808682	0.0	0.1422409385000985	0.3826873958899874
GSE281048_Mixscale	TNFA	TNFRSF1A	BXPC3	0.0005188758839114	0.0005188758839114	1	CTSS	0.0	0	0.327873181751668	0.459080185851264	3	GBP1,IRF1,STAT1	0.0	0	0.4216518040397828	0.390637467544554	6	ATF4,CASP3,DNAJB1,HSP90AA1,JUN,KLF6	1.0	0	0.0	0.0	0.0	0.0	0.4216518040397828	0.4216518040397828	-0.18974331181790227
GSE281048_Mixscale	TNFA	TNFRSF1A	HAP1			0			0	0.236642740742923	0.236642740742923	1	STAT1	0.0	0	0.05882291124050106	-0.0747760506421467	3	ATF4,HSP90AA1,KLF6	0.3333333333333333	0	0.0	0.0	0.0	0.0	0.05882291124050106	0.05882291124050106	-0.026470310058225477
GSE281048_Mixscale	TNFA	TNFRSF1A	HT29	-1.33049749458444	-1.33049749458444	1	CTSS	1.0	1	-0.6344541577507408	-0.659530508376523	4	GBP1,IFIT1,IRF1,STAT1	1.0	4	-0.03391981053089016	-0.0209544763697253	7	ATF4,CASP3,DNAJB1,FOS,HSP90AA1,JUN,KLF6	0.42857142857142855	1	1.33049749458444	0.6344541577507408	0.6960433368336993	2.097074277677214	0.0	0.03391981053089016	0.6926513557806103
GSE281048_Mixscale	TNFA	TNFRSF1A	K562			0			0	-0.4743310107174805	-0.4743310107174805	2	IRF1,STAT1	1.0	0	-0.15812662519893658	-0.06429100130111019	6	ATF4,CASP3,DNAJB1,HSP90AA1,JUN,KLF6	0.3333333333333333	0	0.0	0.4743310107174805	-0.4743310107174805	0.0	0.0	0.15812662519893658	-0.4901436732373742
