gene	n_sgrna	MHCII_median_low_vs_high_log2	MHCII_mean_low_vs_high_log2	MHCII_positive_sgrna_fraction	MHCII_p	MHCII_t	CD40_median_low_vs_high_log2	CD40_mean_low_vs_high_log2	CD40_positive_sgrna_fraction	CD40_p	CD40_t	PDL1_median_low_vs_high_log2	PDL1_mean_low_vs_high_log2	PDL1_positive_sgrna_fraction	PDL1_p	PDL1_t	MHCII_fdr	MHCII_rank_required_low_vs_high	CD40_fdr	CD40_rank_required_low_vs_high	PDL1_fdr	PDL1_rank_required_low_vs_high
Srp54a	4	-0.8468403744757668	-0.9120860624118744	0.0	0.0390791771671339	-3.5142184408204216	-0.6484321964315629	-0.6829838254573819	0.0	0.12281950239601795	-2.1316473182801596	0.27911719799357987	0.8638873488351204	0.5	0.36859038140244327	1.055739189727342	0.9248624482023996	10332.0	0.889841996245348	9144.0	0.8688130809597039	3210.0
Socs5	4	-0.847119277101245	0.10394786549371168	0.25	0.9327933839113546	0.09159482505975458	0.2231911008275623	0.3074799826183193	0.75	0.6661999316273793	0.47661498853154194	-0.03198296078574121	-0.03507030968919103	0.5	0.7148578754991839	-0.4016266315712741	0.9910235392690151	10333.0	0.9397474864342333	3883.0	0.9318341396727764	5596.0
Tulp3	4	-0.847253284380129	-0.5337654715519163	0.25	0.23208862610637315	-1.4937534060726798	-0.296421490131605	-0.41838618788953275	0.25	0.3802101728547998	-1.0264476424743674	-0.04073504762513	-0.024860376724554573	0.5	0.9358166991962641	-0.08746005002071008	0.9261885643711756	10334.0	0.9045660221286685	7338.0	0.9876046956400043	5658.0
Mrps9	4	-0.847431049707644	-0.44648578523806953	0.25	0.5792497533498002	-0.6198529627340835	0.7191070201772476	0.7342389003957684	0.75	0.5174823113491948	0.7314079741203849	-1.8092079962544767	-2.077391203388422	0.0	0.10022806566207548	-2.3508537933375346	0.9407728090479959	10335.0	0.9157010039885434	1340.0	0.8688130809597039	11445.0
Ccdc186	4	-0.847821197085592	-0.3363802923381276	0.25	0.6207736795207273	-0.5497465093837082	-0.16337793316277155	-0.9194132893063278	0.0	0.3282640791950081	-1.1649093261951071	-0.17207037012575896	-0.2892248668217035	0.5	0.32196877994685386	-1.1831499448885407	0.9481150462778788	10336.0	0.8998711791380146	6524.0	0.8688130809597039	6632.0
Tomm40l	4	-0.8478890543354105	-1.0261843261958166	0.0	0.06130379801609392	-2.9238698193225994	-0.37165266934346136	-0.5783717369613636	0.25	0.359508905835734	-1.0792607253468076	-0.5500218573186243	-0.4745326867478617	0.25	0.16424618925601572	-1.8325846124975735	0.9248624482023996	10337.0	0.9003539337643895	7749.0	0.8688130809597039	8874.0
Prpf18	4	-0.8489383223685707	-0.9864388247733613	0.25	0.2998707069605192	-1.250184904236775	0.1709666047627344	0.3602806848217232	0.5	0.4103460056732919	0.9542722031264415	0.10671136252038926	-0.29549414608386737	0.5	0.7693179023034927	-0.32093422356514306	0.9291302535167016	10338.0	0.9063156717736436	4225.0	0.9474824780653515	4285.0
Rps15a	4	-0.8492845110993072	-0.5447336943971055	0.25	0.5865080471529655	-0.6073452426411018	-1.1644998343235078	-1.5393555643302612	0.5	0.419174795612726	-0.9340638935794605	0.0	0.0	0.0			0.9416545756690304	10339.0	0.9063156717736436	10557.0		5057.0
Zfp647	4	-0.8495369424430899	-0.939584866483051	0.25	0.3332334125834975	-1.1507579537214585	0.4146178724855417	-0.06275510735182893	0.5	0.9438899215453637	-0.07642835392480758	0.062304255709798	-0.02673209381908058	0.5	0.9239130057107277	-0.10375229555651097	0.9291302535167016	10340.0	0.9894020276881894	2766.0	0.9853511935864426	4597.0
Ezr	4	-0.8498085388124046	-1.1597153916478027	0.5	0.3844026317978665	-1.016089521103443	-0.1885134068015717	0.36416050344922357	0.25	0.5689244180782156	0.6378462030247275	0.41342982407780765	0.5783170565351962	0.75	0.1847869907592253	1.7153613186321544	0.9291302535167016	10341.0	0.926847207267834	6670.0	0.8688130809597039	2493.0
