truth	scenario	severity	replicate	seed	feature	metadata_auc	spearman_with_locked	residualized_auc	auc_attenuation	response_p	corr_p	existing_effect_flag	response_q	corr_q	calibrated_q10_flag	calibrated_q20_flag
synthetic_null	normalization_plus_depth	1.0	11	47776	steroid_exposure	0.5788888888888889	0.2844123367602112	0.7533333333333333	-0.036666666666666625	0.3225806451612903	0.03225806451612903	False	0.5376344086021505	0.08064516129032258	False	False
synthetic_null	normalization_plus_depth	1.0	12	47777	batch	0.6333333333333333	0.2411324772636715	0.6344444444444445	0.023333333333333317	0.12903225806451613	0.06451612903225806	True	0.18433179723502305	0.10752688172043011	False	True
synthetic_null	normalization_plus_depth	1.0	12	47777	lane	0.5166666666666667	0.23206353351451073	0.6677777777777778	-0.010000000000000009	0.8064516129032258	0.06451612903225806	False	0.8064516129032258	0.10752688172043011	False	False
synthetic_null	normalization_plus_depth	1.0	12	47777	sequencing_depth	0.7266666666666667	0.675465407057516	0.5288888888888889	0.12888888888888894	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	12	47777	rin	0.7077777777777778	-0.5155320922478467	0.5588888888888889	0.09888888888888892	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	12	47777	steroid_exposure	0.5666666666666667	0.08224506807446515	0.6577777777777778	0.0	0.3870967741935484	0.4838709677419355	False	0.4838709677419355	0.5376344086021505	False	False
synthetic_null	normalization_plus_depth	1.0	13	47778	batch	0.5833333333333333	-0.043331365179058015	0.6822222222222222	0.00666666666666671	0.2903225806451613	0.6451612903225806	False	0.4838709677419355	0.7885304659498209	False	False
synthetic_null	normalization_plus_depth	1.0	13	47778	lane	0.55	-0.02792465755983739	0.6955555555555556	-0.00666666666666671	0.45161290322580644	0.9032258064516129	False	0.6451612903225806	0.9032258064516128	False	False
synthetic_null	normalization_plus_depth	1.0	13	47778	sequencing_depth	0.7588888888888888	0.7679911086412894	0.5244444444444445	0.1644444444444444	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	13	47778	rin	0.7188888888888889	-0.3903306474020562	0.6355555555555555	0.053333333333333344	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	13	47778	steroid_exposure	0.53	0.2661850514031676	0.7166666666666667	-0.02777777777777779	0.7096774193548387	0.0967741935483871	False	0.7885304659498209	0.1935483870967742	False	False
synthetic_null	normalization_plus_depth	1.0	14	47779	batch	0.5166666666666667	0.10155940576019547	0.8455555555555555	0.0	0.7741935483870968	0.3870967741935484	False	0.9318996415770608	0.6451612903225806	False	False
synthetic_null	normalization_plus_depth	1.0	14	47779	lane	0.5333333333333333	0.05208461508895305	0.8455555555555555	0.0	0.8387096774193549	0.7419354838709677	False	0.9318996415770608	0.9318996415770608	False	False
synthetic_null	normalization_plus_depth	1.0	14	47779	sequencing_depth	0.8488888888888889	0.7402611836621285	0.6066666666666667	0.23888888888888882	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	14	47779	rin	0.7244444444444444	-0.6291191997777161	0.7266666666666667	0.11888888888888882	0.03225806451612903	0.03225806451612903	True	0.08064516129032258	0.08064516129032258	True	True
synthetic_null	normalization_plus_depth	1.0	14	47779	steroid_exposure	0.5700000000000001	-0.012058905251458741	0.8455555555555555	0.0	0.1935483870967742	0.9354838709677419	False	0.3870967741935484	0.9354838709677418	False	False
synthetic_null	normalization_plus_depth	1.0	15	47780	batch	0.5833333333333333	-0.15378995729401027	0.5722222222222222	0.008888888888888946	0.2903225806451613	0.2903225806451613	False	0.4838709677419355	0.4838709677419355	False	False
synthetic_null	normalization_plus_depth	1.0	15	47780	lane	0.5166666666666667	-0.06836726506029153	0.5911111111111111	-0.010000000000000009	0.9032258064516129	0.6129032258064516	False	0.9354838709677418	0.8755760368663594	False	False
synthetic_null	normalization_plus_depth	1.0	15	47780	sequencing_depth	0.6722222222222223	0.6455682133926092	0.54	0.0411111111111111	0.03225806451612903	0.03225806451612903	True	0.10752688172043011	0.10752688172043011	False	True
synthetic_null	normalization_plus_depth	1.0	15	47780	rin	0.5266666666666666	-0.43834398444012235	0.5533333333333333	0.02777777777777779	0.7419354838709677	0.03225806451612903	True	0.9274193548387097	0.10752688172043011	False	True
synthetic_null	normalization_plus_depth	1.0	15	47780	steroid_exposure	0.5122222222222222	0.1989441511530981	0.5777777777777777	0.0033333333333334103	0.9354838709677419	0.1935483870967742	False	0.9354838709677418	0.4838709677419355	False	False
