gene	source	query	hit_count	error	url
RAB5A	EuropePMC	(RAB5A) AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)	3174.0		https://europepmc.org/search?query=%28RAB5A%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
RAB5A	ClinicalTrials.gov	RAB5A	0.0		https://clinicaltrials.gov/search?term=RAB5A
RAB5A	Google Patents URL	RAB5A autoimmune antigen presentation			https://patents.google.com/?q=RAB5A+autoimmune+antigen+presentation
RAB5A	Espacenet URL	RAB5A autoimmune antigen presentation			https://worldwide.espacenet.com/patent/search?q=RAB5A+autoimmune+antigen+presentation
VPS35	EuropePMC	"(VPS35) AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	531.0		https://europepmc.org/search?query=%28VPS35%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
VPS35	EuropePMC	"(VPS35) AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	419.0		https://europepmc.org/search?query=%28VPS35%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
VPS35	EuropePMC	(VPS35) AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)	3161.0		https://europepmc.org/search?query=%28VPS35%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
VPS35	ClinicalTrials.gov	VPS35	1.0		https://clinicaltrials.gov/search?term=VPS35
VPS35	Google Patents URL	VPS35 autoimmune antigen presentation			https://patents.google.com/?q=VPS35+autoimmune+antigen+presentation
VPS35	Espacenet URL	VPS35 autoimmune antigen presentation			https://worldwide.espacenet.com/patent/search?q=VPS35+autoimmune+antigen+presentation
