gene	donor_case_contexts_tested	donor_case_positive_context_count	donor_case_positive_disease_count	donor_case_median_spearman	donor_all_positive_context_count	donor_all_positive_disease_count	donor_all_median_spearman	best_donor_context	best_donor_spearman
PPP1R16B	7	1	1	0.31193973345246884	5	3	0.32534761982852767	t1d_endothelial_cell	0.8999999999999998
PRKAA1	7	1	1	-0.09999999999999999	0	0	0.05565217391304347	sjogren_gland_apc	0.49999999999999994
PRKAA2	7	0	0	0.15389675281277312	0	0	0.001183383194683138	t1d_endothelial_cell	0.6
PSMA1	7	3	1	0.3	5	2	0.5594405594405596	t1d_stellate_cell	0.8999999999999998
PSMA4	7	4	3	0.7	7	4	0.41958041958041964	sjogren_gland_apc	0.8999999999999998
PSMB8	7	4	2	0.6272727272727273	5	3	0.4469329460138473	t1d_ductal_cell	0.9999999999999999
PSME1	7	4	2	0.5	6	3	0.6431582136889061	t1d_acinar_cell	0.8999999999999998
PSME2	7	4	2	0.5636363636363637	7	4	0.6602614096248229	t1d_acinar_cell	0.9999999999999999
PTCD2	7	2	1	0.0	4	1	0.36834095239090364	t1d_stellate_cell	0.8999999999999998
PTGIR	7	2	2	0.48571428571428577	4	3	0.32191953017492736	ibd_uc_myeloid	0.8285714285714287
PTPN2	7	4	3	0.6454545454545455	4	4	0.3351288957291266	sjogren_gland_apc	0.8999999999999998
PTPN22	7	0	0	-0.20519567041703082	2	1	0.00935572367816294	ibd_crohn_myeloid	0.35355339059327373
PTPRC	7	3	3	0.431169263779944	3	3	0.15603057225009753	ibd_crohn_myeloid	0.7071067811865475
PTX3	7	1	1	-0.014870447912898295	3	3	0.025623224881652723	ibd_uc_myeloid	0.8857142857142858
PUS10	7	5	2	0.7	3	2	0.2983257300356079	sjogren_gland_apc	0.7999999999999999
RAB10	7	4	1	0.7	6	3	0.5882328565970161	t1d_ductal_cell	0.8999999999999998
RAB24	7	2	1	0.49999999999999994	6	3	0.40840436925168266	t1d_ductal_cell	0.8999999999999998
RABGGTB	7	1	1	0.028571428571428574	2	1	0.14608695652173911	t1d_stellate_cell	0.7
RALGAPA2	7	4	3	0.6	6	4	0.468623539450261	t1d_ductal_cell	0.8999999999999998
REG1A	7	0	0	-0.35	2	2	0.15709261589141332	ibd_uc_myeloid	0.3
REL	7	0	0	0.028571428571428574	0	0	-0.04841917003915368	sjogren_gland_apc	0.5428571428571429
RFTN1	7	2	1	0.2571428571428572	4	3	0.30742593305117355	t1d_ductal_cell	0.7
RGS1	7	0	0	-0.6	2	2	-0.12815684981625064	ibd_uc_myeloid	0.14545454545454548
RNF149	7	1	1	0.3	4	3	0.3888022535359342	ibd_crohn_myeloid	0.6571428571428573
RNF25	7	1	1	0.3489315788994266	2	2	0.19621319235281376	t1d_ductal_cell	0.7999999999999999
RUNX3	7	1	1	0.028571428571428574	1	1	0.10497375983965022	t1d_stellate_cell	0.7071067811865475
S100A10	7	2	2	0.3	4	2	0.4566777674333762	t1d_acinar_cell	0.7999999999999999
SATB1	7	2	2	0.48747279090867957	2	2	0.24086956521739128	t1d_endothelial_cell	0.7999999999999999
SDC4	7	4	4	0.6330541649476574	3	3	0.23304347826086955	sjogren_gland_apc	0.7142857142857143
SEC22B	7	3	2	0.6	5	4	0.4270003567466291	t1d_ductal_cell	0.8999999999999998
SELL	7	3	3	0.5081176401863305	4	3	0.3431629083972232	ibd_crohn_myeloid	0.8285714285714287
SERPINA1	7	5	3	0.7714285714285715	6	3	0.5353795035207766	ibd_crohn_myeloid	0.8999999999999998
SERPINB2	7	1	1	0.19999999999999998	4	3	0.37634394774299246	ibd_uc_myeloid	0.942857142857143
SERPINB8	7	4	3	0.5181818181818182	4	3	0.3313043478260869	t1d_stellate_cell	0.8999999999999998
SH3BGRL3	7	2	2	0.39999999999999997	5	2	0.35913043478260864	ibd_uc_myeloid	0.7142857142857143
SHISA5	7	5	3	0.7714285714285715	5	2	0.5034965034965035	sjogren_gland_apc	0.8999999999999998
SIRPB1	7	1	1	0.13383403121608464	3	3	0.3033741138343054	ibd_uc_myeloid	0.7071067811865475
SLC16A3	7	3	1	0.6	6	3	0.4475424520083789	t1d_ductal_cell	0.9999999999999999
SLC25A22	7	2	2	0.4862659205152521	4	3	0.5075796486684262	t1d_stellate_cell	0.9999999999999999
SLC2A1	7	2	2	0.09999999999999999	1	1	0.0807783021692781	ibd_crohn_myeloid	0.7999999999999999
SLC2A6	7	3	2	0.2571428571428572	6	3	0.5739130434782608	t1d_stellate_cell	0.8999999999999998
SLC31A2	7	1	1	0.08571428571428573	3	3	0.27999999999999997	t1d_acinar_cell	0.7999999999999999
SLC38A1	7	1	1	0.19999999999999998	4	4	0.3121739130434782	sjogren_gland_apc	0.669752957118536
SLC39A8	7	3	3	0.39999999999999997	4	3	0.5225629644236397	ibd_uc_myeloid	0.942857142857143
SLC44A1	7	2	2	0.5428571428571429	4	3	0.37130434782608696	sjogren_gland_apc	0.7142857142857143
SLC7A11	7	1	1	0.03469771179676268	3	3	0.18521739130434778	ibd_crohn_myeloid	0.8857142857142858
SLPI	7	1	1	0.09999999999999999	5	3	0.546559824289007	ibd_crohn_myeloid	0.7142857142857143
SMCO4	7	2	1	0.6	7	4	0.505760048225897	t1d_acinar_cell	0.7
SNTB1	7	2	2	0.39999999999999997	4	3	0.43882576137984314	sjogren_gland_apc	0.7
SNX10	7	4	3	0.7	6	3	0.6147826086956522	ibd_crohn_myeloid	0.8285714285714287
SOD2	1	0	0	0.14545454545454548	0	0	0.23196769038447315	sjogren_gland_apc	0.14545454545454548
SP110	7	2	2	0.3142857142857143	3	3	0.3216783216783217	sjogren_gland_apc	0.7999999999999999
SP140	7	1	1	0.2906791450842687	4	4	0.451550099019763	t1d_stellate_cell	0.7826237921249264
SPP1	7	2	1	0.5161002296110789	4	3	0.5351985559566788	t1d_acinar_cell	0.8999999999999998
SPRED2	7	3	3	-0.08571428571428573	0	0	0.0	ibd_uc_myeloid	0.8285714285714287
SQLE	7	2	1	0.3142857142857143	4	1	0.33739130434782605	t1d_endothelial_cell	0.9999999999999999
SQOR	7	5	3	0.7714285714285715	5	3	0.5756802684864646	t1d_endothelial_cell	0.9999999999999999
SQSTM1	7	3	2	0.49999999999999994	4	2	0.4278260869565217	t1d_acinar_cell	0.9999999999999999
ST20	7	2	2	0.6	6	3	0.5173913043478261	ibd_crohn_myeloid	0.942857142857143
ST3GAL2	7	4	2	0.7	6	4	0.4265734265734266	t1d_stellate_cell	0.8999999999999998
ST3GAL6	7	1	1	0.29090909090909095	2	2	0.23153166764177124	t1d_acinar_cell	0.7
STARD5	7	1	1	0.09999999999999999	3	3	0.29846314745570024	ibd_uc_myeloid	0.7142857142857143
STAT4	7	2	2	0.35843539979873223	5	3	0.37647148169965117	ibd_uc_myeloid	1.0
STXBP2	7	2	2	0.4285714285714286	6	3	0.54	t1d_ductal_cell	0.9999999999999999
SUB1	7	2	2	0.09999999999999999	3	2	0.35664335664335667	sjogren_gland_apc	0.7999999999999999
SULT1B1	7	1	1	0.15714285714285714	3	3	0.2945195210869306	ibd_uc_myeloid	0.6667366910003157
SVIL	7	5	3	0.8285714285714287	5	3	0.42205411689931127	ibd_crohn_myeloid	0.942857142857143
TES	7	2	2	0.28181818181818186	3	3	0.2883768463039471	t1d_stellate_cell	0.8999999999999998
TIMM17A	7	3	2	0.6	2	1	0.27272727272727276	t1d_stellate_cell	0.9999999999999999
TIMP1	7	2	2	0.39999999999999997	6	3	0.5454545454545455	ibd_uc_myeloid	0.8285714285714287
TLE3	7	3	3	0.3	3	3	0.10786614861750694	t1d_acinar_cell	0.7714285714285715
TMCO4	7	2	2	0.4419145861508591	1	1	0.19290910750185505	t1d_acinar_cell	0.8999999999999998
TMEM120B	7	0	0	0.028571428571428574	3	2	0.3426573426573427	t1d_acinar_cell	0.4285714285714286
TMEM163	7	0	0	0.15179418517972906	1	1	0.12211470224071401	ibd_uc_myeloid	0.3486385256233475
TMEM167A	7	4	3	0.6545454545454547	6	3	0.4913043478260869	sjogren_gland_apc	0.8999999999999998
TMEM170A	7	1	1	0.09999999999999999	1	1	0.16260869565217392	t1d_stellate_cell	0.7999999999999999
TMEM71	7	2	2	0.44679516868351477	3	3	0.28020855406081696	ibd_uc_myeloid	0.8857142857142858
TMSB10	7	2	1	0.3	4	1	0.4460869565217391	t1d_acinar_cell	0.9999999999999999
TNFAIP2	7	4	2	0.7	5	3	0.6248914464129193	t1d_ductal_cell	0.9999999999999999
TNFAIP6	7	3	3	0.6	6	3	0.4197078534817373	t1d_endothelial_cell	0.8999999999999998
TNFAIP8	7	5	3	0.7	5	3	0.36213633613384494	t1d_ductal_cell	0.8999999999999998
TNFRSF14	7	2	1	0.3	4	1	0.4480974099987131	t1d_ductal_cell	0.9999999999999999
TNFRSF8	7	1	1	0.4285714285714286	3	2	0.24265290721120342	t1d_ductal_cell	0.7071067811865475
TNFRSF9	7	2	2	0.09999999999999999	3	2	0.07917832197793447	sjogren_gland_apc	0.7
TNFSF13B	7	1	1	0.17272727272727276	3	3	0.28522196487733603	t1d_ductal_cell	0.8999999999999998
TNFSF15	7	5	4	0.7714285714285715	5	4	0.5510205026494152	t1d_ductal_cell	0.9999999999999999
TNFSF18	7	3	1	0.35355339059327373	3	1	0.25604229329279055	t1d_ductal_cell	0.7071067811865475
TNFSF4	7	1	1	0.06741998624632421	2	1	0.1787680647920798	t1d_stellate_cell	0.8944271909999157
TNFSF8	7	2	2	0.5542796433182217	2	2	0.33674957576489306	ibd_crohn_myeloid	0.7714285714285715
TPI1	7	3	1	0.5428571428571429	4	1	0.6032930351544699	t1d_ductal_cell	0.8999999999999998
TPM4	7	6	3	0.8285714285714287	6	3	0.6161384815711215	t1d_ductal_cell	0.8999999999999998
TRIB2	7	2	1	-0.08571428571428573	3	1	0.11888837760252514	t1d_ductal_cell	0.7
TRIB3	7	3	2	0.6	5	3	0.5089773777040516	t1d_endothelial_cell	0.9999999999999999
TRIM5	7	5	2	0.7	5	3	0.4514024894707887	t1d_endothelial_cell	0.9999999999999999
TSC1	7	1	1	0.028571428571428574	1	1	0.20979020979020982	t1d_acinar_cell	0.45766204283788436
TSC2	7	0	0	0.09999999999999999	2	1	-0.1188811188811189	t1d_acinar_cell	0.6
TXN	7	3	3	0.19999999999999998	1	1	0.18487319469495042	t1d_stellate_cell	0.7714285714285715
TXNRD1	7	0	0	-0.49999999999999994	0	0	-0.07565217391304348	t1d_stellate_cell	0.21818181818181823
UBE2E3	7	0	0	-0.14285714285714288	0	0	0.058983352593150844	t1d_ductal_cell	0.49999999999999994
UBXN11	7	3	2	0.4285714285714286	2	2	0.23049781596423521	t1d_stellate_cell	0.7999999999999999
ULK1	7	0	0	-0.09999999999999999	0	0	-0.26086956521739124	ibd_crohn_myeloid	0.6
USP34	7	1	1	0.08571428571428573	1	1	0.07478260869565216	t1d_stellate_cell	0.9999999999999999
UTP20	7	3	2	0.3142857142857143	4	4	0.4288376273188921	t1d_endothelial_cell	0.9999999999999999
VAMP5	7	1	1	0.3727272727272728	3	3	0.37762237762237766	ibd_uc_myeloid	0.7714285714285715
VCAM1	7	0	0	-0.09999999999999999	1	1	-0.0513790095600774	ibd_crohn_myeloid	0.6
VMP1	7	4	3	0.6571428571428573	3	3	0.29677410686747047	t1d_stellate_cell	0.9999999999999999
ZBTB40	7	3	1	0.4285714285714286	0	0	0.25730257639133525	t1d_ductal_cell	0.8999999999999998
