gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score	has_ms_anchor	broad_pool_reason	uniprot_status	uniprot_accession	protein_name	sequence_length	uniprot_locations	uniprot_keywords	uniprot_accessible	uniprot_enzymatic_or_catalytic	uniprot_transmembrane_feature_count	uniprot_active_or_binding_features	function_excerpt	family	n_delta_fdr10_positive_diseases	n_delta_trend_or_better_diseases	n_delta_negative_trend_diseases	n_state_resid_non_ifn_r_ge_0_35_diseases	n_confounder_dominant_diseases	rank_score	go_no_go	demotion_or_support_reason	chembl_status	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_target_organism	chembl_target_accessions	chembl_search_hit_count	chembl_url	chembl_activity_count	chembl_activity_values_nM_count	chembl_unique_molecules_returned	chembl_best_standard_value_nM_returned	chembl_median_standard_value_nM_returned	europepmc_query	europepmc_hit_count	europepmc_examples_json	europepmc_url	clinicaltrials_query	clinicaltrials_hit_count	clinicaltrials_examples_json	clinicaltrials_url	prior_flags	google_patents_url	wave39_call	wave39_reason	wave39_score
IL15	17.0	5.0	0.0	0.0	0.0	5.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0082073910205241	0.217712346957948	2.3513313197404844	1.247684028061652			ibd_crohn_myeloid:2.35,p=0.0082;t1d_ductal_cell:0.78,p=0.02;sjogren_gland_apc:1.81,p=0.026;psoriasis_skin_stromal:1.02,p=0.042;ibd_uc_myeloid:1.63,p=0.045	False	1.1957614008388182	0.6680541029650515	0.1225512579945805	0.8989378106274888															False	True	0.0	22.0	True	positive_disease_count>=4	found	P40933	Interleukin-15	162.0	Cytoplasm;Nucleus;Secreted	3D-structure;Alternative splicing;Cytokine;Cytoplasm;Disulfide bond;Glycoprotein;Nucleus;Reference proteome;Secreted;Signal	True	False	0.0		Cytokine that plays a major role in the development of inflammatory and protective immune responses to microbial invaders and parasites by modulating immune cells of both the innate and adaptive immune systems (PubMed:15123770). Stimulates the proliferation of natural killer cells, T-cells and B-cells and promotes the secretion of several cytokines (PubMed:8178155, PubMed:9326248). In monocytes, induces the production of IL8 and monocyte chemotactic protein 1/CCL2, two chemokines that attract neutrophils and monocytes respectively to sites of infection (PubMed:9326248). Unlike most cytokines, which are secreted in soluble form, IL15 is expressed in association with its high affinity IL15RA o										found	CHEMBL3712954	Interleukin-15	SINGLE PROTEIN	Homo sapiens	P40933	5.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=IL15	46.0	46.0	38.0	50.0	21050.0	"""IL15"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	11292.0	"[{""doi"": ""10.1016/j.jtauto.2025.100333"", ""id"": ""41323472"", ""source"": ""MED"", ""title"": ""Mendelian randomization study of the causal relationship between autoimmune diseases and anemia using proteomic and genetic data."", ""year"": ""2025""}, {""doi"": ""10.1007/s00011-025-02084-7"", ""id"": ""41107624"", ""source"": ""MED"", ""title"": ""Interleukin 15 and autoimmune disorders: pathophysiology, therapeutic potential, and clinical implications."", ""year"": ""2025""}, {""doi"": ""10.1038/s43856-026-01487-9"", ""id"": ""41794919"", ""source"": ""MED"", ""title"": ""Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22IL15%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	IL15 autoimmune	5.0	"[{""conditions"": [""Thyroid Diseases""], ""nct_id"": ""NCT04542278"", ""status"": ""COMPLETED"", ""title"": ""Preoperative Steroids in Autoimmune Thyroid Disease""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT00976599"", ""status"": ""COMPLETED"", ""title"": ""A Study To Evaluate The Mechanism Of Action Of CP-690,550 In Patients With Rheumatoid Arthritis""}, {""conditions"": [""Lupus Erythematosis""], ""nct_id"": ""NCT06468683"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""F01 in the Treatment of Moderate-to-severe Refractory Systemic Lupus Erythematosus""}, {""conditions"": [""Systemic Sclerosis"", ""Idiopathic Inflammatory Myopathies"", ""Antineutrophil Cytoplasmic Antibody-Associated Vasculitis"", ""Rheumatoid Arthritis""], ""nct_id"": ""NCT06733935"", ""status"": ""RECRUITING"", ""title"": ""A Phase 1/2 Study of NKX019 in Subjects With Immune-Mediated Diseases (Ntrust-2)""}, {""conditions"": [""Alopecia Areata""], ""nct_id"": ""NCT05910138"", ""status"": ""UNKNOWN"", ""title"": ""Evaluation of Serum Levels of Interlukin-15 and Interlukin-21 in Patients With Alopecia Areata""}]"	https://clinicaltrials.gov/search?term=IL15+autoimmune	Wave21 prior-art review: Comparator only; not a residual novel target. | Wave25 causal proxy: MODULE_MARKER_NOT_GENETICALLY_ANCHORED | Wave34 genetics/druggability: NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; no_target_resolved_coloc_or_mr	https://patents.google.com/?q=IL15+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	prior_demoted_or_class_blocked; generic_ifn_cytokine_or_chemokine_axis; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 46	6.460000000000001
IL23A	17.0	5.0	0.0	0.0	0.0	4.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		0.0028018239259509	0.1486198821535683	3.996665621118753	1.9159170263642973			ibd_uc_myeloid:4,p=0.0028;ibd_uc_epithelial:2.74,p=0.011;sjogren_gland_apc:2.22,p=0.015;ibd_crohn_myeloid:2.98,p=0.018;t1d_stellate_cell:1.94,p=0.018	False	0.6573316951945598	0.7609809443861563	0.0916123649390088	0.8989378106274888															False	True	0.0	19.0	True	positive_disease_count>=4	found	Q9NPF7	Interleukin-23 subunit alpha	189.0	Secreted	3D-structure;Antiviral defense;Cytokine;Disulfide bond;Immunity;Inflammatory response;Innate immunity;Proteomics identification;Reference proteome;Secreted;Signal;Tissue remodeling	True	False	0.0		Associates with IL12B to form the pro-inflammatory cytokine IL-23 that plays different roles in innate and adaptive immunity (PubMed:11114383). Released by antigen-presenting cells such as dendritic cells or macrophages, binds to a heterodimeric receptor complex composed of IL12RB1 and IL23R to activate JAK2 and TYK2 which then phosphorylate the receptor to form a docking site leading to the phosphorylation of STAT3 and STAT4 (PubMed:29287995, PubMed:32474165, PubMed:33606986). This process leads to activation of several pathways including p38 MAPK or NF-kappa-B and promotes the production of pro-inflammatory cytokines such as interleukin-17A/IL17A (PubMed:12023369). In turn, participates in										found	CHEMBL2364154	Interleukin-23	PROTEIN COMPLEX	Homo sapiens	P29460;Q9NPF7	1.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=IL23A	0.0	0.0	0.0			"""IL23A"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	3115.0	"[{""doi"": ""10.1097/md.0000000000046924"", ""id"": ""41496107"", ""source"": ""MED"", ""title"": ""New-onset ulcerative colitis temporally associated with with ixekizumab in a psoriasis patient successfully treated with guselkunmab: A case report."", ""year"": ""2026""}, {""doi"": ""10.1038/s43856-026-01487-9"", ""id"": ""41794919"", ""source"": ""MED"", ""title"": ""Identifying genetic and cellular connections and distinctions among 15 autoimmune diseases using an in-silico approach."", ""year"": ""2026""}, {""doi"": ""10.1002/mco2.70310"", ""id"": ""40757098"", ""source"": ""MED"", ""title"": ""T Cell-Specific Deficiency of Src Homology 2-Containing Protein Tyrosine Phosphatase 2 Ameliorates Psoriasis and Colitis by Promoting Treg Differentiation."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22IL23A%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	IL23A autoimmune	5.0	"[{""conditions"": [""Multiple Sclerosis"", ""Clinically Isolated Syndrome""], ""nct_id"": ""NCT02671682"", ""status"": ""COMPLETED"", ""title"": ""Immunoadsorption vs. Plasmapheresis in the Escalation Therapy of Relapse in Multiple Sclerosis""}, {""conditions"": [""Multiple Sclerosis""], ""nct_id"": ""NCT05941975"", ""status"": ""UNKNOWN"", ""title"": ""Multimodal Exploration of Patients With Multiple Sclerosis for an Early Detection of Subtle Progression""}, {""conditions"": [""Chronic Spontaneous Urticaria (CSU)"", ""Hidradenitis Suppurativa (HS)"", ""Psoriasis (PsO)"", ""Atopic Dermatitis (AD)"", ""CTCL/ Mycosis Fungoides""], ""nct_id"": ""NCT07021495"", ""status"": ""RECRUITING"", ""title"": ""SKIN Disease Profiling by an Exploratory, pRospective, Biomarker Study in dermatoloGY Practice (SKINERGY)""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT05777577"", ""status"": ""UNKNOWN"", ""title"": ""Immunological Profile and Microbial Markers in Evaluating the Effectiveness of Probiotic Therapy in RA Patients""}, {""conditions"": [""Multiple Sclerosis, Relapsing-Remitting""], ""nct_id"": ""NCT04450030"", ""status"": ""UNKNOWN"", ""title"": ""Immunoadsorption Versus High-dose Intravenous Corticosteroids in Relapsing Multiple Sclerosis""}]"	https://clinicaltrials.gov/search?term=IL23A+autoimmune	Wave34 genetics/druggability: NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; no_target_resolved_coloc_or_mr	https://patents.google.com/?q=IL23A+autoimmune+antibody+inhibitor+agonist	PARK_REVIEW	prior_demoted_or_class_blocked; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found	4.0
IL32	17.0	5.0	2.0	0.0	1.0	3.0	2.0	Crohn disease;psoriasis;type 1 diabetes mellitus	Crohn disease;ulcerative colitis	0.0024386367616401	0.2221134452597335	2.7283815207499127	1.575667369464819	0.0005257835282844	-1.3318046198709954	t1d_ductal_cell:1.13,p=0.0024;psoriasis_skin_stromal:1.22,p=0.021;ibd_crohn_myeloid:1.51,p=0.026;psoriasis_skin_apc:2.73,p=0.038;t1d_endothelial_cell:1.23,p=0.049	False	1.0081045036770142	0.5756342378307668	0.1778387908597707	0.8993702893651148															False	False	0.0	6.0	True	positive_disease_count>=3_with_MS_anchor	found	P24001	Interleukin-32	234.0	Secreted	Alternative splicing;Cytokine;Proteomics identification;Reference proteome;Secreted;Signal	True	False	0.0		Cytokine that may play a role in innate and adaptive immune responses. It induces various cytokines such as TNFA/TNF and IL8. It activates typical cytokine signal pathways of NF-kappa-B and p38 MAPK																																https://patents.google.com/?q=IL32+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; directional_negative_disease_signal; reachable protein class by UniProt location/features	7.0
LAPTM5	17.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0032646368812315	0.1364986614165965	2.7627129904622203	1.287319593893823			ibd_uc_stromal:2.76,p=0.0033;t1d_endothelial_cell:1.61,p=0.02;ibd_crohn_stromal:1.68,p=0.045	False	0.2726573823705198	0.6924799073505363	0.1303632586408956	0.8989378106274888															False	True	0.0	14.0	True	positive_disease_count>=3_with_MS_anchor	found	Q13571	Lysosomal-associated transmembrane protein 5	262.0	Lysosome membrane	Lysosome;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport	True	False	5.0		May have a special functional role during embryogenesis and in adult hematopoietic cells	lysosome_membrane_or_lipid	1.0	3.0	0.0	6.0	3.0	22.75	GO_SCOUT	passes local dependency gate																							https://patents.google.com/?q=LAPTM5+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features; Wave15 residual state support in 6 diseases	12.25
LITAF	17.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0198794358380266	0.289181658767819	1.1553043961161509	1.4968667215380047			ibd_uc_myeloid:1.14,p=0.02;ibd_crohn_myeloid:1.16,p=0.021;t1d_acinar_cell:0.662,p=0.032	False	0.3084198322537244	0.5968595911362213	0.1715754140954014	0.8993702893651148															False	False	0.0	12.0	True	positive_disease_count>=3_with_MS_anchor	found	Q99732	Lipopolysaccharide-induced tumor necrosis factor-alpha factor	161.0	Cell membrane;Cytoplasm;Early endosome membrane;Endosome membrane;Golgi apparatus membrane;Late endosome membrane;Lysosome membrane;Nucleus	Alternative splicing;Cell membrane;Charcot-Marie-Tooth disease;Cytoplasm;DNA-binding;Disease variant;Endosome;Golgi apparatus;Lysosome;Membrane;Metal-binding;Neurodegeneration;Neuropathy;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;Transcription;Transcription regulation;Zinc	True	False	0.0	Binding site;Binding site;Binding site;Binding site	Plays a role in endosomal protein trafficking and in targeting proteins for lysosomal degradation (PubMed:23166352). Plays a role in targeting endocytosed EGFR and ERGG3 for lysosomal degradation, and thereby helps down-regulate downstream signaling cascades (PubMed:23166352). Helps recruit the ESCRT complex components TSG101, HGS and STAM to cytoplasmic membranes (PubMed:23166352). Probably plays a role in regulating protein degradation via its interaction with NEDD4 (PubMed:15776429). May also contribute to the regulation of gene expression in the nucleus (PubMed:10200294, PubMed:15793005). Binds DNA (in vitro) and may play a synergistic role with STAT6 in the nucleus in regulating the exp																																https://patents.google.com/?q=LITAF+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
LPL																	True																							False								False																																					NOT_IN_W39_MANUAL_LIPID_INCLUDE	manual_include_from_wave91_or_lipid_axis	
LRIG3	15.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0089079030761151	0.1603146482324397	1.0204627721777868	1.2062222985715227			ibd_crohn_epithelial:0.675,p=0.0089;t1d_stellate_cell:1.02,p=0.036;ibd_uc_epithelial:0.502,p=0.048	False	1.4284885080798049	0.8508598309758607	0.0537582280326119	0.8904676266102052															False	True	0.0	14.0	True	positive_disease_count>=3_with_MS_anchor	found	Q6UXM1	Leucine-rich repeats and immunoglobulin-like domains protein 3	1119.0	Cell membrane;Cytoplasmic vesicle membrane	Alternative splicing;Cell membrane;Cytoplasmic vesicle;Developmental protein;Disulfide bond;Glycoprotein;Immunoglobulin domain;Leucine-rich repeat;Membrane;Proteomics identification;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	True	False	1.0		May play a role in craniofacial and inner ear morphogenesis during embryonic development. May act within the otic vesicle epithelium to control formation of the lateral semicircular canal in the inner ear, possibly by restricting the expression of NTN1 (By similarity)																																https://patents.google.com/?q=LRIG3+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
LY6E	17.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus		0.0180415140842396	0.3460182842246059	1.477329536705387	1.318541406038544			t1d_acinar_cell:1.23,p=0.018;ibd_crohn_myeloid:1.11,p=0.033;sjogren_gland_apc:1.48,p=0.045	False	0.3272828033253923	0.517960505549519	0.2373098656275115	0.9004758652001262															False	False	0.0	12.0	True	positive_disease_count>=3_with_MS_anchor	found	Q16553	Lymphocyte antigen 6E	131.0	Cell membrane	Cell membrane;Disulfide bond;GPI-anchor;Glycoprotein;Host-virus interaction;Lipoprotein;Membrane;Proteomics identification;Reference proteome;Signal	True	False	0.0		GPI-anchored cell surface protein that regulates T-lymphocytes proliferation, differentiation, and activation. Regulates the T-cell receptor (TCR) signaling by interacting with component CD3Z/CD247 at the plasma membrane, leading to CD3Z/CD247 phosphorylation modulation (By similarity). Restricts the entry of human coronaviruses, including SARS-CoV, MERS-CoV and SARS-CoV-2, by interfering with spike protein-mediated membrane fusion (PubMed:32641482). Also plays an essential role in placenta formation by acting as the main receptor for syncytin-A (SynA). Therefore, participates in the normal fusion of syncytiotrophoblast layer I (SynT-I) and in the proper morphogenesis of both fetal and mater																																https://patents.google.com/?q=LY6E+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
MMP7	15.0	7.0	0.0	3.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		3.734151797283838e-05	0.0162103214185722	5.172586331893583	1.8069713499380848			ibd_uc_epithelial:5.17,p=3.7e-05;t1d_endothelial_cell:4.48,p=4.3e-05;t1d_stellate_cell:4.73,p=0.00023;t1d_acinar_cell:2.39,p=0.0017;t1d_ductal_cell:0.53,p=0.029;ibd_crohn_epithelial:1.8,p=0.037;psoriasis_keratinocyte:1.55,p=0.038	False	1.836134503047833	0.5794242319458226	0.1901690746366625	0.8993702893651148															False	False	0.0	25.0	True	positive_disease_count>=4	found	P09237	Matrilysin	267.0	Secreted, extracellular space, extracellular matrix	3D-structure;Calcium;Collagen degradation;Direct protein sequencing;Extracellular matrix;Hydrolase;Metal-binding;Metalloprotease;Protease;Proteomics identification;Reference proteome;Secreted;Signal;Zinc;Zymogen	True	True	0.0	Active site;Binding site:in inhibited form;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site	Degrades casein, gelatins of types I, III, IV, and V, and fibronectin. Activates procollagenase										found	CHEMBL4073	Matrilysin	SINGLE PROTEIN	Homo sapiens	P09237	2.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=MMP7	937.0	92.0	100.0	6.0	2000.0	"""MMP7"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	1804.0	"[{""doi"": ""10.1016/j.cca.2026.121069"", ""id"": ""42107815"", ""source"": ""MED"", ""title"": ""Emerging biomarkers in IgA nephropathy, membranous nephropathy, and lupus nephritis."", ""year"": ""2026""}, {""doi"": ""10.1371/journal.pone.0330332"", ""id"": ""40892863"", ""source"": ""MED"", ""title"": ""Transcriptional profiling identification of inflammatory signaling pathways in ulcerative colitis."", ""year"": ""2025""}, {""doi"": ""10.1111/1440-1681.70073"", ""id"": ""40968516"", ""source"": ""MED"", ""title"": ""Overexpression of miR-718 in Keratinocytes Affects the Psoriatic Inflammation via Targeting STAT1: In\u00a0Vitro and In\u00a0Vivo Evidence."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22MMP7%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	MMP7 autoimmune	4.0	"[{""conditions"": [""Systemic Lupus Erythematosus""], ""nct_id"": ""NCT04951427"", ""status"": ""UNKNOWN"", ""title"": ""PRediction Of Flares In Lupus With autoantibodiEs and Chemokines""}, {""conditions"": [""Rheumatoid Arthritis (RA)""], ""nct_id"": ""NCT07173582"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""\""Matrix Metalloproteinases 7 and 9 in Rheumatoid Arthritis Patients With Interstitial Lung Disease\""""}, {""conditions"": [""Autoimmune Liver Disease"", ""Primary Sclerosing Cholangitis"", ""Autoimmune Hepatitis""], ""nct_id"": ""NCT03175471"", ""status"": ""RECRUITING"", ""title"": ""MRI Based Biomarkers in Pediatric Autoimmune Liver Disease""}, {""conditions"": [""Pediatric Immune Mediated Interstitial Lung Disease""], ""nct_id"": ""NCT07559435"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""Diagnostic and Prognostic Utility of IL-6 and MMP-7 in Pediatric Immune Mediated Interstitial Lung Disease""}]"	https://clinicaltrials.gov/search?term=MMP7+autoimmune		https://patents.google.com/?q=MMP7+autoimmune+antibody+inhibitor+agonist	PARK_REVIEW	prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 937	15.0
NDUFA11	17.0	6.0	0.0	0.0	0.0	3.0	0.0	Sjogren syndrome;psoriasis;type 1 diabetes mellitus		0.0004192566946108	0.1498530470801544	0.62184253265647	1.0845771497117669			t1d_acinar_cell:0.573,p=0.00042;sjogren_gland_stromal:0.622,p=0.0039;sjogren_gland_epithelial:0.433,p=0.017;psoriasis_keratinocyte:0.422,p=0.023;t1d_ductal_cell:0.582,p=0.025;t1d_stellate_cell:0.453,p=0.048	False	0.2441454867594998	0.647172976155947	0.1335462695173637	0.8989378106274888							0.5419727687088933	-0.9580272312911068	1.5	0.0	0.0				False	True	0.0	17.027098638435444	True	positive_disease_count>=3_with_MS_anchor	found	Q86Y39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	141.0	Mitochondrion inner membrane	3D-structure;Acetylation;Alternative splicing;Direct protein sequencing;Electron transport;Membrane;Mitochondrion;Mitochondrion inner membrane;Primary mitochondrial disease;Proteomics identification;Reference proteome;Respiratory chain;Transmembrane;Transmembrane helix;Transport	True	True	2.0		Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone																																https://patents.google.com/?q=NDUFA11+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	11.5
NRCAM	16.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		0.0116823782091635	0.2247148482463899	3.1005603437118165	2.065973036842883			ibd_uc_stromal:2.93,p=0.012;ibd_crohn_stromal:3.1,p=0.015;psoriasis_skin_stromal:1.35,p=0.018	False	1.2982290374792624	0.7616213365350446	0.0812547813304489	0.8989378106274888							1.3125944439296318	-0.1874055560703682	1.5	0.0	0.0				False	True	0.0	14.065629722196482	True	positive_disease_count>=3_with_MS_anchor	found	Q92823	Neuronal cell adhesion molecule	1304.0	Cell membrane;Cell projection, axon;Secreted	3D-structure;Alternative splicing;Cell adhesion;Cell membrane;Cell projection;Disease variant;Disulfide bond;Glycoprotein;Immunoglobulin domain;Intellectual disability;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Secreted;Signal;Transmembrane;Transmembrane helix	True	False	1.0		Cell adhesion protein that is required for normal responses to cell-cell contacts in brain and in the peripheral nervous system. Plays a role in neurite outgrowth in response to contactin binding. Plays a role in mediating cell-cell contacts between Schwann cells and axons. Plays a role in the formation and maintenance of the nodes of Ranvier on myelinated axons. Nodes of Ranvier contain clustered sodium channels that are crucial for the saltatory propagation of action potentials along myelinated axons. During development, nodes of Ranvier are formed by the fusion of two heminodes. Required for normal clustering of sodium channels at heminodes; not required for the formation of mature nodes 																																https://patents.google.com/?q=NRCAM+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
NUCB2	17.0	4.0	2.0	0.0	0.0	3.0	2.0	Crohn disease;Sjogren syndrome;ulcerative colitis	Crohn disease;type 1 diabetes mellitus	0.0045342610892669	0.1443771995729229	1.481080774130359	1.2587913297369715	0.0023033423922133	-0.6723279179403416	ibd_uc_epithelial:1.19,p=0.0045;sjogren_gland_stromal:1.48,p=0.029;ibd_uc_stromal:0.318,p=0.035;ibd_crohn_epithelial:0.681,p=0.049	False	0.4995345741886563	0.5288509600287234	0.2214851652580735	0.8993702893651148							1.7259110537311877	0.1129555268655938	1.6129555268655935	0.0	0.0				False	False	0.0	5.086295552686559	True	positive_disease_count>=3_with_MS_anchor	found	P80303	Nucleobindin-2	420.0	Cytoplasm;Endoplasmic reticulum;Golgi apparatus;Membrane;Nucleus envelope;Secreted	Alternative splicing;Calcium;Cleavage on pair of basic residues;Cytoplasm;DNA-binding;Direct protein sequencing;Endoplasmic reticulum;Golgi apparatus;Guanine-nucleotide releasing factor;Membrane;Metal-binding;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Secreted;Signal	True	False	0.0	Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site	Calcium-binding protein which may have a role in calcium homeostasis (By similarity). Acts as a non-receptor guanine nucleotide exchange factor which binds to and activates guanine nucleotide-binding protein (G-protein) alpha subunit GNAI3 (By similarity) Anorexigenic peptide, seems to play an important role in hypothalamic pathways regulating food intake and energy homeostasis, acting in a leptin-independent manner. May also exert hypertensive roles and modulate blood pressure through directly acting on peripheral arterial resistance. In intestinal epithelial cells, plays a role in the inhibition of hepatic glucose production via MC4R receptor leading to increased cyclic adenosine monophosp																															Wave34 genetics/druggability: NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; nan	https://patents.google.com/?q=NUCB2+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; prior_demoted_or_class_blocked; directional_negative_disease_signal; reachable protein class by UniProt location/features	4.0
PLEK2	17.0	4.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0035862606451553	0.1257467403941624	1.610603687157833	1.6466752659795816			ibd_uc_epithelial:1.27,p=0.0036;ibd_crohn_epithelial:1.02,p=0.0082;ibd_crohn_myeloid:1.61,p=0.019;t1d_stellate_cell:1.53,p=0.028	False	3.0459958234208124	1.3647899640433525	0.0073786076112192	0.8344760564031432															True	True	0.0	20.0	True	positive_disease_count>=3_with_MS_anchor	found	Q9NYT0	Pleckstrin-2	353.0	Cell projection, lamellipodium membrane;Cytoplasm, cytoskeleton	3D-structure;Acetylation;Cell membrane;Cell projection;Cytoplasm;Cytoskeleton;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat	True	False	0.0		May help orchestrate cytoskeletal arrangement. Contribute to lamellipodia formation																																https://patents.google.com/?q=PLEK2+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
