sample_id	cell_state	state_level	n_cells	cd74_alone	receptor_only_cd74_cd44_cxcr4	hla_ii_without_cd74	full_mif_cd74_state	ifn_apc
CID005720-1	CD1Chi DC	fine	35	-0.14397523	0.41005084	-0.095723204	0.24158996	-0.12093092
CID005723-1	C1Qhi IL1Bhi macro	fine	20	0.6905219	0.34554735	0.09182495	0.17732137	-0.7162097
CID005723-1	CD1Chi DC	fine	28	-0.48518562	0.19605814	0.31064048	0.076385975	-1.2109973
CID005742-1	C1Qhi IL1Bhi macro	fine	40	1.9849563	0.81578946	-0.29101157	0.23671764	-0.7595552
CID005742-1	CD1Chi DC	fine	28	1.3705573	0.4232475	0.036400903	0.25563097	-1.1605074
CID005743-1	C1Qhi IL1Bhi macro	fine	61	1.3349268	0.58628833	-0.09633107	0.30429873	-0.30333564
CID005743-1	C1Qhi IL1Blo macro	fine	52	1.8903046	0.5992088	-0.24374121	0.24858105	-0.071935914
CID005743-1	CD1Chi DC	fine	26	1.0401462	0.6854575	0.05715308	0.16086489	-0.81563944
CID005743-1	S100A8 A9hi mono	fine	35	1.1166731	1.0393966	-0.5693932	0.30817574	0.2534666
CID005745-1	C1Qhi IL1Bhi macro	fine	25	0.7219747	0.40819955	-0.43015	-0.14280427	0.5200698
CID005745-1	CD1Chi DC	fine	33	-0.6192088	0.13004534	-0.06637157	0.06906868	0.19448917
CID005746-1	C1Qhi IL1Bhi macro	fine	31	1.0814338	0.2214302	-0.5523408	-0.09506002	0.6762456
CID005746-1	C1Qhi IL1Blo macro	fine	59	0.6006995	0.0505473	-0.55930346	-0.1695247	0.37460655
CID005746-1	CD1Chi DC	fine	47	0.3608798	-0.064923815	-0.1503476	-0.046633027	0.27397928
CID005746-1	S100A8 A9hi mono	fine	65	0.3350254	0.7058856	-1.9946531	-0.19693986	1.0538093
CID005747-1	C1Qhi IL1Bhi macro	fine	39	1.1358863	0.5201469	-0.35493222	-0.13330126	0.43242735
CID005747-1	CD1Chi DC	fine	66	0.7349508	0.62576026	-0.2581736	-0.08142181	0.3976307
CID005751-1	C1Qhi IL1Bhi macro	fine	30	1.8398471	0.51004237	-0.1775772	-0.070928365	0.23810367
CID005751-1	CD1Chi DC	fine	48	1.8081205	0.5182235	-0.04547776	-0.029084694	0.19499838
CID005755-1	C1Qhi IL1Bhi macro	fine	39	0.8844071	-0.38540164	-0.030659562	-0.1832452	0.47577196
CID005755-1	C1Qhi IL1Blo macro	fine	78	0.17253433	-0.72481173	0.37761948	-0.028028943	-0.10691778
CID005755-1	CD1Chi DC	fine	87	0.48786426	0.01718247	0.11949223	-0.0063923374	0.4336231
CID005755-1	S100A8 A9hi TNFhi IL6pos mono	fine	22	-2.4933438	-0.7864523	-1.1842364	-0.8884496	0.5463318
CID005755-1	S100A8 A9hi mono	fine	69	-0.24311094	0.35677016	-1.1188469	-0.45529166	0.8195788
CID005757-1	C1Qhi IL1Bhi macro	fine	106	0.6391324	0.004829208	-0.021485666	0.12110121	0.55702776
CID005757-1	C1Qhi IL1Blo macro	fine	127	-0.6395039	0.29233244	-0.23293363	0.20256677	0.793938
CID005757-1	CD1Chi DC	fine	182	-0.53466547	0.092730016	0.25400493	0.09691632	0.42901352
CID005757-1	S100A8 A9hi TNFhi IL6pos mono	fine	254	-2.797353	-0.20629124	-1.490715	-0.74625754	0.864942
CID005757-1	S100A8 A9hi mono	fine	600	-1.9386374	0.19441806	-1.8371323	-0.8553753	1.0064533
CID005759-1	C1Qhi IL1Bhi macro	fine	75	-0.119971745	-0.50390553	0.050291717	-0.30991617	0.4192631
CID005759-1	C1Qhi IL1Blo macro	fine	76	-0.4518688	-0.66321397	0.032952208	-0.40059045	0.2791522
CID005759-1	CD1Chi DC	fine	230	-0.9446993	-0.8081543	0.24584733	-0.3270923	0.2606952
CID005759-1	S100A8 A9hi mono	fine	161	-0.59757113	-0.46154788	-0.40310535	-0.38486868	0.8028229
CID005761-1	C1Qhi IL1Bhi macro	fine	87	0.5882187	-0.3501691	0.13262199	-0.090691075	0.13369308
CID005761-1	C1Qhi IL1Blo macro	fine	94	0.5278809	-0.15988998	-0.12340484	-0.0074333213	0.35006905
CID005761-1	CD1Chi DC	fine	109	0.15153538	-0.097075365	0.1534801	-0.014407247	0.07656194
CID005761-1	S100A8 A9hi mono	fine	55	0.018541917	0.3163204	-0.3023268	0.03544671	0.69451416
CID005763-1	C1Qhi IL1Blo macro	fine	68	-0.07655303	0.08512184	0.22580199	0.14068504	-0.14135955
CID005763-1	CD1Chi DC	fine	49	-0.5769176	-0.053692725	0.28492317	-0.042955987	-0.39651802
CID005764-1	C1Qhi IL1Blo macro	fine	52	0.5461817	0.28138062	-0.25858092	0.015622094	0.31795868
CID005764-1	CD1Chi DC	fine	34	0.25374728	0.37619662	-0.04842915	0.11540265	0.12375523
CID005764-1	S100A8 A9hi mono	fine	172	-0.6103387	0.7753303	-1.6270994	-0.3636589	0.9459748
CID005766-1	CD1Chi DC	fine	20	0.019793253	0.20071857	0.03671065	-0.03351144	0.119056545
CID005767-1	C1Qhi IL1Blo macro	fine	64	0.21008742	-1.3077987	0.06361099	-0.6236733	-0.60426867
CID005767-1	CD1Chi DC	fine	22	-0.49957597	-0.469558	0.21276325	-0.21406856	-0.34220427
CID005768-1	C1Qhi IL1Blo macro	fine	27	0.33760628	-0.123334914	-0.16576812	-0.19421631	0.3172443
CID005768-1	CD1Chi DC	fine	42	0.16765934	-0.12230572	0.027805606	-0.17486425	0.2824513
CID005768-1	S100A8 A9hi mono	fine	39	0.16898237	0.3993516	-0.66979915	-0.1622346	0.7651966
CID005770-1	CD1Chi DC	fine	22	0.30619907	-0.09291649	0.14782189	-0.09846218	-1.1420323
CID005771-1	C1Qhi IL1Bhi macro	fine	86	0.6527602	0.080331266	-0.101801574	0.124851584	0.47858354
CID005771-1	C1Qhi IL1Blo macro	fine	54	-0.33445838	-0.214077	0.09474657	0.14937396	0.4271256
CID005771-1	CD1Chi DC	fine	134	-0.18127413	0.011907439	0.15933707	0.15995032	0.28219947
CID005773-1	C1Qhi IL1Bhi macro	fine	22	1.0271245	0.13100418	0.017341822	-0.037883814	0.060210984
CID005773-1	C1Qhi IL1Blo macro	fine	35	-0.24680628	-3.2468693	0.46460137	-0.8759971	-0.72031885
CID005773-1	CD1Chi DC	fine	56	0.12555061	-0.15151626	0.28767037	0.1222333	0.061177485
CID006558-1	C1Qhi IL1Blo macro	fine	36	0.8712225	-0.6893353	0.19426183	-0.16129977	-0.14592502
CID006558-1	CD1Chi DC	fine	56	0.5188022	0.2881073	0.20476465	0.06639419	0.15860724
CID006559-1	C1Qhi IL1Blo macro	fine	52	-0.005253	-0.8291319	0.53247064	-0.0046912855	-0.24140315
CID006559-1	CD1Chi DC	fine	60	-0.08980936	-0.2823449	0.4311775	0.007905532	0.18076134
CID006567-1	C1Qhi IL1Blo macro	fine	26	0.0888513	-3.0565367	0.25994712	-0.70879453	-0.34455222
CID006569-1	C1Qhi IL1Blo macro	fine	23	-0.1524087	-0.39841804	0.13395841	-0.9664306	0.06058795
CID006575-1	C1Qhi IL1Blo macro	fine	78	1.3962032	-2.5607173	-0.29458043	-0.80778193	0.17511903
CID006575-1	CD1Chi DC	fine	21	1.5912876	0.48517492	-0.19273968	0.010781884	-0.23970714
CID006576-1	C1Qhi IL1Blo macro	fine	24	0.5517736	-0.96283937	-0.14663868	-0.38710022	0.5490466
CID006576-1	CD1Chi DC	fine	45	1.0621097	0.3194743	-0.22156604	0.0005993843	0.49391755
