n_requested	latent_event_probability	molecular_progression_hr_per_latent_sd	visit_interval_years	attendance_mechanism	analysis_route	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_probability	maximum_seed_probability	positive_call_probability	negative_call_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds	median_usable_n_across_seeds	median_analyzed_events_across_seeds	median_latent_events_across_seeds	median_unconfirmed_latent_events_across_seeds	median_detection_delay_across_seeds	achieved_missing_visit_probability
120	0.15	1.0	1.0	score_dependent_20pct	full_latent_time_oracle	1200	1174	0.9783333333333334	55	0.04583333333333333	0.035380848837991884	0.05918431004282566	0.0425	0.05	0.02666666666666667	0.019166666666666665	0.02089274410622992	0.006072366552975477	108.0	16.0	16.0	11.0	0.5076373450067286	0.2001770833333333
120	0.15	1.0	1.0	score_dependent_20pct	midpoint_imputed_time	1200	60	0.05	4	0.0033333333333333335	0.0012970085081069312	0.008539385423943092	0.0	0.01	0.0	0.0033333333333333335	-0.54183805663394	-0.19994449165304626	108.0	5.0	16.0	11.0	0.5076373450067286	0.2001770833333333
120	0.15	1.7	0.25	complete	ascertained_latent_time_oracle	1200	1118	0.9316666666666666	291	0.2425	0.21909686006855766	0.2675465052418508	0.2225	0.2625	0.2425	0.0	1.3205752690550014	0.38210272394877437	108.0	14.0	16.0	1.0	0.12465949188724387	0.0
120	0.15	1.7	0.25	complete	detected_visit_time	1200	1118	0.9316666666666666	278	0.23166666666666666	0.20867501689786389	0.2563708200922705	0.21	0.25	0.23166666666666666	0.0	1.306603002801444	0.3768381991359644	108.0	14.0	16.0	1.0	0.12465949188724387	0.0
120	0.15	1.7	0.25	complete	full_latent_time_oracle	1200	1179	0.9825	326	0.27166666666666667	0.24725736559289108	0.2975331913490245	0.25	0.2825	0.27166666666666667	0.0	1.3491438894951642	0.37935868030655884	108.0	16.0	16.0	1.0	0.12465949188724387	0.0
120	0.15	1.7	0.25	complete	midpoint_imputed_time	1200	1118	0.9316666666666666	278	0.23166666666666666	0.20867501689786389	0.2563708200922705	0.21	0.25	0.23166666666666666	0.0	1.306603002801444	0.3768381991359644	108.0	14.0	16.0	1.0	0.12465949188724387	0.0
120	0.15	1.7	0.25	independent_20pct	ascertained_latent_time_oracle	1200	1093	0.9108333333333334	273	0.2275	0.20467240595227312	0.2520666893762174	0.21	0.2375	0.2275	0.0	1.2007479796421197	0.36455524745606194	108.0	14.0	16.0	3.0	0.15316505084038043	0.20037586805555554
120	0.15	1.7	0.25	independent_20pct	detected_visit_time	1200	1093	0.9108333333333334	268	0.22333333333333333	0.20067310577268127	0.24775924789416537	0.2075	0.2325	0.22333333333333333	0.0	1.188417608225227	0.36223556392329986	108.0	14.0	16.0	3.0	0.15316505084038043	0.20037586805555554
120	0.15	1.7	0.25	independent_20pct	full_latent_time_oracle	1200	1174	0.9783333333333334	325	0.2708333333333333	0.24645082368622004	0.2966783849233666	0.265	0.275	0.27	0.0008333333333333334	1.3470005486902734	0.3737477095605285	108.0	16.0	16.0	3.0	0.15316505084038043	0.20037586805555554
120	0.15	1.7	0.25	independent_20pct	midpoint_imputed_time	1200	1093	0.9108333333333334	269	0.22416666666666665	0.20147269785156857	0.24862100414760685	0.2125	0.23	0.22416666666666665	0.0	1.1941888397938598	0.3652266234593189	108.0	14.0	16.0	3.0	0.15316505084038043	0.20037586805555554
