dataset	feature_type	feature	present	n_present	n_requested	present_genes	missing_genes	submodule_class
GSE325329_ifng_il10_phagocytic_macrophages	gene	ISG15	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	JUN	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	LAMP1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	LAMP2	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	LIPA	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	LPL	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	LYVE1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	MARCO	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	MERTK	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	MRC1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	MX1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	NR1H2	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	NR1H3	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	OAS1	False					
GSE325329_ifng_il10_phagocytic_macrophages	gene	OAS1A	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	PLIN2	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	PPARD	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	PPARG	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	PROS1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	RXRA	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	SPP1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	STAT1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	TGFB1	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	TREM2	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	TYRO3	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	TYROBP	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	VSIG4	True					
GSE325329_ifng_il10_phagocytic_macrophages	gene	XBP1	True					
GSE325329_ifng_il10_phagocytic_macrophages	submodule	tam_receptor_ligand	True	5.0	5.0	AXL;GAS6;MERTK;PROS1;TYRO3		resolution
GSE325329_ifng_il10_phagocytic_macrophages	submodule	fpr2_anxa1_axis	True	2.0	2.0	ANXA1;FPR2		resolution
GSE325329_ifng_il10_phagocytic_macrophages	submodule	lxr_efflux	True	4.0	4.0	ABCA1;ABCG1;NR1H2;NR1H3		resolution
GSE325329_ifng_il10_phagocytic_macrophages	submodule	trem2_lipid_sensing	True	4.0	4.0	APOE;LPL;TREM2;TYROBP		resolution
GSE325329_ifng_il10_phagocytic_macrophages	submodule	scavenger_receptors	True	4.0	4.0	CD163;CD36;MARCO;MRC1		resolution
GSE325329_ifng_il10_phagocytic_macrophages	submodule	complement_efferocytosis	True	4.0	4.0	C1QA;C1QB;C1QC;VSIG4		resolution
GSE325329_ifng_il10_phagocytic_macrophages	submodule	repair_cytokine_matrix	True	4.0	4.0	F13A1;IL10;LYVE1;TGFB1		resolution
GSE325329_ifng_il10_phagocytic_macrophages	submodule	mhcII_ciita	True	8.0	14.0	CD74;CIITA;H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1;IFI30	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1	lipid_apc
GSE325329_ifng_il10_phagocytic_macrophages	submodule	cathepsin_lysosome	True	7.0	7.0	CTSB;CTSD;CTSL;CTSS;LAMP1;LAMP2;LIPA		lipid_apc
GSE325329_ifng_il10_phagocytic_macrophages	submodule	foam_dam_lipid	True	6.0	6.0	APOE;GPNMB;LPL;PLIN2;SPP1;TYROBP		lipid_apc
GSE325329_ifng_il10_phagocytic_macrophages	submodule	ifn_core	True	13.0	15.0	CXCL10;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1A;STAT1	GBP1;OAS1	guardrail
GSE325329_ifng_il10_phagocytic_macrophages	submodule	stress_core	True	11.0	11.0	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1		guardrail
GSE325329_ifng_il10_phagocytic_macrophages	submodule	fibrosis_core	True	6.0	7.0	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF	guardrail
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	ABCA1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	ABCG1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	ACTA2	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	ANXA1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	APOE	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	ATF4	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	AXL	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	BAX	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	C1QA	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	C1QB	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	C1QC	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	CASP3	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	CD163	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	CD36	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	CD74	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	CIITA	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	COL1A1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	COL1A2	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	COL3A1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	CTGF	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	CTSB	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	CTSD	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	CTSL	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	CTSS	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	CXCL10	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	DDIT3	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	DNAJB1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	F13A1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	FN1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	FOS	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	FPR2	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	GAS6	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	GBP1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	GPNMB	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	H2-AA	False					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	H2-AB1	False					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	H2-DMA	False					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	H2-DMB1	False					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	H2-EB1	False					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	HLA-DMA	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	HLA-DMB	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	HLA-DPA1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	HLA-DPB1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	HLA-DRA	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	HLA-DRB1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	HSP90AA1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	HSPA1A	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	HSPA1B	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	IFI30	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	IFI44	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	IFI44L	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	IFIT1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	IFIT2	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	IFIT3	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	IFITM3	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	IL10	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	IRF1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	IRF7	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	ISG15	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	JUN	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	LAMP1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	LAMP2	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	LIPA	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	LPL	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	LYVE1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	MARCO	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	MERTK	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	MRC1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	MX1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	NR1H2	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	NR1H3	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	OAS1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	OAS1A	False					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	PLIN2	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	PPARD	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	PPARG	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	PROS1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	RXRA	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	SPP1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	STAT1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	TGFB1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	TREM2	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	TYRO3	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	TYROBP	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	VSIG4	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	gene	XBP1	True					
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	tam_receptor_ligand	True	5.0	5.0	AXL;GAS6;MERTK;PROS1;TYRO3		resolution
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	fpr2_anxa1_axis	True	2.0	2.0	ANXA1;FPR2		resolution
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	lxr_efflux	True	4.0	4.0	ABCA1;ABCG1;NR1H2;NR1H3		resolution
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	trem2_lipid_sensing	True	4.0	4.0	APOE;LPL;TREM2;TYROBP		resolution
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	scavenger_receptors	True	4.0	4.0	CD163;CD36;MARCO;MRC1		resolution
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	complement_efferocytosis	True	4.0	4.0	C1QA;C1QB;C1QC;VSIG4		resolution
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	repair_cytokine_matrix	True	4.0	4.0	F13A1;IL10;LYVE1;TGFB1		resolution
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	mhcII_ciita	True	9.0	14.0	CD74;CIITA;HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IFI30	H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1	lipid_apc
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	cathepsin_lysosome	True	7.0	7.0	CTSB;CTSD;CTSL;CTSS;LAMP1;LAMP2;LIPA		lipid_apc
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	foam_dam_lipid	True	6.0	6.0	APOE;GPNMB;LPL;PLIN2;SPP1;TYROBP		lipid_apc
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	ifn_core	True	14.0	15.0	CXCL10;GBP1;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1;STAT1	OAS1A	guardrail
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	stress_core	True	11.0	11.0	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1		guardrail
GSE100260_human_LIPA_KO_iPSC_macrophages	submodule	fibrosis_core	True	7.0	7.0	ACTA2;COL1A1;COL1A2;COL3A1;CTGF;FN1;TGFB1		guardrail
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	ABCA1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	ABCG1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	ACTA2	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	ANXA1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	APOE	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	ATF4	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	AXL	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	BAX	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	C1QA	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	C1QB	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	C1QC	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	CASP3	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	CD163	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	CD36	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	CD74	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	CIITA	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	COL1A1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	COL1A2	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	COL3A1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	CTGF	False					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	CTSB	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	CTSD	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	CTSL	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	CTSS	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	CXCL10	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	DDIT3	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	DNAJB1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	F13A1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	FN1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	FOS	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	FPR2	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	GAS6	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	GBP1	False					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	GPNMB	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	H2-AA	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	H2-AB1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	H2-DMA	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	H2-DMB1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	H2-EB1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	HLA-DMA	False					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	HLA-DMB	False					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	HLA-DPA1	False					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	HLA-DPB1	False					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	HLA-DRA	False					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	HLA-DRB1	False					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	HSP90AA1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	HSPA1A	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	HSPA1B	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	IFI30	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	IFI44	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	IFI44L	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	IFIT1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	IFIT2	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	IFIT3	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	IFITM3	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	IL10	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	IRF1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	IRF7	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	ISG15	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	JUN	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	LAMP1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	LAMP2	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	LIPA	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	LPL	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	LYVE1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	MARCO	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	MERTK	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	MRC1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	MX1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	NR1H2	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	NR1H3	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	OAS1	False					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	OAS1A	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	PLIN2	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	PPARD	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	PPARG	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	PROS1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	RXRA	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	SPP1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	STAT1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	TGFB1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	TREM2	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	TYRO3	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	TYROBP	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	VSIG4	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	gene	XBP1	True					
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	tam_receptor_ligand	True	5.0	5.0	AXL;GAS6;MERTK;PROS1;TYRO3		resolution
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	fpr2_anxa1_axis	True	2.0	2.0	ANXA1;FPR2		resolution
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	lxr_efflux	True	4.0	4.0	ABCA1;ABCG1;NR1H2;NR1H3		resolution
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	trem2_lipid_sensing	True	4.0	4.0	APOE;LPL;TREM2;TYROBP		resolution
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	scavenger_receptors	True	4.0	4.0	CD163;CD36;MARCO;MRC1		resolution
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	complement_efferocytosis	True	4.0	4.0	C1QA;C1QB;C1QC;VSIG4		resolution
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	repair_cytokine_matrix	True	4.0	4.0	F13A1;IL10;LYVE1;TGFB1		resolution
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	mhcII_ciita	True	8.0	14.0	CD74;CIITA;H2-AA;H2-AB1;H2-DMA;H2-DMB1;H2-EB1;IFI30	HLA-DMA;HLA-DMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1	lipid_apc
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	cathepsin_lysosome	True	7.0	7.0	CTSB;CTSD;CTSL;CTSS;LAMP1;LAMP2;LIPA		lipid_apc
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	foam_dam_lipid	True	6.0	6.0	APOE;GPNMB;LPL;PLIN2;SPP1;TYROBP		lipid_apc
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	ifn_core	True	13.0	15.0	CXCL10;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFITM3;IRF1;IRF7;ISG15;MX1;OAS1A;STAT1	GBP1;OAS1	guardrail
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	stress_core	True	11.0	11.0	ATF4;BAX;CASP3;DDIT3;DNAJB1;FOS;HSP90AA1;HSPA1A;HSPA1B;JUN;XBP1		guardrail
GSE243117_mouse_LipaOE_peritoneal_macrophages	submodule	fibrosis_core	True	6.0	7.0	ACTA2;COL1A1;COL1A2;COL3A1;FN1;TGFB1	CTGF	guardrail
GSE285961_mouse_LipaOE_plaque_macrophages	gene	ABCA1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	ABCG1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	ACTA2	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	ANXA1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	APOE	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	ATF4	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	AXL	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	BAX	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	C1QA	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	C1QB	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	C1QC	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	CASP3	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	CD163	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	CD36	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	CD74	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	CIITA	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	COL1A1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	COL1A2	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	COL3A1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	CTGF	False					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	CTSB	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	CTSD	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	CTSL	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	CTSS	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	CXCL10	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	DDIT3	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	DNAJB1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	F13A1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	FN1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	FOS	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	FPR2	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	GAS6	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	GBP1	False					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	GPNMB	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	H2-AA	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	H2-AB1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	H2-DMA	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	H2-DMB1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	H2-EB1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	HLA-DMA	False					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	HLA-DMB	False					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	HLA-DPA1	False					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	HLA-DPB1	False					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	HLA-DRA	False					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	HLA-DRB1	False					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	HSP90AA1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	HSPA1A	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	HSPA1B	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	IFI30	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	IFI44	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	IFI44L	False					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	IFIT1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	IFIT2	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	IFIT3	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	IFITM3	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	IL10	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	IRF1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	IRF7	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	ISG15	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	JUN	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	LAMP1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	LAMP2	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	LIPA	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	LPL	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	LYVE1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	MARCO	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	MERTK	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	MRC1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	MX1	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	NR1H2	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	NR1H3	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	OAS1	False					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	OAS1A	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	PLIN2	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	PPARD	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	PPARG	True					
GSE285961_mouse_LipaOE_plaque_macrophages	gene	PROS1	True					
