disease	disease_id	study_id	trait_from_source	study_type	has_sumstats	n_cases	n_controls	n_samples	pubmed_id	publication_first_author	publication_date	mapped_diseases	credible_set_count	disease_study_count_from_api	study_cap
Crohn	EFO_0000384	GCST003097	Pediatric autoimmune diseases	gwas	False	6035	10718	16753	26301688	Li YR	2015-08-24	Crohn's disease;ankylosing spondylitis;autoimmune disease;autoimmune thyroid disease;celiac disease;common variable immunodeficiency;juvenile idiopathic arthritis;psoriasis;systemic lupus erythematosus;type 1 diabetes mellitus;ulcerative colitis	23	87	60
Crohn	EFO_0000384	GCST003097_2	Pediatric autoimmune diseases	gwas	False	6035	10718	16753	26301688	Li YR	2015-08-24	Crohn's disease;ankylosing spondylitis;autoimmune disease;autoimmune thyroid disease;celiac disease;common variable immunodeficiency;juvenile idiopathic arthritis;psoriasis;systemic lupus erythematosus;type 1 diabetes mellitus;ulcerative colitis	23	87	60
Crohn	EFO_0000384	GCST003360	Crohn's disease	gwas	False	275	2369	2644	26891255	Jung ES	2016-02-18	Crohn's disease	2	87	60
Crohn	EFO_0000384	GCST003959	Crohn's disease	gwas	False	590	582	1172	28008999	Ostrowski J	2016-12-23	Crohn's disease	1	87	60
Crohn	EFO_0000384	GCST004132	Crohn's disease	gwas	True	12194	28072	40266	28067908	de Lange KM	2017-01-09	Crohn's disease	104	87	60
Crohn	EFO_0000384	GCST005319	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	gwas	False	129419	131573	133727	29315334	Broce I	2018-01-09	Crohn's disease;celiac disease;frontotemporal dementia;psoriasis;rheumatoid arthritis;ulcerative colitis	0	87	60
Crohn	EFO_0000384	GCST005320	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	gwas	False	128379	130512	131626	29315334	Broce I	2018-01-09	Crohn's disease;celiac disease;progressive supranuclear palsy;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0	87	60
Crohn	EFO_0000384	GCST005321	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	gwas	False	139842	150740	163317	29315334	Broce I	2018-01-09	Crohn's disease;amyotrophic lateral sclerosis;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0	87	60
Crohn	EFO_0000384	GCST005322	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	gwas	False	127417	130576	130728	29315334	Broce I	2018-01-09	Crohn's disease;celiac disease;corticobasal degeneration disorder;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0	87	60
Crohn	EFO_0000384	GCST005537	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	gwas	False	52262	34213	86475	26974007	Ellinghaus D	2016-03-14	Crohn's disease;ankylosing spondylitis;psoriasis;sclerosing cholangitis;ulcerative colitis	143	87	60
Crohn	EFO_0000384	GCST005563	Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)	gwas	False	37492	106357	143849	23603763	Liu JZ	2013-06-01	Crohn's disease;celiac disease;psoriasis;rheumatoid arthritis;sarcoidosis;sclerosing cholangitis;type 1 diabetes mellitus;ulcerative colitis	0	87	60
Crohn	EFO_0000384	GCST005837	Inflammatory bowel disease	gwas	False	35346	34257	69603	28658209	Huang H	2017-06-28	Crohn's disease;inflammatory bowel disease;ulcerative colitis	0	87	60
Crohn	EFO_0000384	GCST007216	Crohn's disease	gwas	False	713	2083	2796	30500874	Kakuta Y	2018-11-29	Crohn's disease	2	87	60
Crohn	EFO_0000384	GCST007497	Crohn's disease (time to progression)	gwas	False	0	0	662	30801121	O'Donnell S	2019-02-25	Crohn's disease;disease progression measurement	0	87	60
Crohn	EFO_0000384	GCST007498	Crohn's disease (time to first abdominal surgery)	gwas	False	0	0	1360	30801121	O'Donnell S	2019-02-25	Crohn's disease;disease progression measurement	0	87	60
Crohn	EFO_0000384	GCST007499	Crohn's disease (indolent vs progressive)	gwas	False	0	0	1263	30801121	O'Donnell S	2019-02-25	Crohn's disease;disease progression measurement	0	87	60
Crohn	EFO_0000384	GCST008485	Crohn's disease	gwas	False	722	461	1183	25489960	Yang SK	2015-01-01	Crohn's disease	2	87	60
Crohn	EFO_0000384	GCST008730	Crohn's disease	gwas	False	1088	1797	2885	26278503	Huang C	2015-11-01	Crohn's disease	0	87	60
Crohn	EFO_0000384	GCST010124	Crohn's disease or systemic sclerosis	gwas	False	4269	7388	11657	32024964	Gonzalez-Serna D	2020-02-05	Crohn's disease;systemic scleroderma	3	87	60
Crohn	EFO_0000384	GCST010577	Crohn's disease	gwas	False	713	2063	2776	32581322	Kakuta Y	2020-06-24	Crohn's disease	1	87	60
Crohn	EFO_0000384	GCST90020071	Crohn's disease	gwas	True	284	935	1219	35232999	Garcia-Etxebarria K	2022-03-01	Crohn's disease	0	87	60
Crohn	EFO_0000384	GCST90044153	Regional enteritis (PheCode 555.1)	gwas	True	1342	455006	456348	34737426	Jiang L	2021-11-04	Crohn's disease	4	87	60
Crohn	EFO_0000384	GCST90081855	Crohns disease (Gene-based burden)	gwas	False	1324	330430	331754	34662886	Backman JD	2021-10-18	Crohn's disease	0	87	60
Crohn	EFO_0000384	GCST90081856	ICD10 K50: crohns disease (Gene-based burden)	gwas	False	1250	327802	329052	34662886	Backman JD	2021-10-18	Crohn's disease	0	87	60
Crohn	EFO_0000384	GCST90084216	ICD10 K50.1: Crohn's disease of large intestine (Gene-based burden)	gwas	False	591	387339	387930	34662886	Backman JD	2021-10-18	Crohn's disease	0	87	60
Crohn	EFO_0000384	GCST90084217	ICD10 K50.9: Crohn's disease, unspecified (Gene-based burden)	gwas	False	1697	386228	387925	34662886	Backman JD	2021-10-18	Crohn's disease	0	87	60
UC	EFO_0000729	FINNGEN_R12_K11_UC_STRICT2	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	gwas	True	7220	492160	499380	36653562			ulcerative colitis	55	84	60
UC	EFO_0000729	FINNGEN_R12_K11_UC_STRICT_PSC	Ulcerative colitis (strict) with PSC	gwas	True	290	483193	483483	36653562			ulcerative colitis	0	84	60
UC	EFO_0000729	FINNGEN_R12_ULCERNAS	Ulcerative colitis, NAS	gwas	True	6080	476577	482657	36653562			ulcerative colitis	33	84	60
UC	EFO_0000729	FINNGEN_R12_ULCEROTH	Other ulcerative colitis	gwas	True	2281	476577	478858	36653562			ulcerative colitis	11	84	60
UC	EFO_0000729	FINNGEN_R12_ULCER_ARTHR	Arthropathy in ulcerative colitis	gwas	True	447	495332	495779	36653562			joint disease;ulcerative colitis	1	84	60
UC	EFO_0000729	GCST000243	Ulcerative colitis	gwas	False	1167	777	1944	18836448	Franke A	2008-10-05	ulcerative colitis	1	84	60
UC	EFO_0000729	GCST000311	Ulcerative colitis	gwas	False	1022	2503	3525	19122664	Silverberg MS	2009-01-04	ulcerative colitis	3	84	60
UC	EFO_0000729	GCST000527	Ulcerative colitis	gwas	False	2361	5417	7778	19915572	Barrett JC	2009-11-15	ulcerative colitis	4	84	60
UC	EFO_0000729	GCST000529	Ulcerative colitis	gwas	False	376	934	1310	19915573	Asano K	2009-11-15	ulcerative colitis	1	84	60
UC	EFO_0000729	GCST000623	Ulcerative colitis	gwas	False	1043	1703	2746	20228798	Franke A	2010-03-14	ulcerative colitis	3	84	60
UC	EFO_0000729	GCST000624	Ulcerative colitis	gwas	False	2693	6791	9484	20228799	McGovern DP	2010-03-14	ulcerative colitis	10	84	60
UC	EFO_0000729	GCST000853	Ulcerative colitis	gwas	False	861	2601	3462	20848476	Haritunians T	2010-11-01	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST000964	Ulcerative colitis	gwas	False	6687	19718	26405	21297633	Anderson CA	2011-02-06	ulcerative colitis	40	84	60
UC	EFO_0000729	GCST001118	Ulcerative colitis or Crohn's disease	gwas	False	744	0	744	21699788	Okada Y	2011-06-20	Crohn's disease;ulcerative colitis	1	84	60
UC	EFO_0000729	GCST001728	Ulcerative colitis	gwas	False	12924	21442	34366	23128233	Jostins L	2012-11-01	ulcerative colitis	16	84	60
UC	EFO_0000729	GCST001934	Ulcerative colitis	gwas	False	388	739	1127	23511034	Yang SK	2013-04-01	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST001938	Ulcerative colitis	gwas	False	388	739	1127	23511034	Yang SK	2013-04-01	ulcerative colitis	2	84	60
UC	EFO_0000729	GCST002453	Ulcerative colitis	gwas	False	603	622	1225	24837172	Juyal G	2014-05-16	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST002548	Ulcerative colitis	gwas	False	7483	21211	28694	25082827	Julia A	2014-07-31	ulcerative colitis	1	84	60
UC	EFO_0000729	GCST003097	Pediatric autoimmune diseases	gwas	False	6035	10718	16753	26301688	Li YR	2015-08-24	Crohn's disease;ankylosing spondylitis;autoimmune disease;autoimmune thyroid disease;celiac disease;common variable immunodeficiency;juvenile idiopathic arthritis;psoriasis;systemic lupus erythematosus;type 1 diabetes mellitus;ulcerative colitis	23	84	60
UC	EFO_0000729	GCST003097_2	Pediatric autoimmune diseases	gwas	False	6035	10718	16753	26301688	Li YR	2015-08-24	Crohn's disease;ankylosing spondylitis;autoimmune disease;autoimmune thyroid disease;celiac disease;common variable immunodeficiency;juvenile idiopathic arthritis;psoriasis;systemic lupus erythematosus;type 1 diabetes mellitus;ulcerative colitis	23	84	60
UC	EFO_0000729	GCST003960	Ulcerative colitis	gwas	False	528	582	1110	28008999	Ostrowski J	2016-12-23	ulcerative colitis	1	84	60
UC	EFO_0000729	GCST004133	Ulcerative colitis	gwas	True	12366	33609	45975	28067908	de Lange KM	2017-01-09	ulcerative colitis	64	84	60
UC	EFO_0000729	GCST005319	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	gwas	False	129419	131573	133727	29315334	Broce I	2018-01-09	Crohn's disease;celiac disease;frontotemporal dementia;psoriasis;rheumatoid arthritis;ulcerative colitis	0	84	60
UC	EFO_0000729	GCST005320	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	gwas	False	128379	130512	131626	29315334	Broce I	2018-01-09	Crohn's disease;celiac disease;progressive supranuclear palsy;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0	84	60
UC	EFO_0000729	GCST005321	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	gwas	False	139842	150740	163317	29315334	Broce I	2018-01-09	Crohn's disease;amyotrophic lateral sclerosis;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0	84	60
UC	EFO_0000729	GCST005322	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	gwas	False	127417	130576	130728	29315334	Broce I	2018-01-09	Crohn's disease;celiac disease;corticobasal degeneration disorder;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0	84	60
UC	EFO_0000729	GCST005537	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	gwas	False	52262	34213	86475	26974007	Ellinghaus D	2016-03-14	Crohn's disease;ankylosing spondylitis;psoriasis;sclerosing cholangitis;ulcerative colitis	143	84	60
UC	EFO_0000729	GCST005563	Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)	gwas	False	37492	106357	143849	23603763	Liu JZ	2013-06-01	Crohn's disease;celiac disease;psoriasis;rheumatoid arthritis;sarcoidosis;sclerosing cholangitis;type 1 diabetes mellitus;ulcerative colitis	0	84	60
UC	EFO_0000729	GCST005815	Childhood onset ulcerative colitis	gwas	False	466	2099	2565	29562276	Venkateswaran S	2018-03-01	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST005837	Inflammatory bowel disease	gwas	False	35346	34257	69603	28658209	Huang H	2017-06-28	Crohn's disease;inflammatory bowel disease;ulcerative colitis	0	84	60
UC	EFO_0000729	GCST006583	Ulcerative colitis	gwas	False	601	0	601	26177304	Waterman M	2015-09-01	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST008483	Ulcerative colitis	gwas	False	705	1178	1883	26398853	Ye BD	2016-01-01	ulcerative colitis	2	84	60
UC	EFO_0000729	GCST008658	Ulcerative colitis	gwas	False	7760	16065	23825	28067910	Luo Y	2017-01-09	ulcerative colitis	1	84	60
UC	EFO_0000729	GCST008732	Ulcerative colitis	gwas	False	361	1797	2158	26278503	Huang C	2015-11-01	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST008910	Multiple traits (pleiotropy)	gwas	False	29898	28387	62103	30920090	Trochet H	2019-03-28	Barrett's esophagus;Parkinson disease;ankylosing spondylitis;bacteriemia;cardioembolic stroke;glaucoma;large artery stroke;mathematical ability;multiple sclerosis;pneumococcal bacteremia;psoriasis;psychosis;reading;response to metformin;schizophrenia;small vessel stroke;ulcerative colitis;visceral Leishmaniasis	0	84	60
UC	EFO_0000729	GCST010001	Ulcerative colitis	gwas	False	601	1962	2563	32072174	Okamoto D	2020-02-19	ulcerative colitis	1	84	60
UC	EFO_0000729	GCST90018713	Ulcerative colitis	gwas	True	314	178375	178689	34594039	Sakaue S	2021-09-30	ulcerative colitis	1	84	60
UC	EFO_0000729	GCST90018933	Ulcerative colitis	gwas	True	5685	590936	596621	34594039	Sakaue S	2021-09-30	ulcerative colitis	16	84	60
UC	EFO_0000729	GCST90020072	Ulcerative colitis	gwas	True	208	935	1143	35232999	Garcia-Etxebarria K	2022-03-01	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90038684	Ulcerative colitis	gwas	True	2515	482083	484598	33959723	Donertas HM	2021-04-08	ulcerative colitis	11	84	60
UC	EFO_0000729	GCST90044154	Ulcerative colitis (chronic) (PheCode 555.21)	gwas	True	507	455841	456348	34737426	Jiang L	2021-11-04	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90044155	Ulcerative colitis (PheCode 555.2)	gwas	True	2569	453779	456348	34737426	Jiang L	2021-11-04	ulcerative colitis	6	84	60
UC	EFO_0000729	GCST90081857	Ulcerative colitis (Gene-based burden)	gwas	False	2363	329391	331754	34662886	Backman JD	2021-10-18	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90081858	ICD10 K51: Ulcerative colitis (Gene-based burden)	gwas	False	2210	326842	329052	34662886	Backman JD	2021-10-18	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90084219	ICD10 K51.9: Ulcerative colitis, unspecified (Gene-based burden)	gwas	False	3242	384687	387929	34662886	Backman JD	2021-10-18	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90084220	ICD10 K51: Ulcerative colitis (Gene-based burden)	gwas	False	3928	383552	387480	34662886	Backman JD	2021-10-18	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90085476	Ulcerative colitis (Gene-based burden)	gwas	False	3928	321797	325725	34662886	Backman JD	2021-10-18	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90093117	Ulcerative colitis	gwas	False	407	1644	2051	33600772	Somineni HK	2021-02-17	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90129459	Ulcerative colitis	gwas	True	4211	199773	203984	37219871	Zorina-Lichtenwalter K	2023-05-23	ulcerative colitis	15	84	60
UC	EFO_0000729	GCST90137950	Ulcerative colitis x smoking status (never vs ever smoking) interaction	gwas	False	8879	4887	13766	28506689	Yadav P	2017-05-12	smoking status measurement;ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90137953	Ulcerative colitis x smoking status (never vs current smoking) interaction	gwas	False	8879	4887	13766	28506689	Yadav P	2017-05-12	smoking status measurement;ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90137956	Ulcerative colitis x smoking status (never vs former smoking) interaction	gwas	False	8879	4887	13766	28506689	Yadav P	2017-05-12	smoking status measurement;ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90179177	Crohn's disease vs ulcerative colitis	gwas	False	4534	0	4534	36164742	Jung S	2022-09-26	Crohn's disease;ulcerative colitis	2	84	60
UC	EFO_0000729	GCST90301321	Ulcerative colitis	gwas	False	7527	16780	24307	37262302	Khrom M	2023-06-01	ulcerative colitis	1	84	60
UC	EFO_0000729	GCST90301322	Ulcerative colitis	gwas	False	7196	22345	29541	37262302	Khrom M	2023-06-01	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90301323	Ulcerative colitis	gwas	False	14723	39125	53848	37262302	Khrom M	2023-06-01	ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90301324	Ulcerative colitis x sex interaction (2df)	gwas	False	14723	39125	53848	37262302	Khrom M	2023-06-01	sex interaction measurement;ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90428831	B-cell lymphoblastic leukemia or ulcerative colitis (pleiotropy)	gwas	False	17687	50275	67962	38616254	Yu X	2024-04-15	B-cell acute lymphoblastic leukemia;ulcerative colitis	0	84	60
UC	EFO_0000729	GCST90436337	Ulcerative colitis (PheCode 555.2)	gwas	True	3195	334783	337978	30104761	Zhou W	2018-08-13	ulcerative colitis	11	84	60
Psoriasis	EFO_0000676	FINNGEN_R12_L12_PSORIASIS	Psoriasis	gwas	True	12760	482181	494941	36653562			psoriasis	59	81	60
Psoriasis	EFO_0000676	FINNGEN_R12_L12_PSORI_NAS	Other and unspecified psoriasis	gwas	True	2452	482181	484633	36653562			psoriasis	9	81	60
Psoriasis	EFO_0000676	GCST000165	Psoriasis	gwas	False	318	288	606	18364390	Capon F	2008-03-25	psoriasis	1	81	60
Psoriasis	EFO_0000676	GCST000173	Psoriasis	gwas	False	218	519	737	18369459	Liu Y	2008-04-04	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST000321	Psoriasis	gwas	False	1139	1132	2271	19169255	Zhang XJ	2009-01-25	psoriasis	2	81	60
Psoriasis	EFO_0000676	GCST000322	Psoriasis	gwas	False	1359	1400	2759	19169254	Nair RP	2009-01-25	psoriasis	5	81	60
Psoriasis	EFO_0000676	GCST000833	Psoriasis	gwas	False	2178	5175	7353	20953190	Strange A	2010-10-17	psoriasis	8	81	60
Psoriasis	EFO_0000676	GCST000834	Psoriasis	gwas	False	1831	2546	4377	20953189	Stuart PE	2010-10-17	psoriasis	2	81	60
Psoriasis	EFO_0000676	GCST000836	Psoriasis	gwas	False	472	1146	1618	20953188	Ellinghaus E	2010-10-17	psoriasis	2	81	60
Psoriasis	EFO_0000676	GCST001473	Crohn's disease and psoriasis	gwas	False	4671	10460	15131	22482804	Ellinghaus D	2012-04-06	Crohn's disease;psoriasis	2	81	60
Psoriasis	EFO_0000676	GCST002738	Psoriasis	gwas	False	4212	8032	12244	25574825	Baurecht H	2015-01-08	psoriasis	9	81	60
Psoriasis	EFO_0000676	GCST002740_2	Inflammatory skin disease	gwas	False	6291	11899	18190	25574825	Baurecht H	2015-01-08	atopic eczema;psoriasis	9	81	60
Psoriasis	EFO_0000676	GCST002740_3	Inflammatory skin disease	gwas	False	6291	11899	18190	25574825	Baurecht H	2015-01-08	psoriasis	21	81	60
Psoriasis	EFO_0000676	GCST002874	Psoriasis	gwas	False	5084	8732	13816	25903422	Yin X	2015-04-23	psoriasis	14	81	60
Psoriasis	EFO_0000676	GCST002889	Psoriasis	gwas	False	3994	7699	11693	25939698	Tsoi LC	2015-05-05	psoriasis	5	81	60
Psoriasis	EFO_0000676	GCST003097	Pediatric autoimmune diseases	gwas	False	6035	10718	16753	26301688	Li YR	2015-08-24	Crohn's disease;ankylosing spondylitis;autoimmune disease;autoimmune thyroid disease;celiac disease;common variable immunodeficiency;juvenile idiopathic arthritis;psoriasis;systemic lupus erythematosus;type 1 diabetes mellitus;ulcerative colitis	23	81	60
Psoriasis	EFO_0000676	GCST003097_2	Pediatric autoimmune diseases	gwas	False	6035	10718	16753	26301688	Li YR	2015-08-24	Crohn's disease;ankylosing spondylitis;autoimmune disease;autoimmune thyroid disease;celiac disease;common variable immunodeficiency;juvenile idiopathic arthritis;psoriasis;systemic lupus erythematosus;type 1 diabetes mellitus;ulcerative colitis	23	81	60
Psoriasis	EFO_0000676	GCST003269	Cutaneous psoriasis	gwas	False	1363	4934	6297	26626624	Stuart PE	2015-11-28	cutaneous psoriasis measurement;psoriasis	3	81	60
Psoriasis	EFO_0000676	GCST003271	Psoriatic arthritis vs Cutaneous psoriasis	gwas	False	3309	0	3309	26626624	Stuart PE	2015-11-28	cutaneous psoriasis measurement;psoriasis;psoriatic arthritis	0	81	60
Psoriasis	EFO_0000676	GCST004346	Psoriasis	gwas	False	11988	275335	287323	28537254	Tsoi LC	2017-05-24	psoriasis	10	81	60
Psoriasis	EFO_0000676	GCST005319	Frontotemporal dementia and immune-mediated diseases (pleiotropy)	gwas	False	129419	131573	133727	29315334	Broce I	2018-01-09	Crohn's disease;celiac disease;frontotemporal dementia;psoriasis;rheumatoid arthritis;ulcerative colitis	0	81	60
Psoriasis	EFO_0000676	GCST005320	Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)	gwas	False	128379	130512	131626	29315334	Broce I	2018-01-09	Crohn's disease;celiac disease;progressive supranuclear palsy;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0	81	60
Psoriasis	EFO_0000676	GCST005321	Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)	gwas	False	139842	150740	163317	29315334	Broce I	2018-01-09	Crohn's disease;amyotrophic lateral sclerosis;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0	81	60
Psoriasis	EFO_0000676	GCST005322	Corticobasal degeneration and immune-mediated diseases (pleiotropy)	gwas	False	127417	130576	130728	29315334	Broce I	2018-01-09	Crohn's disease;celiac disease;corticobasal degeneration disorder;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	0	81	60
Psoriasis	EFO_0000676	GCST005527	Psoriasis	gwas	True	10588	22806	33394	23143594	Tsoi LC	2012-12-01	psoriasis	62	81	60
Psoriasis	EFO_0000676	GCST005537	Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	gwas	False	52262	34213	86475	26974007	Ellinghaus D	2016-03-14	Crohn's disease;ankylosing spondylitis;psoriasis;sclerosing cholangitis;ulcerative colitis	143	81	60
Psoriasis	EFO_0000676	GCST005563	Primary sclerosing cholangitis associated immune-mediated diseases (Crohn's disease, celiac disease, psoriasis, rheumatoid arthritis, sarcoidosis, type 1 diabetes or ulcerative colitis) (pleiotropy)	gwas	False	37492	106357	143849	23603763	Liu JZ	2013-06-01	Crohn's disease;celiac disease;psoriasis;rheumatoid arthritis;sarcoidosis;sclerosing cholangitis;type 1 diabetes mellitus;ulcerative colitis	0	81	60
Psoriasis	EFO_0000676	GCST007023	Psoriasis	gwas	False	2280	2002	4282	30315195	Lee KY	2018-10-12	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST008096	Psoriasis	gwas	False	215	416	631	30921485	Bejaoui Y	2019-03-28	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST008479	Psoriasis	gwas	False	11245	11177	22422	25854761	Zuo X	2015-04-09	psoriasis	17	81	60
Psoriasis	EFO_0000676	GCST008910	Multiple traits (pleiotropy)	gwas	False	29898	28387	62103	30920090	Trochet H	2019-03-28	Barrett's esophagus;Parkinson disease;ankylosing spondylitis;bacteriemia;cardioembolic stroke;glaucoma;large artery stroke;mathematical ability;multiple sclerosis;pneumococcal bacteremia;psoriasis;psychosis;reading;response to metformin;schizophrenia;small vessel stroke;ulcerative colitis;visceral Leishmaniasis	0	81	60
Psoriasis	EFO_0000676	GCST011109	Psoriasis	gwas	False	10668	10679	21347	31376382	Yang C	2019-07-31	psoriasis	5	81	60
Psoriasis	EFO_0000676	GCST011477	COVID-19 or psoriasis (trans-disease meta-analysis)	gwas	False	12702	690971	703673	33485957	Patrick MT	2021-01-21	COVID-19;psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST011990	Psoriasis or type 2 diabetes (trans-disease meta-analysis)(opposite effect)	gwas	False	85148	840342	925490	33385400	Patrick MT	2020-12-29	psoriasis;type 2 diabetes mellitus	25	81	60
Psoriasis	EFO_0000676	GCST011991	Psoriasis or type 2 diabetes (trans-disease meta-analysis)	gwas	False	85148	840342	925490	33385400	Patrick MT	2020-12-29	psoriasis;type 2 diabetes mellitus	37	81	60
Psoriasis	EFO_0000676	GCST90013935	Psoriasis (SPA correction)	gwas	True	0	0	407746	34017140	Mbatchou J	2021-05-20	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST90014456	Psoriasis	gwas	True	5459	324074	329533	34278373	Glanville KP	2021-06-01	psoriasis	24	81	60
Psoriasis	EFO_0000676	GCST90014457	Psoriasis	gwas	True	2759	324074	326833	34278373	Glanville KP	2021-06-01	psoriasis	15	81	60
Psoriasis	EFO_0000676	GCST90019015	Psoriasis	gwas	True	2590	1720	4310	34927100	Stuart PE	2021-11-06	psoriasis	1	81	60
Psoriasis	EFO_0000676	GCST90019016	Psoriasis	gwas	True	15967	28194	44161	34927100	Stuart PE	2021-11-06	psoriasis	54	81	60
Psoriasis	EFO_0000676	GCST90019017	Psoriasis	gwas	True	18557	29914	48471	34927100	Stuart PE	2021-11-06	psoriasis	66	81	60
Psoriasis	EFO_0000676	GCST90044517	Psoriasis (PheCode 696.4)	gwas	True	250	456098	456348	34737426	Jiang L	2021-11-04	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST90081841	Psoriasis (Gene-based burden)	gwas	False	5389	326365	331754	34662886	Backman JD	2021-10-18	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST90081842	ICD10 L40: Psoriasis (Gene-based burden)	gwas	False	4381	324671	329052	34662886	Backman JD	2021-10-18	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST90084333	ICD10 L40.5: Arthropathic psoriasis (Gene-based burden)	gwas	False	1104	386481	387585	34662886	Backman JD	2021-10-18	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST90084334	ICD10 L40.9: Psoriasis, unspecified (Gene-based burden)	gwas	False	2364	384617	386981	34662886	Backman JD	2021-10-18	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST90084335	ICD10 L40: Psoriasis (Gene-based burden)	gwas	False	5629	377623	383252	34662886	Backman JD	2021-10-18	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST90103418	Source of report of L40 (psoriasis) (UKB data field 131743)	gwas	False	5210	165547	170757	36779085	Fitzgerald T	2022-08-10	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST90244705	Psoriasis or coronary artery disease	gwas	False	71825	139840	211665	36323703	Patrick MT	2022-11-02	coronary artery disease;psoriasis	3	81	60
Psoriasis	EFO_0000676	GCST90297586	ICD10 L40: psoriasis (CNV mirror model)	gwas	False	3564	300263	303827	38185688	Auwerx C	2024-01-08	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST90297640	ICD10 L40: psoriasis (CNV U-shape model)	gwas	False	3564	300263	303827	38185688	Auwerx C	2024-01-08	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST90297691	ICD10 L40: psoriasis (CNV duplication-only model)	gwas	False	3564	300263	303827	38185688	Auwerx C	2024-01-08	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST90435157	Extraintestinal manifestations in inflammatory bowel disease (Psoriasis)	gwas	False	144	11939	12083	38490347	Khrom M	2024-02-27	psoriasis	0	81	60
Psoriasis	EFO_0000676	GCST90435379	Psoriasis	gwas	False	9863	716791	925649	38763176	Heikkila A	2024-05-17	psoriasis	5	81	60
