accession	sample_id	description	donor_id	group	disease_state	marker_compartment	compartment_source	gene	n_cells	mean_log_norm	detection_fraction
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	NLRP3	1219	0.4726653068744325	0.49056603773584906
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	IFNG	589	0.03304289739281698	0.03395585738539898
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	IFNGR1	589	0.28473156427487045	0.266553480475382
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	IFNGR2	589	0.018956270302900435	0.022071307300509338
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	STAT1	589	0.6850461647142174	0.5280135823429541
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	IRF1	589	1.3963865184419628	0.8234295415959253
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	CXCL10	589	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	CD74	589	1.295373523680585	0.7741935483870968
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	HLA-DRA	589	0.3594814257629861	0.2614601018675722
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	HLA-DRB1	589	0.4726525065955565	0.3242784380305603
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	HLA-DPA1	589	0.648293803725866	0.5042444821731749
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	HLA-DPB1	589	0.7631099218524777	0.5551782682512734
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	CIITA	589	0.025114265382795868	0.028862478777589132
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	RFX5	589	0.08174362024750896	0.0831918505942275
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	IFI30	589	0.08005069016600708	0.08488964346349745
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	CTSS	589	0.8431407557278618	0.6434634974533107
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	CTSB	589	0.12232772401314235	0.1273344651952462
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	CTSD	589	0.8873795687848725	0.6570458404074703
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	LAMP1	589	0.4933027882122629	0.4312393887945671
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	LAMP2	589	0.28126546350926007	0.27504244482173174
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	LIPA	589	0.1861188769947693	0.18166383701188454
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	ACSL1	589	0.017959569680468135	0.02037351443123939
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	APOE	589	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	GPNMB	589	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	LPL	589	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	PLIN2	589	0.11498326457821857	0.12054329371816638
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	CD36	589	0.02912043786413196	0.01697792869269949
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	FABP5	589	0.09874626295878243	0.0933786078098472
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	TREM2	589	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	MSR1	589	0.0013271110774300903	0.001697792869269949
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	MERTK	589	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	SLC15A4	589	0.3475345601351435	0.31239388794567063
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	TASL	589	0.013419438602564088	0.015280135823429542
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	CXorf21	589	0.013419438602564088	0.015280135823429542
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	IRF5	589	0.028810003870411924	0.03225806451612903
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	GPR65	589	0.6879455386985137	0.5517826825127334
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	TNFAIP3	589	0.6984250463532673	0.533106960950764
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	PTPN2	589	0.7846510816106165	0.599320882852292
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	CLEC16A	589	0.05035139764508893	0.05432937181663837
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	SH2B3	589	0.09727664805430103	0.0933786078098472
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	IL10	589	0.0018765533719281389	0.001697792869269949
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	OSMR	589	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	IL6R	589	0.006895493368139089	0.010186757215619695
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	ATG16L1	589	0.09234215225550031	0.0933786078098472
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	CARD9	589	0.005896909431204933	0.006791171477079796
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	AXL	589	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	CFB	589	0.0	0.0
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	CFH	589	0.004584230469928735	0.0050933786078098476
