gene	wave71_call	wave71_reason	meta_score	raw_channel_points	positive_channel_points	hard_no_channel_penalty	hard_block_penalty	soft_prior_penalty	text_prior_penalty	evidence_channel_count	positive_status_count	parked_status_count	hard_no_status_count	genetics_channel_count	perturbation_channel_count	modality_channel_count	expression_channel_count	reopener_channel_count	evidence_channels	hard_block_reason	soft_penalty_reason	top_calls	evidence_summary	blockers	source_waves
DRD1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.542089	0.957911	0.957911	0.0	0.0	0.0	1.5	1	0	1	0	0	1	1	0	0	perturbation_guardrail			PARK_L1000_ONLY_NEEDS_REAL_PERTURBATION; l1000_reversal_support_only; L1000FWD	LINCS/L1000FWD; cell-line transcriptomic reversal	non-obvious target requires prior-art and safety review	wave61
GFI1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.551245	1.61821	1.648755	0.7	0.0	0.0	1.5	1	0	2	1	1	1	0	1	0	unrestricted_gene_screen			DESCRIPTIVE_GENE_SIGNAL; PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE; NO_GO_WAVE63_TRANSITION_CONTROLLER; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	Mono_macro; 1.0; 0.0; DC; wave62_parked_target_resolution; 2.0	cross_disease_target_resolved; broad_genetic_support; module_or_state_support; strict_residual_or_ms_expression; real_perturbation_support; foundation_model_support; repair_or_efferocytosis_guardrail; druggable_or_modality	wave63;wave68
MAP2K1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.560918	0.939082	0.939082	0.0	0.0	0.0	1.5	1	0	1	0	0	1	1	0	0	perturbation_guardrail			PARK_L1000_ONLY_NEEDS_REAL_PERTURBATION; l1000_reversal_support_only; L1000FWD	LINCS/L1000FWD; cell-line transcriptomic reversal	non-obvious target requires prior-art and safety review	wave61
WEE1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.563608	0.936392	0.936392	0.0	0.0	0.0	1.5	1	0	1	0	0	1	1	0	0	perturbation_guardrail			PARK_L1000_ONLY_NEEDS_REAL_PERTURBATION; l1000_reversal_support_only; L1000FWD	LINCS/L1000FWD; cell-line transcriptomic reversal	non-obvious target requires prior-art and safety review	wave61
LRRK2	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.58307	1.901658	1.61693	0.7	0.0	0.0	1.5	1	0	1	1	0	1	1	0	0	perturbation_guardrail			PARK_L1000_ONLY_NEEDS_REAL_PERTURBATION; l1000_reversal_support_only; L1000FWD; NO_GO_WAVE63_TRANSITION_CONTROLLER; NO_GO_L1000_ONLY_CONTROLLER; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	LINCS/L1000FWD; cell-line transcriptomic reversal; prior_transition_controller_audit; 0.0; 4.0; 2.0; 3.0	non-obvious target requires prior-art and safety review; ms_target_resolved; cross_disease_target_resolved; broad_genetic_support; module_or_state_support; strict_residual_or_ms_expression; real_perturbation_support; foundation_model_support; repair_or_efferocytosis_guardrail; no_manual_or_prior_blocker; ...(+1)	wave61;wave63
FAAH	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.604589	1.843048	1.595411	0.7	0.0	0.0	1.5	1	0	1	1	0	1	1	0	0	perturbation_guardrail			PARK_L1000_ONLY_NEEDS_REAL_PERTURBATION; l1000_reversal_support_only; L1000FWD; NO_GO_WAVE63_TRANSITION_CONTROLLER; NO_GO_L1000_ONLY_CONTROLLER; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	LINCS/L1000FWD; cell-line transcriptomic reversal; prior_transition_controller_audit; 0.0; 2.0	non-obvious target requires prior-art and safety review; ms_target_resolved; cross_disease_target_resolved; broad_genetic_support; module_or_state_support; strict_residual_or_ms_expression; real_perturbation_support; foundation_model_support; repair_or_efferocytosis_guardrail; no_manual_or_prior_blocker; ...(+1)	wave61;wave63
MKNK1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.615348	1.887925	1.584652	0.7	0.0	0.0	1.5	1	0	1	1	0	1	1	0	0	perturbation_guardrail			PARK_L1000_ONLY_NEEDS_REAL_PERTURBATION; l1000_reversal_support_only; L1000FWD; NO_GO_WAVE63_TRANSITION_CONTROLLER; NO_GO_L1000_ONLY_CONTROLLER	LINCS/L1000FWD; cell-line transcriptomic reversal; prior_transition_controller_audit; 0.0; 1.0; 2.0	non-obvious target requires prior-art and safety review; ms_target_resolved; cross_disease_target_resolved; broad_genetic_support; module_or_state_support; strict_residual_or_ms_expression; real_perturbation_support; foundation_model_support; repair_or_efferocytosis_guardrail; no_manual_or_prior_blocker; ...(+2)	wave61;wave63
MYC	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.6434	0.8566	0.8566	0.0	0.0	0.0	1.5	1	0	0	0	1	0	1	0	0	external_genetics			null_or_wrong_direction	MYC proto-oncogene, bHLH transcription factor; MS; RA; 0.5656569040590824; 0.0; 0.3998884762146096; 2; 0		wave55
SOX4	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.6434	0.8566	0.8566	0.0	0.0	0.0	1.5	1	0	0	0	1	0	1	0	0	external_genetics			null_or_wrong_direction	SRY-box transcription factor 4; Crohn; Psoriasis; 0.0; 0.5327406310857624; 0		wave55
4732456N10RIK	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.347935	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.9971256078463696	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
ABTB2	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.433696	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 2.0; type 1 diabetes mellitus; ulcerative colitis; -0.1477415366285122; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
AHCTF1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.39212	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.3408473138799657; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
ANKRD27	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.469728	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	activate_or_restore; 1.0; type 1 diabetes mellitus; 0.4074034805651205; 0.920009505703422; 0.0	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
ANKUB1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.336848	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; -1.2693646866680273; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
ATF4	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.181467	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	unresolved; 0.0; 1.0; type 1 diabetes mellitus; -0.0608326876707234	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
BACH2_TOLERANCE_RESTORATION	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.336545	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_WAVE63_TRANSITION_CONTROLLER; NO_GO_WAVE62_TARGET_RESOLUTION; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	Strong broad genetics benchmark; restoration route has no selective modality.; 3.0; 2.0; 10.0; 1.0; 0.0	ms_target_resolved; cross_disease_target_resolved; module_or_state_support; strict_residual_or_ms_expression; real_perturbation_support; foundation_model_support; repair_or_efferocytosis_guardrail; druggable_or_modality; no_manual_or_prior_blocker; tolerance_TF_restoration_not_druggable	wave63
BAX	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.386739	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; -0.1513325438709145; 1.0	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
BC048403	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.331304	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
BPIFB2	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.342391	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
CASP3	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.181467	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; -0.0002103109430624; 0.920009505703422	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
CCDC121	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.494674	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 2.0; psoriasis; type 1 diabetes mellitus; 0.4429917115479078; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
CD163	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.392283	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; -1.581019471827977; 1.0	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
CD300C	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.07875	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				REOPEN_ONLY_IF_RECEPTOR_SPECIFIC_PERTURBATION_NOT_V3_PROMOTION; NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE; Plausible whitespace only if receptor-specific direction is proven	CD300_RECEPTOR_SPECIFIC_TUNING; receptor-specific CD300 lipid/apoptotic-cell checkpoint tuning; CD300E direct positives=3.0 (Crohn disease; psoriasis; ulcerative colitis); CD300E Geneformer strong contexts=1.0; CD300A Wave37 median efficient-minus-noneater=1.3382347566762522, contrast_fdr=0.920009505703422; CD300LF Wave37 call=UNRESOLVED; strict MS positive anchors absent.; paired CD300A/CD300F/CD300E perturbation in human RA/IBD/MS myeloid cells with apoptotic-cell/myelin-debris uptake and cytokine readouts	family-level CD300 direction remains biologically unsafe: CD300A/F/LF/E have different inhibitory/activating roles, local MS anchoring is absent or negative, and the only strong-looking CRISPR contrast is not significant after FDR.; local_breadth_at_least_5_or_strong_state_specific_4; state_coupling_not_density_only; genetic_or_real_perturbation_anchor; correct_direction_modality; has_independent_validation_channel; NOT_BLOCKED_BUT_DIRECTION_AMBIGUOUS	wave48
CD300LG	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.07875	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				REOPEN_ONLY_IF_RECEPTOR_SPECIFIC_PERTURBATION_NOT_V3_PROMOTION; NO_GO_RESOLUTION_MARKER_OR_UNVALIDATED_ROUTE; Plausible whitespace only if receptor-specific direction is proven	CD300_RECEPTOR_SPECIFIC_TUNING; receptor-specific CD300 lipid/apoptotic-cell checkpoint tuning; CD300E direct positives=3.0 (Crohn disease; psoriasis; ulcerative colitis); CD300E Geneformer strong contexts=1.0; CD300A Wave37 median efficient-minus-noneater=1.3382347566762522, contrast_fdr=0.920009505703422; CD300LF Wave37 call=UNRESOLVED; strict MS positive anchors absent.; paired CD300A/CD300F/CD300E perturbation in human RA/IBD/MS myeloid cells with apoptotic-cell/myelin-debris uptake and cytokine readouts	family-level CD300 direction remains biologically unsafe: CD300A/F/LF/E have different inhibitory/activating roles, local MS anchoring is absent or negative, and the only strong-looking CRISPR contrast is not significant after FDR.; local_breadth_at_least_5_or_strong_state_specific_4; state_coupling_not_density_only; genetic_or_real_perturbation_anchor; correct_direction_modality; has_independent_validation_channel; NOT_BLOCKED_BUT_DIRECTION_AMBIGUOUS	wave48
CD36	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.378261	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; 1.0; psoriasis; -0.99925985802596; 0.920009505703422	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
CMTM8	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.181467	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	activate_or_restore; 0.0; 1.0; psoriasis; -0.8587893619499372; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
DDIT3	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.181467	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; -0.0117596536574264; 0.920009505703422	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
DNAJB1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.405978	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; 1.0; type 1 diabetes mellitus; 0.3066017403877303	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
EFR3A	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.511304	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	inhibit_or_reduce; 1.0; Crohn disease; 0.2644865146297235; 0.920009505703422; 0.0	insufficient_directional_cross_disease_state_support; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
F13A1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.45587	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; -1.2416513837966685; 1.0	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
FAM49B	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.586141	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	inhibit_or_reduce; 3.0; Crohn disease; psoriasis; ulcerative colitis; 0.1048061004481475; 0.920009505703422; 0.0	no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
FBXO16	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.181467	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 2.0; Crohn disease; Sjogren syndrome; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
GM20604	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.314674	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
GM2825	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.259239	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0	too_few_guides; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
GPBP1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.181467	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_IMPAIRS_EFFEROCYTOSIS_POSITIVE_REGULATOR	activate_or_restore; 0.0; 1.0; ulcerative colitis; 0.2419611758958133	too_few_guides; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
H2-AA	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.414457	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; 1.0	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
H2-AB1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.397826	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; 1.0	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
H2-DMA	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.408913	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; 1.0	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
H2-DMB1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.40337	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; 1.0	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
H2-EB1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.381196	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; 0.9971256078463696	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
H2-M1	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.05413	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 0.0; 0.9971256078463696	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; screen_wilcoxon_fdr_not_significant	wave38
HSPA1A	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	-0.375652	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	unresolved; 0.0; 1.0; type 1 diabetes mellitus; 0.2189513286454349; 0.920009505703422	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
HSPA1B	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.181467	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	unresolved; 0.0; 1.0; type 1 diabetes mellitus; 0.1602258676559209	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
INTS7	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.181467	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 1.0; type 1 diabetes mellitus; -0.3213691215850422; 0.920009505703422	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
JUN	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.433696	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED	unresolved; 0.0; 0.1265207912999919; 1.0	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
KIF24	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.181467	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 1.0; Crohn disease; -0.3756311047878879	too_few_guides; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
KLF4	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.469728	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; UNRESOLVED; NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	unresolved; 0.0; 0.0064919282525277; 0.920009505703422	screen_direction_unresolved; insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
KLHL33	NO_REOPEN_INSUFFICIENT_CONVERGENCE	insufficient_independent_convergence_after_guardrails	-0.7	0.181467	0.0	0.7	0.0	0.0	0.0	0	0	0	1	0	0	0	0	0				NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	inhibit_or_reduce; 1.0; psoriasis; 0.0937445244466315	insufficient_directional_cross_disease_state_support; no_ms_directional_anchor; no_chembl_target; no_chembl_activity; screen_wilcoxon_fdr_not_significant	wave38
