route	source	query	count	top_hits
LIPA_LAL_enhancement	EuropePMC	"""lysosomal acid lipase"" autoimmune"	443	41345659: Overview of pediatric and adult lysosomal acid lipase deficiency: expert recommendations from a Gulf cooperation council working group. [] | PPR1123542: EBV INFECTION OUTCOMES DETERMINED BY MONOCYTE AND T  <sub>REG</sub>  -DRIVEN IMMUNE DYNAMICS IN AN EX VIVO PBMC MODEL [] | 39650963: Lysosomal Acid Lipase Deficiency: A Report of Two Cases and a Review of the Literature. [] | 41860926: EBV infection outcomes determined by monocyte and TREG-driven immune dynamics in an ex vivo pbmc model. [] | 40781810: Sebelipase Alfa Improves Aminotransferase Levels in Lysosomal Acid Lipase Deficiency: Data From an International Registry. []
LIPA_LAL_enhancement	EuropePMC	LIPA multiple sclerosis remyelination microglia	22	41846825: Lipid-associated macrophages and metabolic inflammatory diseases. [] | 39696753: Fundamental Neurochemistry Review: Lipids across microglial states. [] | 40769380: Lipid and lipoprotein metabolism in microglia: Alzheimer's disease mechanisms and interventions. [] | 38909243: MiR-223 enhances lipophagy by suppressing CTSB in microglia following lysolecithin-induced demyelination in mice. [] | 39778705: Human longevity and Alzheimer's disease variants act via microglia and oligodendrocyte gene networks. []
LIPA_LAL_enhancement	ClinicalTrials.gov	sebelipase alfa autoimmune	0	
LIPA_LAL_enhancement	ClinicalTrials.gov	lysosomal acid lipase	8	NCT01626092: Reduced-Intensity Hematopoietic Stem Cell Transplant for High Risk Lysosomal and Peroxisomal Disorders | COMPLETED | Lysosomal Storage Disease; Peroxisomal Disorder | ['NA'] | NCT02926872: Screening for Lysosomal Acid Lipase Deficiency | TERMINATED | Lysosomal Acid Lipase Deficiency | [] | NCT00176904: Stem Cell Transplant for Inborn Errors of Metabolism | COMPLETED | Adrenoleukodystrophy; Metachromatic Leukodystrophy; Globoid Cell Leukodystrophy | ['PHASE2', 'PHASE3'] | NCT00668564: Hematopoietic Stem Cell Transplantation (HCT) for Inborn Errors of Metabolism | TERMINATED | Hurler's Syndrome; Maroteaux-Lamy Syndrome; Sly Syndrome | ['PHASE2'] | NCT01307098: Safety, Tolerability and Pharmacokinetics of SBC-102 (Sebelipase Alfa) in Adult Participants With Lysosomal Acid Lipase Deficiency | COMPLETED | Cholesterol Ester Storage Disease(CESD); Lysosomal Acid Lipase Deficiency; LAL-Deficiency | ['PHASE1', 'PHASE2']
LIPA_LAL_enhancement	ClinicalTrials.gov	LIPA	8	NCT03215758: Study of Efficacy and Safety of QAW039 When Added to Standard-of-care Asthma Therapy in Patients With Uncontrolled Asthma | COMPLETED | Asthma | ['PHASE3'] | NCT00814307: A Phase 3 Study Comparing 2 Doses of CP-690,550 vs. Placebo for Treatment of Rheumatoid Arthritis | COMPLETED | Arthritis, Rheumatoid | ['PHASE3'] | NCT01448850: A Study to Evaluate the Efficacy of MEDI8968 in Chronic Obstructive Pulmonary Disease | COMPLETED | Chronic Obstructive Pulmonary Disease | ['PHASE2'] | NCT06015737: A Phase III Study to Investigate the Efficacy and Safety of Anifrolumab in Adults With Chronic and/or Subacute Cutaneous Lupus Erythematosus | ACTIVE_NOT_RECRUITING | Cutaneous Lupus Erythematosus | ['PHASE3'] | NCT03137875: Evaluation of PCR Using DNA Extract From Slides and Filter Paper for the Detection of Tuberculosis and MDR-tuberculosis | COMPLETED | Tuberculosis; Multi Drug Resistant Tuberculosis | []
NPC1_NPC2_cholesterol_egress	PubMed	"(NPC1 OR NPC2 OR ""Niemann-Pick type C"" OR cyclodextrin) AND (autoimmune OR macrophage OR microglia OR ""multiple sclerosis"")"	858	
NPC1_NPC2_cholesterol_egress	PubMed	"(""hydroxypropyl beta cyclodextrin"" OR HPBCD OR adrabetadex) AND (clinical trial OR CNS OR intrathecal OR ""Niemann-Pick"")"	311	31546989: Pharmacokinetic Properties of Fluorescently Labelled Hydroxypropyl-Beta-Cyclodextrin. | 30521943: Radiochemical synthesis and preclinical evaluation of (68)Ga-labeled NODAGA-hydroxypropyl-beta-cyclodextrin ((68)Ga-NODAGA-HPBCD). | 37201244: Low Risk Profile of Long-Term Repeated Lumbar Puncture for Intrathecal Delivery of 2-Hydroxypropyl-Beta-Cyclodextrin in Patients With Niemann-Pick Type C. | 29065825: 2-Hydroxypropyl-β-cyclodextrins and the Blood-Brain Barrier: Considerations for Niemann-Pick Disease Type C1. | 36431844: Effects of Hydroxypropyl-Beta-Cyclodextrin on Cultured Brain Endothelial Cells.
NPC1_NPC2_cholesterol_egress	EuropePMC	NPC1 NPC2 autoimmune macrophage	103	41487968: Integrative Machine Learning Analysis of Programmed Cell Death Pathways Identifies Novel Diagnostic Biomarkers for Atrial Fibrillation. [] | 41029175: Selective serotonin reuptake inhibitors enhance cancer immunosurveillance by pleiotropic mechanisms. [] | 41900791: Cyclodextrins as Modulators of Regulated Cell Death: Implications for Immunometabolism and Therapeutic Innovation. [] | 41798938: Case Report: Interleukin-23 blockade achieves sustained remission in Niemann-Pick type C-associated Crohn's disease refractory to anti-tumor necrosis factor therapy. [] | 39547438: Deficiency of myeloid NPC1 exacerbates liver injury and fibrosis by impairing macrophage efferocytosis. []
NPC1_NPC2_cholesterol_egress	EuropePMC	hydroxypropyl beta cyclodextrin Niemann Pick clinical trial CNS	107	41900791: Cyclodextrins as Modulators of Regulated Cell Death: Implications for Immunometabolism and Therapeutic Innovation. [] | 40821948: Serum neurofilament light protein as a biomarker in Niemann-Pick disease, type C1. [] | 41155704: Cyclodextrins as Active Therapeutic Agents: Beyond Their Role as Excipients. [] | 40814945: Biomarker Validation in NPC1: Foundations for Clinical Trials and Regulatory Alignment. [] | 39048052: Accumulation of alkyl-lysophosphatidylcholines in Niemann-Pick disease type C1. []
NPC1_NPC2_cholesterol_egress	ClinicalTrials.gov	hydroxypropyl beta cyclodextrin Niemann-Pick	8	NCT02912793: Safety and Efficacy of Intravenous Trappsol Cyclo (HPBCD) in Niemann-Pick Type C Patients | COMPLETED | Niemann-Pick Disease, Type C1 | ['PHASE1', 'PHASE2'] | NCT03643562: Niemann-Pick Type C Treatment With Adrabetadex for Symptoms of Brain and Nervous System | TERMINATED | Niemann-Pick Type C Disease | ['PHASE3'] | NCT04860960: Phase 3 Study to Evaluate Intravenous Trappsol(R) Cyclo(TM) in Pediatric and Adult Patients With Niemann-Pick Disease Type C1 | ACTIVE_NOT_RECRUITING | Niemann-Pick Disease, Type C1 | ['PHASE3'] | NCT03471143: Study of IV VTS-270 for Infantile Liver Disease Associated With Niemann-Pick Disease, Type C | COMPLETED | Niemann-Pick Disease, Type C | ['PHASE1', 'PHASE2'] | NCT01747135: Hydroxypropyl Beta Cyclodextrin for Niemann-Pick Type C1 Disease | COMPLETED | Niemann-Pick Disease, Type C1 | ['PHASE1']
NPC1_NPC2_cholesterol_egress	ClinicalTrials.gov	adrabetadex	8	NCT02224079: Safety, Tolerability and Pharmacokinetics of Single Rising Doses of BIIB 722 CL and HPβCD in Young Healthy Male Volunteers | COMPLETED | Healthy | ['PHASE1'] | NCT02912793: Safety and Efficacy of Intravenous Trappsol Cyclo (HPBCD) in Niemann-Pick Type C Patients | COMPLETED | Niemann-Pick Disease, Type C1 | ['PHASE1', 'PHASE2'] | NCT03643562: Niemann-Pick Type C Treatment With Adrabetadex for Symptoms of Brain and Nervous System | TERMINATED | Niemann-Pick Type C Disease | ['PHASE3'] | NCT05607615: A 6-Month Study to Evaluate the Safety & Potential Efficacy of Trappsol Cyclo in Patients With Early Alzheimer's Disease | UNKNOWN | Alzheimer's Disease | ['PHASE2'] | NCT04860960: Phase 3 Study to Evaluate Intravenous Trappsol(R) Cyclo(TM) in Pediatric and Adult Patients With Niemann-Pick Disease Type C1 | ACTIVE_NOT_RECRUITING | Niemann-Pick Disease, Type C1 | ['PHASE3']
NPC1_NPC2_cholesterol_egress	ClinicalTrials.gov	NPC1 autoimmune	0	
specialized_pro_resolving_mediator_FPR2_axis	PubMed	"(FPR2 OR ALX OR resolvin OR ""lipoxin A4"" OR annexin A1) AND (""multiple sclerosis"" OR EAE OR autoimmune OR colitis OR arthritis OR psoriasis)"	545	28900017: Omega-3 fatty acids and inflammatory processes: from molecules to man. | 35499059: Extracellular vesicles-mediated interaction within intestinal microenvironment in inflammatory bowel disease. | 29757195: Resolvins in inflammation: emergence of the pro-resolving superfamily of mediators. | 37994307: Enhancement of efferocytosis through biased FPR2 signaling attenuates intestinal inflammation. | 25149823: Marine omega-3 fatty acids and inflammatory processes: Effects, mechanisms and clinical relevance.
specialized_pro_resolving_mediator_FPR2_axis	PubMed	"(""specialized pro-resolving mediator"" OR resolvin OR maresin OR protectin) AND (autoimmune OR ""multiple sclerosis"" OR colitis OR arthritis)"	335	28900017: Omega-3 fatty acids and inflammatory processes: from molecules to man. | 29757195: Resolvins in inflammation: emergence of the pro-resolving superfamily of mediators. | 25149823: Marine omega-3 fatty acids and inflammatory processes: Effects, mechanisms and clinical relevance. | 22765297: Omega-3 polyunsaturated fatty acids and inflammatory processes: nutrition or pharmacology? | 38176897: ATP citrate lyase (ACLY)-dependent immunometabolism in mucosal T cells drives experimental colitis in vivo.
specialized_pro_resolving_mediator_FPR2_axis	EuropePMC	FPR2 agonist autoimmune colitis arthritis multiple sclerosis	52	41205263: Resolution Pharmacology: State-of-the-art and therapeutic landscape. [] | 40733247: Bioactive Compounds as Modulators of N-Formyl Peptide Signaling in Chronic Diseases. [] | 41588161: Mitochondria as Inducers of Neutrophil Extracellular Traps. [] | 41459510: Macrophage polarization: molecular mechanisms, disease implications, and targeted therapeutic strategies. [] | 40406415: Molecular dynamics of inflammation resolution: therapeutic implications. []
specialized_pro_resolving_mediator_FPR2_axis	EuropePMC	specialized pro-resolving mediator autoimmune disease clinical trial	1064	41978837: Impaired Macrophage Efferocytosis: Shared Mechanisms and Therapeutic Implications in Immune-Mediated Inflammatory Diseases. [] | 41486400: Pro-resolving lipid mediators in diseases: exploring the molecular basis and clinical implication. [] | 41596068: Specialized Pro-Resolving Lipid Mediators and Dietary Omega-3/6 Fatty Acids in Selected Inflammatory Skin Diseases: A Systematic Review. [] | PMC13082970: The role of ALOX15 in inflammation-related diseases [] | 41451243: Inflammation-resolution signalling in cardiac repair, remodelling, and heart failure. []
specialized_pro_resolving_mediator_FPR2_axis	ClinicalTrials.gov	resolvin autoimmune	1	NCT05834855: Non-inferiority Study of Rituximab Compared to Ocrelizumab in Relapsing MS | RECRUITING | Multiple Sclerosis; Multiple Sclerosis, Relapsing-Remitting; Demyelinating Autoimmune Diseases, CNS | ['PHASE3']
specialized_pro_resolving_mediator_FPR2_axis	ClinicalTrials.gov	FPR2 agonist	0	
specialized_pro_resolving_mediator_FPR2_axis	ClinicalTrials.gov	annexin A1 autoimmune	0	
