analysis	disease_name	compartment	role	gene	candidate_class	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr	positive_fdr10	positive_trend	negative_trend
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	FCGR3A	uptake_complement_phagocytosis	detection_fraction	6.0	6.0	0.00029086678301337986	0.0	0.00029086678301337986	0.5329387100211931	1.0000000000000002	0.36321746764912244	0.5881726035997231	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	GPR65	failed_or_crowded_comparators	mean_log_norm	6.0	6.0	0.0022646054147974137	0.0014334261888811798	0.0008311792259162339	0.5822641033956768	1.0925535947135876	0.30050396543357155	0.5671974451490708	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	GPR65	failed_or_crowded_comparators	detection_fraction	6.0	6.0	0.0019447455617850988	0.001052677411608008	0.0008920681501770908	0.7317602781653286	1.3730664791383407	0.2036507752341131	0.45490822519827856	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	GSK3A	failed_or_crowded_comparators	mean_log_norm	6.0	6.0	0.08717347050293767	0.09528921350404533	-0.008115743001107664	-0.2799668321495508	-0.5253265091935573	0.6119751844271158	0.7683192096457221	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	GSK3A	failed_or_crowded_comparators	detection_fraction	6.0	6.0	0.09121318302126802	0.09414095820717498	-0.002927775185906964	-0.06862056098460996	-0.12875882290832497	0.9001504178294163	0.9359613646385561	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	GSK3B	failed_or_crowded_comparators	mean_log_norm	6.0	6.0	0.13900255157960992	0.06319661029051873	0.07580594128909118	2.0314209488751955	3.8117346529292524	0.005133741057198285	0.13340794454193738	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	GSK3B	failed_or_crowded_comparators	detection_fraction	6.0	6.0	0.13516122728977467	0.05886424359134109	0.07629698369843357	1.7563832363582121	3.2956570865125694	0.010012126804515712	0.15950331276809251	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HGS	trafficking_sorting	mean_log_norm	6.0	6.0	0.1940281668147347	0.14801913100431086	0.04600903581042384	1.3177445876352163	2.4726006252816846	0.033685853445836945	0.21459136269199833	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HGS	trafficking_sorting	detection_fraction	6.0	6.0	0.1755426231604196	0.12994951662620516	0.045593106534214445	0.91677708476015	1.720229864187747	0.11750119643262166	0.3585304045027891	False	False	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DMA	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.12012346717274403	0.026032537685499787	0.09409092948724423	1.3577637913964642	2.5476921939906956	0.03834524951339943	0.23393381317502118	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DMA	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.12012192642254059	0.023581269022232284	0.0965406574003083	1.5770405783763621	2.9591406079578064	0.022742027728892014	0.21459136269199833	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DMB	hla_ii_loading_editing	mean_log_norm	6.0	6.0	0.04197873937858381	0.010751651907306405	0.031227087471277407	1.151390586881853	2.1604559121555766	0.06372976671327991	0.2747518468218541	False	True	False
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	HLA-DMB	hla_ii_loading_editing	detection_fraction	6.0	6.0	0.04897331589849615	0.00904640128431944	0.03992691461417671	1.2655914234027883	2.3747410342034647	0.052085659588959415	0.26349216027355943	False	True	False
