gene	target_chembl_id	molecule_chembl_id	canonical_smiles	standard_type	standard_relation	standard_value_nM	assay_type	document_chembl_id	bao_label
CTSH	CHEMBL4160	CHEMBL570897	O=[N+]([O-])c1ccc(N2CCCC2)c2ccccc12	Ki	=	251000.0	B	CHEMBL2311469	assay format
CTSH	CHEMBL4160	CHEMBL2312203	Nc1c(Br)cc([N+](=O)[O-])c2ccccc12	Ki	=	354000.0	B	CHEMBL2311469	assay format
CTSH	CHEMBL4160	CHEMBL2312204	CC1CCN(c2ccc([N+](=O)[O-])c3cccnc23)CC1	Ki	=	221000.0	B	CHEMBL2311469	assay format
CTSH	CHEMBL4160	CHEMBL2312216	N#CCNCc1cc([N+](=O)[O-])c2cccnc2c1O	Ki	=	129000.0	B	CHEMBL2311469	assay format
CTSH	CHEMBL4160	CHEMBL2312204	CC1CCN(c2ccc([N+](=O)[O-])c3cccnc23)CC1	Ki	=	221000.0	B	CHEMBL2311469	assay format
CTSH	CHEMBL4160	CHEMBL2312216	N#CCNCc1cc([N+](=O)[O-])c2cccnc2c1O	Ki	=	129000.0	B	CHEMBL2311469	assay format
CTSH	CHEMBL4160	CHEMBL541700	CC[C@H](C)[C@@H](C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)/C=C/C(=O)N1C(=O)C=C(OC)[C@@H]1C)N(C)C	IC50	>	30000.0	B	CHEMBL3102856	single protein format
CTSH	CHEMBL4160	CHEMBL541700	CC[C@H](C)[C@@H](C(=O)O[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)/C=C/C(=O)N1C(=O)C=C(OC)[C@@H]1C)N(C)C	IC50	>	30000.0	B	CHEMBL3102856	single protein format
CTSH	CHEMBL4160	CHEMBL191881	CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N	Ki	=	9200.0	B	CHEMBL3232985	assay format
CTSH	CHEMBL4160	CHEMBL191881	CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N	Ki	=	9200.0	B	CHEMBL3352119	assay format
CTSH	CHEMBL4160	CHEMBL3900409	Cn1c(=O)oc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)cc3)cc21	IC50	>	20000.0	B	CHEMBL3856275	single protein format
CTSH	CHEMBL4160	CHEMBL4228576	N#CC1(NC(=O)c2cc([N+](=O)[O-])c3cccnc3c2O)CC1	Ki	=	329000.0	B	CHEMBL4219118	assay format
