gene	bridge_link_count	bridge_link_disease_count	bridge_link_diseases	upregulated_bridge_link_count	upregulated_bridge_link_disease_count	upregulated_bridge_link_diseases	raw_up_tissue_disease_count	raw_down_tissue_disease_count	case_link_count	best_bridge_link	wave30_axis_count	best_wave30_axis	best_wave30_call	best_wave30_centrality	best_wave30_intervention_score	wave30_prior_blocking	best_wave30_gate_failures	bridge_score	wave103_call	wave103_call_priority
ITGB3	3	2	Sjogren syndrome;ulcerative colitis	0	0		0	0	2	sjogren_gland_stromal->sjogren_gland_apc|lipid_loader_repair|rho_all=0.568|p_all=0.00586|rho_case=0.8|p_case=0.00963|sender_delta=-0.0796|sender_p=0.0386	1	SPP1_CD44_INTEGRIN_RETENTION	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	12.01	-0.9500000000000002	False	target_causality_gate;selectivity_window_gate;prior_art_not_blocking_gate	7.011	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IL6	3	2	Crohn disease;psoriasis	0	0		1	0	2	ibd_crohn_stromal->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.776|p_all=0.00299|rho_case=1|p_case=0|sender_delta=0.49|sender_p=0.216	0					False		7.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
STAT1	2	1	Sjogren syndrome	0	0		3	0	2	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.602|p_all=0.003|rho_case=0.85|p_case=0.0037|sender_delta=-0.0141|sender_p=0.87	2	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	True	selectivity_window_gate;prior_art_not_blocking_gate	6.824	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
MYD88	1	1	Crohn disease	0	0		3	0	0	ibd_crohn_stromal->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.587|p_all=0.0446|rho_case=0.0286|p_case=0.957|sender_delta=0.129|sender_p=0.0296	1	SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	NO_GO_NICHE_DRIVER	8.3	4.85	False	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	6.8	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
DDT	2	2	Crohn disease;Sjogren syndrome	0	0		1	0	2	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.273|p_all=0.219|rho_case=0.8|p_case=0.00963|sender_delta=0.131|sender_p=0.125	1	MIF_CD74_CXCR4_CD44	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.33	-2.95	True	selectivity_window_gate;prior_art_not_blocking_gate	6.433	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
SPP1	2	2	Crohn disease;psoriasis	0	0		1	0	0	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.624|p_all=0.0301|rho_case=0.577|p_case=0.231|sender_delta=0.00188|sender_p=0.174	1	SPP1_CD44_INTEGRIN_RETENTION	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	12.01	-0.9500000000000002	False	target_causality_gate;selectivity_window_gate;prior_art_not_blocking_gate	6.011	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
ADORA2B	6	2	Crohn disease;ulcerative colitis	0	0		2	0	0	ibd_uc_stromal->ibd_uc_myeloid|lipid_loader_repair|rho_all=0.724|p_all=0.00775|rho_case=0.714|p_case=0.111|sender_delta=0.321|sender_p=0.138	0					False		6.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
ANGPT1	2	2	Crohn disease;Sjogren syndrome	0	0		0	0	2	ibd_crohn_epithelial->ibd_crohn_myeloid|lysosomal_apc|rho_all=0.666|p_all=0.0181|rho_case=0.926|p_case=0.00805|sender_delta=-0.00696|sender_p=0.598	0					False		6.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CSF2	4	1	Crohn disease	0	0		0	0	4	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.65|p_all=0.022|rho_case=0.845|p_case=0.0341|sender_delta=0.000687|sender_p=0.197	0					False		6.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
MMP3	4	1	Crohn disease	0	0		1	0	3	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.738|p_all=0.00617|rho_case=0.829|p_case=0.0416|sender_delta=0.256|sender_p=0.183	0					False		6.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
PLA2G7	1	1	Crohn disease	0	0		3	0	1	ibd_crohn_epithelial->ibd_crohn_myeloid|lipid_loader_repair|rho_all=-0.0636|p_all=0.844|rho_case=0.759|p_case=0.0801|sender_delta=-0.0141|sender_p=0.826	0					False		6.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
SCARB2	3	2	Crohn disease;Sjogren syndrome	0	0		0	0	2	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.743|p_all=7.58e-05|rho_case=0.917|p_case=0.000507|sender_delta=-0.105|sender_p=0.2	0					False		6.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TBXAS1	6	2	Crohn disease;ulcerative colitis	0	0		0	0	2	ibd_crohn_epithelial->ibd_crohn_myeloid|lipid_loader_repair|rho_all=0.797|p_all=0.0019|rho_case=0.771|p_case=0.0724|sender_delta=0.0315|sender_p=0.237	0					False		6.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TGFB1	5	2	Crohn disease;Sjogren syndrome	0	0		0	1	4	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.77|p_all=2.82e-05|rho_case=0.867|p_case=0.0025|sender_delta=-0.134|sender_p=0.0458	0					False		6.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IFNGR1	2	2	Crohn disease;Sjogren syndrome	0	0		1	0	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.652|p_all=0.001|rho_case=0.783|p_case=0.0125|sender_delta=-0.111|sender_p=0.219	1	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	True	selectivity_window_gate;prior_art_not_blocking_gate	5.824	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
JAK2	2	2	Crohn disease;Sjogren syndrome	0	0		1	0	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.602|p_all=0.003|rho_case=0.883|p_case=0.00159|sender_delta=-0.0232|sender_p=0.746	2	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	True	selectivity_window_gate;prior_art_not_blocking_gate	5.824	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TLR7	2	1	Crohn disease	0	0		0	0	2	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.0877|p_all=0.786|rho_case=0.829|p_case=0.0416|sender_delta=-0.0025|sender_p=0.946	1	SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	NO_GO_NICHE_DRIVER	8.3	4.85	False	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	5.8	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
PDCD1LG2	5	2	Sjogren syndrome;ulcerative colitis	0	0		0	0	3	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.668|p_all=0.000687|rho_case=0.333|p_case=0.381|sender_delta=-0.0907|sender_p=0.0872	1	CD274_PD1_TOLEROGENIC_CHECKPOINT	NO_GO_NICHE_DRIVER	8.5	-3.5	True	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	5.449999999999999	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
RELA	3	2	Sjogren syndrome;ulcerative colitis	0	0		0	0	3	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.792|p_all=1.11e-05|rho_case=0.983|p_case=1.94e-06|sender_delta=-0.0889|sender_p=0.188	2	TNF_TNFR_NFKB	NO_GO_NICHE_DRIVER	7.320515880385907	-2.725290985637585	True	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	5.33205158803859	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TYROBP	1	1	Crohn disease	0	0		1	0	1	ibd_crohn_epithelial->ibd_crohn_myeloid|lipid_loader_repair|rho_all=-0.196|p_all=0.542|rho_case=0.829|p_case=0.0416|sender_delta=-0.00268|sender_p=0.947	1	TREM1_TYROBP_AMPLIFICATION	NO_GO_NICHE_DRIVER	12.62556995395143	-0.4851467894628438	False	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	5.165527637502574	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CCL4	2	1	Crohn disease	0	0		1	0	2	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.406|p_all=0.191|rho_case=1|p_case=0|sender_delta=0.0968|sender_p=0.273	0					False		5.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CD200	3	1	ulcerative colitis	0	0		0	0	3	ibd_uc_stromal->ibd_uc_myeloid|c15_mocci_costate|rho_all=0.524|p_all=0.08|rho_case=0.829|p_case=0.0416|sender_delta=0.6|sender_p=0.126	0					False		5.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
FPR2	4	1	Crohn disease	0	0		2	0	1	ibd_crohn_stromal->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.643|p_all=0.0242|rho_case=0.516|p_case=0.295|sender_delta=0.00311|sender_p=0.156	0					False		5.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
MMP14	3	1	Crohn disease	0	0		1	0	2	ibd_crohn_epithelial->ibd_crohn_myeloid|lipid_loader_repair|rho_all=0.615|p_all=0.0332|rho_case=0.6|p_case=0.208|sender_delta=0.0712|sender_p=0.192	0					False		5.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
MMP9	3	1	ulcerative colitis	3	1	ulcerative colitis	1	1	0	ibd_uc_stromal->ibd_uc_myeloid|inflammatory_nfkb|rho_all=0.849|p_all=0.000475|rho_case=0.6|p_case=0.208|sender_delta=1.06|sender_p=0.0389	0					False		5.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
PTGS2	1	1	Sjogren syndrome	0	0		2	0	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.365|p_all=0.095|rho_case=0.85|p_case=0.0037|sender_delta=0.0572|sender_p=0.281	0					False		5.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
SEMA4D	2	1	Crohn disease	0	0		1	0	2	ibd_crohn_stromal->ibd_crohn_myeloid|lysosomal_apc|rho_all=0.252|p_all=0.43|rho_case=0.829|p_case=0.0416|sender_delta=0.0868|sender_p=0.518	0					False		5.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TNFSF14	1	1	Sjogren syndrome	0	0		2	0	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.235|p_all=0.291|rho_case=0.85|p_case=0.0037|sender_delta=0.0108|sender_p=0.801	0					False		5.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CIITA	1	1	Sjogren syndrome	0	0		2	0	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.692|p_all=0.000363|rho_case=0.95|p_case=8.76e-05|sender_delta=-0.1|sender_p=0.108	1	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	True	selectivity_window_gate;prior_art_not_blocking_gate	4.824	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
LIPA	2	2	Crohn disease;Sjogren syndrome	0	0		2	2	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.56|p_all=0.00677|rho_case=0.45|p_case=0.224|sender_delta=-0.0942|sender_p=0.195	1	LIPA_LAL_LYSOSOMAL_LIPID_CLEARANCE	NO_GO_NICHE_DRIVER	10.9	2.95	False	cross_disease_support_gate;upstream_non_marker_gate;target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	4.68	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
ITGB2	1	1	Crohn disease	0	0		1	0	1	ibd_crohn_epithelial->ibd_crohn_myeloid|lipid_loader_repair|rho_all=0.211|p_all=0.51|rho_case=0.812|p_case=0.0499|sender_delta=0.032|sender_p=0.315	1	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	False	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	4.637	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CD274	3	1	Crohn disease	0	0		3	0	1	ibd_crohn_epithelial->ibd_crohn_myeloid|c15_mocci_costate|rho_all=0.879|p_all=0.000165|rho_case=0.771|p_case=0.0724|sender_delta=0.108|sender_p=0.0215	1	CD274_PD1_TOLEROGENIC_CHECKPOINT	NO_GO_NICHE_DRIVER	8.5	-3.5	True	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	4.449999999999999	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CXCR4	1	1	Crohn disease	0	0		2	0	1	ibd_crohn_stromal->ibd_crohn_myeloid|lipid_loader_repair|rho_all=-0.196|p_all=0.542|rho_case=0.886|p_case=0.0188|sender_delta=0.0202|sender_p=0.852	1	MIF_CD74_CXCR4_CD44	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.33	-2.95	True	selectivity_window_gate;prior_art_not_blocking_gate	4.433	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CHUK	4	2	Crohn disease;Sjogren syndrome	0	0		0	0	2	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.665|p_all=0.000741|rho_case=0.867|p_case=0.0025|sender_delta=-0.00495|sender_p=0.918	1	TNF_TNFR_NFKB	NO_GO_NICHE_DRIVER	7.320515880385907	-2.725290985637585	True	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	4.33205158803859	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TNFRSF1A	3	2	Sjogren syndrome;ulcerative colitis	0	0		1	0	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.736|p_all=9.53e-05|rho_case=0.433|p_case=0.244|sender_delta=-0.0634|sender_p=0.501	1	TNF_TNFR_NFKB	NO_GO_NICHE_DRIVER	7.320515880385907	-2.725290985637585	True	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	4.33205158803859	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
GPR65	1	1	Crohn disease	0	0		0	0	1	ibd_crohn_epithelial->ibd_crohn_myeloid|lysosomal_apc|rho_all=0.245|p_all=0.443|rho_case=0.943|p_case=0.0048|sender_delta=0.017|sender_p=0.301	1	GPR65_ENDOLYSOSOMAL_PH_CAMP	NO_GO_NICHE_DRIVER	6.0	3.5	False	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;prior_art_not_blocking_gate	4.3	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
SYK	1	1	Crohn disease	0	0		0	0	1	ibd_crohn_epithelial->ibd_crohn_myeloid|lipid_loader_repair|rho_all=0.196|p_all=0.542|rho_case=0.829|p_case=0.0416|sender_delta=0.0623|sender_p=0.0597	1	TREM1_TYROBP_AMPLIFICATION	NO_GO_NICHE_DRIVER	12.62556995395143	-0.4851467894628438	False	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	4.165527637502574	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
LILRB1	0	0		0	0		2	0	0		1	LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.07	1.3499999999999996	False	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	4.077	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
LILRB2	0	0		0	0		2	0	0		1	LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.07	1.3499999999999996	False	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	4.077	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
C1R	1	1	ulcerative colitis	0	0		1	0	1	ibd_uc_epithelial->ibd_uc_myeloid|lysosomal_apc|rho_all=0.406|p_all=0.191|rho_case=0.771|p_case=0.0724|sender_delta=0.0686|sender_p=0.182	0					False		4.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
C5AR1	1	1	Crohn disease	0	0		1	0	1	ibd_crohn_epithelial->ibd_crohn_myeloid|lysosomal_apc|rho_all=0.503|p_all=0.0952|rho_case=0.771|p_case=0.0724|sender_delta=0.0572|sender_p=0.24	0					False		4.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CCL5	1	1	Crohn disease	0	0		1	0	1	ibd_crohn_epithelial->ibd_crohn_myeloid|lysosomal_apc|rho_all=-0.126|p_all=0.697|rho_case=0.771|p_case=0.0724|sender_delta=-0.0741|sender_p=0.055	0					False		4.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
EGF	2	1	Crohn disease	0	0		0	0	2	ibd_crohn_epithelial->ibd_crohn_myeloid|lipid_loader_repair|rho_all=0.573|p_all=0.0513|rho_case=0.771|p_case=0.0724|sender_delta=0.0525|sender_p=0.274	0					False		4.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
MERTK	2	1	Sjogren syndrome	0	0		0	0	2	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.653|p_all=0.000978|rho_case=0.9|p_case=0.000943|sender_delta=-0.0334|sender_p=0.361	0					False		4.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
NFKBIA	3	2	Sjogren syndrome;psoriasis	0	0		0	0	0	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.746|p_all=6.74e-05|rho_case=0.65|p_case=0.0581|sender_delta=-0.0742|sender_p=0.398	0					False		4.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
UNC93B1	1	1	Sjogren syndrome	0	0		0	0	0	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.713|p_all=0.000195|rho_case=0.717|p_case=0.0298|sender_delta=-0.0362|sender_p=0.326	1	SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	NO_GO_NICHE_DRIVER	8.3	4.85	False	cross_disease_support_gate;residual_or_state_gate;perturbation_or_model_gate;druggable_correct_direction_gate;selectivity_window_gate;prior_art_not_blocking_gate	3.8	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
NFKB1	2	1	Sjogren syndrome	0	0		0	0	2	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.874|p_all=1.11e-07|rho_case=0.967|p_case=2.16e-05|sender_delta=-0.0924|sender_p=0.213	3	TREM1_TYROBP_AMPLIFICATION	NO_GO_NICHE_DRIVER	12.62556995395143	-0.4851467894628438	True	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	3.1655276375025743	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
LILRB4	0	0		0	0		1	0	0		1	LILRB_HLA_INHIBITORY_MYLOID_CHECKPOINT	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	18.07	1.3499999999999996	False	target_causality_gate;druggable_correct_direction_gate;selectivity_window_gate	3.077	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
C3AR1	1	1	Crohn disease	0	0		0	0	1	ibd_crohn_stromal->ibd_crohn_myeloid|lipid_loader_repair|rho_all=0.12|p_all=0.711|rho_case=0.812|p_case=0.0499|sender_delta=0.0103|sender_p=0.849	0					False		3.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CSF1	3	2	Crohn disease;Sjogren syndrome	0	0		0	2	3	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.814|p_all=4.12e-06|rho_case=0.933|p_case=0.000236|sender_delta=-0.016|sender_p=0.854	0					False		3.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CXCL13	2	1	Crohn disease	0	0		0	0	1	ibd_crohn_stromal->ibd_crohn_myeloid|inflammatory_nfkb|rho_all=0.58|p_all=0.048|rho_case=0.516|p_case=0.295|sender_delta=1.19|sender_p=0.134	0					False		3.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
GAS6	2	2	Crohn disease;Sjogren syndrome	0	0		0	1	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.628|p_all=0.00173|rho_case=0.667|p_case=0.0499|sender_delta=-0.00888|sender_p=0.91	0					False		3.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IL23A	2	1	ulcerative colitis	0	0		1	0	0	ibd_uc_stromal->ibd_uc_myeloid|lipid_loader_repair|rho_all=0.631|p_all=0.0278|rho_case=0.667|p_case=0.148|sender_delta=0.219|sender_p=0.155	0					False		3.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
LGALS1	1	1	Crohn disease	0	0		0	0	1	ibd_crohn_epithelial->ibd_crohn_myeloid|lipid_loader_repair|rho_all=0.119|p_all=0.713|rho_case=0.886|p_case=0.0188|sender_delta=0.00324|sender_p=0.903	0					False		3.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
PTGER4	2	1	Crohn disease	2	1	Crohn disease	1	2	0	ibd_crohn_epithelial->ibd_crohn_myeloid|inflammatory_nfkb|rho_all=0.727|p_all=0.00736|rho_case=0.429|p_case=0.397|sender_delta=0.341|sender_p=0.00548	0					False		3.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
IRF1	4	2	Sjogren syndrome;psoriasis	0	0		1	1	0	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.587|p_all=0.00411|rho_case=0.65|p_case=0.0581|sender_delta=0.0227|sender_p=0.827	1	IFNG_IFNGR_JAK_STAT1_CIITA	CENTRAL_STATE_DRIVER_NOT_SELECTIVE_THERAPEUTIC	20.64	-1.2000000000000002	True	selectivity_window_gate;prior_art_not_blocking_gate	2.824	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
C1QC	2	2	Crohn disease;psoriasis	0	0		0	1	0	psoriasis_keratinocyte->psoriasis_skin_apc|lysosomal_apc|rho_all=0.943|p_all=0.0048|rho_case=nan|p_case=nan|sender_delta=0.12|sender_p=0.38	1	ITGAM_CR3_COMPLEMENT_PHAGOCYTOSIS	NO_GO_NICHE_DRIVER	10.37	-3.25	False	cross_disease_support_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	2.6369999999999996	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CXCL10	0	0		0	0		2	0	0		1	CXCL10_CXCR3_RECRUITMENT	NO_GO_NICHE_DRIVER	9.14	-2.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	2.5140000000000002	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CXCL9	0	0		0	0		2	0	0		1	CXCL10_CXCR3_RECRUITMENT	NO_GO_NICHE_DRIVER	9.14	-2.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	2.5140000000000002	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
SOCS3	1	1	Sjogren syndrome	0	0		2	2	1	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.612|p_all=0.00249|rho_case=0.783|p_case=0.0125|sender_delta=-0.0342|sender_p=0.766	1	OSM_OSMR_IL6ST_STAT3	NO_GO_NICHE_DRIVER	8.02	1.25	False	cross_disease_support_gate;residual_or_state_gate;target_causality_gate;perturbation_or_model_gate;selectivity_window_gate;prior_art_not_blocking_gate	2.0519999999999996	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CCR5	0	0		0	0		2	0	0		0					False		2.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
CD70	1	1	Sjogren syndrome	0	0		0	0	0	sjogren_gland_stromal->sjogren_gland_apc|inflammatory_nfkb|rho_all=0.63|p_all=0.00169|rho_case=0.594|p_case=0.0916|sender_delta=-0.052|sender_p=0.233	0					False		2.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
MARCO	0	0		0	0		2	0	0		0					False		2.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
SEMA7A	1	1	Sjogren syndrome	0	0		0	0	0	sjogren_gland_stromal->sjogren_gland_apc|lysosomal_apc|rho_all=0.591|p_all=0.00374|rho_case=0.509|p_case=0.162|sender_delta=0.00282|sender_p=0.922	0					False		2.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TGFB2	2	1	Sjogren syndrome	0	0		0	0	0	sjogren_gland_stromal->sjogren_gland_apc|lipid_loader_repair|rho_all=0.663|p_all=0.000762|rho_case=0.7|p_case=0.0358|sender_delta=-0.102|sender_p=0.0369	0					False		2.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
TREM2	1	1	psoriasis	0	0		0	0	0	psoriasis_skin_stromal->psoriasis_skin_apc|lipid_loader_repair|rho_all=0.841|p_all=0.0361|rho_case=nan|p_case=nan|sender_delta=0.0174|sender_p=0.59	0					False		2.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
VCAM1	1	1	psoriasis	0	0		0	0	0	psoriasis_keratinocyte->psoriasis_skin_apc|c15_mocci_costate|rho_all=0.943|p_all=0.0048|rho_case=nan|p_case=nan|sender_delta=0.0827|sender_p=0.486	0					False		2.0	NO_GO_WEAK_OR_CONTEXT_SPECIFIC_BRIDGE	3
