evidence_tier	candidate	gene	source	dataset	system	perturbation_type	target_suppression	generic_ifn_suppression	target_vs_ifn_margin	selectivity_score	stress_induction	manual_blocker	gate_count	direct_priority_score	wave61_call	gate_real_perturbation	gate_selective_over_ifn	gate_not_generic_collapse	gate_stress_guardrail	gate_primary_or_relevant_system	gate_repair_or_efferocytosis_guardrail	gate_cross_disease_recurrence	gate_ms_nominal_anchor	gate_residual_support	gate_genetic_support	gate_druggable_or_modality	gate_no_manual_blocker	positive_disease_count	negative_disease_count	positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	opentargets_max_genetic_association	opentargets_disease_count	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	top_retained_tests	wave34_call	gwas_catalog_trait_count	chembl_target_id	chembl_best_nM	druggable_activity_count	efferocytosis_screen_call	efferocytosis_median_efficient_minus_noneater_lfc	efferocytosis_contrast_fdr	geneformer_model_support_pass	wave57_call	l1000_wave24_call	l1000_promotion_gate	l1000_opposite_queries	l1000_best_rank	l1000_min_qval	l1000_contradicted_by_similar_hit	gate_lipid_apc_reduced	gate_ifn_not_collapsed	gate_stress_not_increased	gate_resolution_gain	gate_profibrosis_not_increased	gate_replicated_or_statistical
resolution_perturbation_guardrail	Trem2KO_Basal_vs_WT_Basal	TREM2	wave35_resolution_perturbation	GSE302857_Trem2KO_cuprizone_microglia	Trem2/cuprizone sorted microglia		0.3449240313415117	0.1540639749838135	0.19086005635769823	0.75	0.0442961016933998		5		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.1899583473475061	0.612719290366184	0.9476308467322015	0.0	0.0	0.0	0.0			0.0			0.0	UNRESOLVED	-1.34863317402097	0.920009505703422	False								True	True	True	False	True	True
resolution_perturbation_guardrail	Trem2KO_CPZ_cd229pos_cd11cneg_vs_WT_CPZ_cd229pos_cd11cneg	TREM2	wave35_resolution_perturbation	GSE302857_Trem2KO_cuprizone_microglia	Trem2/cuprizone sorted microglia		1.0366243528382362	-0.1463067664951772	1.0366243528382362	0.75	-0.3180041286097027		5		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.1899583473475061	0.612719290366184	0.9476308467322015	0.0	0.0	0.0	0.0			0.0			0.0	UNRESOLVED	-1.34863317402097	0.920009505703422	False								True	True	True	False	True	True
resolution_perturbation_guardrail	Trem2KO_CPZ_neg_neg_vs_WT_CPZ_neg_neg	TREM2	wave35_resolution_perturbation	GSE302857_Trem2KO_cuprizone_microglia	Trem2/cuprizone sorted microglia		0.9783066452511036	0.5635657617170304	0.4147408835340731	0.75	-0.3906253166759812		5		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.1899583473475061	0.612719290366184	0.9476308467322015	0.0	0.0	0.0	0.0			0.0			0.0	UNRESOLVED	-1.34863317402097	0.920009505703422	False								True	True	True	False	True	True
resolution_perturbation_guardrail	WT_CPZ_cd229pos_cd11cneg_vs_WT_Basal	UNRESOLVED	wave35_resolution_perturbation	GSE302857_Trem2KO_cuprizone_microglia	Trem2/cuprizone sorted microglia		-2.004999176770743	-1.8965707167369017	-2.004999176770743	0.75	-1.0603425043394683		5		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								False	True	True	True	True	True
resolution_perturbation_guardrail	WT_CPZ_cd229pos_cd11cpos_vs_WT_Basal	UNRESOLVED	wave35_resolution_perturbation	GSE302857_Trem2KO_cuprizone_microglia	Trem2/cuprizone sorted microglia		-2.172439263181619	-2.0360505310561656	-2.172439263181619	0.75	-1.0800720598383655		5		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								False	True	True	True	True	True
resolution_perturbation_guardrail	WT_CPZ_neg_neg_vs_WT_Basal	UNRESOLVED	wave35_resolution_perturbation	GSE302857_Trem2KO_cuprizone_microglia	Trem2/cuprizone sorted microglia		-1.126992110050847	-1.582609957935655	-1.126992110050847	0.75	-0.2849373430118085		5		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								False	True	True	True	True	True
resolution_perturbation_guardrail	IFNg_Treg_phago_vs_IFNg_nonphago	UNRESOLVED	wave35_resolution_perturbation	GSE325329_ifng_il10_phagocytic_macrophages	IFNg-polarized phagocytic vs non-phagocytic macrophages		0.2803322555048047	0.3627421655031922	-0.08240990999838754	0.75	0.0229036144472118		5		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								True	True	True	False	True	True
resolution_perturbation_guardrail	IL10_Treg_phago_vs_IL10_nonphago	IL10	wave35_resolution_perturbation	GSE325329_ifng_il10_phagocytic_macrophages	IL10-polarized phagocytic vs non-phagocytic macrophages		-0.1193883454989693	-0.1687333872570633	-0.1193883454989693	0.75	-0.2476676191100673		5		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.5386340709389863	0.0920894843746553	0.8989378106274888	0.0	0.0	0.0	0.0		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	14.0	CHEMBL3712920		0.0	UNRESOLVED	-0.5103208039261532	0.9971256078463696	False								False	True	True	True	True	True
resolution_perturbation_guardrail	WT_2h_AC_vs_WT_Ctrl	UNRESOLVED	wave35_resolution_perturbation	GSE156234_Mertk_scRNA_pseudobulk	WT efferocytosis 2h; one pseudobulk sample per condition		0.3262689815418557	-0.5834826374536392	0.3262689815418557	0.75	-0.077483895506278	descriptive_no_replication	4		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								True	True	True	False	True	False
resolution_perturbation_guardrail	MF_AC_vs_MF	UNRESOLVED	wave35_resolution_perturbation	GSE169160_human_MF_efferocytosis	human macrophage apoptotic-cell exposure		-0.0130683312214816	0.0809140623055947	-0.0939823935270763	0.5	0.2021288665951133		4		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								False	True	True	False	True	True
resolution_perturbation_guardrail	LipaOE_vs_Control_PM	UNRESOLVED	wave35_resolution_perturbation	GSE243117_mouse_LipaOE_peritoneal_macrophages	mouse peritoneal macrophage Lipa overexpression		-0.477750460932677	-1.3633957507809225	-0.477750460932677	0.5	-0.6190896791394225		4		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								False	True	True	False	True	True
resolution_perturbation_guardrail	AC_180min_vs_Alone	UNRESOLVED	wave35_resolution_perturbation	GSE253577_mouse_efferocytosis_timecourse	mouse efferocytosis time course		-0.5428144617036591	2.006017173572605	-2.5488316352762643	0.5	0.2102421654334575		4		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								False	False	True	True	True	True
resolution_perturbation_guardrail	AC_45min_vs_Alone	UNRESOLVED	wave35_resolution_perturbation	GSE253577_mouse_efferocytosis_timecourse	mouse efferocytosis time course		-0.1113590926031068	-0.0152122424091116	-0.1113590926031068	0.5	0.1184996118926898		4		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								False	True	True	False	True	True
resolution_perturbation_guardrail	AC_90min_vs_Alone	UNRESOLVED	wave35_resolution_perturbation	GSE253577_mouse_efferocytosis_timecourse	mouse efferocytosis time course		0.1838297713919372	0.1362905849647335	0.0475391864272037	0.5	-0.1387475748684829		4		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								False	True	True	False	True	True
resolution_perturbation_guardrail	GpnmbR150X_BMDM_vs_WT_BMDM	GPNMB	wave35_resolution_perturbation	GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X baseline		-1.270806243832392	-0.0488948059270379	-1.270806243832392	0.5	0.5954067617318846		4		NO_GO_RESOLUTION_GUARDRAIL													1.0	2.0	type 1 diabetes mellitus	1.4339584334150557	0.0049097425501504	0.8344760564031432	0.0	0.0	0.0	0.0			0.0			0.0	UNRESOLVED	-0.5151658166982862	0.920009505703422	False								False	True	False	True	True	True
resolution_perturbation_guardrail	GpnmbR150X_OxLDL_vs_WT_OxLDL	GPNMB	wave35_resolution_perturbation	GSE274954_GpnmbR150X_BMDM_OxLDL	GpnmbR150X under OxLDL lipid loading		-0.5109905229076225	-0.1366754684018561	-0.5109905229076225	0.5	1.040895514810648		4		NO_GO_RESOLUTION_GUARDRAIL													1.0	2.0	type 1 diabetes mellitus	1.4339584334150557	0.0049097425501504	0.8344760564031432	0.0	0.0	0.0	0.0			0.0			0.0	UNRESOLVED	-0.5151658166982862	0.920009505703422	False								False	True	False	True	True	True
resolution_perturbation_guardrail	StrokeAged_BEX_vs_StrokeAged_vehicle	RXR_LXR_PPAR	wave35_resolution_perturbation	GSE287142_RXR_bexarotene_CNS_myeloid	RXR agonist bexarotene CNS myeloid		0.102593132477537	0.3844350594900011	-0.28184192701246413	0.5	-0.4437511313949071		4		NO_GO_RESOLUTION_GUARDRAIL																																								False	True	True	False	True	True
resolution_perturbation_guardrail	Young_BEX_vs_Young_vehicle	RXR_LXR_PPAR	wave35_resolution_perturbation	GSE287142_RXR_bexarotene_CNS_myeloid	RXR agonist bexarotene CNS myeloid		0.1896512836827202	0.0168264854192772	0.172824798263443	0.5	-0.8593501105839116		4		NO_GO_RESOLUTION_GUARDRAIL																																								False	True	True	False	True	True
resolution_perturbation_guardrail	IFNg_Tconv_phago_vs_IFNg_nonphago	UNRESOLVED	wave35_resolution_perturbation	GSE325329_ifng_il10_phagocytic_macrophages	IFNg-polarized phagocytic vs non-phagocytic macrophages		0.0408341700424698	-0.016225703988979	0.0408341700424698	0.5	0.3182675232794413		4		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								False	True	True	False	True	True
resolution_perturbation_guardrail	IL10_Tconv_phago_vs_IL10_nonphago	IL10	wave35_resolution_perturbation	GSE325329_ifng_il10_phagocytic_macrophages	IL10-polarized phagocytic vs non-phagocytic macrophages		-0.1669170841905922	0.0224697180976046	-0.1893868022881968	0.5	-0.327058679931495		4		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.5386340709389863	0.0920894843746553	0.8989378106274888	0.0	0.0	0.0	0.0		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	14.0	CHEMBL3712920		0.0	UNRESOLVED	-0.5103208039261532	0.9971256078463696	False								False	True	True	False	True	True
resolution_perturbation_guardrail	Mertk_dependency_6h_interaction	MERTK	wave35_resolution_perturbation	GSE156234_Mertk_scRNA_pseudobulk	MERTK-dependent component of 6h efferocytosis response; descriptive		0.9098198410936518	0.7293722471384959	0.18044759395515586	0.75	-1.58590030113973	descriptive_no_replication	3		NO_GO_RESOLUTION_GUARDRAIL													0.0	2.0		0.2471109034794576	0.4292940108131474	0.9195199515584406	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0			0.0	UNRESOLVED	-0.6588710945316293	0.920009505703422	False								True	True	True	False	False	False
resolution_perturbation_guardrail	GpnmbR150X_OxLDL_interaction	GPNMB	wave35_resolution_perturbation	GSE274954_GpnmbR150X_BMDM_OxLDL	GPNMB mutation effect under OxLDL beyond baseline genotype effect		0.7598157209247695	-0.0877806624748182	0.7598157209247695	0.75	0.4454887530787634	descriptive_no_replication	3		NO_GO_RESOLUTION_GUARDRAIL													1.0	2.0	type 1 diabetes mellitus	1.4339584334150557	0.0049097425501504	0.8344760564031432	0.0	0.0	0.0	0.0			0.0			0.0	UNRESOLVED	-0.5151658166982862	0.920009505703422	False								True	True	True	False	False	False
resolution_perturbation_guardrail	LIPA_KO_vs_WT	LIPA	wave35_resolution_perturbation	GSE100260_human_LIPA_KO_iPSC_macrophages	human iPSC macrophage LIPA loss		0.5739519763629953	0.2548708925993236	0.3190810837636717	0.5	0.5648025947896795		3		NO_GO_RESOLUTION_GUARDRAIL													3.0	1.0	Crohn disease;psoriasis;type 1 diabetes mellitus	0.4580110941773352	0.2725305004844303	0.9049965616313804	0.0	0.0	2.0	0.0	t1d_ductal_cell|lipid_loader_repair:0.275,p=0.00031;t1d_ductal_cell|c1q_phagocytic_myeloid:0.316,p=0.0015;t1d_ductal_cell|hif_nampt_metabolic:0.233,p=0.0016;t1d_ductal_cell|complement_phagocytosis:0.312,p=0.0019;psoriasis_keratinocyte|inflammatory_nfkb:0.271,p=0.023		0.0			0.0	UNRESOLVED	-0.2765501534620043	1.0	False	NO_GO_MODEL_SCREEN							True	True	False	False	False	True
resolution_perturbation_guardrail	MertkKO_2h_AC_vs_MertkKO_Ctrl	MERTK	wave35_resolution_perturbation	GSE156234_Mertk_scRNA_pseudobulk	MertkKO efferocytosis 2h; one pseudobulk sample per condition		0.3561799472283261	1.4165342200682045	-1.0603542728398785	0.5	-0.479720710373813	descriptive_no_replication	3		NO_GO_RESOLUTION_GUARDRAIL													0.0	2.0		0.2471109034794576	0.4292940108131474	0.9195199515584406	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0			0.0	UNRESOLVED	-0.6588710945316293	0.920009505703422	False								True	False	True	False	True	False
resolution_perturbation_guardrail	WT_6h_AC_vs_WT_Ctrl	UNRESOLVED	wave35_resolution_perturbation	GSE156234_Mertk_scRNA_pseudobulk	WT efferocytosis 6h; one pseudobulk sample per condition		0.2363136854115386	0.6817353665670004	-0.44542168115546177	0.5	-0.5055071104405635	descriptive_no_replication	3		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								False	True	True	False	True	False
resolution_perturbation_guardrail	LipaOE_vs_Control_plaque	UNRESOLVED	wave35_resolution_perturbation	GSE285961_mouse_LipaOE_plaque_macrophages	mouse plaque macrophage Lipa overexpression		0.24384556727275	0.502704012906867	-0.258858445634117	0.5	-0.6048251331555702		3		NO_GO_RESOLUTION_GUARDRAIL													0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0			0.0			0.0				False								False	True	True	False	False	True
resolution_perturbation_guardrail	Mertk_dependency_2h_interaction	MERTK	wave35_resolution_perturbation	GSE156234_Mertk_scRNA_pseudobulk	MERTK-dependent component of 2h efferocytosis response; descriptive		-0.0299109656864703	-2.000016857521844	-0.0299109656864703	0.5	0.402236814867535	descriptive_no_replication	2		NO_GO_RESOLUTION_GUARDRAIL													0.0	2.0		0.2471109034794576	0.4292940108131474	0.9195199515584406	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0			0.0	UNRESOLVED	-0.6588710945316293	0.920009505703422	False								False	True	True	False	False	False
resolution_perturbation_guardrail	MertkKO_6h_AC_vs_MertkKO_Ctrl	MERTK	wave35_resolution_perturbation	GSE156234_Mertk_scRNA_pseudobulk	MertkKO efferocytosis 6h; one pseudobulk sample per condition		-0.6735061556821131	-0.0476368805714955	-0.6735061556821131	0.25	1.0803931906991666	descriptive_no_replication	2		NO_GO_RESOLUTION_GUARDRAIL													0.0	2.0		0.2471109034794576	0.4292940108131474	0.9195199515584406	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0			0.0	UNRESOLVED	-0.6588710945316293	0.920009505703422	False								False	True	False	False	True	False
real_direct_perturbation	TNFRSF1A	TNFRSF1A	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	0.9683862679530189	0.305972733625738	0.6624135343272808	0.6211601610564657	0.0916741628240335	MS_directionally_unsafe_TNF_axis	6	6.7789663484812515	NO_GO_WAVE61_GUARDRAIL	True	True	True	True	False	False	False	False	False	True	True	False	0.0	0.0		-0.1651855861386195	0.3190864538699107	0.9120391943246274	0.0	0.0	0.0	0.0		NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	7.0			0.0	UNRESOLVED	-0.2614917985424763	0.9971256078463696	False													
real_direct_perturbation	PLEK	PLEK	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	0.0637272869158896	0.0	0.0637272869158896	0.0612576752638293	0.0		6	2.5943561245478044	NO_GO_WAVE61_GUARDRAIL	False	False	True	True	False	False	True	False	False	True	True	True	3.0	0.0	Crohn disease;Sjogren syndrome;ulcerative colitis	0.0008511431179645	0.997174971498952	0.999536131442628	0.0	0.0	0.0	0.0		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4.0			0.0	UNRESOLVED	0.484743985307714	0.920009505703422	False													
real_direct_perturbation	CASP10	CASP10	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	0.0	0.0	0.0	-0.000239789090651	0.0		6	2.5	NO_GO_WAVE61_GUARDRAIL	False	False	True	True	False	False	True	False	True	False	True	True	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.249366701816033	0.2063174319242694	0.8993702893651148	0.0	0.0	2.0	0.0	ibd_uc_epithelial|lysosomal_apc:0.366,p=0.024;ibd_uc_epithelial|complement_phagocytosis:0.367,p=0.024;ibd_uc_epithelial|lipid_loader_repair:0.393,p=0.027;psoriasis_keratinocyte|inflammatory_nfkb:0.387,p=0.032;ibd_uc_epithelial|core_lysosomal_lipid:0.331,p=0.041	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0				False													
real_direct_perturbation	PTPN11	PTPN11	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	0.0	0.0	0.0	-0.0005204511468217	0.0		6	2.5	NO_GO_WAVE61_GUARDRAIL	False	False	True	True	False	False	True	False	False	True	True	True	3.0	1.0	Crohn disease;psoriasis;ulcerative colitis	0.1914483871986583	0.1882167336704368	0.8993702893651148	0.0	0.0	0.0	0.0		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4.0			0.0	UNRESOLVED	-0.7433928569705706	0.9965506589785832	False													
real_direct_perturbation	PRDM1	PRDM1	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	0.0	0.0	0.0	-0.0029204183808801	0.006489818624178		6	2.5	NO_GO_WAVE61_GUARDRAIL	False	False	True	True	False	False	True	False	False	True	True	True	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.0411396810451609	0.9031141115364548	0.9853557740270772	0.0	0.0	0.0	0.0		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	8.0	CHEMBL5214860		0.0	UNRESOLVED	-0.1612087595947517	1.0	False													
real_direct_perturbation	FMNL2	FMNL2	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	0.0	0.0	0.0	-0.0034002539524828	0.0		6	2.5	NO_GO_WAVE61_GUARDRAIL	False	False	True	True	False	False	True	True	True	False	False	True	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.4116873433440275	0.0323812070948891	0.8506970233122761	0.0	0.0	2.0	0.0	ibd_uc_epithelial|lysosomal_apc:0.229,p=0.0011;ibd_uc_epithelial|complement_phagocytosis:0.225,p=0.002;psoriasis_keratinocyte|inflammatory_nfkb:0.663,p=0.049		0.0			0.0				False													
real_direct_perturbation	ETV7	ETV7	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	0.0	0.0	0.0	-0.0071109583131254	0.0		6	2.5	NO_GO_WAVE61_GUARDRAIL	False	False	True	True	False	False	True	False	False	True	True	True	3.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus	1.2818765454897223	0.1865737416259766	0.8993702893651148	0.0	0.0	0.0	0.0		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4.0			0.0				False													
real_direct_perturbation	IFI16	IFI16	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	0.0	0.0	0.0	-0.0110577895715066	0.0245728657144593		6	2.5	NO_GO_WAVE61_GUARDRAIL	False	False	True	True	False	False	True	False	True	False	True	True	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.1455706960923652	0.4127338050377425	0.9182855687364296	0.0	0.0	2.0	0.0	ibd_crohn_myeloid|core_lysosomal_lipid:0.211,p=0.0039;ibd_crohn_myeloid|hla_ii_apc:0.296,p=0.0056;ibd_crohn_myeloid|lipid_loader_repair:0.202,p=0.0069;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.28,p=0.0097;ibd_crohn_myeloid|complement_phagocytosis:0.257,p=0.016;ibd_crohn_myeloid|complement_effector:0.27,p=0.019;ibd_crohn_myeloid|mif_cd74_receptor_state:0.258,p=0.025;ibd_uc_epithelial|lipid_loader_repair:0.518,p=0.045	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0				False													
real_direct_perturbation	IFI16	IFI16	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	0.0	0.0110569272579272	-0.0110569272579272	-0.0162450592122686	0.0		6	2.5	NO_GO_WAVE61_GUARDRAIL	False	False	True	True	False	False	True	False	True	False	True	True	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.1455706960923652	0.4127338050377425	0.9182855687364296	0.0	0.0	2.0	0.0	ibd_crohn_myeloid|core_lysosomal_lipid:0.211,p=0.0039;ibd_crohn_myeloid|hla_ii_apc:0.296,p=0.0056;ibd_crohn_myeloid|lipid_loader_repair:0.202,p=0.0069;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.28,p=0.0097;ibd_crohn_myeloid|complement_phagocytosis:0.257,p=0.016;ibd_crohn_myeloid|complement_effector:0.27,p=0.019;ibd_crohn_myeloid|mif_cd74_receptor_state:0.258,p=0.025;ibd_uc_epithelial|lipid_loader_repair:0.518,p=0.045	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0			0.0				False													
real_direct_perturbation	MTF1	MTF1	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	0.0128036845623382	0.0201039039537286	-0.0073002193913904	-0.0216962458031154	0.0319911698038334		6	2.5128036845623383	NO_GO_WAVE61_GUARDRAIL	False	False	True	True	False	False	True	False	True	False	True	True	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.2966006148315276	0.1717854355945038	0.8993702893651148	0.0	0.0	2.0	0.0	ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.513,p=0.0085;ibd_crohn_myeloid|hla_ii_apc:0.621,p=0.0097;ibd_crohn_myeloid|lipid_loader_repair:0.512,p=0.017;ibd_crohn_myeloid|complement_effector:0.54,p=0.018;ibd_crohn_myeloid|complement_phagocytosis:0.458,p=0.019;ibd_crohn_myeloid|mif_cd74_receptor_state:0.522,p=0.026;ibd_crohn_myeloid|core_lysosomal_lipid:0.436,p=0.033;ibd_crohn_myeloid|lysosomal_apc:0.438,p=0.036	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0			0.0	UNRESOLVED	-0.3026014910952622	0.920009505703422	False													
real_direct_perturbation	SP110	SP110	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	0.0	0.0	0.0	-0.0255415864604528	0.0567590810232285		6	2.5	NO_GO_WAVE61_GUARDRAIL	False	False	True	True	False	False	True	False	False	True	True	True	3.0	0.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.2596999767507064	0.3344619735938268	0.9141270983319502	0.0	0.0	0.0	0.0		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4.0			0.0	UNRESOLVED	-0.2058689558197524	1.0	False													
real_direct_perturbation	SP110	SP110	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	0.0	0.0	0.0	-0.0399127760133119	0.0886950578073599		6	2.5	NO_GO_WAVE61_GUARDRAIL	False	False	True	True	False	False	True	False	False	True	True	True	3.0	0.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.2596999767507064	0.3344619735938268	0.9141270983319502	0.0	0.0	0.0	0.0		PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4.0			0.0	UNRESOLVED	-0.2058689558197524	1.0	False													
real_direct_perturbation	STAT1	STAT1	Mixscale_CRISPRi	GSE281048_Zenodo14035992	stimulated human cancer-cell pathway Perturb-seq	CRISPRi_gene	1.0117337805990914	1.4081139020072244	-0.396380121408133	-0.4012258865119662	0.0	generic_IFN_transcription_axis	6	3.0117337805990916	NO_GO_WAVE61_GUARDRAIL	True	False	False	True	False	False	True	False	True	True	True	False	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	0.5378996098681981	0.1363451431707629	0.8989378106274888	0.1650265748367996	3.0	2.0	0.0	ibd_crohn_myeloid|hla_ii_apc:0.74,p=0.00061;ibd_crohn_stromal|complement_effector:0.524,p=0.001;ibd_crohn_myeloid|c1q_phagocytic_myeloid:0.942,p=0.0025;psoriasis_skin_stromal|hif_nampt_metabolic:0.578,p=0.0041;ibd_crohn_myeloid|complement_phagocytosis:0.916,p=0.0042;ibd_crohn_stromal|inflammatory_nfkb:0.707,p=0.0043;psoriasis_skin_stromal|inflammatory_nfkb:0.553,p=0.0063;ibd_crohn_myeloid|lipid_loader_repair:0.878,p=0.0069	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	5.0			0.0	UNRESOLVED	0.3194300436646786	1.0	False													
real_direct_perturbation	Med16_KO	MED16	mouse_macrophage_RNAseq	GSE162464	primary mouse macrophage RNA-seq, triplicates	gene_knockout	3.139501453617054	0.797854931783739	2.3416465218333142	2.3051173986620066	0.0	broad_transcriptional_Mediator_risk	5	10.792060152948057	NO_GO_WAVE61_GUARDRAIL	True	True	True	True	True	False	False	False	False	False	False	False	2.0	0.0	Crohn disease;type 1 diabetes mellitus	-0.0601508185563499	0.8241295054203107	0.9761732664217524	0.0	0.0	0.0	0.0			0.0			0.0	UNRESOLVED	-0.3024523320159538	0.920009505703422	False													
real_direct_perturbation	Gsk3b_KO	GSK3B	mouse_macrophage_RNAseq	GSE162464	primary mouse macrophage RNA-seq, triplicates	gene_knockout	1.6223580114004137	0.7952007387801626	0.8271572726202511	0.7779563820432978	0.0	pleiotropic_neuroimmune_metabolic	5	8.511336202422061	NO_GO_WAVE61_GUARDRAIL	True	True	True	True	True	False	False	False	False	False	False	False	1.0	0.0	Crohn disease	-0.1319846584560178	0.4753109636188744	0.925497453503607	0.0	0.0	0.0	0.0			0.0			0.0	UNRESOLVED	-0.2857529702888866	0.920009505703422	False													
