gene	mean_tweak	mean_vehicle	delta_log2	hedges_g	p_value	q_value_bh
AGMAT	4.035810670008849	3.2647669160654966	0.7710437539433523	11.361123302877136	0.00023100022052352867	0.030499419114886805
SMAD1	10.288605867276107	9.882105098711753	0.4065007685643547	9.563974484831062	0.00023136377605361932	0.030499419114886805
KIAA1671	9.166221407296604	6.936195099772373	2.2300263075242306	8.473328517244582	0.00023173936727146128	0.030499419114886805
LINC00092	0.0	0.9955127072135354	-0.9955127072135354	-42.73002793558987	0.00023359856192175504	0.030499419114886805
PALMD	7.476024193648633	8.27023576852381	-0.7942115748751766	-8.725225511729972	0.00023706939084844106	0.030499419114886805
HJURP	6.842285218021188	4.057530330814092	2.7847548872070957	9.639802983611332	0.00023788353941667098	0.030499419114886805
LOC730338	0.0	0.9955156988898719	-0.9955156988898719	-42.329799240107164	0.00023803521412687248	0.030499419114886805
PPIF	10.487247599451337	9.158891744044963	1.3283558554063735	11.076453837755853	0.0002395483828134264	0.030499419114886805
PIK3R3	9.047605757329054	8.045667646465704	1.0019381108633496	8.103409486020498	0.00024271828597392442	0.030499419114886805
DZIP1	10.356020496286451	9.438809967177951	0.9172105291085	9.028425040534723	0.00024352746907308005	0.030499419114886805
PRMT1	11.824546380824808	10.57243484847959	1.2521115323452179	8.131803930881244	0.00024371801442397308	0.030499419114886805
TLE1	10.439111657227981	11.035615126655605	-0.5965034694276241	-9.481767363591864	0.00024676320609114247	0.030499419114886805
HARS	10.524616832018095	10.186956952002	0.3376598800160959	10.739499512930342	0.0002470460004443988	0.030499419114886805
ZFP91	11.465795987465627	10.964478084397479	0.5013179030681485	12.64315850139846	0.0002472874581726545	0.030499419114886805
C6ORF211	10.054031098820994	11.006108503475813	-0.952077404654819	-8.613009663238277	0.0002477172339430187	0.030499419114886805
SNAI1	6.815817091546356	6.397258300099989	0.4185587914463671	8.679776748862691	0.00024811344566530913	0.030499419114886805
ITM2C	11.804051023231196	12.08336209847308	-0.2793110752418837	-9.351520533934305	0.00024821945237073044	0.030499419114886805
PDIA3	13.323240513310205	12.949849121953434	0.3733913913567708	8.564515497811554	0.0002512846849563934	0.030499419114886805
TMEM106B	10.15065494911932	10.66363999700153	-0.5129850478822107	-8.041540119134481	0.0002521076070425916	0.030499419114886805
TMEM33	9.754394931567948	9.353603765763948	0.40079116580399976	9.634774229255862	0.0002538733582830529	0.030499419114886805
NEFL	0.0	0.9955266844902168	-0.9955266844902168	-40.95320268734994	0.00025430054255014555	0.030499419114886805
TMEM14A	7.962849422241412	8.669150762231835	-0.7063013399904232	-9.297369918638228	0.00025543267676381647	0.030499419114886805
HYOU1	11.784959587150732	10.693163243393016	1.091796343757716	8.576431535916567	0.0002573607679562231	0.030499419114886805
EPB41L1	9.83214313626378	10.569019636797776	-0.736876500533997	-8.252431236843428	0.0002578290405809922	0.030499419114886805
ADAMTS16	0.0	0.9955291891791002	-0.9955291891791002	-40.65811104095317	0.00025800386973506666	0.030499419114886805
ADAMTS7	13.020655931816181	13.649650431133802	-0.6289944993176206	-9.372532379321587	0.0002590924375730788	0.030499419114886805
CCDC80	14.897000047937377	15.446635889239005	-0.5496358413016278	-8.518949821707032	0.00025953952119258425	0.030499419114886805
LOC101929887	1.0048424571604575	0.0	1.0048424571604575	40.439159384108656	0.00026080418247992565	0.030499419114886805
SCN1A	0.0	0.995532390456701	-0.995532390456701	-40.29026073202273	0.00026273466476280257	0.030503144052130393
PITPNC1	7.7078157243409935	8.605616474876156	-0.8978007505351622	-8.697317821789538	0.0002654354543935987	0.030503144052130393
MYBL1	5.133676130715777	3.2126339763630334	1.9210421543527438	7.919511215264283	0.0002657267105177304	0.030503144052130393
ABCC11	0.0	1.5789945971092634	-1.5789945971092634	-39.79786758930236	0.0002692735313359715	0.030543537723337604
BAG2	9.554639493690713	9.084498766962318	0.47014072672839546	8.187994870002964	0.00026934336616699827	0.030543537723337604
CPA4	10.223461615189272	8.576351887006117	1.647109728183155	7.976908912670996	0.0002739688114363642	0.030880906209553072
ANTXR2	11.744676582199197	12.048901203815314	-0.3042246216161164	-8.858333687611905	0.00027669150959736357	0.031001046922612394
LOX	13.33762657649679	12.615725451010375	0.7219011254864149	8.128734873058965	0.0002821115509679532	0.03139880114274107
ILF3	12.079229820631674	11.706771715211216	0.3724581054204581	8.37186693577738	0.0002868171609727329	0.03139880114274107
BTN2A2	9.153650859557787	7.01938801720192	2.1342628423558674	27.168623683408455	0.00028939072463586275	0.03139880114274107
FAHD2B	5.550475785168842	6.333532561027426	-0.7830567758585838	-7.77099805015689	0.0002904280961341607	0.03139880114274107
ZNF267	8.511960791760302	6.501302631094037	2.0106581606662646	10.229043200573198	0.0002912524361595794	0.03139880114274107
BIRC3	10.703107074526146	3.848621732895546	6.8544853416306	36.23679915292423	0.0002917187421364821	0.03139880114274107
CASS4	5.6986483493753255	7.059399095155861	-1.3607507457805355	-9.261445048646179	0.0002919882100816069	0.03139880114274107
VDAC1	12.046684750082425	11.656014656318222	0.3906700937642036	7.985030191578462	0.00029555095462981167	0.031600308069019464
GFRA3	1.0048683751067984	0.0	1.0048683751067984	37.793552927520516	0.0002985786374070109	0.0316083267554148
MBP	8.637821162764311	9.746839299731016	-1.1090181369667054	-18.351258377686094	0.00029900453400183956	0.0316083267554148
TRADD	9.182084231164037	8.775676477488776	0.4064077536752606	7.755486474929352	0.0003048035513579827	0.03204033286213041
ROR1	10.148367495464596	9.68531236142363	0.46305513404096565	7.648577193777924	0.00030764126349858893	0.03204347501854276
FAM43B	1.0048750126260426	0.0	1.0048750126260426	37.1951552748945	0.00030825853793691924	0.03204347501854276
MAP6	8.953765513814396	10.015297259225372	-1.061531745410976	-8.301209395416613	0.0003113441163877637	0.032161918444280416
PRKCQ	1.0048781506473143	0.0	1.0048781506473143	36.92191974614049	0.0003128357199967418	0.032161918444280416
