design	analysis_route	n_per_outcome_group_per_compartment	n_unique_subjects	n_samples	interaction_effect_sd	paired_residual_correlation	composition_imbalance	composition_reliability	alpha	n_simulated_cohorts	n_valid_fits	valid_fit_rate	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	minimum_seed_probability	maximum_seed_probability	median_interaction_estimate_across_seeds	median_interaction_se_across_seeds	maximum_design_condition
paired	composition_adjusted	15	30	60	0.7	0.8	0.0	0.7	0.05	750	750	1.0	0.6973333333333334	0.6635171170096738	0.7291383897106133	0.684	0.708	0.7247605643961106	0.2800641427031299	14.816933118767434
paired	composition_adjusted	15	30	60	0.7	0.8	0.0	1.0	0.05	750	750	1.0	0.7986666666666666	0.7684790647899119	0.8258103507867386	0.788	0.808	0.6961655561845855	0.23580163209460603	16.02255585848534
paired	composition_adjusted	15	30	60	0.7	0.8	0.5	0.7	0.05	750	750	1.0	0.8186666666666667	0.7894906038847538	0.8445949779135475	0.792	0.836	0.8873745838696664	0.28008642978066545	18.067204039221977
paired	composition_adjusted	15	30	60	0.7	0.8	0.5	1.0	0.05	750	750	1.0	0.836	0.8078002085968686	0.8607753839268631	0.824	0.852	0.7220690039767794	0.24032336552948907	16.978844047256754
paired	composition_adjusted	15	30	60	1.0	0.0	0.0	0.7	0.05	750	750	1.0	0.41733333333333333	0.3825506879924556	0.45295849162472146	0.368	0.456	1.0262464348191607	0.5400332660738563	16.00627689167832
paired	composition_adjusted	15	30	60	1.0	0.0	0.0	1.0	0.05	750	750	1.0	0.4146666666666667	0.3799298843150785	0.4502731398058785	0.4	0.436	0.963917317993646	0.5205088951327436	13.147550805652063
paired	composition_adjusted	15	30	60	1.0	0.0	0.5	0.7	0.05	750	750	1.0	0.5186666666666667	0.48290370796558135	0.5542393805079595	0.496	0.564	1.1183973325167524	0.5463519756696591	20.37597435589283
paired	composition_adjusted	15	30	60	1.0	0.0	0.5	1.0	0.05	750	750	1.0	0.42	0.38517254441254056	0.45564279070085656	0.372	0.464	1.0084005788325654	0.5335202211269945	14.849655624151328
paired	composition_adjusted	15	30	60	1.0	0.5	0.0	0.7	0.05	750	750	1.0	0.668	0.6335155037135654	0.7007722925483006	0.652	0.692	1.0016634338159134	0.3977131875061274	14.42891508518335
paired	composition_adjusted	15	30	60	1.0	0.5	0.0	1.0	0.05	750	750	1.0	0.732	0.6991779147766152	0.762457613394533	0.704	0.748	1.0055506871751652	0.36854540456540497	13.95317788068783
paired	composition_adjusted	15	30	60	1.0	0.5	0.5	0.7	0.05	750	750	1.0	0.76	0.7281588971749391	0.7891912637065202	0.74	0.788	1.1282730447860707	0.40249805178546666	19.51562245420366
paired	composition_adjusted	15	30	60	1.0	0.5	0.5	1.0	0.05	750	750	1.0	0.756	0.7240083058060625	0.7853826218310667	0.736	0.784	1.0450265126415732	0.381179127737677	17.23326976238212
paired	composition_adjusted	15	30	60	1.0	0.8	0.0	0.7	0.05	750	750	1.0	0.9106666666666666	0.888105924109087	0.9290420223088076	0.888	0.932	0.989994971113505	0.2769965326330346	13.871478688414784
paired	composition_adjusted	15	30	60	1.0	0.8	0.0	1.0	0.05	750	750	1.0	0.9826666666666667	0.9705713806123953	0.9898427642034419	0.976	0.992	0.9769711178767797	0.23436990135566615	13.12477250569381
paired	composition_adjusted	15	30	60	1.0	0.8	0.5	0.7	0.05	750	750	1.0	0.972	0.9575750411426379	0.9816144816883187	0.96	0.98	1.1560051610761202	0.2823333351762234	16.652004749701508
paired	composition_adjusted	15	30	60	1.0	0.8	0.5	1.0	0.05	750	750	1.0	0.976	0.962382921362768	0.9847658347125189	0.964	0.988	1.0302566112779625	0.242359275617005	14.972086224605697
paired	composition_adjusted	20	40	80	0.0	0.0	0.0	0.7	0.05	750	750	1.0	0.04533333333333334	0.03262003557583651	0.06268045231863743	0.036	0.052	0.01579191692063231	0.46731439387519813	13.620309191498444
paired	composition_adjusted	20	40	80	0.0	0.0	0.0	1.0	0.05	750	750	1.0	0.05333333333333334	0.039408725494952175	0.07181022888818206	0.048	0.06	-0.028338931667455075	0.4483559685544091	10.982785094918018
