analysis	dataset_path	disease_name	compartment	donor_id	disease	group	role	n_cells	cell_types	module	mean_score
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	target_lipid_loader_repair	0.008721013419188215
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	target_complement_phagocytosis	0.16511183818324282
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	target_hif_nampt_metabolic	-0.19046942345050652
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_1	normal	control	target	60	myeloid cell	target_inflammatory_nfkb	-0.01296182802897969
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	endothelial_entry	-0.018974072498138515
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	stromal_retention_fibrosis	0.10964440746872839
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	epithelial_chemokine_entry	-0.21621577644705994
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	tls_lymphoid_niche	0.04833025679715088
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	tl1a_comparator	-0.07632812920303918
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	target_ifn_apc	-0.20119943206339383
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	target_hla_ii_apc	-0.38888742942888316
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	target_lysosomal_apc	-0.2723389697570198
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	target_mif_cd74_receptor_state	-0.35856989153559177
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	target_mixscale_validated_ifng_readout	-0.18334691558119973
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	target_lipid_loader_repair	-0.16223796482724026
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	target_complement_phagocytosis	-0.41536019949271324
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	target_hif_nampt_metabolic	0.126563363227644
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_2	normal	control	target	112	myeloid cell	target_inflammatory_nfkb	0.04035420180000688
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	endothelial_entry	-0.03693524618406829
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	stromal_retention_fibrosis	-0.06674190472142319
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	epithelial_chemokine_entry	-0.1808406150437387
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	HC_3	normal	control	target	135	myeloid cell	tls_lymphoid_niche	-0.055813116798597344
