seed	cluster_size	within_cluster_correlation	beta_shape	n_sequences	naive_arrivals	guarded_arrivals	naive_ever_crossing	naive_final_e_q90	naive_maximum_e_q95	guarded_ever_crossing	guarded_final_e_q90	guarded_maximum_e_q95
57141	4	0.5	0.5	50000	12	3	0.5086	68304.53022857482	8037685.330433762	0.00326	1.110556646778572	2.7236462945915414
57141	4	0.5	0.25	50000	12	3	0.91678	1.824579983983349e+17	8.557918563336843e+20	0.09818	13.779642367417583	67.14915255301038
57141	4	0.75	1.0	50000	12	3	0.08214	3.8138194761790896	62.5031102102298	8e-05	0.5856595763294107	1.309598533175583
57141	4	0.75	0.5	50000	12	3	0.49752	320001.77765117766	136722265.35581136	0.01892	2.393612886530143	7.161258967217837
57141	4	0.75	0.25	50000	12	3	0.8769	3.648583131838867e+18	1.0044323870443268e+23	0.2195	106.47241173948817	855.9014936183722
57142	1	0.0	1.0	50000	12	12	0.00902	1.0010569641004812	5.215589395347179	0.00902	1.0010569641004812	5.215589395347179
57142	1	0.0	0.5	50000	12	12	0.5379	2532.9434844978723	42172.73296686427	0.5379	2532.9434844978723	42172.73296686427
57142	1	0.0	0.25	50000	12	12	0.98458	83348843104397.9	1.4185989280856434e+16	0.98458	83348843104397.9	1.4185989280856434e+16
57142	2	0.25	1.0	50000	12	6	0.01724	1.1913118420506708	7.140291317328927	8e-05	0.3023794310349024	1.2000910762253298
57142	2	0.25	0.5	50000	12	6	0.53612	5167.163917438536	132770.80043211937	0.0213	2.171897639969625	8.601800409964227
57142	2	0.25	0.25	50000	12	6	0.97554	464946095999728.1	1.2066032458138525e+17	0.40068	894.4644861353148	11248.039392259945
57142	2	0.5	1.0	50000	12	6	0.02544	1.4168213056386685	9.461538062188275	0.0001	0.389272208576628	1.473337329616569
57142	2	0.5	0.5	50000	12	6	0.53292	10063.434016528714	395213.5846168182	0.05052	4.366725311164768	20.263097888873865
57142	2	0.5	0.25	50000	12	6	0.96378	1359026706083873.0	7.843263090733116e+17	0.51092	7471.580467971902	140432.6958214802
57142	2	0.75	1.0	50000	12	6	0.03738	1.6836317535617387	13.43791517117168	0.00084	0.542339574284336	1.9261466210873164
57142	2	0.75	0.5	50000	12	6	0.5314	16823.16141743755	960347.5343035895	0.10316	11.176444253726885	62.32920059744364
57142	2	0.75	0.25	50000	12	6	0.94946	6049953452471165.0	8.137793783304166e+18	0.64134	130827.78510906205	3706196.243630527
57142	3	0.25	1.0	50000	12	4	0.02338	1.3660559739041154	8.507657922229098	0.0	0.30753182584002375	0.8985553301423012
57142	3	0.25	0.5	50000	12	4	0.53104	8241.015590043422	284461.642101917	0.00178	0.8443312480109244	2.332105494280213
57142	3	0.25	0.25	50000	12	4	0.96532	1227482571664301.5	6.083036436006188e+17	0.09984	12.973362989642128	62.60140797233811
57142	3	0.5	1.0	50000	12	4	0.04216	1.8352550513098558	15.537800990640356	2e-05	0.39089979694165705	1.096286179091786
57142	3	0.5	0.5	50000	12	4	0.52292	26258.99999431266	1995879.4276370497	0.01056	1.5360055168573883	4.867449643279054
57142	3	0.5	0.25	50000	12	4	0.94002	2.2878308144871668e+16	4.380290496315395e+19	0.21046	76.65608953603673	597.1234299032599
57142	3	0.75	1.0	50000	12	4	0.06156	2.525644053910252	29.034667425909614	0.00026	0.5467750031345404	1.488783701204171
57142	3	0.75	0.5	50000	12	4	0.51032	80682.17293847057	11672364.817764865	0.03612	3.644100465937939	13.566493270825454
57142	3	0.75	0.25	50000	12	4	0.9119	2.6689355068593597e+17	1.680576008580517e+21	0.36112	946.2720198239681	11489.676350686974
57142	4	0.25	1.0	50000	12	3	0.02924	1.5727349193523643	10.270918332098674	0.0	0.34261816409849377	0.7937804014014317
57142	4	0.25	0.5	50000	12	3	0.52386	15333.506247767013	796046.9459560923	0.00024	0.6850803434469169	1.5194238895720646
57142	4	0.25	0.25	50000	12	3	0.9534	4597358173788891.0	4.789430621732441e+18	0.0304	3.5877447074785853	11.26943182931409
