kind	target	axis	n_genes	genes_present	mean_percent_change	median_percent_change	positive_fraction
real_observed	C5a	lipid_loader	0				
real_observed	CD27L	lysosomal_antigen_processing	0				
real_observed	CD27L	interferon_apc	0				
real_observed	CD27L	metabolic_hif_nampt	0				
real_observed	CD27L	inflammatory_cytokine	0				
real_observed	CD27L	complement_phagocytosis	0				
real_observed	CD27L	lipid_loader	0				
real_observed	CD30L	lysosomal_antigen_processing	0				
real_observed	CD30L	interferon_apc	0				
real_observed	CD30L	metabolic_hif_nampt	0				
real_observed	CD30L	inflammatory_cytokine	0				
real_observed	CD30L	complement_phagocytosis	0				
real_observed	CD30L	lipid_loader	0				
real_observed	CT-1	lysosomal_antigen_processing	0				
real_observed	CT-1	interferon_apc	0				
real_observed	CT-1	metabolic_hif_nampt	0				
real_observed	CT-1	inflammatory_cytokine	0				
real_observed	CT-1	complement_phagocytosis	0				
real_observed	CT-1	lipid_loader	0				
real_observed	EGF	lysosomal_antigen_processing	0				
real_observed	EGF	interferon_apc	0				
real_observed	EGF	metabolic_hif_nampt	0				
real_observed	EGF	inflammatory_cytokine	0				
real_observed	EGF	complement_phagocytosis	0				
real_observed	EGF	lipid_loader	0				
real_observed	EPO	lysosomal_antigen_processing	0				
real_observed	EPO	interferon_apc	0				
real_observed	EPO	metabolic_hif_nampt	0				
real_observed	EPO	inflammatory_cytokine	0				
real_observed	EPO	complement_phagocytosis	0				
real_observed	EPO	lipid_loader	0				
real_observed	FGF-beta	lysosomal_antigen_processing	0				
real_observed	FGF-beta	interferon_apc	0				
real_observed	FGF-beta	metabolic_hif_nampt	0				
real_observed	FGF-beta	inflammatory_cytokine	0				
real_observed	FGF-beta	complement_phagocytosis	0				
real_observed	FGF-beta	lipid_loader	0				
real_observed	FLT3L	lysosomal_antigen_processing	0				
real_observed	FLT3L	interferon_apc	0				
real_observed	FLT3L	metabolic_hif_nampt	0				
real_observed	FLT3L	inflammatory_cytokine	0				
real_observed	FLT3L	complement_phagocytosis	0				
real_observed	FLT3L	lipid_loader	0				
real_observed	GITRL	lysosomal_antigen_processing	0				
real_observed	GITRL	interferon_apc	0				
real_observed	GITRL	metabolic_hif_nampt	0				
real_observed	GITRL	inflammatory_cytokine	0				
real_observed	GITRL	complement_phagocytosis	0				
real_observed	GITRL	lipid_loader	0				
real_observed	GM-CSF	lysosomal_antigen_processing	0				
real_observed	GM-CSF	interferon_apc	0				
real_observed	GM-CSF	metabolic_hif_nampt	0				
real_observed	GM-CSF	inflammatory_cytokine	0				
real_observed	GM-CSF	complement_phagocytosis	0				
real_observed	GM-CSF	lipid_loader	0				
real_observed	HGF	lysosomal_antigen_processing	0				
real_observed	HGF	interferon_apc	0				
real_observed	HGF	metabolic_hif_nampt	0				
real_observed	HGF	inflammatory_cytokine	0				
real_observed	HGF	complement_phagocytosis	0				
real_observed	HGF	lipid_loader	0				
real_observed	IFN-alpha1	lysosomal_antigen_processing	0				
real_observed	IFN-alpha1	interferon_apc	0				
real_observed	IFN-alpha1	metabolic_hif_nampt	0				
real_observed	IFN-alpha1	inflammatory_cytokine	0				
real_observed	IFN-alpha1	complement_phagocytosis	0				
real_observed	IFN-alpha1	lipid_loader	0				
real_observed	IFN-epsilon	lysosomal_antigen_processing	0				
real_observed	IFN-epsilon	interferon_apc	0				
real_observed	IFN-epsilon	metabolic_hif_nampt	0				
real_observed	IFN-epsilon	inflammatory_cytokine	0				
real_observed	IFN-epsilon	complement_phagocytosis	0				
real_observed	IFN-epsilon	lipid_loader	0				
real_observed	IFN-gamma	lysosomal_antigen_processing	0				
real_observed	IFN-gamma	interferon_apc	0				
real_observed	IFN-gamma	metabolic_hif_nampt	0				
real_observed	IFN-gamma	inflammatory_cytokine	0				
real_observed	IFN-gamma	complement_phagocytosis	0				
real_observed	IFN-gamma	lipid_loader	0				
real_observed	IFN-lambda1	lysosomal_antigen_processing	0				
real_observed	IFN-lambda1	interferon_apc	0				
real_observed	IFN-lambda1	metabolic_hif_nampt	0				
real_observed	IFN-lambda1	inflammatory_cytokine	0				
real_observed	IFN-lambda1	complement_phagocytosis	0				
real_observed	IFN-lambda1	lipid_loader	0				
real_observed	IFN-lambda2	lysosomal_antigen_processing	0				
real_observed	IFN-lambda2	interferon_apc	0				
real_observed	IFN-lambda2	metabolic_hif_nampt	0				
real_observed	IFN-lambda2	inflammatory_cytokine	0				
real_observed	IFN-lambda2	complement_phagocytosis	0				
real_observed	IFN-lambda2	lipid_loader	0				
real_observed	IFN-lambda3	lysosomal_antigen_processing	0				
real_observed	IFN-lambda3	interferon_apc	0				
real_observed	IFN-lambda3	metabolic_hif_nampt	0				
real_observed	IFN-lambda3	inflammatory_cytokine	0				
real_observed	IFN-lambda3	complement_phagocytosis	0				
real_observed	IFN-lambda3	lipid_loader	0				
real_observed	IFN-omega	lysosomal_antigen_processing	0				
real_observed	IFN-omega	interferon_apc	0				
real_observed	IFN-omega	metabolic_hif_nampt	0				
real_observed	IFN-omega	inflammatory_cytokine	0				
real_observed	IFN-omega	complement_phagocytosis	0				
real_observed	IFN-omega	lipid_loader	0				
real_observed	IL-1-alpha	lysosomal_antigen_processing	0				
real_observed	IL-1-alpha	interferon_apc	0				
real_observed	IL-1-alpha	metabolic_hif_nampt	0				
real_observed	IL-1-alpha	inflammatory_cytokine	0				
real_observed	IL-1-alpha	complement_phagocytosis	0				
real_observed	IL-1-alpha	lipid_loader	0				
real_observed	IL-10	lysosomal_antigen_processing	0				
real_observed	IL-10	interferon_apc	0				
real_observed	IL-10	metabolic_hif_nampt	0				
real_observed	IL-10	inflammatory_cytokine	0				
real_observed	IL-10	complement_phagocytosis	0				
real_observed	IL-10	lipid_loader	0				
real_observed	IL-11	lysosomal_antigen_processing	0				
real_observed	IL-11	interferon_apc	0				
real_observed	IL-11	metabolic_hif_nampt	0				
real_observed	IL-11	inflammatory_cytokine	0				
real_observed	IL-11	complement_phagocytosis	0				
real_observed	IL-11	lipid_loader	0				
real_observed	IL-13	lysosomal_antigen_processing	0				
real_observed	IL-13	interferon_apc	0				
real_observed	IL-13	metabolic_hif_nampt	0				
real_observed	IL-13	inflammatory_cytokine	0				
real_observed	IL-13	complement_phagocytosis	0				
real_observed	IL-13	lipid_loader	0				
real_observed	IL-15	lysosomal_antigen_processing	0				
real_observed	IL-15	interferon_apc	0				
real_observed	IL-15	metabolic_hif_nampt	0				
real_observed	IL-15	inflammatory_cytokine	0				
real_observed	IL-15	complement_phagocytosis	0				
real_observed	IL-15	lipid_loader	0				
real_observed	IL-16	lysosomal_antigen_processing	0				
real_observed	IL-16	interferon_apc	0				
real_observed	IL-16	metabolic_hif_nampt	0				
real_observed	IL-16	inflammatory_cytokine	0				
real_observed	IL-16	complement_phagocytosis	0				
real_observed	IL-16	lipid_loader	0				
real_observed	IL-17A	lysosomal_antigen_processing	0				
real_observed	IL-17A	interferon_apc	0				
real_observed	IL-17A	metabolic_hif_nampt	0				
real_observed	IL-17A	inflammatory_cytokine	0				
real_observed	IL-17A	complement_phagocytosis	0				
real_observed	IL-17A	lipid_loader	0				
real_observed	IL-17B	lysosomal_antigen_processing	0				
real_observed	IL-17B	interferon_apc	0				
real_observed	IL-17B	metabolic_hif_nampt	0				
real_observed	IL-17B	inflammatory_cytokine	0				
real_observed	IL-17B	complement_phagocytosis	0				
real_observed	IL-17B	lipid_loader	0				
real_observed	IL-17C	lysosomal_antigen_processing	0				
real_observed	IL-17C	interferon_apc	0				
real_observed	IL-17C	metabolic_hif_nampt	0				
real_observed	IL-17C	inflammatory_cytokine	0				
