cell_type	donor	gene	active_edge_log2_cpm1	inactive_edge_log2_cpm1	delta_active_minus_inactive	active_edge_n_cells	inactive_edge_n_cells
vascular_cells	12_078	PTGS1	0.0	0.0	0.0	171	29
vascular_cells	12_078	PTGS2	3.7513359345912285	5.803546815692727	-2.052210881101498	171	29
vascular_cells	12_078	TBXA2R	2.581766483604175	0.0	2.581766483604175	171	29
vascular_cells	12_078	TBXAS1	3.455944703120278	3.8790288182756276	-0.4230841151553495	171	29
vascular_cells	12_078	TREM2	1.80461591252293	0.0	1.80461591252293	171	29
vascular_cells	13_047	ALOX5AP	2.622043370490468	0.0	2.622043370490468	376	38
vascular_cells	13_047	APOE	7.183625363304411	6.56111672110324	0.6225086422011703	376	38
vascular_cells	13_047	C1QA	3.325296373931039	0.0	3.325296373931039	376	38
vascular_cells	13_047	GPNMB	3.7960302474866308	5.171321322595161	-1.3752910751085303	376	38
vascular_cells	13_047	PTGS1	0.0	0.0	0.0	376	38
vascular_cells	13_047	PTGS2	5.715952094612348	5.892182932724685	-0.1762308381123372	376	38
vascular_cells	13_047	TBXA2R	1.8391965197755342	0.0	1.8391965197755342	376	38
vascular_cells	13_047	TBXAS1	3.1266955402140515	0.0	3.1266955402140515	376	38
vascular_cells	13_047	TREM2	2.2830803380350764	0.0	2.2830803380350764	376	38
