source	analysis	dataset	disease_name	compartment	axis_family	module	metric	compartment_plausible	n_case	n_control	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
direct_h5ad	ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	OSM_OSMR	osm_ligand_inflammatory	high_fraction	False	6	6	0.30483268873549013	0.265608728760418	0.03922395997507211	0.4405292533841155	0.8266039698384777	0.4284243740396497	0.604188219799506
direct_h5ad	ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	OSM_OSMR	osm_ligand_inflammatory	mean_score	False	6	6	0.17848062253631045	0.002646136956968005	0.17583448557934245	2.1640122735790706	4.060527473211724	0.00752210521007604	0.08495960720487966
direct_h5ad	ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	OSM_OSMR	osm_osmr_core	high_fraction	True	6	6	0.40666040697874317	0.2493129975514584	0.15734740942728478	1.8385649368021761	3.449861873852367	0.012604867467560045	0.07702974563508916
direct_h5ad	ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	OSM_OSMR	osm_osmr_core	mean_score	True	6	6	0.15530690096652502	0.0006979129333612291	0.1546089880331638	2.5805995401361406	4.8422069772967316	0.0014446335204546519	0.05056217321591282
direct_h5ad	ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	OSM_OSMR	osmr_receptor_response	high_fraction	True	6	6	0.40732546082715865	0.2743196241449689	0.13300583668218974	1.2593417262337807	2.3630141750891043	0.04002620543531895	0.15724580706732447
direct_h5ad	ibd_uc_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon epithelial	OSM_OSMR	osmr_receptor_response	mean_score	True	6	6	0.24751279493941494	0.014200868328278509	0.23331192661113642	1.9642254045932663	3.6856497147958276	0.00850312290658635	0.08495960720487966
direct_h5ad	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	C1Q_COMPLEMENT	c1q_core	high_fraction	True	6	6	0.09063738817563764	0.2589463258334617	-0.16830893765782406	-1.7309570019479061	-3.2479475958484465	0.014262672131034288	0.07844469672068859
direct_h5ad	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	C1Q_COMPLEMENT	c1q_core	mean_score	True	6	6	-0.44181428712849186	0.028995898011914753	-0.4708101851404066	-1.5409103530494483	-2.8913462731730855	0.01885731650547566	0.13200121553832964
direct_h5ad	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	C1Q_COMPLEMENT	c1q_phagolysosomal	high_fraction	True	6	6	0.16500998336982634	0.2591240036557593	-0.09411402028593299	-0.9998752109061962	-1.87615422206136	0.09988476624821802	0.32315659668541125
direct_h5ad	ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	C1Q_COMPLEMENT	c1q_phagolysosomal	mean_score	True	6	6	0.0491465462861285	0.027168019639358536	0.021978526646769966	0.15254512630064263	0.2862339016330348	0.7844703754376555	0.9152154380105981
