seed	mode	effect	arrival	n_responders	n_nonresponders	mean_p	minimum_p	maximum_mean_e_factor	mean_unique_score_levels
57133	exact_tied	0.5	6	10	10	0.24263981142696317	5.412544112234515e-06	4.091304351241525	4.90896
57133	exact_tied	0.5	7	4	5	0.365262380952381	0.007936507936507936	1.2125019512673005	4.27318
57133	exact_tied	0.5	8	5	5	0.3461491269841269	0.003968253968253968	1.312413325965015	4.39126
57133	exact_tied	0.5	9	6	6	0.31492690476190477	0.0010822510822510823	1.6690542788784797	4.59334
57133	exact_tied	0.5	10	7	7	0.2936897552447552	0.0002913752913752914	2.127428321860037	4.7218
57133	exact_tied	0.5	11	8	8	0.273551250971251	7.77000777000777e-05	2.6953457036656787	4.80652
57133	exact_tied	0.5	12	10	10	0.2423734824308818	5.412544112234515e-06	3.915097460920667	4.90882
57133	exact_tied	0.9	1	4	5	0.24398730158730159	0.007936507936507936	1.7142841020137791	4.16446
57133	exact_tied	0.9	2	5	5	0.22115626984126982	0.003968253968253968	2.184501178527704	4.25072
57133	exact_tied	0.9	3	6	6	0.18554251082251086	0.0010822510822510823	3.296117470693744	4.46574
57133	exact_tied	0.9	4	7	7	0.15811076923076922	0.0002913752913752914	4.979046050434367	4.61376
57133	exact_tied	0.9	5	8	8	0.1360627055167055	7.77000777000777e-05	7.342724359455238	4.72114
57133	exact_tied	0.9	6	10	10	0.10591905334603476	5.412544112234515e-06	15.798826139472014	4.84814
57133	exact_tied	0.9	7	4	5	0.24293031746031746	0.007936507936507936	1.729194725436851	4.16384
57133	exact_tied	0.9	8	5	5	0.22034182539682534	0.003968253968253968	2.2030004549843594	4.25056
57133	exact_tied	0.9	9	6	6	0.18322528138528138	0.0010822510822510823	3.3605619797407362	4.46946
57133	exact_tied	0.9	10	7	7	0.1582727389277389	0.0002913752913752914	4.989961104947199	4.61448
57133	exact_tied	0.9	11	8	8	0.1361720668220668	7.77000777000777e-05	7.428580538971319	4.72176
57133	exact_tied	0.9	12	10	10	0.1044280825521228	5.412544112234515e-06	15.813724638968264	4.849
57133	v42_plus_one_mc_tied	0.0	1	4	5	0.5500165583441656	0.006099390060993901	0.9470409088280862	4.32434
57133	v42_plus_one_mc_tied	0.0	2	5	5	0.5427781501849814	0.0023997600239976003	0.955401501581255	4.47028
57133	v42_plus_one_mc_tied	0.0	3	6	6	0.5339013778622138	0.0004999500049995	0.9643010713179213	4.65514
57133	v42_plus_one_mc_tied	0.0	4	7	7	0.5258816818318168	0.00039996000399960006	0.972797526766814	4.78324
