n_simulated_cohorts	n_valid_fits	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_z	median_one_step_log_hr	median_events	median_usable_n	stack	attendance_mode	death_mode	switch_mode	site_mode	route	n_requested	event_probability_before_ascertainment	molecular_progression_hr	median_latent_events	median_confirmable_events	median_missed_confirmations	median_false_confirmations	seed
800	800	329	0.41125	0.37765563299001853	0.4456926175364891	0.0	0.41125	-1.7647560466239616	-0.10200384576687677	292.0	1349.0	joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.0	449.0	360.0	36.0	0.0	55401
800	800	757	0.94625	0.928381925427825	0.9598529275586093	0.94625	0.0	3.4838540641063904	0.20446646232167848	294.0	1350.0	joint_miss_10pct	joint	none	none	balanced	guarded_within_site_stratified	1500	0.3	1.5	450.0	362.0	36.0	0.0	55401
800	800	55	0.06875	0.05319818610894127	0.08842359461845435	0.03125	0.0375	0.04345024098112981	0.005840749683094828	54.0	406.0	independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	450	0.15	1.0	67.0	52.0	0.0	8.0	55401
800	800	438	0.5475	0.5128638732045729	0.5816821335558877	0.5475	0.0	2.077815833979508	0.28423387304110576	55.0	405.0	independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	450	0.15	1.5	68.0	53.0	0.0	8.0	55401
800	800	36	0.045	0.032679556110122895	0.0616692212370423	0.0225	0.0225	-0.001090779391090033	-0.00010952415443697985	103.0	405.0	independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	450	0.3	1.0	135.0	108.0	0.0	7.0	55401
800	800	655	0.81875	0.7905528114197324	0.843900654999149	0.81875	0.0	2.9664829263259085	0.2927660395658162	104.0	405.0	independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	450	0.3	1.5	136.0	110.0	0.0	7.0	55401
800	800	34	0.0425	0.03057072542368845	0.05880194630450512	0.0225	0.02	0.002478970489840131	0.00024364697593245028	108.0	811.0	independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	900	0.15	1.0	135.0	105.0	0.0	15.0	55401
800	800	661	0.82625	0.7984517840469745	0.850929999228822	0.82625	0.0	2.910807572397066	0.2810822053035582	109.0	810.0	independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	900	0.15	1.5	135.0	105.0	0.0	16.0	55401
800	800	35	0.04375	0.03162362448958758	0.060237100048091796	0.0225	0.02125	-0.026787789294224415	-0.0018419600820892518	208.0	810.0	independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	900	0.3	1.0	271.0	217.0	0.0	14.0	55401
800	800	793	0.99125	0.9820495953265953	0.995755158801328	0.99125	0.0	4.088578813457811	0.284717246403267	208.0	810.0	independent_false_2pct	none	independent	none	balanced	guarded_within_site_stratified	900	0.3	1.5	270.0	218.0	0.0	13.0	55401
