predictor	analysis	disease_name	compartment	role	n_case	rho	p
osmr_receptor_core	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	1.0	0.0
osmr_receptor_core	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	0.6	0.28475697986529386
osmr_receptor_core	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	0.19999999999999998	0.7470600781046621
osmr_receptor_core	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	0.7999999999999999	0.2000000000000001
osmr_signal_response	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	0.48571428571428577	0.3287230320699708
osmr_signal_response	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	0.4285714285714286	0.3965014577259473
osmr_signal_response	ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	6	0.14285714285714288	0.7871720116618076
osmr_signal_response	ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	6	-0.2	0.7040000000000001
osmr_signal_response	ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	6	0.2	0.7040000000000001
osmr_signal_response	ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	6	0.7142857142857143	0.11078717201166179
osmr_signal_response	psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	3	-0.5	0.6666666666666666
osmr_signal_response	psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	3	0.5	0.6666666666666666
osmr_signal_response	psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	3	0.5	0.6666666666666666
osmr_signal_response	ra_blood_myeloid	rheumatoid arthritis	blood myeloid/APC	myeloid_apc	18	0.17440660474716205	0.48883870995933676
osmr_signal_response	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	9	0.049999999999999996	0.8983528043506303
osmr_signal_response	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	0.5181818181818182	0.10249153979096377
osmr_signal_response	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	0.309090909090909	0.3848412302612833
osmr_signal_response	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	-0.09999999999999999	0.8728885715695384
osmr_signal_response	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	0.5	0.6666666666666666
osmr_signal_response	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	0.7	0.1881204043741873
osmr_signal_response	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	0.09999999999999999	0.8728885715695384
osmr_signal_response	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	0.0	1.0
gene:ABHD2	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	0.4285714285714286	0.3965014577259473
gene:ABHD2	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	0.2	0.7040000000000001
gene:ABHD2	ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	6	0.942857142857143	0.004804664723032055
gene:ABHD2	ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	6	-0.3142857142857143	0.5440932944606415
gene:ABHD2	ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	6	0.5428571428571429	0.26570262390670546
gene:ABHD2	ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	6	0.8285714285714287	0.04156268221574335
gene:ABHD2	psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	3	-1.0	0.0
gene:ABHD2	psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	3	-1.0	0.0
gene:ABHD2	psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	3	-1.0	0.0
gene:ABHD2	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	9	0.65	0.058073058017148654
gene:ABHD2	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	0.7818181818181819	0.004473162252783042
gene:ABHD2	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	0.4545454545454545	0.18690481034933198
gene:ABHD2	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	0.09999999999999999	0.8728885715695384
gene:ABHD2	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	-1.0	0.0
gene:ABHD2	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	0.3	0.623837664781073
gene:ABHD2	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	0.6	0.28475697986529386
gene:ABHD2	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	0.7999999999999999	0.2000000000000001
gene:ACSL1	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	0.942857142857143	0.004804664723032055
gene:ACSL1	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	-0.6	0.208
gene:ACSL1	ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	6	-0.2	0.7040000000000001
gene:ACSL1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	6	-0.2	0.7040000000000001
gene:ACSL1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	6	0.028571428571428574	0.9571545189504373
gene:ACSL1	ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	6	0.48571428571428577	0.3287230320699708
gene:ACSL1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	3	-0.5	0.6666666666666666
gene:ACSL1	psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	3	1.0	0.0
gene:ACSL1	psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	3	1.0	0.0
gene:ACSL1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	9	0.08333333333333334	0.831214097710308
gene:ACSL1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	0.6727272727272727	0.02331303983318598
gene:ACSL1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	0.13939393939393938	0.7009318849100583
gene:ACSL1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	-0.3	0.623837664781073
gene:ACSL1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	-0.5	0.6666666666666666
gene:ACSL1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	0.7	0.1881204043741873
gene:ACSL1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	0.09999999999999999	0.8728885715695384
gene:ACSL1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	-0.39999999999999997	0.6
gene:ACSL3	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	0.8285714285714287	0.04156268221574335
gene:ACSL3	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	0.3714285714285715	0.4684781341107872
gene:ACSL3	ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	6	-0.48571428571428577	0.3287230320699708
gene:ACSL3	ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	6	0.3714285714285715	0.4684781341107872
gene:ACSL3	ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	6	0.08571428571428573	0.8717434402332361
gene:ACSL3	ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	6	0.942857142857143	0.004804664723032055
gene:ACSL3	psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	3	-1.0	0.0
gene:ACSL3	psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	3	-0.5	0.6666666666666666
gene:ACSL3	psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	3	0.5	0.6666666666666666
gene:ACSL3	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	9	0.7333333333333334	0.024554150071469705
gene:ACSL3	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	0.7363636363636363	0.009759535959916903
gene:ACSL3	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	0.309090909090909	0.3848412302612833
gene:ACSL3	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	-0.3	0.623837664781073
gene:ACSL3	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	0.5	0.6666666666666666
gene:ACSL3	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	0.7999999999999999	0.10408803866182788
gene:ACSL3	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	0.7	0.1881204043741873
gene:ACSL3	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	0.7999999999999999	0.2000000000000001
gene:ACSL4	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	0.48571428571428577	0.3287230320699708
gene:ACSL4	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	-0.028571428571428574	0.9571545189504373
gene:ACSL4	ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	6	0.14285714285714288	0.7871720116618076
gene:ACSL4	ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	6	-0.14285714285714288	0.7871720116618076
gene:ACSL4	ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	6	-0.3142857142857143	0.5440932944606415
gene:ACSL4	ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	6	0.2571428571428572	0.6227871720116619
gene:ACSL4	psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	3	-0.5	0.6666666666666666
gene:ACSL4	psoriasis_skin_apc	psoriasis	skin APC	myeloid_apc	3	-0.5	0.6666666666666666
gene:ACSL4	psoriasis_skin_stromal	psoriasis	skin stromal	tissue_resident	3	0.5	0.6666666666666666
gene:ACSL4	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	myeloid_apc	9	0.6666666666666667	0.049867230568885125
gene:ACSL4	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	tissue_resident	11	0.6727272727272727	0.02331303983318598
gene:ACSL4	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	10	0.41818181818181815	0.22911284098281895
gene:ACSL4	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	5	0.3	0.623837664781073
gene:ACSL4	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	3	0.5	0.6666666666666666
gene:ACSL4	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	5	0.7999999999999999	0.10408803866182788
gene:ACSL4	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	5	0.6	0.28475697986529386
gene:ACSL4	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	4	1.0	0.0
gene:AGRN	ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	6	-0.3714285714285715	0.4684781341107872
gene:AGRN	ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	6	0.7714285714285715	0.07239650145772594
gene:AGRN	ibd_crohn_stromal	Crohn disease	colon stromal	tissue_resident	6	0.6571428571428573	0.1561749271137024
gene:AGRN	ibd_uc_epithelial	ulcerative colitis	colon epithelial	tissue_resident	6	-0.028571428571428574	0.9571545189504373
gene:AGRN	ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	6	-0.7714285714285715	0.07239650145772594
gene:AGRN	ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	6	0.8857142857142858	0.01884548104956266
gene:AGRN	psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	3	-0.5	0.6666666666666666
