predictor	analysis	disease_name	compartment	n_case	n_control	delta_case_minus_control_z	p	positive_nominal
gene:NME1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.31762730935759736	0.4887273156137189	False
gene:SNRPG	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.015025155024981113	0.9807823992566467	False
gene:SNRPG	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.9741488280618349	0.0963535856084842	False
gene:SNRPG	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.23647601456428563	0.7021995901761612	False
gene:SNRPG	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	-0.009049817527957305	0.9883776884130738	False
gene:SNRPG	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.549877583335372	0.3680401234337489	False
gene:SNRPG	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.5766776611536502	0.34354861881344134	False
gene:SNRPG	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.4484500448608093	0.059704128481318036	True
gene:SNRPG	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.2607970619408849	0.7910269276796884	False
gene:SNRPG	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.6369955031357692	0.015954341845255342	True
gene:SNRPG	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.24416307991843034	0.5550914913766868	False
gene:SNRPG	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.18061168467951405	0.6566514318937698	False
gene:SNRPG	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.3393344154018382	0.3852676519088827	False
gene:SNRPG	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.3911714298720876	0.0003115400619511398	True
gene:SNRPG	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.029662698666028	0.26197146146395084	False
gene:SNRPG	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.8976166744277875	0.018144131542152712	True
gene:SNRPG	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.4003251755700659	0.2381407665624651	False
gene:SNRPG	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.8385260488993682	0.01556894672366854	True
gene:GK	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.6832209995465721	0.2652653533881203	False
gene:GK	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.5350887407037905	0.007064171701151409	True
gene:GK	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.785814523728458	0.2132445914651038	False
gene:GK	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.0370349192824584	0.0923445421991826	True
gene:GK	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.606171264790852	0.003967819402634028	True
gene:GK	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.2516523738845615	0.037842028394175664	True
gene:GK	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	0.9936035476965284	0.28708822535821604	False
gene:GK	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.9747236741776047	0.32680155491235136	False
gene:GK	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	0.7792486698344203	0.4081182200566433	False
gene:GK	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.5605143490218102	0.17253422437260574	False
gene:GK	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.5810614698202663	0.13716769751170524	False
gene:GK	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.4470324010075369	0.33292134056714556	False
gene:GK	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.6533147356129985	0.2604588396928505	False
gene:GK	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.24589313411983788	0.6587973917762628	False
gene:GK	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	1.0200747689996084	0.12828352708623103	False
gene:GK	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.8079928674134554	0.07917475353618116	True
gene:GK	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.5244527737450675	0.4888607839576402	False
gene:LIPA	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.2034350462876047	0.04626555657829443	True
gene:LIPA	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-1.1958186598856417	0.03828761062566495	False
gene:LIPA	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.09507295273549497	0.8790067530900804	False
gene:LIPA	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.4530649375441054	0.4741913035130606	False
gene:LIPA	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-1.2730869590363607	0.02775210390682472	False
gene:LIPA	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.1111140082312549	0.8579469835303073	False
gene:LIPA	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.7183922552823758	0.00721650859591964	True
gene:LIPA	psoriasis_skin_apc	psoriasis	skin APC	3	3	-0.14385033404781192	0.8858206323741139	False
gene:LIPA	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.2791668470115862	0.12230036794669498	False
gene:LIPA	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.7031722615703315	0.07952260451838533	False
gene:LIPA	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.024373804963344046	0.9535785261605143	False
gene:LIPA	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.5343312260051891	0.19532917142389322	False
gene:LIPA	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.357444648693913	0.07133709484063012	True
gene:LIPA	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.7685091246964406	0.6088745763120997	False
gene:LIPA	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	1.8155305538892854	0.0015668692536479065	True
gene:LIPA	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.4465210038221794	0.359747309238522	False
gene:LIPA	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.39239404910187864	0.38758883583103454	False
gene:PSME1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.845475768575934	0.16623161465334685	False
gene:PSME1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.869411221975289	0.1497389687587606	False
gene:PSME1	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.060012370883533825	0.9232614813507479	False
gene:PSME1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.2507797769207658	0.690876609599366	False
gene:PSME1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.5954011184630825	0.0008779995630459077	True
gene:PSME1	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.3950978227021551	0.5199704088761178	False
gene:PSME1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.4151748918187161	0.07019504974395266	True
gene:PSME1	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.562005108063849	0.0392233420916118	True
gene:PSME1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	0.04187481654616561	0.965602462528105	False
gene:PSME1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.582294788752385	0.1814748997619591	False
gene:PSME1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.12416453205212388	0.7668912767701328	False
gene:PSME1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	0.05542485673733388	0.8871297860333125	False
gene:PSME1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.6020468794435376	0.013989643974742108	True
gene:PSME1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.256649424174625	0.33467321381190196	False
gene:PSME1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	1.3578766112207845	0.027951819445259426	True
gene:PSME1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.8091420864437396	0.10154768887958188	False
gene:PSME1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.6350088318761913	0.23783212157910824	False
gene:APOL1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.2278027703854812	0.040945194904817066	True
gene:APOL1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.8632789153573392	0.1562667979208301	False
gene:APOL1	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.6294789940266033	0.2987269172139737	False
gene:APOL1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.6631317999236424	0.0018315699686645697	True
gene:APOL1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	0.7228291476035182	0.2334002987959431	False
gene:APOL1	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	-0.2811138938381461	0.6489922177951106	False
gene:APOL1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.168834177083172	0.2373900741626253	False
gene:APOL1	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.7963818798548001	0.0014281990749967903	True
gene:APOL1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.7952746385009992	0.004407206766484351	True
gene:APOL1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.13139129718131765	0.7930852410273597	False
gene:APOL1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.6876781760972033	0.10428719503322015	False
gene:APOL1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.0042204187638127805	0.9921209333364672	False
gene:APOL1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.3457488699455742	0.18580855904332977	False
gene:APOL1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.129987866487991	0.4341420749595428	False
gene:APOL1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.7214928819507707	0.12062622053868056	False
gene:APOL1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.09800697231336197	0.8581477409189694	False
gene:APOL1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.21905458830197566	0.6863699908090974	False
gene:TTYH3	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.5581497493539107	0.0027319393996478735	True
gene:TTYH3	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.4844547574571053	0.42818541750979217	False
gene:TTYH3	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.8115532845125608	0.19686074590073518	False
gene:TTYH3	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.5949471215857969	0.0021499306209786964	True
gene:TTYH3	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-0.40529407449724353	0.509838832251379	False
gene:TTYH3	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.4350513954343158	0.010158227027478936	True
gene:TTYH3	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.6547962518093948	0.014367781244433202	True
gene:TTYH3	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.07749977931076721	0.9387536994307238	False
gene:TTYH3	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.7291217409513802	0.006716873593067509	True
gene:TTYH3	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.8831052561643614	0.05369824960821671	False
gene:TTYH3	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.5699091281882516	0.13153610536637633	False
gene:TTYH3	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.38213070286506545	0.3528394285548039	False
gene:TTYH3	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.6314331445710335	0.43142845108708405	False
gene:TTYH3	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	1.0916169204834132	0.3281014258944759	False
gene:TTYH3	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.8801628893107949	0.10800332282083376	False
gene:TTYH3	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.6098862144399058	0.3387008479849257	False
gene:TTYH3	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	-0.0023924472414907395	0.9965081811201711	False
gene:TNFAIP8L1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.1496138674287087	0.8093224408469759	False
gene:TNFAIP8L1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.6157840754236096	0.31311914171389926	False
gene:TNFAIP8L1	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	1.0658950361730704	0.06271493640910028	True
gene:TNFAIP8L1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.9566634737202988	0.09865450327230961	True
gene:TNFAIP8L1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-0.47990674485090723	0.4437687344050033	False
gene:TNFAIP8L1	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.7608466922775552	0.2061600516289441	False
gene:TNFAIP8L1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	-0.1233796750161876	0.9027906589267742	False
gene:TNFAIP8L1	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.021690906698552594	0.9829488210652919	False
gene:TNFAIP8L1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.6659578415882852	0.025586597660259176	True
gene:TNFAIP8L1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.6691079476459538	0.1128860731912399	False
gene:TNFAIP8L1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	0.07381106208583071	0.862594119922164	False
gene:TNFAIP8L1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.5839241570265605	0.14513950222159056	False
gene:TNFAIP8L1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	-0.3063606511666108	0.555281767452808	False
gene:TNFAIP8L1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.20219926133098018	0.4948944371337442	False
gene:TNFAIP8L1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.26538270445175904	0.6422508149661753	False
gene:TNFAIP8L1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.6566716012599524	0.37830135886367	False
gene:TNFAIP8L1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.172878324275317	0.7808731275308514	False
gene:RAB10	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.575913671114927	0.0013799933125141534	True
gene:RAB10	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.571475649233311	0.0029562708390422415	True
gene:RAB10	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	1.0409865001593324	0.06821432712322512	True
gene:RAB10	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.705283479543622	0.2426042268622252	False
gene:RAB10	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.3750461355580117	0.01605362640404012	True
gene:RAB10	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.5157039293855996	0.397536442537097	False
gene:RAB10	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	-1.0739796619889668	0.22038316353255122	False
gene:RAB10	psoriasis_skin_apc	psoriasis	skin APC	3	3	-0.7313430531489871	0.45691639288671865	False
gene:RAB10	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	0.7536135721237993	0.4454826138939557	False
gene:RAB10	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.5001856841869317	0.2305272525197672	False
gene:RAB10	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.5119271687596698	0.19073023560168917	False
gene:RAB10	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.3628991563897729	0.38367833715039773	False
gene:RAB10	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	1.6188606220453374	0.021287670192844776	True
gene:RAB10	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.37189132203004766	0.7388624129261372	False
gene:RAB10	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.7493016921760411	0.1442275263937601	False
gene:RAB10	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.9011371354778853	0.11037626733105953	False
gene:RAB10	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	1.2401283382639443	0.07105863181741662	True
gene:LTA4H	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.6760243578290672	0.26184901374871816	False
gene:LTA4H	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.625817149301565	0.0006431810940655877	True
gene:LTA4H	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.8735340790916767	0.1546607288564674	False
gene:LTA4H	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	-0.42980566488608646	0.48623294255067895	False
gene:LTA4H	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.5648766977661488	0.0023358712934169563	True
gene:LTA4H	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.0743089906112984	0.0758918123669953	True
gene:LTA4H	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	-1.194778450051647	0.2113766852457408	False
gene:LTA4H	psoriasis_skin_apc	psoriasis	skin APC	3	3	-1.0558021865256455	0.23228481889784552	False
gene:LTA4H	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	-0.7070598692809491	0.48514511369356683	False
gene:LTA4H	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.1991608870734038	0.638000470503235	False
gene:LTA4H	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.16202613987296244	0.6885416544557694	False
gene:LTA4H	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.29190638990723855	0.4982142377902955	False
gene:LTA4H	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.9706669933202798	0.1458308681222392	False
gene:LTA4H	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.17039030649171494	0.6436454118797623	False
gene:LTA4H	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.799480742837512	0.32016658190565633	False
gene:LTA4H	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.2233083125478374	0.6419980544759912	False
gene:LTA4H	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.1483238401514327	0.8326670857099946	False
gene:LYPLA1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	0.9908872004138822	0.08510885959888449	True
gene:LYPLA1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	0.08421614413678395	0.8943343430625449	False
gene:LYPLA1	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	0.6241401667403179	0.32190495970305666	False
gene:LYPLA1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.2808369102486412	0.6518734664944167	False
gene:LYPLA1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-0.3958797196319237	0.5210350487060138	False
gene:LYPLA1	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	1.2545412949721964	0.03057902848311917	True
gene:LYPLA1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.5592518089226473	0.030739661000466847	True
gene:LYPLA1	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.0355111417610274	0.29150941560741744	False
gene:LYPLA1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.748005427758049	0.002946716850807341	True
gene:LYPLA1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.5533686769246777	0.18176587427225888	False
gene:LYPLA1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.6579778819048824	0.08202639119689493	False
gene:LYPLA1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.10629562560511467	0.8080745439826132	False
gene:LYPLA1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.2559624370537566	0.547105821015585	False
gene:LYPLA1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.09616475725136825	0.8944323944431805	False
gene:LYPLA1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.17806359120098236	0.6759418877869731	False
gene:LYPLA1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.08807336321347528	0.781696104997414	False
gene:LYPLA1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.9468290846412624	0.08337294285028124	True
gene:AQR	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.3776082162098942	0.00840718585172091	True
gene:AQR	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	-0.2916611209885486	0.6381450581638811	False
gene:AQR	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.6871496822462663	0.2537326423832489	False
gene:AQR	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	0.975087813917626	0.10902557811798506	False
gene:AQR	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	-0.11435765616283763	0.8539568072112916	False
gene:AQR	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	-0.5681715023819891	0.34989206196682743	False
gene:AQR	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.1532538271457757	0.24465280416976554	False
gene:AQR	psoriasis_skin_apc	psoriasis	skin APC	3	3	-0.3982590693737067	0.680976371586154	False
gene:AQR	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.7524500265436387	0.0036400127119854556	True
gene:AQR	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	0.16465125791686547	0.7036277010467876	False
gene:AQR	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.6177614253703607	0.10822115949995817	False
gene:AQR	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.22923738068493726	0.6226441815094439	False
gene:AQR	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.33892152951883825	0.7032244850245899	False
gene:AQR	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.4391413438482403	0.6961423672407403	False
gene:AQR	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.2458901930684515	0.6358933376378082	False
gene:AQR	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	-0.16620363591537923	0.7561846541033843	False
gene:AQR	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.6853005729914713	0.2091348295359131	False
gene:APOL2	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.5431262613705483	0.005170474270086948	True
gene:APOL2	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.2402332264055365	0.039488967211928475	True
gene:APOL2	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	-0.4394950422722578	0.4763132685010066	False
gene:APOL2	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	1.7759069123195297	0.00024030377369841396	True
gene:APOL2	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.3079771335757493	0.024429595664338544	True
gene:APOL2	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.5511908842281154	0.36699201541629334	False
gene:APOL2	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	1.4962135361449302	0.0934850297780366	True
gene:APOL2	psoriasis_skin_apc	psoriasis	skin APC	3	3	1.2480295421728482	0.17534942073772625	False
gene:APOL2	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	1.6095162588918164	0.03160619550662301	True
gene:APOL2	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.270621959954771	0.5699246027170519	False
gene:APOL2	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.0963529291410769	0.8153009097900187	False
gene:APOL2	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.4517427232139414	0.28428280568843184	False
gene:APOL2	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	0.9734844577356215	0.18691357785030707	False
gene:APOL2	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	0.40106990205751336	0.6113447392406683	False
gene:APOL2	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	0.5715822882913505	0.2526253614597114	False
gene:APOL2	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.5517321343123738	0.35988667539193203	False
gene:APOL2	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.5137043259763766	0.4158556016962258	False
gene:ACSL1	ibd_crohn_epithelial	Crohn disease	colon epithelial	6	6	1.1946955696085104	0.03235670406977896	True
gene:ACSL1	ibd_crohn_myeloid	Crohn disease	colon myeloid	6	6	1.436538743249345	0.014546359069019616	True
gene:ACSL1	ibd_crohn_stromal	Crohn disease	colon stromal	6	6	1.4968338197527855	0.009220254760193216	True
gene:ACSL1	ibd_uc_epithelial	ulcerative colitis	colon epithelial	6	6	-0.21916784938964193	0.7249603732456944	False
gene:ACSL1	ibd_uc_myeloid	ulcerative colitis	colon myeloid	6	6	1.3646073873521272	0.02276279996954269	True
gene:ACSL1	ibd_uc_stromal	ulcerative colitis	colon stromal	6	6	0.9561451120052777	0.11156293809523284	False
gene:ACSL1	psoriasis_keratinocyte	psoriasis	skin keratinocyte	3	3	0.34947976785709617	0.7197982973392627	False
gene:ACSL1	psoriasis_skin_apc	psoriasis	skin APC	3	3	0.8674989535975769	0.3877516456474767	False
gene:ACSL1	psoriasis_skin_stromal	psoriasis	skin stromal	3	3	0.836172932564416	0.4020009163183935	False
gene:ACSL1	sjogren_gland_apc	Sjogren syndrome	salivary gland APC	9	13	-0.374626600884222	0.3342373209442541	False
gene:ACSL1	sjogren_gland_epithelial	Sjogren syndrome	salivary gland epithelial	11	14	-0.8135934479922591	0.02992744627963281	False
gene:ACSL1	sjogren_gland_stromal	Sjogren syndrome	salivary gland stromal/endothelial	10	14	-0.10454860596138912	0.7921578775758398	False
gene:ACSL1	t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	5	18	-0.24496081009696605	0.678502468571719	False
gene:ACSL1	t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	3	19	-0.9804116921686796	0.16642405097275534	False
gene:ACSL1	t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	5	19	-0.9366252942468659	0.013108370750296798	False
gene:ACSL1	t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	5	17	0.11661302444143985	0.8045422290449279	False
gene:ACSL1	t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	4	17	0.49141708910690457	0.22117474519582514	False
