path	record_id	relationship_to_project_findings	check	status	detail
knowledge_external/records/method_prediction_model_validation_context.json	claim.probast_tripod.prediction_model_validation_context.2026-06-14	supports	supports_or_contradicts_has_grounded_reference	PASS	supports/contradicts require project_finding_reference.finding_id and .artifact
knowledge_external/records/method_target_direction_tractability_context.json	claim.open_targets.direction_tractability_context.2026-06-14	supports	relationship_allowed	PASS	supports
knowledge_external/records/method_target_direction_tractability_context.json	claim.open_targets.direction_tractability_context.2026-06-14	supports	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/method_target_direction_tractability_context.json	claim.open_targets.direction_tractability_context.2026-06-14	supports	supports_or_contradicts_has_grounded_reference	PASS	supports/contradicts require project_finding_reference.finding_id and .artifact
knowledge_external/records/mhc_ms_finemapping_independent_effects_context.json	claim.plos.ms_mhc_independent_effects_context.2026-06-14	supports	relationship_allowed	PASS	supports
knowledge_external/records/mhc_ms_finemapping_independent_effects_context.json	claim.plos.ms_mhc_independent_effects_context.2026-06-14	supports	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/mhc_ms_finemapping_independent_effects_context.json	claim.plos.ms_mhc_independent_effects_context.2026-06-14	supports	supports_or_contradicts_has_grounded_reference	PASS	supports/contradicts require project_finding_reference.finding_id and .artifact
knowledge_external/records/ms_biomarker_heterogeneity_context.json	claim.cshperspect.ms_biomarker_heterogeneity_context.2026-06-14	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/records/ms_biomarker_heterogeneity_context.json	claim.cshperspect.ms_biomarker_heterogeneity_context.2026-06-14	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/ms_biomarker_heterogeneity_context.json	claim.cshperspect.ms_biomarker_heterogeneity_context.2026-06-14	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/records/ms_disease_course_ppms_context.json	claim.ms_society_uk.ppms_course_context.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/records/ms_disease_course_ppms_context.json	claim.ms_society_uk.ppms_course_context.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/ms_disease_course_ppms_context.json	claim.ms_society_uk.ppms_course_context.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/records/ms_disease_course_rrms_context.json	claim.national_ms_society.rrms_course_context.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/records/ms_disease_course_rrms_context.json	claim.national_ms_society.rrms_course_context.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/ms_disease_course_rrms_context.json	claim.national_ms_society.rrms_course_context.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/records/ms_disease_course_spms_context.json	claim.national_ms_society.spms_course_context.2026-06-13	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/records/ms_disease_course_spms_context.json	claim.national_ms_society.spms_course_context.2026-06-13	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/ms_disease_course_spms_context.json	claim.national_ms_society.spms_course_context.2026-06-13	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	supports	relationship_allowed	PASS	supports
knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	supports	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/ms_ibd_treatment_transfer_caution_context.json	claim.ms_ibd.treatment_transfer_caution_context.2026-06-14	supports	supports_or_contradicts_has_grounded_reference	PASS	supports/contradicts require project_finding_reference.finding_id and .artifact
knowledge_external/records/ms_uc_greater_genetic_correlation_context.json	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	supports	relationship_allowed	PASS	supports
knowledge_external/records/ms_uc_greater_genetic_correlation_context.json	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	supports	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/ms_uc_greater_genetic_correlation_context.json	claim.nature.ms_uc_greater_genetic_correlation_context.2026-06-14	supports	supports_or_contradicts_has_grounded_reference	PASS	supports/contradicts require project_finding_reference.finding_id and .artifact
knowledge_external/records/ra_sle_pregnancy_transcriptome_context.json	claim.ard.ra_sle_pregnancy_transcriptome_context.2026-06-14	orthogonal	relationship_allowed	PASS	orthogonal
knowledge_external/records/ra_sle_pregnancy_transcriptome_context.json	claim.ard.ra_sle_pregnancy_transcriptome_context.2026-06-14	orthogonal	not_project_grounded_marker	PASS	NOT_PROJECT_GROUNDED
knowledge_external/records/ra_sle_pregnancy_transcriptome_context.json	claim.ard.ra_sle_pregnancy_transcriptome_context.2026-06-14	orthogonal	non_link_relationship_does_not_require_reference	PASS	orthogonal/untested do not create convergence or contradiction
