gene	positive_disease_count	positive_diseases	negative_disease_count	negative_diseases	best_p	max_abs_delta
LAIR1	1	type 1 diabetes mellitus	2	Crohn disease;ulcerative colitis	0.0046514946993377	1.8258811014653928
LARP4B	0		0		0.055047875639433	1.2822377423750382
LHX2	0		0		0.2855872551129377	0.6007985513829306
LILRB1	2	Crohn disease;ulcerative colitis	0		0.0067444519845198	1.4020178492437418
LILRB2	2	Crohn disease;ulcerative colitis	0		0.0003013440684522	1.567897511567943
LILRB3	2	Crohn disease;ulcerative colitis	0		0.0067757516671768	1.687098638235085
LILRB4	0		0		0.0459972007873847	0.9083181690922332
LIPA	3	Crohn disease;psoriasis;type 1 diabetes mellitus	1	ulcerative colitis	8.74125080186502e-09	1.9121782816765611
LRRC61	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0		0.0006806053749276	2.6302575724237283
LRRC7	1	type 1 diabetes mellitus	1	ulcerative colitis	0.0353886293784058	1.5385584011034452
LYN	3	Crohn disease;psoriasis;ulcerative colitis	0		0.0014884442769417	2.4250122019920344
MAFB	0		2	psoriasis;ulcerative colitis	0.0018738043737951	2.14895874798681
MAFF	1	Sjogren syndrome	0		0.0426636379065387	1.2797298193100684
MAN1A2	1	Crohn disease	1	type 1 diabetes mellitus	0.0245534005520831	0.7228227888184788
MAP2K3	1	ulcerative colitis	0		0.0013582503794641	1.6012691802929968
MAP3K14	0		0		0.1021760690652722	1.313503957379742
MAP3K7	1	type 1 diabetes mellitus	0		0.0147175641760162	0.6992844690437314
MAPK14	2	psoriasis;ulcerative colitis	0		0.0057131158615536	0.921691171893542
MAPK8	2	Crohn disease;ulcerative colitis	0		0.0117063312150471	0.9371291844220502
MAPK9	0		1	type 1 diabetes mellitus	0.0111267458818212	1.1377517002179802
MCMBP	0		0		0.0273582958265549	0.6373899897895061
MCRS1	1	type 1 diabetes mellitus	0		0.0036680331422064	0.8043581356445881
MED16	2	Crohn disease;type 1 diabetes mellitus	0		0.0019774737151031	1.3898560361308174
MEF2A	1	Crohn disease	0		0.0142744954577427	0.875545910808694
MERTK	0		2	Sjogren syndrome;ulcerative colitis	0.0034729174649706	1.3720515044755257
MGST2	1	type 1 diabetes mellitus	0		0.0012401791920279	1.9519827214901184
MMP9	2	type 1 diabetes mellitus;ulcerative colitis	1	psoriasis	0.0089972503751761	3.508240115052372
MMS22L	1	type 1 diabetes mellitus	0		0.0332506325196845	1.6087150648688775
MREG	1	psoriasis	0		0.0107847777916229	1.3562892651626717
MTF1	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		0.0013138586858016	1.4265316160806765
MTOR	1	Crohn disease	0		0.0408772735849096	0.7152950714630948
MYC	2	Crohn disease;type 1 diabetes mellitus	2	psoriasis;ulcerative colitis	2.78937715650757e-05	2.4396606412433792
NCF1	1	Crohn disease	0		0.0226730873901399	1.0136827821766248
NCF2	2	Crohn disease;ulcerative colitis	1	psoriasis	0.0014781861882922	1.6916571751838505
NDST4	0		1	psoriasis	0.0252922844222642	1.041835690302492
NFAT5	0		1	Sjogren syndrome	0.0460072164677102	1.0004178926052516
NFE2L3	2	Crohn disease;type 1 diabetes mellitus	0		0.0172211611591735	1.4742315898902048
NFKB1	0		0		0.0614195651120613	1.2523551565599913
NFKBIA	0		1	psoriasis	0.0298506935441114	1.7317268964479382
NFKBIE	2	Sjogren syndrome;type 1 diabetes mellitus	0		0.0024456419395053	1.0712961993444714
NKAIN2	0		0		0.1096580771075077	0.4669351619179084
PARK7	2	psoriasis;ulcerative colitis	0		0.0112373384944221	0.8720188387053938
PARP12	2	psoriasis;type 1 diabetes mellitus	0		0.0035720658260506	1.2716641336492072
PCDHB12	0		1	ulcerative colitis	0.0201074695186173	1.175506145043479
PDCD5	3	Crohn disease;psoriasis;ulcerative colitis	0		0.0017912726099049	0.8980582542082436
PDCD6IP	1	type 1 diabetes mellitus	0		0.0013213977800811	0.8737668094812152
PIK3CA	0		0		0.0501608476821143	0.7926698012225408
PLEK	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0		0.0012484799404546	2.202728532717077
PLIN4	1	Sjogren syndrome	0		0.0293811808048105	1.0089772461646942
PLLP	0		1	psoriasis	0.0103883570538248	2.0019060722819475
PLSCR4	0		1	ulcerative colitis	0.0041771987702501	1.921983440913742
POC5	1	type 1 diabetes mellitus	0		0.0059562077595348	1.483562781639467
POU2F1	0		0		0.0522560215858405	1.0359351526905498
PPARG	1	ulcerative colitis	2	psoriasis;ulcerative colitis	0.0157505918461113	1.7437677006893946
PRDM1	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		0.006886006959417	1.3510800988274554
PRKCB	1	Sjogren syndrome	1	psoriasis	0.0078324483146522	1.8514021508104772
PRKDC	1	Crohn disease	0		0.0223771376054224	0.9679285620578426
PROS1	0		1	ulcerative colitis	0.0020709154523873	1.2377528850710782
PSAP	0		1	ulcerative colitis	0.001848673240445	0.8687617781922139
PTGES3	0		0		0.0675960470251938	0.451892015789813
PTGS2	2	Crohn disease;Sjogren syndrome	0		0.0175549239713706	1.345266749247437
PTPN11	3	Crohn disease;psoriasis;ulcerative colitis	1	type 1 diabetes mellitus	0.0001947254760583	0.9623923870816472
