gene	approved_name	wave62_score	wave62_call	manual_blocker	prior_context_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	supporting_l2g_disease_count	supporting_l2g_diseases	ms_max_l2g_score	ms_l2g_study_loci	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	relevant_qtl_coloc_disease_count	relevant_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	max_qtl_h4	ms_max_qtl_h4	ms_max_relevant_qtl_h4	ms_relevant_qtl_biosamples	direction_proxy_values	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	in_lipid_lysosomal_myeloid_neighborhood	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	wave34_call	gwas_catalog_trait_count	chembl_target_id	druggable_activity_count	wave34a_call	wave34a_direction	wave34a_route_reason	wave55_score	wave55_genetic_diseases_ge_0_25	wave61_best_call	wave61_best_manual_blocker	wave61_best_target_suppression	wave61_best_selectivity	gene_norm
TNFSF15	TNF superfamily member 15	2.399786708229124	NO_GO_WAVE62_TARGET_RESOLUTION			0.9050722718238832	Crohn	3	Crohn;Psoriasis;UC	3	Crohn;Psoriasis;UC	0.0		2	Crohn;UC	2	Crohn;UC	2	0.994714436405241	0.0	0.0		Crohn:CD14-positive, CD16-negative classical monocyte:-0.0574;UC:CD14-positive, CD16-negative classical monocyte:-0.0346;UC:blood:-0.0346	2.0	0.0	psoriasis;ulcerative colitis	0.3944092138441286	0.7556576392930524	0.9708581480143637	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	10.0		0.0				22.0	AITD;AS;Celiac;Crohn;PBC;Psoriasis;RA;SLE;T1D;UC			0.0	0.0	TNFSF15
PTPN2	protein tyrosine phosphatase non-receptor type 2	2.3814103522632157	NO_GO_WAVE62_TARGET_RESOLUTION	TCPTP_restoration_not_currently_druggable	prior_branch_blocker_or_directionality_unresolved	0.8819646239280701	T1D	5	Celiac;Crohn;Psoriasis;RA;T1D	5	Celiac;Crohn;Psoriasis;RA;T1D	0.0		5	Celiac;Crohn;Psoriasis;RA;T1D	5	Celiac;Crohn;Psoriasis;RA;T1D	3	0.999445728335146	0.0	0.0		Celiac:dorsolateral prefrontal cortex:0.16;Celiac:skin of body:0.16;Crohn:CD14-positive, CD16-negative classical monocyte:-0.00526;Crohn:blood:0.0322;Crohn:blood:0.0454;Crohn:dorsolateral prefrontal cortex:0.00526;Crohn:fibroblast:0.0322;Crohn:fibroblast:0.0454;Crohn:macrophage:0.0322;Crohn:macrophage:0.0454;Crohn:skin of body:0.0322;Crohn:skin of body:0.0454;Crohn:thyroid gland:0.0322;Crohn:thyroid gland:0.0454;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.0268;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.0742;RA:dorsolateral prefrontal cortex:0;RA:dorsolateral prefrontal cortex:0.128;RA:skin of body:0;RA:skin of body:0.128;T1D:CD14-positive, CD16-negative classical monocyte:0.0324;T1D:blood:0.0517;T1D:dorsolateral prefrontal cortex:-0.0324;T1D:macrophage:0.0517;T1D:thyroid gland:0.0517	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.0059418057306839	0.9843569990044077	0.998541739884114	False	3.0	0.0	NO_GO_GENETIC_DRUGGABLE_PRIOR_ART_BLOCKED	27.0	CHEMBL3807	1279.0	DEMOTE_NOT_DRUGGABLE_IN_CORRECT_DIRECTION	restore/increase TCPTP function	Genetics may be broad, but current modality is absent or wrong-direction restoration.	20.0	AITD;AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC			0.0	0.0	PTPN2
PRDM1	PR/SET domain 1	2.3796178698539734	NO_GO_WAVE62_TARGET_RESOLUTION			0.8796178698539734	UC	3	Crohn;SLE;UC	4	Crohn;Psoriasis;SLE;UC	0.0		0		0		0	0.0	0.0	0.0			3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	-0.0411396810451609	0.9031141115364548	0.9853557740270772	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	8.0	CHEMBL5214860	0.0				23.0	AS;Crohn;Psoriasis;RA;SLE;UC	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0029204183808801	PRDM1
SOCS1	suppressor of cytokine signaling 1	2.3767203977635543	NO_GO_WAVE62_TARGET_RESOLUTION			0.883274495601654	Psoriasis	2	PBC;Psoriasis	2	PBC;Psoriasis	0.1046850234270095		4	Crohn;PBC;Psoriasis;T1D	2	PBC;Psoriasis	0	0.9934459021619004	0.0	0.0		PBC:lymphoblastoid cell line:0.0569;PBC:lymphoblastoid cell line:0.276;Psoriasis:lymphoblastoid cell line:-0;Psoriasis:lymphoblastoid cell line:0.0279;Psoriasis:lymphoblastoid cell line:0.0287;Psoriasis:lymphoblastoid cell line:0.0304	2.0	0.0	psoriasis;type 1 diabetes mellitus	-0.2314987582193453	0.6621199257200553	0.9565159769539632	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	13.0		0.0				20.0	Crohn;PBC;Psoriasis;SLE;UC	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0660591651929318	SOCS1
BLK	BLK proto-oncogene, Src family tyrosine kinase	2.3716888771675437	NO_GO_WAVE62_TARGET_RESOLUTION			0.8731963038444519	SLE	2	RA;SLE	2	RA;SLE	0.0		2	RA;SLE	2	RA;SLE	0	0.9984925733230916	0.0	0.0		RA:B cell:-0.105;RA:CD4-positive, alpha-beta T cell:-0.105;RA:CD4-positive, alpha-beta T cell:-0.113;RA:CD4-positive, alpha-beta T cell:0;RA:T cell:-0.105;RA:blood:0;RA:fibroblast:0;RA:lymphoblastoid cell line:-0.105;RA:lymphoblastoid cell line:0;RA:lymphoblastoid cell line:0.105;RA:lymphoblastoid cell line:0.113;RA:naive regulatory T cell:0;RA:spleen:0;SLE:B cell:-0.0742;SLE:B cell:0;SLE:CD4-positive, alpha-beta T cell:-0.0742;SLE:CD4-positive, alpha-beta T cell:-0.124;SLE:CD4-positive, alpha-beta T cell:-0.143;SLE:CD4-positive, alpha-beta T cell:0;SLE:CD4-positive, alpha-beta memory T cell:-0.307;SLE:CD4-positive, alpha-beta memory T cell:0;SLE:CD8-positive, alpha-beta T cell:-0.0742;SLE:CD8-positive, alpha-beta T cell:-0.124;SLE:T cell:-0.0742;SLE:T cell:-0.124;SLE:T cell:-0.143;SLE:blood:-0.0742;SLE:blood:0;SLE:central memory CD4-positive, alpha-beta T cell:0;SLE:lymphoblastoid cell line:-0.0742;SLE:lymphoblastoid cell line:-0.124;SLE:lymphoblastoid cell line:-0.307;SLE:lymphoblast	1.0	1.0	Sjogren syndrome	0.0	1.0	1.0	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	10.0		0.0				15.0	AITD;RA;SLE;Sjogren			0.0	0.0	BLK
JAK2	Janus kinase 2	2.344184671673439	NO_GO_WAVE62_TARGET_RESOLUTION			0.8495527505874634	Crohn	2	Crohn;UC	2	Crohn;UC	0.0		2	Crohn;UC	2	Crohn;UC	2	0.9946319210859758	0.0	0.0		Crohn:CD4-positive, alpha-beta T cell:0.00164;Crohn:dorsolateral prefrontal cortex:-0.00164;Crohn:macrophage:-0.00164;Crohn:macrophage:0.00164;UC:CD14-positive, CD16-negative classical monocyte:0.0188;UC:CD4-positive, alpha-beta T cell:0.0188;UC:dorsolateral prefrontal cortex:-0.0188;UC:macrophage:-0.0188;UC:macrophage:0.0188;UC:neutrophil:-0.0188	1.0	0.0	Crohn disease	0.1310389086976435	0.5843508835841206	0.9464449594593544	False	1.0	0.0	PARK_GENETIC_DRUGGABLE_NEEDS_CELL_STATE	13.0	CHEMBL2971	24473.0				17.5	AS;Crohn;Psoriasis;RA;SLE;UC	NO_GO_WAVE61_GUARDRAIL	generic_JAK_collapse	1.079602966179328	-0.0523161574949977	JAK2
ZFP36L1	ZFP36 like 1 zinc finger CCCH-type	2.3425485532643875	NO_GO_WAVE62_TARGET_RESOLUTION			0.8522522449493408	Crohn	3	Crohn;RA;T1D	3	Crohn;RA;T1D	0.0		3	Crohn;RA;T1D	3	Crohn;RA;T1D	1	0.9902963083150466	0.0	0.0		Crohn:B cell:-0.0294;Crohn:fibroblast:-0.0294;RA:B cell:0.0812;RA:CD14-positive, CD16-negative classical monocyte:0;RA:CD4-positive, alpha-beta T cell:0.0812;RA:blood:0;RA:central memory CD4-positive, alpha-beta T cell:0.0812;RA:dorsolateral prefrontal cortex:0.0812;RA:fibroblast:0;RA:naive regulatory T cell:0;T1D:blood:-0;T1D:blood:0.0453;T1D:naive regulatory T cell:-0;T1D:naive regulatory T cell:-0.0352;T1D:naive regulatory T cell:0.0453	0.0	2.0		-0.0670408425299662	0.8367440032626986	0.9761732664217524	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	8.0		0.0				20.0	Crohn;MS;RA;T1D;UC	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0347031256553365	ZFP36L1
ARID5B	AT-rich interaction domain 5B	2.3369487739388934	NO_GO_WAVE62_TARGET_RESOLUTION			0.8531250357627869	RA	2	RA;SLE	2	RA;SLE	0.0		2	RA;SLE	1	RA	0	0.9838237381761066	0.0	0.0		RA:blood:0	1.0	0.0	psoriasis	0.6326873195137814	0.075697519230288	0.8989378106274888	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	13.0		0.0				13.0	AITD;RA;SLE	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0035534934622838	ARID5B
PRKCB	protein kinase C beta	2.3354507768088704	NO_GO_WAVE62_TARGET_RESOLUTION			0.8705751299858093	UC	1	UC	1	UC	0.0		1	UC	1	UC	1	0.964875646823061	0.0	0.0		UC:macrophage:-0.0267;UC:neutrophil:-0.0267;UC:sigmoid colon:0.0267	1.0	1.0	Sjogren syndrome	0.2060386471848883	0.4904213807858716	0.9271619615463814	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	8.0		0.0				21.0	AS;Crohn;PBC;Psoriasis;RA;SLE;UC			0.0	0.0	PRKCB
CARMIL1	capping protein regulator and myosin 1 linker 1	2.3088349103927612	NO_GO_WAVE62_TARGET_RESOLUTION			0.8088349103927612	T1D	3	Celiac;RA;T1D	3	Celiac;RA;T1D	0.0		0		0		0	0.0	0.0	0.0			3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	1.0	1.0	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	9.0		0.0				21.0	Celiac;Psoriasis;RA;SLE;T1D;UC			0.0	0.0	CARMIL1
JAK1	Janus kinase 1	2.30292946100235	NO_GO_WAVE62_TARGET_RESOLUTION			0.8029294610023499	RA	1	RA	1	RA	0.0		0		0		0	0.0	0.0	0.0			2.0	2.0	Crohn disease;ulcerative colitis	0.2576120813511604	0.060997046211002	0.8989378106274888	False	2.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				12.5	AITD;MS;RA	NO_GO_WAVE61_GUARDRAIL	generic_JAK_collapse	1.0321591183170895	0.1522168759847912	JAK1
STAT3	signal transducer and activator of transcription 3	2.2688524638918146	NO_GO_WAVE62_TARGET_RESOLUTION			0.7849382162094116	UC	2	Crohn;UC	2	Crohn;UC	0.0		2	Crohn;UC	2	Crohn;UC	2	0.9839142476824032	0.0	0.0		Crohn:CD14-positive, CD16-negative classical monocyte:-0.0273;Crohn:CD8-positive, alpha-beta T cell:0.0273;Crohn:blood plasma:-0.0273;Crohn:macrophage:0.0273;Crohn:skin of body:-0.0273;UC:CD14-positive, CD16-negative classical monocyte:-0.00314;UC:CD14-positive, CD16-negative classical monocyte:-0.00465;UC:CD8-positive, alpha-beta T cell:0.00314;UC:CD8-positive, alpha-beta T cell:0.00465;UC:CD8-positive, alpha-beta T cell:0.0279;UC:blood plasma:-0.00314;UC:blood plasma:-0.00465;UC:macrophage:0.00314;UC:macrophage:0.00465;UC:macrophage:0.0279;UC:skin of body:-0.00314;UC:skin of body:-0.0279	2.0	0.0	Crohn disease;ulcerative colitis	-0.0052452399033047	0.9827297093959808	0.9982687727683835	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	13.0	CHEMBL4296101	0.0				20.0	AS;Crohn;MS;Psoriasis;UC	NO_GO_WAVE61_GUARDRAIL		0.0	-0.006237879831838	STAT3
RNF114	ring finger protein 114	2.2641989046934112	NO_GO_WAVE62_TARGET_RESOLUTION			0.8029876351356506	Psoriasis	1	Psoriasis	1	Psoriasis	0.0		1	Psoriasis	1	Psoriasis	1	0.9612112695577608	0.0	0.0		Psoriasis:CD14-positive, CD16-negative classical monocyte:0.00602;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.00981;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.0396;Psoriasis:CD14-positive, CD16-negative classical monocyte:0.04	2.0	1.0	Crohn disease;ulcerative colitis	0.0255523480037602	0.9159266322384516	0.9882111716135832	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	4.0		0.0				6.0	Psoriasis	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0561619748984837	RNF114
TRAF1	TNF receptor associated factor 1	2.2593541892597404	NO_GO_WAVE62_TARGET_RESOLUTION			0.8259464502334595	RA	1	RA	1	RA	0.0		1	RA	1	RA	1	0.9334077390262808	0.0	0.0		RA:CD14-positive, CD16-negative classical monocyte:-0;RA:CD8-positive, alpha-beta T cell:-0.0784;RA:T cell:-0.0784;RA:dorsolateral prefrontal cortex:-0;RA:dorsolateral prefrontal cortex:0.0862;RA:fibroblast:-0.0784;RA:frontal cortex:-0;RA:lymphoblastoid cell line:-0.0784;RA:macrophage:-0;RA:macrophage:-0.0784;RA:memory regulatory T cell:-0;RA:right lobe of liver:0.0784;RA:sigmoid colon:-0.0784;RA:thyroid gland:0.0784	0.0	0.0		-0.1130879043054875	0.7367002437914002	0.9693303715651268	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	5.0		0.0				8.0	RA;SLE	NO_GO_WAVE61_GUARDRAIL		0.0157673800295721	-0.0092245344593101	TRAF1
MMP9	matrix metallopeptidase 9	2.256108150230552	NO_GO_WAVE62_TARGET_RESOLUTION			0.8049637675285339	Crohn	1	Crohn	1	Crohn	0.0		1	Crohn	1	Crohn	0	0.951144382702018	0.0	0.0		Crohn:blood plasma:0.0293;Crohn:spleen:0.0293	2.0	1.0	type 1 diabetes mellitus;ulcerative colitis	-0.0073013922988645	0.988990838871722	0.9992380443970746	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0		0.0				6.5	Crohn	NO_GO_WAVE61_GUARDRAIL		0.0711909058990569	0.0624567452637861	MMP9
IFNAR2	interferon alpha and beta receptor subunit 2	2.2359038884996076	NO_GO_WAVE62_TARGET_RESOLUTION			0.769300639629364	SLE	1	SLE	1	SLE	0.0		1	SLE	1	SLE	1	0.9666032488702436	0.0	0.0		SLE:CD14-positive, CD16-negative classical monocyte:0;SLE:CD4-positive, alpha-beta T cell:0;SLE:CD8-positive, alpha-beta T cell:0.0956;SLE:T-helper 1 cell:0.0956;SLE:blood:0.0956;SLE:lymphoblastoid cell line:0;SLE:lymphoblastoid cell line:0.0956;SLE:macrophage:0.0956;SLE:naive regulatory T cell:-0.0956;SLE:naive regulatory T cell:0.0956;SLE:spleen:0;SLE:suprapubic skin:0	2.0	0.0	psoriasis;type 1 diabetes mellitus	0.1894182060730376	0.4923277084112737	0.9271619615463814	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	4.0		0.0				4.5	RA;SLE	NO_GO_WAVE61_GUARDRAIL		0.6611289298703412	-0.5097787971595411	IFNAR2
CEBPG	CCAAT enhancer binding protein gamma	2.1868635765276645	NO_GO_WAVE62_TARGET_RESOLUTION			0.7011894583702087	Psoriasis	1	Psoriasis	1	Psoriasis	0.0		1	Psoriasis	1	Psoriasis	1	0.985674118157456	0.0	0.0		Psoriasis:CD14-positive, CD16-negative classical monocyte:0.0668;Psoriasis:fibroblast:-0;Psoriasis:naive regulatory T cell:-0.0668	0.0	0.0		0.1842016137411679	0.3254382424780541	0.9123553860771748	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				2.0	Psoriasis	NO_GO_WAVE61_GUARDRAIL		0.0	-0.0444880605722926	CEBPG
CLEC7A	C-type lectin domain containing 7A	2.111451269703687	NO_GO_WAVE62_TARGET_RESOLUTION			0.1164880692958831	T1D	0		0		0.0		1	T1D	1	T1D	0	0.9949632004078038	0.0	0.0		T1D:blood plasma:-0.0881	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	-0.3549463925802421	0.128706751389563	0.8989378106274888	False	0.0	0.0		0.0		0.0				0.0				0.0	0.0	CLEC7A
TRIB2	tribbles pseudokinase 2	2.0246137976646423	NO_GO_WAVE62_TARGET_RESOLUTION			0.5246137976646423	SLE	3	AITD;SLE;T1D	3	AITD;SLE;T1D	0.0		0		0		0	0.0	0.0	0.0			3.0	1.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.380847939905391	0.496861804102527	0.9275874758277628	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	4.0		0.0				11.0	AITD;SLE;T1D;UC			0.0	0.0	TRIB2
CD80	CD80 molecule	1.980431238265584	NO_GO_WAVE62_TARGET_RESOLUTION			0.4848191142082214	SLE	0		3	MS;PBC;SLE	0.4205642342567444		3	MS;PBC;T1D	3	MS;PBC;T1D	2	0.9956121240573628	0.9886715596851404	0.9886715596851404	macrophage	MS:macrophage:-0;MS:macrophage:-0.172;MS:macrophage:0.172;PBC:blood plasma:-0.0502;PBC:macrophage:-0.0645;PBC:macrophage:0.0645;T1D:blood plasma:-0.218;T1D:blood plasma:0.0614	1.0	0.0	ulcerative colitis	-0.2205636929543839	0.8621214280819472	0.9799447573450102	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	7.0		0.0				7.5	PBC;SLE			0.0	0.0	CD80
NCF1	neutrophil cytosolic factor 1	1.9413509047493085	NO_GO_WAVE62_TARGET_RESOLUTION			0.4444949328899383	Sjogren	0		1	Sjogren	0.0		3	Crohn;SLE;Sjogren	3	Crohn;SLE;Sjogren	0	0.99685597185937	0.0	0.0		Crohn:lymphoblastoid cell line:-0.0764;SLE:CD4-positive, alpha-beta T cell:-0.795;Sjogren:lymphoblastoid cell line:-0.196	1.0	0.0	Crohn disease	0.6643413684356645	0.4799034657965054	0.926038761164836	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0		0.0				3.0	Sjogren			0.0	0.0	NCF1
IRF7	interferon regulatory factor 7	1.8832798142514344	NO_GO_WAVE62_TARGET_RESOLUTION			0.3847596347332001	SLE	0		1	SLE	0.0		2	Psoriasis;SLE	2	Psoriasis;SLE	1	0.9985201795182344	0.0	0.0		Psoriasis:blood:1.49;SLE:CD14-positive, CD16-negative classical monocyte:-0;SLE:CD14-positive, CD16-negative classical monocyte:0;SLE:blood:-0;SLE:dorsolateral prefrontal cortex:-0;SLE:lymphoblastoid cell line:-0;SLE:lymphoblastoid cell line:-0.19;SLE:lymphoblastoid cell line:-0.223;SLE:macrophage:-0;SLE:macrophage:0.19;SLE:macrophage:0.223;SLE:skin of body:-0;SLE:skin of body:0.091;SLE:spleen:0.223;SLE:suprapubic skin:-0;SLE:transverse colon:-0;SLE:transverse colon:0	2.0	1.0	Crohn disease;type 1 diabetes mellitus	-0.4757977783497438	0.0302975458870109	0.8506970233122761	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				4.0	SLE	NO_GO_WAVE61_GUARDRAIL		0.0236417539263354	-0.0057997430859567	IRF7
FCGR2B	Fc gamma receptor IIb	1.835668561074276	NO_GO_WAVE62_TARGET_RESOLUTION			0.3366105854511261	SLE	0		1	SLE	0.0		4	AS;Crohn;SLE;UC	4	AS;Crohn;SLE;UC	0	0.99905797562315	0.0	0.0		AS:blood plasma:-0.0253;AS:blood plasma:0.0253;Crohn:blood plasma:-0.0073;Crohn:blood plasma:0.0073;SLE:blood plasma:-0.053;SLE:blood plasma:0;SLE:blood plasma:0.053;UC:blood plasma:-0.00887;UC:blood plasma:-0.0107;UC:blood plasma:-0.0143;UC:blood plasma:-0.0701;UC:blood plasma:-0.16;UC:blood plasma:0.00887;UC:blood plasma:0.0107;UC:blood plasma:0.0143;UC:blood plasma:0.0701;UC:blood plasma:0.16	0.0	1.0		0.3743680552898727	0.5995853752716118	0.9466965949245808	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	5.0		0.0				2.0	SLE			0.0	0.0	FCGR2B
STAT1	signal transducer and activator of transcription 1	1.704040303826332	NO_GO_WAVE62_TARGET_RESOLUTION			0.2040403038263321	Celiac	0		0		0.0		0		0		0	0.0	0.0	0.0			3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	0.5378996098681981	0.1363451431707629	0.8989378106274888	False	2.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	5.0		0.0				-1.0		NO_GO_WAVE61_GUARDRAIL	generic_IFN_transcription_axis	1.0117337805990914	-0.4012258865119662	STAT1
IRF1	interferon regulatory factor 1	1.700519893798229	NO_GO_WAVE62_TARGET_RESOLUTION			0.2219108939170837	UC	0		0		0.0		2	Crohn;UC	1	Crohn	1	0.9786089998811456	0.0	0.0		Crohn:CD14-positive, CD16-negative classical monocyte:-0.0149;Crohn:CD14-positive, CD16-negative classical monocyte:0.0607;Crohn:skin of body:-0.0113	1.0	0.0	Crohn disease	-0.0303981739668568	0.9222930745319916	0.9899194730321256	False	1.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	16.0		0.0				9.0	Crohn;Psoriasis;SLE	NO_GO_WAVE61_GUARDRAIL	generic_IFN_transcription_axis	0.0207263660195191	-0.0993979008136388	IRF1
MTF1	metal regulatory transcription factor 1	1.6512614339590073	NO_GO_WAVE62_TARGET_RESOLUTION			0.1512614339590072	SLE	0		0		0.0		0		0		0	0.0	0.0	0.0			4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.2966006148315276	0.1717854355945038	0.8993702893651148	False	2.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0		0.0				0.0		NO_GO_WAVE61_GUARDRAIL		0.0128036845623382	-0.0216962458031154	MTF1
STAT2	signal transducer and activator of transcription 2	1.6228958570678451	NO_GO_WAVE62_TARGET_RESOLUTION			0.1779719591140747	Psoriasis	0		0		0.0		1	Psoriasis	1	Psoriasis	1	0.9449238979537709	0.0	0.0		Psoriasis:CD14-positive, CD16-negative classical monocyte:-0.0458	2.0	0.0	psoriasis;type 1 diabetes mellitus	-0.2552245703450637	0.0197850926034403	0.8372898579012464	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	5.0		0.0				-2.0		NO_GO_WAVE61_GUARDRAIL		0.0028490798127559	-0.0480422353438398	STAT2
IFNGR1	interferon gamma receptor 1	1.5654350370168686	NO_GO_WAVE62_TARGET_RESOLUTION			0.0654350370168685	MS	0		0		0.0654350370168685		0		0		0	0.0	0.0	0.0			3.0	0.0	Crohn disease;psoriasis;ulcerative colitis	-0.0730197085267221	0.6518207324321686	0.953491203860913	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0		0.0				-1.0		NO_GO_WAVE61_GUARDRAIL	generic_IFN_blockade_host_defense	1.4021573988750948	-0.1123163899158959	IFNGR1
TYRO3	TYRO3 protein tyrosine kinase	1.5620874166488647	NO_GO_WAVE62_TARGET_RESOLUTION			0.0620874166488647	Crohn	0		0		0.0		0		0		0	0.0	0.0	0.0			0.0	1.0		-0.5221106413811212	0.5805546499427854	0.9460300826505484	True	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0		0.0				0.0				0.0	0.0	TYRO3
MERTK	MER proto-oncogene, tyrosine kinase	1.555164396762848	NO_GO_WAVE62_TARGET_RESOLUTION			0.0551643967628479	Crohn	0		0		0.0		0		0		0	0.0	0.0	0.0			0.0	2.0		0.2471109034794576	0.4292940108131474	0.9195199515584406	True	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	3.0		0.0				0.0		NO_GO_RESOLUTION_GUARDRAIL	descriptive_no_replication	0.9098198410936518	0.75	MERTK
CHUK	component of inhibitor of nuclear factor kappa B kinase complex	1.465683089132468	NO_GO_WAVE62_TARGET_RESOLUTION			0.0508882738649845	Psoriasis	0		0		0.0		1	Psoriasis	1	Psoriasis	1	0.9147948152674834	0.0	0.0		Psoriasis:CD4-positive, alpha-beta T cell:-0.0738;Psoriasis:neutrophil:-0	2.0	0.0	Crohn disease;psoriasis	0.2237878248965508	0.3211760938016935	0.9120391943246274	False	0.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				-2.0		NO_GO_WAVE61_GUARDRAIL	broad_NFKB_host_defense	0.672021576511123	0.3353338408117842	CHUK
