samplegroup	module	contrast	n_test	n_reference	mean_test	mean_reference	delta_test_minus_reference	hedges_g	welch_p
SLE	lysosomal_apc	trimester_3_vs_trimester_1	16	16	0.25530326255846286	0.30092105525646723	-0.04561779269800437	-0.05629396632751073	0.8714226319444367
SLE	monocyte_cd64	postpartum_6wk_vs_trimester_3	17	16	0.07787505827475126	0.5445065805052406	-0.4666315222304893	-0.5147974999397406	0.1400125082702391
SLE	monocyte_cd64	postpartum_6mo_vs_trimester_3	17	16	-0.042316748152375135	0.5445065805052406	-0.5868233286576158	-0.7010844158166072	0.04915190095920973
SLE	monocyte_cd64	postpartum_12mo_vs_trimester_3	12	16	-0.02328426264418478	0.5445065805052406	-0.5677908431494254	-0.6368200965750035	0.09580482367187539
SLE	monocyte_cd64	trimester_3_vs_trimester_1	16	16	0.5445065805052406	0.31199406356091935	0.23251251694432123	0.2851327123945218	0.4149608598264268
SLE	regulatory_pregnancy	postpartum_6wk_vs_trimester_3	17	16	-0.14112275631474233	-0.13150591646776255	-0.00961683984697978	-0.011816429280594301	0.972328239636656
SLE	regulatory_pregnancy	postpartum_6mo_vs_trimester_3	17	16	0.04654887610529463	-0.13150591646776255	0.17805479257305717	0.26075225568522176	0.45099591252502386
SLE	regulatory_pregnancy	postpartum_12mo_vs_trimester_3	12	16	-0.051242154584067424	-0.13150591646776255	0.08026376188369513	0.11534605423517057	0.7531894085840453
SLE	regulatory_pregnancy	trimester_3_vs_trimester_1	16	16	-0.13150591646776255	0.023241459924266204	-0.15474737639202876	-0.24513519796217595	0.48307323930919327
SNRA	decoupling_hla_minus_cd64	postpartum_6wk_vs_trimester_3	10	7	0.28328778327603416	-0.08400222036861528	0.3672900036446494	1.083046347780842	0.030507638872449613
SNRA	decoupling_hla_minus_cd64	postpartum_6mo_vs_trimester_3	8	7	0.26533476252611	-0.08400222036861528	0.34933698289472526	0.8434105541783653	0.09945027033403521
SNRA	decoupling_hla_minus_cd64	postpartum_12mo_vs_trimester_3	3	7	0.07964914464896054	-0.08400222036861528	0.16365136501757582	0.45367127562671605	0.5872643891538478
SNRA	decoupling_hla_minus_cd64	trimester_3_vs_trimester_1	7	7	-0.08400222036861528	0.11318756987230012	-0.1971897902409154	-0.7941870142998004	0.14497793605660486
SNRA	hla_ii_only	postpartum_6wk_vs_trimester_3	10	7	0.023987684743540672	0.04438283671241886	-0.02039515196887819	-0.02200116547197517	0.9665628006009639
SNRA	hla_ii_only	postpartum_6mo_vs_trimester_3	8	7	-0.3531126860399126	0.04438283671241886	-0.39749552275233146	-0.41532109548544077	0.4303528858341401
SNRA	hla_ii_only	postpartum_12mo_vs_trimester_3	3	7	-0.5405217171517411	0.04438283671241886	-0.58490455386416	-0.5386754046218536	0.2425463887958054
SNRA	hla_ii_only	trimester_3_vs_trimester_1	7	7	0.04438283671241886	-0.21865788046962817	0.263040717182047	0.28123475954867017	0.5884228350462597
SNRA	lysosomal_apc	postpartum_6wk_vs_trimester_3	10	7	-0.3761849289842968	-0.0863955327571909	-0.28978939622710587	-0.33104582156545204	0.5284425876719555
