accessibility	axis_mentioned_disease_count	axis_mentioned_diseases	axis_mentions	best_expression_details	best_negative_p	best_positive_fdr	best_positive_p	blocked_status_note	broad_discovery_priority_score	broad_existing_priority_score	broad_ms_positive_nominal	broad_ms_wm_delta_log2	broad_ms_wm_p	broad_negative_disease_count	broad_negative_diseases	broad_opentargets_disease_count	broad_opentargets_max_genetic_association	broad_positive_disease_count	broad_positive_diseases	broad_rank	candidate_class	chembl_activity_records	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_url	class	clinical_trials_hit_count	clinical_trials_returned_count	clinical_trials_url	cross_negative_trend_diseases	cross_supporting_diseases	cross_trend_or_better_diseases	delta_log2	direct_negative_compartment_count	direct_negative_disease_count	direct_negative_diseases	direct_positive_compartment_count	direct_positive_disease_count	direct_positive_diseases	direct_top_negative_compartments	direct_top_positive_compartments	direction	direction_penalty	discovery_priority_score	druggability_access_score	europepmc_hit_count	europepmc_url	existing_ms_anchor_score	existing_negative_disease_count	existing_negative_diseases	existing_negative_rows	existing_positive_disease_count	existing_positive_diseases	existing_positive_rows	existing_prior_flag	existing_priority_score	existing_weighted_evidence_score	expression_supporting_diseases	fdr	gene	geneformer_contexts_with_token	geneformer_disease_cells_with_token	geneformer_mean_cosine_z_vs_random	geneformer_mean_projection_shift	geneformer_sources	geneformer_support_contexts	genetic_or_target_db_breadth	google_patents_url	hedges_g	in_lipid_lysosomal_myeloid_neighborhood	local_evidence_score	local_opentargets_disease_rows	local_opentargets_diseases	local_opentargets_max_genetic_association	local_opentargets_max_overall	local_recurrence_disease_count_union	local_recurrence_disease_union	local_state_coupled_disease_count_union	local_state_coupled_disease_union	manual_intervention_reason	manual_intervention_status	max_positive_delta_log2_cpm	mean_case	mean_control	median_positive_hedges_g	median_raw_spearman_r	median_resid_spearman_r	min_negative_delta_log2_cpm	modality	ms_positive_nominal	ms_positive_trend	ms_wm_delta_log2	ms_wm_fdr	ms_wm_hedges_g	ms_wm_p	n_expr_fdr10_positive_diseases	n_expr_negative_trend_diseases	n_expr_trend_or_better_diseases	n_expression_diseases_tested	n_raw_state_support_diseases	n_resid_state_support_diseases	negative_compartment_count	negative_disease_count	negative_diseases	negative_fdr10_compartment_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	opentargets_channels_present	opentargets_disease_count	opentargets_diseases	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_max_overall	opentargets_url	orchestrator_class	orchestrator_expr_negative_diseases	orchestrator_expr_trend_diseases	orchestrator_expression_supporting_diseases	orchestrator_priority_score	orchestrator_raw_state_diseases	orchestrator_resid_state_diseases	orchestrator_resid_supporting_diseases	p	positive_compartment_count	positive_disease_count	positive_diseases	positive_fdr10_compartment_count	prior_art_saturation_penalty	priority_score	raw_negative_analysis_count	raw_positive_analyses	raw_positive_analysis_count	raw_positive_disease_count	raw_state_supporting_diseases	resid_state_supporting_diseases	residual_gate_priority_score	retained_positive_analysis_count	retained_positive_disease_count	routing_decision	routing_rationale	selection_reasons	source_table	strict_core_covariate_surviving_analyses	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_disease_count	surface_confounder_dominant_diseases	surface_delta_fdr10_diseases	surface_delta_supporting_diseases	surface_delta_trend_diseases	surface_local_call	surface_negative_delta_diseases	surface_rank_score	surface_raw_state_diseases	surface_reason	surface_resid_state_diseases	surface_resid_supporting_diseases	tested_compartment_count	top_positive_compartments	top_retained_tests	triage_score	wave18_call	wave18_call_reason	wave18_rescue_score	welch_t
				"[{""analysis"": ""ibd_crohn_stromal"", ""disease_name"": ""Crohn disease"", ""compartment"": ""colon stromal"", ""role"": ""tissue_resident"", ""gene"": ""PDCD1LG2"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""detection_fraction"", ""n_case_donors"": 6.0, ""n_control_donors"": 6.0, ""mean_case"": 0.02111246981226085, ""mean_control"": 0.01441747035736097, ""delta_case_minus_control"": 0.00669499945489988, ""hedges_g"": 0.40343280364642287, ""welch_t"": 0.75699662280186, ""p"": 0.47748182179753346, ""fdr"": 0.766711621158823, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""GSE111972_MS_WM_microglia"", ""disease_name"": ""MS"", ""compartment"": ""white matter microglia"", ""role"": ""ms_anchor"", ""gene"": ""PDCD1LG2"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""bulk_log2_expression"", ""n_case_donors"": NaN, ""n_control_donors"": NaN, ""mean_case"": 5.001240018555395, ""mean_control"": 6.832908196305419, ""delta_case_minus_control"": -1.831668177750024, ""hedges_g"": -0.7114718913977721, ""welch_t"": -1.6204827158237027, ""p"": 0.1368572957532143, ""fdr"": 0.8989378106274888, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""sjogren_gland_epithelial"", ""disease_name"": ""Sjogren syndrome"", ""compartment"": ""salivary gland epithelial"", ""role"": ""tissue_resident"", ""gene"": ""PDCD1LG2"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 11.0, ""n_control_donors"": 14.0, ""mean_case"": 0.000613176545891273, ""mean_control"": 0.0002434330713436514, ""delta_case_minus_control"": 0.00036974347454762164, ""hedges_g"": 0.426281158082726, ""welch_t"": 0.9946275606409727, ""p"": 0.339245761612724, ""fdr"": 0.5643527623090175, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""psoriasis_keratinocyte"", ""disease_name"": ""psoriasis"", ""compartment"": ""skin keratinocyte"", ""role"": ""tissue_resident"", ""gene"": ""PDCD1LG2"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 3.0, ""n_control_donors"": 3.0, ""mean_case"": 0.0019817695193076325, ""mean_control"": 0.0011313964893675244, ""delta_case_minus_control"": 0.0008503730299401081, ""hedges_g"": 2.4755973137065155, ""welch_t"": 3.7899688919910615, ""p"": 0.0200364336457921, ""fdr"": 0.23514865854709602, ""positive_fdr10"": false, ""positive_trend"": true, ""negative_trend"": false, ""score"": 2}, {""analysis"": ""ra_blood_myeloid"", ""disease_name"": ""rheumatoid arthritis"", ""compartment"": ""blood myeloid/APC"", ""role"": ""myeloid_apc"", ""gene"": ""PDCD1LG2"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 18.0, ""n_control_donors"": 18.0, ""mean_case"": 0.0, ""mean_control"": 0.00022891620147648612, ""delta_case_minus_control"": -0.00022891620147648612, ""hedges_g"": -0.3259259259259259, ""welch_t"": -0.9999999999999999, ""p"": 0.3313327620386791, ""fdr"": 0.9958397379647306, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""t1d_ductal_cell"", ""disease_name"": ""type 1 diabetes mellitus"", ""compartment"": ""pancreatic ductal cell"", ""role"": ""tissue_resident"", ""gene"": ""PDCD1LG2"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 5.0, ""n_control_donors"": 19.0, ""mean_case"": 7.273793070142003e-05, ""mean_control"": 0.0, ""delta_case_minus_control"": 7.273793070142003e-05, ""hedges_g"": 1.0126430258194568, ""welch_t"": 1.0, ""p"": 0.37390096630005887, ""fdr"": 0.626729238750575, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""ibd_uc_stromal"", ""disease_name"": ""ulcerative colitis"", ""compartment"": ""colon stromal"", ""role"": ""tissue_resident"", ""gene"": ""PDCD1LG2"", ""candidate_class"": ""glycan_checkpoint_surface"", ""metric"": ""detection_fraction"", ""n_case_donors"": 6.0, ""n_control_donors"": 6.0, ""mean_case"": 0.02639908400777966, ""mean_control"": 0.01441747035736097, ""delta_case_minus_control"": 0.011981613650418688, ""hedges_g"": 0.5804151793424356, ""welch_t"": 1.0890842951140751, ""p"": 0.320305744255804, ""fdr"": 0.8147851301318159, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}]"																	glycan_checkpoint_surface																																						psoriasis		PDCD1LG2																										0.20839160839160842	0.08571428571428573									0	0	1	7	0	0																												1.0													wave15_orchestrator_dependency																						
																																		-1.831668177750024																										0.8989378106274888	PDCD1LG2									-0.7114718913977721														5.001240018555395	6.832908196305419																																							0.13685729575321431																			gse111972_ms_white_matter_signature																						-1.6204827158237027
						0.08494847578980062	0.0004386490397471766																																						22.0																CD24							0.0			False												3.0633418648110293			1.318664081263189					False	False	-0.3131457372415891	0.9747766810218778	-0.1112269109762726	0.79096128985077							0	0		0																			6	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	2															broad_h5ad_gene_rank															17	t1d_endothelial_cell:3.04,p=0.00044;ibd_uc_stromal:1.9,p=0.001;t1d_stellate_cell:3.06,p=0.0012;t1d_ductal_cell:0.285,p=0.014;ibd_crohn_epithelial:0.563,p=0.03;sjogren_gland_stromal:1.07,p=0.046						
											False			0.0				4.0																											22.0																CD24										False																						-0.3131457372415891			0.79096128985077											2	1																							0	t1d_ductal_cell:0.35,p=0.0013;ibd_uc_epithelial:0.371,p=0.0089;t1d_endothelial_cell:0.913,p=0.011;ibd_crohn_epithelial:0.28,p=0.033;ibd_uc_stromal:0.248,p=0.035	5	3			4	4	2			four_disease_low_contradiction;mechanistic_scout;top_rank	broad_residual_gate_summary		0	0														ibd_uc_epithelial|lysosomal_apc:0.346,p=0.00034;t1d_ductal_cell|complement_phagocytosis:0.378,p=0.00056;ibd_uc_epithelial|complement_phagocytosis:0.353,p=0.00085;t1d_ductal_cell|c1q_phagocytic_myeloid:0.353,p=0.0015;t1d_ductal_cell|lipid_loader_repair:0.31,p=0.0021;ibd_uc_epithelial|lipid_loader_repair:0.395,p=0.0027;ibd_uc_epithelial|core_lysosomal_lipid:0.303,p=0.0031;t1d_endothelial_cell|lysosomal_apc:0.831,p=0.0076					
membrane_glycoprotein	0								22.0			-0.3131457372415891	0.79096128985077	0				4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis							https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD24	CD24-SIGLEC10 DAMP/glycan checkpoint	1	1	https://clinicaltrials.gov/search?term=CD24Fc+autoimmune	0		0										agonize inhibitory DAMP checkpoint; local state link must be proven	0		2	5154	https://europepmc.org/search?query=%28%22CD24%22+OR+%22CD24Fc%22%29+autoimmune				0			0						CD24								https://patents.google.com/?q=CD24Fc+autoimmune+disease+Siglec-10			6.0	0		0	0	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0											CD24Fc/Siglec-10 checkpoint agonism or CD24-directed biologic																									https://platform.opentargets.org/search?q=CD24		0	0			0	0							3														wave18_accessible_target_rescue				0	0		0		0		0		0						PARK	state-coupled support below threshold (0<4 disease union); prior-art saturation high (EuropePMC=5154, ClinicalTrials=1)	5.0	
																																		-0.3131457372415891																										0.9747766810218778	CD24									-0.11122691097627269														7.380145183349063	7.693290920590652																																							0.79096128985077																			gse111972_ms_white_matter_signature																						-0.26895717414441894
						0.3202498069060335	0.019085128990758104																																						15.0																CD200							0.0			False												2.2207972497357824			1.1109489774715033					False	True	1.8384397244159705	0.8989378106274888	0.7376907573992674	0.0908591902171466							0	0		0																			4	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0															broad_h5ad_gene_rank															17	t1d_endothelial_cell:2.22,p=0.019;ibd_crohn_myeloid:2.18,p=0.026;ibd_uc_stromal:1.91,p=0.043;t1d_stellate_cell:1.16,p=0.048						
																																		1.8384397244159705																										0.8989378106274888	CD200									0.7376907573992674														4.617419851062263	2.778980126646293																																							0.09085919021714661																			gse111972_ms_white_matter_signature																						1.7851741875673475
						0.20228419294093267	0.0067444519845198045																																						8.0																LILRB1							0.0			False												1.4020178492437418			1.5730996012696243					False	False	-0.2480039987346405	0.9075477698307116	-0.4628983827341497	0.3035041507515239							0	0		0																			2	2	Crohn disease;ulcerative colitis	0															broad_h5ad_gene_rank															11	ibd_crohn_myeloid:1.27,p=0.0067;ibd_uc_myeloid:1.4,p=0.042						
membrane_receptor	0								8.0			-0.2480039987346405	0.3035041507515239	0				2	Crohn disease;ulcerative colitis							https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LILRB1	inhibitory myeloid/HLA receptor	1	1	https://clinicaltrials.gov/search?term=LILRB1+autoimmune	0		0										agonism may suppress APC activation; oncology antagonist precedent cuts opposite direction	0		2	1026	https://europepmc.org/search?query=%28%22LILRB1%22+OR+ILT2%29+autoimmune				0			0						LILRB1								https://patents.google.com/?q=LILRB1+ILT2+autoimmune+antibody			3.0	0		0	0	2	Crohn disease;ulcerative colitis	0											antibody modulation																									https://platform.opentargets.org/search?q=LILRB1		0	0			0	0							2														wave18_accessible_target_rescue				0	0		0		0		0		0						NO_GO	local recurrence below promotion threshold (2<4 disease union); state-coupled support below threshold (0<4 disease union)	3.0	
																																		-0.24800399873464052																										0.9075477698307115	LILRB1									-0.4628983827341497														10.96469256571789	11.21269656445253																																							0.3035041507515239																			gse111972_ms_white_matter_signature																						-1.0712134028502074
						0.07070395087125395	0.0003013440684522264																																						10.0																LILRB2							0.0			False												1.567897511567943			2.28582872312281					False	False	-0.7296611895492067	0.8344760564031432	-1.340263453087741	0.0077844079989185							0	0		0																			2	2	Crohn disease;ulcerative colitis	1															broad_h5ad_gene_rank															4	ibd_crohn_myeloid:1.38,p=0.0003;ibd_uc_myeloid:1.57,p=0.018						
membrane_receptor	0								10.0			-0.7296611895492067	0.0077844079989185	0				2	Crohn disease;ulcerative colitis							https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LILRB2	inhibitory myeloid/HLA receptor	0	0	https://clinicaltrials.gov/search?term=LILRB2+autoimmune	0		0										agonism may suppress myeloid activation; needs disease-direction proof	0		2	898	https://europepmc.org/search?query=%28%22LILRB2%22+OR+ILT4%29+autoimmune				0			0						LILRB2								https://patents.google.com/?q=LILRB2+ILT4+autoimmune+antibody			3.0	0		0	0	2	Crohn disease;ulcerative colitis	0											antibody modulation																									https://platform.opentargets.org/search?q=LILRB2		0	0			0	0							1														wave18_accessible_target_rescue				0	0		0		0		0		0						PARK	local recurrence below promotion threshold (2<4 disease union); state-coupled support below threshold (0<4 disease union)	4.0	
																																		-0.7296611895492067																										0.8344760564031432	LILRB2									-1.340263453087741														8.554519699841956	9.284180889391163																																							0.00778440799891855																			gse111972_ms_white_matter_signature																						-3.1114836791222746
						0.40019800162873154	0.0045662453624126355																																						8.164550878914916				2.395508789149164	0.0			0.0				3.2910175782983275	0.8955087891491638			SIRPA							0.0			False												2.0064760865571825			3.108770337927876					False	False	0.1677681996050939	0.9004758652001262	0.5154480531377283	0.2355404004395136							0	0		0																			2	2	Crohn disease;psoriasis	0															broad_h5ad_gene_rank															17	ibd_crohn_stromal:2.01,p=0.0046;psoriasis_keratinocyte:1.33,p=0.021						
membrane_receptor	0								8.164550878914916			0.1677681996050939	0.2355404004395136	0				2	Crohn disease;psoriasis							https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SIRPA	CD47-SIRPA phagocytosis checkpoint receptor	0	0	https://clinicaltrials.gov/search?term=SIRPA+autoimmune	0		0										blockade increases phagocytosis; agonism would need repair-preserving proof	0		2	872	https://europepmc.org/search?query=%28%22SIRPA%22+OR+%22SIRP+alpha%22%29+autoimmune				0			0						SIRPA								https://patents.google.com/?q=SIRPA+autoimmune+disease+antibody			3.0	0		0	0	2	Crohn disease;psoriasis	0											SIRPA antibody/fusion proteins																									https://platform.opentargets.org/search?q=SIRPA		0	0			0	0							1														wave18_accessible_target_rescue				0	0		0		0		0		0						PARK	local recurrence below promotion threshold (2<4 disease union); state-coupled support below threshold (0<4 disease union)	4.0	
																																		0.16776819960509393																										0.9004758652001262	SIRPA									0.5154480531377283														12.65248776665496	12.484719567049867																																							0.23554040043951366																			gse111972_ms_white_matter_signature																						1.2258962481788498
						0.18812996828460526	0.004578911464512435																																						12.01083549311142				1.5	0.0			0.0				0.2167098622284	-1.2832901377716			CD47							0.0			False												1.2685777270673606			1.6764678719078254					False	False	0.2176408940367711	0.9004758652001262	0.5000293567872679	0.2416861608396672							0	0		0																			3	3	Crohn disease;psoriasis;type 1 diabetes mellitus	0															broad_h5ad_gene_rank															17	psoriasis_keratinocyte:1.27,p=0.0046;ibd_crohn_epithelial:1,p=0.015;t1d_acinar_cell:1.21,p=0.022						
membrane_ligand	0								12.01083549311142			0.2176408940367711	0.2416861608396672	0				3	Crohn disease;psoriasis;type 1 diabetes mellitus			25	CHEMBL3714583	Leukocyte surface antigen CD47	SINGLE PROTEIN	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3714583	CD47-SIRPA phagocytosis checkpoint	0	0	https://clinicaltrials.gov/search?term=CD47+autoimmune	0		0										blockade increases phagocytosis and may be wrong for repair-preserving APC state	2		2	5542	https://europepmc.org/search?query=%28%22CD47%22+OR+SIRPA%29+autoimmune				0			0						CD47								https://patents.google.com/?q=CD47+SIRPA+autoimmune+disease			4.5	0		0	0	3	Crohn disease;psoriasis;type 1 diabetes mellitus	0											CD47/SIRPA antibody or engineered agonist/antagonist																									https://platform.opentargets.org/search?q=CD47		0	0			0	0							4														wave18_accessible_target_rescue				0	0		0		0		0		0						NO_GO	local recurrence below promotion threshold (3<4 disease union); state-coupled support below threshold (0<4 disease union); prior-art saturation high (EuropePMC=5542, ClinicalTrials=0); intervention direction is repair/checkpoint-context dependent	0.5	
																																		0.21764089403677112																										0.9004758652001262	CD47									0.5000293567872679														9.985921081726236	9.768280187689465																																							0.24168616083966724																			gse111972_ms_white_matter_signature																						1.2100878222068836
					0.005353082894320101																																								-7.0																VSIG4							0.0			True																		-1.9110146302144893		False	False	-1.0515671441266328	0.8344760564031432	-1.515830262996964	0.0020407308358746							2	2	Crohn disease;ulcerative colitis	0																			0	0		0															broad_h5ad_gene_rank															9							
																																		-1.0515671441266328																										0.8344760564031432	VSIG4									-1.515830262996964														11.818722476809498	12.87028962093613																																							0.0020407308358746964																			gse111972_ms_white_matter_signature																						-3.5943835946298353
						0.40019800162873154	0.02016475877781692																																						8.0																CLEC12A							0.0			False												1.5330496876923376			1.8187987217703157					False	False	-0.4158224382744016	0.9677805697088556	-0.1511816791537602	0.7234500434034304							0	0		0																			2	2	Sjogren syndrome;psoriasis	0															broad_h5ad_gene_rank															10	psoriasis_keratinocyte:0.378,p=0.02;sjogren_gland_stromal:1.53,p=0.024						
																																		-0.4158224382744016																										0.9677805697088555	CLEC12A									-0.15118167915376027														2.5086561926452786	2.92447863091968																																							0.7234500434034304																			gse111972_ms_white_matter_signature																						-0.35928333341979574
					0.008869233068549798																																								-4.0																FCGR2B							0.0			False																		-1.9336392204694344		False	False	0.3743680552898727	0.9466965949245808	0.2224435935373845	0.5995853752716118							1	1	ulcerative colitis	0																			0	0		0															broad_h5ad_gene_rank															12							
											False			1.0				0.0																											-4.0																FCGR2B										False																						0.3743680552898727			0.5995853752716118											0	0																							0		0	0			0	0	0			mechanistic_scout	broad_residual_gate_summary		0	0																			
				"[{""analysis"": ""ibd_crohn_myeloid"", ""disease_name"": ""Crohn disease"", ""compartment"": ""colon myeloid"", ""role"": ""myeloid_apc"", ""gene"": ""FCGR2B"", ""candidate_class"": ""uptake_complement_phagocytosis"", ""metric"": ""detection_fraction"", ""n_case_donors"": 6.0, ""n_control_donors"": 6.0, ""mean_case"": 0.1366619510745423, ""mean_control"": 0.1368576950737145, ""delta_case_minus_control"": -0.0001957439991722154, ""hedges_g"": -0.0021798210135421025, ""welch_t"": -0.004090190809099641, ""p"": 0.9968170473478867, ""fdr"": 0.998902074503865, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""GSE111972_MS_WM_microglia"", ""disease_name"": ""MS"", ""compartment"": ""white matter microglia"", ""role"": ""ms_anchor"", ""gene"": ""FCGR2B"", ""candidate_class"": ""uptake_complement_phagocytosis"", ""metric"": ""bulk_log2_expression"", ""n_case_donors"": NaN, ""n_control_donors"": NaN, ""mean_case"": 8.951877523204725, ""mean_control"": 8.577509467914853, ""delta_case_minus_control"": 0.3743680552898727, ""hedges_g"": 0.2224435935373845, ""welch_t"": 0.5339366720119647, ""p"": 0.5995853752716118, ""fdr"": 0.9466965949245808, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""sjogren_gland_epithelial"", ""disease_name"": ""Sjogren syndrome"", ""compartment"": ""salivary gland epithelial"", ""role"": ""tissue_resident"", ""gene"": ""FCGR2B"", ""candidate_class"": ""uptake_complement_phagocytosis"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 11.0, ""n_control_donors"": 14.0, ""mean_case"": 0.001711024375815412, ""mean_control"": 0.0005293704872144525, ""delta_case_minus_control"": 0.0011816538886009595, ""hedges_g"": 0.8942732754018525, ""welch_t"": 2.1344344718013226, ""p"": 0.05074216607420688, ""fdr"": 0.41039385832845443, ""positive_fdr10"": false, ""positive_trend"": true, ""negative_trend"": false, ""score"": 2}, {""analysis"": ""psoriasis_skin_stromal"", ""disease_name"": ""psoriasis"", ""compartment"": ""skin stromal"", ""role"": ""tissue_resident"", ""gene"": ""FCGR2B"", ""candidate_class"": ""uptake_complement_phagocytosis"", ""metric"": ""detection_fraction"", ""n_case_donors"": 3.0, ""n_control_donors"": 3.0, ""mean_case"": 0.006325818240102751, ""mean_control"": 0.00460552805131078, ""delta_case_minus_control"": 0.001720290188791971, ""hedges_g"": 0.7573646000808695, ""welch_t"": 1.1594730121532335, ""p"": 0.3157220596329971, ""fdr"": 0.5720013501329232, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""ra_blood_myeloid"", ""disease_name"": ""rheumatoid arthritis"", ""compartment"": ""blood myeloid/APC"", ""role"": ""myeloid_apc"", ""gene"": ""FCGR2B"", ""candidate_class"": ""uptake_complement_phagocytosis"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 18.0, ""n_control_donors"": 18.0, ""mean_case"": 0.013771824281772758, ""mean_control"": 0.014764804134554756, ""delta_case_minus_control"": -0.0009929798527819975, ""hedges_g"": -0.07027219040538914, ""welch_t"": -0.21560785692562578, ""p"": 0.8305817243277619, ""fdr"": 0.9958397379647306, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""t1d_beta_cell"", ""disease_name"": ""type 1 diabetes mellitus"", ""compartment"": ""pancreatic beta cell"", ""role"": ""tissue_resident"", ""gene"": ""FCGR2B"", ""candidate_class"": ""uptake_complement_phagocytosis"", ""metric"": ""mean_log_norm"", ""n_case_donors"": 3.0, ""n_control_donors"": 19.0, ""mean_case"": 0.003955785926826826, ""mean_control"": 0.000129571515072805, ""delta_case_minus_control"": 0.003826214411754021, ""hedges_g"": 1.6705160372763757, ""welch_t"": 0.9669546382079729, ""p"": 0.435475700241881, ""fdr"": 0.933341245989964, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}, {""analysis"": ""ibd_uc_myeloid"", ""disease_name"": ""ulcerative colitis"", ""compartment"": ""colon myeloid"", ""role"": ""myeloid_apc"", ""gene"": ""FCGR2B"", ""candidate_class"": ""uptake_complement_phagocytosis"", ""metric"": ""detection_fraction"", ""n_case_donors"": 6.0, ""n_control_donors"": 6.0, ""mean_case"": 0.20072603041279183, ""mean_control"": 0.1368576950737145, ""delta_case_minus_control"": 0.06386833533907732, ""hedges_g"": 0.7704099206717907, ""welch_t"": 1.4455882190302038, ""p"": 0.18025041471259626, ""fdr"": 0.3281934621054804, ""positive_fdr10"": false, ""positive_trend"": false, ""negative_trend"": false, ""score"": 0}]"																	uptake_complement_phagocytosis																																						Sjogren syndrome		FCGR2B																										0.1594724685950104	0.08131868131868134									0	0	1	7	0	1																												2.5						type 1 diabetes mellitus							wave15_orchestrator_dependency																						
																																		0.3743680552898727																										0.9466965949245809	FCGR2B									0.22244359353738452														8.951877523204725	8.577509467914853																																							0.5995853752716118																			gse111972_ms_white_matter_signature																						0.5339366720119647
																																													0.0																SIGLEC5							0.0			False																				False	False	0.0302932274521188	0.9947001775576788	0.0268583604832327	0.9494964795792372							0	0		0																			0	0		0															broad_h5ad_gene_rank															4							
																																		0.03029322745211882																										0.9947001775576787	SIGLEC5									0.026858360483232743														7.108712800640447	7.078419573188328																																							0.9494964795792372																			gse111972_ms_white_matter_signature																						0.06418347841410937
						0.37780371374101557	0.043643717930051056																																						4.0																SIGLEC7							0.0			False												0.6598651619608384			1.2347848581439058					False	False	0.2373614702579454	0.9552160083058816	0.1837337667550866	0.6584560053362315							0	0		0																			1	1	ulcerative colitis	0															broad_h5ad_gene_rank															4	ibd_uc_myeloid:0.66,p=0.044						
																																		0.2373614702579454																										0.9552160083058816	SIGLEC7									0.18373376675508662														7.675008212255692	7.437646741997747																																							0.6584560053362315																			gse111972_ms_white_matter_signature																						0.4507741355478917
																																													0.0																SIGLEC9							0.0			False																				False	False	-0.3667847184824708	0.9075477698307116	-0.4350142319477796	0.3041560944096209							0	0		0																			0	0		0															broad_h5ad_gene_rank															8							
																																		-0.36678471848247085																										0.9075477698307115	SIGLEC9									-0.43501423194777966														8.76811158945136	9.13489630793383																																							0.3041560944096209																			gse111972_ms_white_matter_signature																						-1.0593758721731843
						0.19858411871158635	0.011751886376067213																																						8.043803898157682				1.5	0.0			0.0				0.8760779631536424	-0.6239220368463576			PVR							0.0			False												0.965833842576159			2.181492584599848					False	False	0.196143512329753	0.9472844695506754	0.2173757290584559	0.6066059392681019							0	0		0																			2	2	psoriasis;ulcerative colitis	0															broad_h5ad_gene_rank															17	ibd_uc_epithelial:0.966,p=0.012;psoriasis_skin_stromal:0.806,p=0.037						
																																		0.19614351232975302																										0.9472844695506754	PVR									0.21737572905845592														8.44676513731857	8.250621624988817																																							0.6066059392681019																			gse111972_ms_white_matter_signature																						0.5237164999884808
					0.02844323811979262	0.1059794305110138	0.001203253129886254																																						6.0																NECTIN2							0.0			False												1.1527938606600658			1.7235111478758136			-0.9570802251647779		False	False											1	1	psoriasis	0																			4	2	Crohn disease;ulcerative colitis	0															broad_h5ad_gene_rank															17	ibd_uc_myeloid:1.15,p=0.0012;ibd_crohn_myeloid:1.05,p=0.0037;ibd_crohn_stromal:0.648,p=0.033;ibd_uc_epithelial:0.602,p=0.036						
					0.003919378407275377	0.07001273944551724	0.00043017289150654127																																						15.0																PILRA							0.0			False												0.8955858998746526			2.8629117744187678			-0.7970361609702361		True	True	0.3377966078846164	0.8506970233122761	0.9898737912408266	0.029250759403389							1	1	psoriasis	0																			2	2	Crohn disease;ulcerative colitis	2															broad_h5ad_gene_rank															17	ibd_uc_myeloid:0.896,p=0.00043;ibd_crohn_myeloid:0.885,p=0.00049						
																																		0.3377966078846164																										0.8506970233122761	PILRA									0.9898737912408266														10.380144910204802	10.042348302320185																																							0.02925075940338904																			gse111972_ms_white_matter_signature																						2.359843711255537
