analysis	disease_name	compartment	role	gene	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TLR7	mean_z_vs_controls	6.0	6.0	-0.15230753275089934	-0.02104765744027053	-0.1312598753106288	-1.0114316541818866	-1.8978385978786672	0.10085171859422343	0.5986735394077064
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TLR7	detection_fraction	6.0	6.0	0.036088158025266937	0.07990451790209072	-0.04381635987682378	-0.9620542172516807	-1.8051873492421358	0.11306992769220818	0.5986735394077064
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TLR8	mean_z_vs_controls	6.0	6.0	0.28459637270092014	0.01184324521739498	0.27275312748352515	1.1232012092628922	2.107561691696643	0.06689025114169377	0.5986735394077064
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TLR8	detection_fraction	6.0	6.0	0.08442749997019883	0.04844754370644338	0.03597995626375545	0.7466386803871655	1.4009841401039804	0.19353943951660432	0.7069663857405903
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TLR9	mean_z_vs_controls	6.0	6.0	0.0	0.0	0.0				1.0
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	TLR9	detection_fraction	6.0	6.0	0.0	0.0	0.0				1.0
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	UNC93B1	mean_z_vs_controls	6.0	6.0	-0.07163694331872156	0.022479579282266158	-0.09411652260098771	-0.48066094944126525	-0.9019066177837807	0.38847389531029014	0.7456652302444038
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	UNC93B1	detection_fraction	6.0	6.0	0.06741660219981933	0.10139706511874796	-0.03398046291892863	-0.5418958805781728	-1.0168071307048114	0.3332166188569655	0.7387473918287242
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	IRF5	mean_z_vs_controls	6.0	6.0	0.0	0.0	0.0				1.0
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	IRF5	detection_fraction	6.0	6.0	0.0	0.0	0.0				1.0
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	SLC15A4	mean_z_vs_controls	6.0	6.0	0.0782597324488297	0.04374899904770258	0.03451073340112711	0.23541053879078247	0.4417215983080326	0.6690025931346583	1.0
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	SLC15A4	detection_fraction	6.0	6.0	0.05812334527917538	0.03965303339633075	0.018470311882844627	0.6808240866023326	1.277490401429573	0.24606501909539297	0.7387473918287242
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	TASL_CXorf21	mean_z_vs_controls	6.0	6.0	0.002723855596727413	-0.003275095575752729	0.005998951172480142	0.09280368880805161	0.17413576282413626	0.8652945247750667	1.0
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	TASL_CXorf21	detection_fraction	6.0	6.0	0.0014434468138171841	0.0007575757575757576	0.0006858710562414266	0.30778346918981225	0.5775213235637787	0.5767924270766903	0.9353390709351734
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	TLR7	mean_z_vs_controls	6.0	6.0	-0.0413264676404616	-0.002901200397465588	-0.03842526724299601	-0.7147194646224271	-1.3410912947081763	0.23758521128629184	0.7387473918287242
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	TLR7	detection_fraction	6.0	6.0	0.0	0.0015817124972054549	-0.0015817124972054549	-0.7165348722650892	-1.3444977045045108	0.23655849378796762	0.7387473918287242
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	TLR8	mean_z_vs_controls	6.0	6.0	0.0	0.0	0.0				1.0
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	TLR8	detection_fraction	6.0	6.0	0.0	0.0	0.0				1.0
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	TLR9	mean_z_vs_controls	6.0	6.0	0.0	0.0	0.0				1.0
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	TLR9	detection_fraction	6.0	6.0	0.0	0.0	0.0				1.0
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	UNC93B1	mean_z_vs_controls	6.0	6.0	-0.027244707865217377	0.08482997742593246	-0.11207468529114983	-0.466686609693484	-0.8756853291346124	0.40194295727832197	0.7478008507503665
ibd_uc_stromal	ulcerative colitis	colon stromal	tissue_resident	UNC93B1	detection_fraction	6.0	6.0	0.034528753996957054	0.04562312409554492	-0.011094370098587866	-0.21459525218503978	-0.402664036501507	0.697213642079117	1.0
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	IRF5	mean_z_vs_controls	3.0	3.0	-0.07996934606935197	0.01432464649876485	-0.09429399256811681	-2.0323180443943176	-3.1113388773856556	0.06323114075759403	0.5986735394077064
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	IRF5	detection_fraction	3.0	3.0	0.022217294857529143	0.03785852708172988	-0.01564123222420074	-2.693510285350061	-4.1235786350287285	0.018622283509074564	0.5986735394077064
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	SLC15A4	mean_z_vs_controls	3.0	3.0	0.1212211937945002	0.014129060629702322	0.10709213316479789	0.8837810605806707	1.3530079017239947	0.2835316445113144	0.7387473918287242
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	SLC15A4	detection_fraction	3.0	3.0	0.183624984312076	0.12489960985645232	0.058725374455623675	1.1337166785672825	1.7356421096079824	0.1973614493525815	0.7069663857405903
psoriasis_keratinocyte	psoriasis	skin keratinocyte	tissue_resident	TASL_CXorf21	mean_z_vs_controls	3.0	3.0	-0.027790857439557465	-0.004475019817251867	-0.0233158376223056	-0.9168596328656267	-1.4036489164226895	0.283847765684517	0.7387473918287242
