analysis	disease_name	compartment	role	gene	aliases	present	matched_alias	matched_symbol
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	TLR7	TLR7	True	TLR7	TLR7
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	TLR8	TLR8	True	TLR8	TLR8
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	TLR9	TLR9	False		
t1d_beta_cell	type 1 diabetes mellitus	pancreatic beta cell	tissue_resident	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	TASL_CXorf21	TASL,CXorf21,CXORF21	True	TASL	TASL
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	IRF5	IRF5	True	IRF5	IRF5
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	TLR7	TLR7	True	TLR7	TLR7
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	TLR8	TLR8	True	TLR8	TLR8
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	TLR9	TLR9	False		
t1d_ductal_cell	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	TASL_CXorf21	TASL,CXorf21,CXORF21	True	TASL	TASL
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	IRF5	IRF5	True	IRF5	IRF5
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	TLR7	TLR7	True	TLR7	TLR7
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	TLR8	TLR8	True	TLR8	TLR8
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	TLR9	TLR9	False		
t1d_acinar_cell	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	TASL_CXorf21	TASL,CXorf21,CXORF21	True	TASL	TASL
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	IRF5	IRF5	True	IRF5	IRF5
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	TLR7	TLR7	True	TLR7	TLR7
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	TLR8	TLR8	True	TLR8	TLR8
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	TLR9	TLR9	False		
t1d_stellate_cell	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	SLC15A4	SLC15A4	True	SLC15A4	SLC15A4
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	TASL_CXorf21	TASL,CXorf21,CXORF21	True	TASL	TASL
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	IRF5	IRF5	True	IRF5	IRF5
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	TLR7	TLR7	True	TLR7	TLR7
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	TLR8	TLR8	True	TLR8	TLR8
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	TLR9	TLR9	False		
t1d_endothelial_cell	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	UNC93B1	UNC93B1	True	UNC93B1	UNC93B1
